-7.3284e-05-0.0003496i,0.00027399-0.00076315i,-0.00032464-0.0020356i,-0.0015562-0.0024651i,-0.0016403-0.0007323i,-0.0019669+0.0012411i,-0.00183+0.00074363i,-0.00055022+0.0010754i,0.00017287+0.0021502i,0.00081558+0.0011249i,0.0007264+3.2406e-05i,0.00017886-0.00029515i,5.0809e-05-0.00023123i,-0.00031531-1.0997e-05i,0.00033995-0.00015113i,0.0010377-0.00014904i,0.0007416+0.00048613i,0.00062316+0.00051033i,0.00097757+0.00011492i,0.0014938+0.00026652i,0.0014009+0.00013474i,0.00050953-3.4294e-05i,1.0505e-05-0.00036164i
-0.00025688-0.0017333i,-0.00096847-0.0012287i,-0.00023628-0.0011105i,-0.00038655+0.00024349i,-0.0012686+0.0009554i,-0.0011941+0.00059985i,-0.00051151+0.00080156i,-0.00092952+0.00067898i,-0.0010151+8.5166e-05i,0.00018524-0.00017988i,0.00054246+6.2307e-05i,0.00012226+0.00059811i,0.00032741+0.0011827i,0.00024523+0.0011468i,7.5637e-05+0.00055738i,0.00028765+0.00057721i,0.00071643+0.00077277i,0.00099345+0.000811i,0.00037671+0.0012306i,-6.3253e-05+0.0012251i,-9.6726e-05+0.00012159i,0.00086491-0.00067045i,0.00096563-0.00063522i
-0.00079957-0.00077704i,-0.00054878-0.00097918i,0.00014827-0.0015207i,9.4447e-05-0.0012936i,-0.00027912-0.00064465i,-0.00041707-0.00017949i,-0.00047893+0.00017353i,-0.00068244+0.0005224i,-0.00050617+0.00063736i,0.00058689+7.7359e-05i,0.00082363-0.00065383i,0.0005987-0.00081561i,0.00071711-0.00014836i,0.00036479+0.00022781i,7.2069e-06+0.00015903i,-3.4354e-05+0.00019996i,0.00060637-1.9024e-05i,0.00073462+0.00022674i,0.00067883+0.00019974i,0.00044874+0.00018511i,7.6204e-05+0.00029798i,-0.00027685-0.00010568i,-0.00071084+0.00036458i
-0.002789+0.00047013i,-0.0024095-0.00095791i,-0.00065743-0.00054689i,-8.0464e-05+0.00012259i,-9.0552e-05+0.00014295i,-0.00033679-0.0006663i,-0.00034388-0.001081i,-6.1287e-05-0.00059799i,0.00042145+0.00063296i,0.0010247+0.0010501i,0.00071923+0.00078552i,-3.7431e-05+0.00055474i,-7.8214e-05-0.00011914i,0.00060104-0.00022341i,0.00062596-8.0571e-06i,0.00078683+0.000334i,-7.011e-05+0.0014206i,-0.0011669+0.0012495i,-0.00062259+0.00022955i,0.00024302-0.00011499i,0.00044195-2.179e-05i,0.00065312-0.00027589i,0.00060299-0.00058783i
-0.0024266+0.00079363i,-0.0016766+0.00033261i,-0.00081058+0.00028653i,0.00012882+0.00046825i,0.00097954+0.00085509i,0.0013716+0.00060971i,0.00025559+0.00026955i,-0.0014598+0.00030292i,-0.0019297+0.00070886i,-0.0008243+0.0011127i,-0.00011641+0.00054765i,-0.00020819-4.0887e-05i,-0.00060556+0.00066132i,-0.00081598+0.00092621i,-0.00039374+7.8887e-05i,0.00065166-9.4323e-05i,0.0010464+0.00029446i,0.00067833+0.00083072i,-9.6849e-05+0.001054i,-0.0004866+0.00079998i,-0.00025053+0.0001108i,0.00053437-0.00021214i,0.00074315-0.00067052i
-0.00017353-0.00041287i,-0.0014976-0.00017918i,-0.0023942-0.0011387i,-0.0021046-0.00070538i,-0.00080721+1.2333e-05i,-0.0001435+0.00060157i,-0.00038938+0.0012854i,-0.00096282+0.0016593i,-0.0009587+0.0018127i,8.441e-05+0.0012119i,0.0015171+0.00029854i,0.0011684-0.00012137i,0.00037404-0.00075684i,0.00043344-0.00069926i,0.00067579-3.8113e-06i,0.0010224+0.00012173i,0.00096755+0.000128i,0.00075911+0.00083484i,0.0010385+0.0013677i,0.00064004+0.00073643i,0.00034741-0.00026759i,0.00016813-0.00034828i,-0.00051914-0.00032326i
-0.00077756-0.0010237i,-0.00078315-0.0018915i,-3.864e-05-0.0019673i,0.00096453-0.0013558i,0.00069702-0.00052518i,0.0002749+0.00018869i,0.00012067+5.3192e-05i,0.00042105-2.8137e-05i,0.00061995+0.00034656i,0.0003281+0.00063634i,0.00014019+0.00096391i,0.00035329+0.00073159i,0.00046641-6.9006e-05i,0.00060432-0.00065471i,0.00055868+3.2609e-05i,0.00070633+0.00068289i,0.00083492+0.00061016i,2.3295e-05-8.5308e-05i,-0.00040664-0.00036625i,6.5647e-05-2.7801e-05i,-0.00011315-8.2879e-06i,-0.00044922-0.00028113i,-2.1045e-05-0.00033614i
-0.0018198+0.00045729i,-0.0023544-0.00020324i,-0.0014889-0.00016073i,-0.00035805+0.00086064i,9.9641e-05+0.00041601i,0.00019521-0.00060778i,-0.00048175+2.3066e-05i,-0.0010795+0.00083141i,-0.00030416+0.0010968i,0.00019015+0.0007853i,0.0002084+0.00039854i,0.00069133-0.00019241i,0.00092936-0.00079077i,0.00066469-0.00043602i,-0.00016762-0.00018366i,-0.00040091+0.00019872i,-0.00017435+0.00039621i,-0.0002078-0.00047219i,0.00026907-0.00057432i,0.00086136-8.5885e-05i,0.00046338+0.00021763i,0.00047388+0.00053536i,0.00084452+0.00055744i
-0.0018882-1.4397e-05i,-0.0028973-0.00062817i,-0.0022267+0.00038873i,-0.00069738+0.0010931i,0.00022969+0.0010624i,0.00078577+0.00047785i,0.00078263+0.00027185i,-5.0811e-05+0.00061685i,-0.00038771+0.00082861i,-0.0004973+0.0006566i,-0.0001625+0.00091643i,0.0004749+0.0014903i,0.00029658+0.0010642i,-0.00029944-0.00041898i,-0.00085008-0.00012529i,-0.00092115+0.00074556i,-0.00033511+6.9827e-05i,-3.2912e-05-0.00015264i,0.00028303+8.2979e-05i,0.00052305+5.4512e-05i,0.00040396-0.00047106i,1.6192e-05-0.001093i,0.00018664-0.0007127i
-0.0013643-0.0004556i,-0.0023733-0.00037813i,-0.0022231-0.00032463i,7.9798e-05-0.00060892i,0.0015191+3.7102e-05i,0.0015031+0.00071415i,0.0012215+0.00071894i,0.00083572+0.00077594i,0.0005188+0.00099159i,0.00022587+0.00053389i,1.3846e-05+0.00033365i,-0.00054665+0.00019343i,-0.0011746+0.00014068i,-0.0013861+0.0006264i,-0.00072654+0.00073217i,-8.4848e-05+0.0009054i,0.00058566+0.00093506i,0.0010467+0.00090587i,0.0011623+0.00047575i,0.00069526+0.00013527i,0.00050267+0.00022376i,0.00072371+0.00042594i,-0.00014258-0.00020988i
-4.2835e-05-0.00021787i,-0.00098384-0.0013722i,-0.001049-0.0024396i,-0.0010368-0.00088572i,-0.00088815+0.00013937i,-0.00018807+0.00037698i,4.8075e-05+0.00073501i,-0.00037623+0.00074303i,-0.00082867+0.00040278i,-0.00044314-0.00010533i,7.3981e-05-7.1338e-05i,-0.00017671-0.0001337i,-0.00031105-0.00035945i,0.00042105-0.00043845i,0.0006717+0.00012574i,-0.00028156+0.0011545i,-0.00017949+0.00056845i,-0.00029189+0.00020188i,-2.3244e-05+0.0002193i,0.00074606-5.4948e-05i,0.00046228-0.00022826i,-1.4287e-05-0.000615i,-0.00033799-0.00017757i
-0.0019094-0.00068546i,-0.0016265-0.00079076i,-0.00062298-0.00081446i,-0.00019989-0.00068629i,-0.00040297-0.00031187i,-0.00043655+0.00047074i,-0.00043384+0.001028i,-0.00091841+0.001077i,-0.00065142+0.0016843i,-8.06e-05+0.0012507i,0.00020109+0.00050351i,-0.00027277+0.00052299i,-0.00025163+0.00090975i,1.3986e-05+0.0012292i,-0.00043602+0.0008888i,-0.0003731+0.00066907i,0.00017559+0.00059816i,0.00071023+0.00042536i,0.00092508-0.00018717i,0.0011368+8.9747e-05i,0.00085705+0.0012904i,-3.8039e-05+0.00099864i,-0.00031374-7.3764e-05i
-0.00022603+0.00063264i,-0.00025366-0.0001443i,-0.00029217+8.8299e-05i,-0.00026425+0.00036694i,0.00013592+0.0001963i,-0.00023049-0.0004711i,-0.00080512-0.00031645i,-0.00077258+0.00051919i,0.00044747+0.00050986i,0.0014401-1.7173e-05i,0.00065635+0.0001211i,0.00012114+0.00054447i,-0.00024266+0.00071855i,-2.6364e-05+0.00050628i,-1.9813e-05+0.00038325i,-8.8878e-05+0.00081815i,0.00025013+0.0010759i,-1.1026e-05+0.00056964i,-0.00034618+0.00023112i,-0.00014592+1.8681e-05i,0.00031675-0.00010742i,0.00062351+9.8936e-06i,0.00068787-1.6632e-05i
-0.00085051+0.0002722i,-0.00071895+0.00063785i,-0.00056498+0.00060462i,-0.00031078-0.00016429i,3.4162e-05-0.00056004i,0.00047272-0.00082286i,0.00039658-0.00060161i,-0.00011598+0.0011611i,-0.0001218+0.0022938i,3.5169e-05+0.0019587i,0.00013814+0.0011983i,-0.00015183+0.00044031i,0.00014769+0.00027509i,0.00051612+0.00017033i,0.00042136-0.00018804i,0.00043961-0.0001986i,0.00025519+0.0003092i,9.1065e-05+0.00067004i,0.00048957+0.0008626i,4.0865e-05+0.00053612i,-0.00027834+3.4732e-05i,8.2156e-05-0.00012538i,-0.00010058-0.00028895i
-0.00035874-0.0013266i,-0.001424-0.0015311i,-0.0018823-0.0019465i,-0.00083911-0.00037809i,-0.00030758+0.0010786i,-0.00041428+0.0012758i,0.00018943+0.0012573i,0.00012122+0.00082141i,-8.7433e-05+0.00048992i,0.00057154+0.00026753i,0.00045114-0.00033944i,0.0005834-0.000773i,0.00077965-0.00019318i,-0.00014694+0.00016614i,-0.0009102+0.00026244i,-0.00037971+0.00041412i,-0.00046994+0.0010453i,-0.00070086+0.0010086i,8.7523e-05+0.00053715i,-0.00010819+0.00079468i,-0.00043981+0.00049716i,-0.00056797+0.00014233i,-0.0001605+0.00014662i
-0.00051236-0.0017607i,-0.0010114-0.00039095i,-0.001632-0.00050112i,-0.00083118+0.00018421i,0.00023025+0.0014823i,0.00022943+0.0015004i,-0.00019853+0.00080895i,-0.00059174+0.0011418i,-0.00033405+0.0015495i,0.00012689+0.00082793i,0.00068075+0.00010917i,0.00095073-0.0005606i,0.00068197-0.00072249i,0.00070399+0.00011746i,0.00054473+0.0012958i,0.00049924+0.0014361i,0.00021924+0.00097126i,5.2303e-05+0.00045451i,0.00088691+0.00031112i,0.001542+5.6646e-05i,0.0010418-0.00028877i,0.00020011-0.00027468i,-8.9481e-05-0.00073496i
-0.00025856-0.00048906i,-0.0010656-0.00016052i,-0.0021583+0.00035439i,-0.0013055+0.0010474i,-0.00077565+0.0014485i,-0.00060632+0.0013863i,-0.00044359+0.00083434i,-0.00063928+0.0011408i,-0.00094744+0.0018418i,-0.00047378+0.0015137i,0.0001131+0.0009028i,0.00023161+0.00055856i,0.00049382+0.00010409i,0.00032333+0.00034329i,6.1238e-06+0.001018i,0.00028889+0.0012043i,0.00070125+0.00061989i,0.00045545+0.00015331i,-0.0002336-7.9788e-05i,-0.00024432-0.00040184i,-3.0492e-05-0.0006474i,5.0192e-05-3.5271e-05i,8.6436e-05-1.8493e-05i
-0.00032558+0.00018919i,-0.00083607-0.00051154i,-0.00046463-0.00057209i,0.00055863-0.00047834i,0.0010663-0.00083295i,0.00086197-0.0011757i,-0.00037843-0.00031707i,-0.00098391+0.00010045i,-0.00013317+2.5636e-05i,0.00042413+0.0007657i,0.00061212+0.00085052i,0.00043215-0.00025724i,0.00072418-1.2104e-05i,0.0010932+0.0013444i,0.00092112+0.0015023i,0.0011824+0.0012996i,0.00087297+0.0011123i,9.8386e-06+0.00090291i,4.1595e-06+0.00086989i,0.00047218+0.00020619i,0.00066691-0.00080136i,0.00085281-0.0012881i,0.00040093-0.00088151i
-0.0028145-0.0019046i,-0.0024378-0.0019118i,-0.0019641-0.00051289i,-0.0016462+0.00086222i,-0.00015253+0.00019081i,0.0015133-0.0010391i,0.00029951-0.00093896i,-0.00069008+4.9625e-05i,-0.00067359+0.0013066i,-0.00062664+0.0014117i,-4.5093e-05+0.00082435i,-6.3962e-05+0.00025236i,0.00037894+0.00021144i,0.0011199+0.00066218i,0.0014619+0.00042571i,0.0010623+0.00017775i,0.00063393+0.00021453i,0.0005618+0.0003277i,0.00026763+0.00021199i,0.00012688+0.00010874i,-9.8536e-05+0.00042466i,0.00029944+5.53e-05i,0.00017992-0.0005891i
-0.00091919-0.00058834i,-0.0016856-0.00041856i,-0.00088081+0.00025345i,0.00017265+0.00028958i,0.00042207-2.0684e-05i,4.6636e-05-0.00013965i,-0.0003925-0.00037657i,-0.00075408+0.00073089i,-0.00057062+0.0012852i,-0.0003492+0.00098114i,-0.00021895+0.00049802i,0.00033598+0.00012691i,0.00021469+0.00027349i,5.8791e-05+0.00066118i,0.00023279+0.0006651i,0.00012073+0.00022847i,-0.00013207+0.00055551i,-0.0003976+0.0015962i,-0.00023224+0.0011813i,0.00063152-2.738e-05i,0.00099696-4.8364e-05i,0.00043407+0.00030862i,-4.1636e-05-7.8205e-05i
