-0.0010316-0.00016145i,-0.0010879-0.0013291i,-0.0028369-0.0017181i,-0.0028289-3.6501e-05i,-0.0013755+0.0018943i,-0.00021713+0.0021456i,0.00077048+0.0020477i,0.0010797+0.0013777i,0.0013752+0.00029i,0.0012884-0.00049147i,0.0010037-0.00095505i,0.0008436-0.00057772i,0.00044489+3.9612e-05i,-1.7274e-05+0.0010151i,8.9147e-05+0.00050347i,-1.9389e-05-0.00019814i,-0.00038519+0.00014635i,-0.00032385-0.00027476i,-0.00011054-0.00087379i,-2.1542e-05-0.00071579i,-0.00018164+0.00029127i,-0.00042338+0.00054297i,-0.00048532+0.00029861i
-0.0015108-0.0010101i,-0.0010788-0.0013579i,0.00013297-0.0011385i,0.0020013-0.00074098i,0.0023851-0.00036781i,0.0017894+5.9479e-05i,0.0011197+0.00051432i,0.00076328+0.00025855i,0.00066664-0.00034645i,0.00044166-0.0003795i,-0.00015647-0.00058228i,-0.00066658-0.00079186i,-0.00048621-0.00045013i,-0.00041804+0.00029204i,-0.00092558+0.00035887i,-0.00047429-0.00025689i,0.00017607-0.00093435i,0.0001698-0.00042795i,-0.00043645+0.00010919i,-0.00059988-7.1159e-05i,-0.0001574-0.00019869i,0.00039506-0.0002429i,0.00030713+0.00039285i
-0.001359-0.00031366i,-0.00071005+0.00092238i,-0.00098373+0.00063369i,-0.00080105-0.00016068i,0.00094777-0.00040612i,0.0023719-0.00042253i,0.0018745-0.00030783i,0.00099964-0.00061654i,0.00076004-0.00074737i,0.00058699-0.00040314i,-0.00011451-0.0003925i,0.00010498-0.00054986i,0.0017662-0.00078457i,0.0024227-0.00096717i,0.0019957-0.00070376i,0.00099272-0.00028962i,0.00036889-3.188e-05i,0.00059518+0.00012485i,0.0013791-0.00011726i,0.0016084-0.00038949i,0.00067707-9.7988e-05i,-9.9569e-05+0.00024224i,-0.00031475+9.9301e-06i
-6.5877e-05-0.00015007i,-0.00039276+0.00052582i,3.3329e-05+0.0015073i,0.00034218+0.00091148i,0.00094391+0.00034056i,0.00084529+0.001403i,0.00047052+0.001626i,0.00050139+0.00067814i,0.00026642-0.00061697i,-5.796e-05-0.00055389i,0.00032779+6.795e-05i,-0.00022164-5.0736e-05i,-0.0002871-0.00073249i,0.00091935-0.000732i,0.00063371+0.00017654i,-1.9562e-05+0.00029561i,4.7772e-05+0.00057476i,0.00017183+0.0012838i,0.00059919+0.00098111i,0.00093307+0.00048775i,0.00052049+0.00035166i,-0.0001533-3.7108e-05i,-0.00030562-0.00035066i
0.00059396-0.0010672i,-0.0006218-0.0013243i,-0.0014471-0.0013158i,-0.0013744-0.0011017i,-5.7408e-05-0.00058971i,0.00057493+0.00047296i,0.00047751+0.00065546i,0.00031038+6.4624e-05i,8.8705e-05-0.00021841i,0.00067012-0.00026808i,0.0007028-1.4553e-05i,0.00017007-0.00012639i,8.9767e-05-0.00024005i,5.2376e-05+0.00090565i,-0.00017137+0.0013075i,-0.00039621+0.00087491i,1.9948e-05+0.00011173i,0.00060541-0.00033066i,0.00037052+0.00057282i,-0.00053322+0.00058844i,-0.0014226-0.00026214i,-0.0014697-0.00055955i,-0.00066441-0.00024781i
-0.0015008-0.0006298i,-0.0007255+0.00025839i,0.00034208+0.00027053i,0.0011349+0.00020592i,0.001886+0.00092482i,0.0018304+0.001406i,0.00040191+0.00058658i,0.00012278-0.00051228i,0.00045459-0.00046759i,0.00060972-0.00034319i,0.00038766-0.00048765i,-0.00032429-0.00068849i,-0.0002397-0.00080374i,-8.0477e-05-0.00018533i,-0.00010568+2.2736e-05i,0.00054968-0.00051539i,0.00040213-0.00037527i,-0.00023968+0.00023095i,-0.00046382+6.1232e-05i,-0.00080639+0.00022101i,-0.00065235-3.5819e-05i,-0.00085757-0.00079902i,-0.00048427-0.00088962i
0.00054613+0.00053187i,0.00054441+0.00095353i,0.001828+0.0010064i,0.0028137+0.00015368i,0.0023546+2.1422e-05i,0.0010688+0.00044417i,0.00036493+0.0006902i,-0.00032255+0.00054123i,-0.000481+0.00047131i,0.00028558+0.00014346i,0.00077027-0.00020382i,0.00054493-0.00029203i,-2.9179e-05-8.0069e-05i,-0.0003681-0.00038074i,-0.00012487-0.0013899i,0.00019507-0.0010743i,5.0866e-06+0.00018096i,-0.00036076+0.00032628i,6.1404e-05+0.00032327i,0.00063899-0.00014905i,0.00098793-1.8334e-07i,0.0011324+0.00078939i,0.0013959+0.00114i
-0.00033056-0.0012484i,-0.00048497-0.0010902i,-0.00086888-0.0013857i,-0.00062863-0.0011729i,0.0001395+0.00015302i,0.00033853+0.0012305i,0.00076381+0.0008371i,0.0011144-0.00015391i,0.00074351-0.00080263i,-0.00012816-0.00090482i,6.1784e-06-0.00035342i,0.00047828+0.00018107i,-0.00013051+0.00031556i,0.00010641+0.00010416i,0.00052721-4.094e-05i,-0.00064761+6.1206e-05i,-0.00049516-0.00014678i,0.00034987+0.00036772i,-0.00023369+0.00059151i,-0.0006486+0.00033384i,3.4813e-05+0.0002864i,0.00044132+0.00082681i,-5.9811e-05+0.0012484i
0.0012538+0.00057171i,0.00077047-0.00014782i,0.00090872-0.00082207i,0.00087113-0.00036903i,-0.00047649+0.00019082i,-0.00087122+4.5281e-06i,-7.6541e-05+0.00041387i,0.00036131+0.00047603i,0.00063347+1.8308e-05i,-2.5616e-05+0.00018368i,-0.00137+7.9018e-05i,-0.0013555-0.00026474i,-0.00049976+0.00013625i,-8.1926e-06-0.00029292i,-0.0005468-0.00072986i,-0.00076976-0.00037086i,0.00033613-0.00012535i,0.0010305+0.00020474i,0.00094462-0.00045762i,0.0012588-0.00022649i,0.001378+0.00078443i,0.0006384+0.00065769i,-0.00012345+0.00016868i
7.3237e-05+7.4955e-05i,-0.00040923+0.00036385i,-0.00043114+0.0002169i,0.00022255+3.2792e-05i,0.00041933+0.00014974i,1.8526e-05+0.00042926i,0.00067467+0.00086855i,0.0011107+0.00047825i,0.00063067-0.00063671i,9.352e-06-0.0011927i,0.00022143-0.0012062i,0.00028322-0.0010839i,0.00025031-0.0012093i,0.00057432-0.00034435i,0.00026924+0.00034672i,-0.00050553-0.00019305i,-1.1373e-05-0.00058107i,0.0001139-5.3609e-05i,-0.00065273+0.00046424i,-0.00048258+0.00044238i,-0.00037276+8.9634e-05i,-0.00085428-0.00015715i,-0.00043792-0.00051472i
0.00041815-0.00086278i,-0.0011553-0.00037491i,-0.00083524+7.0476e-05i,-3.4109e-05+5.6951e-05i,0.00043262+3.1407e-05i,0.00075792-0.00049716i,0.0008709-0.00080172i,0.001304-0.00039607i,0.0006645-0.00015172i,-0.00018684-0.00026944i,0.00028727-2.5316e-05i,0.00066277+0.00063734i,0.00010412+0.00068233i,-0.00045567+0.00025972i,0.00021933-2.2932e-05i,0.00057388+6.922e-05i,0.00033599+0.00044698i,7.5962e-05+0.00084448i,-0.00026093+0.00078597i,-0.0011465+0.00011279i,-0.0010779-3.8588e-05i,3.2818e-05-0.00015071i,0.00056518-0.00015574i
