-0.0010316-0.00016145i,-0.0010879-0.0013291i,-0.0028369-0.0017181i,-0.0028289-3.6501e-05i,-0.0013755+0.0018943i,-0.00021713+0.0021456i,0.00077048+0.0020477i,0.0010797+0.0013777i,0.0013752+0.00029i,0.0012884-0.00049147i,0.0010037-0.00095505i,0.0008436-0.00057772i,0.00044489+3.9612e-05i,-1.7274e-05+0.0010151i,8.9147e-05+0.00050347i,-1.9389e-05-0.00019814i,-0.00038519+0.00014635i,-0.00032385-0.00027476i,-0.00011054-0.00087379i,-2.1542e-05-0.00071579i,-0.00018164+0.00029127i,-0.00042338+0.00054297i,-0.00048532+0.00029861i
-0.00067705+0.0016291i,0.00029675+0.0028485i,0.0019132+0.0033797i,0.0034997+0.0033554i,0.0037072+0.0025171i,0.0024662+0.00081542i,0.00085634-0.00036171i,-5.3799e-05+0.00025874i,0.00028891+0.00075509i,0.00085112+9.1517e-05i,0.00095778+0.00045522i,0.00031821+0.0002609i,-0.00029483-0.0010001i,-5.2897e-05-0.00063131i,0.00034034-8.0438e-05i,0.00033565-0.00020918i,0.0005134-0.00022328i,0.00047238+0.00030378i,-0.00012069+0.00031105i,-0.00028836+0.00011086i,0.00021925+0.00093058i,0.00014247+0.00091133i,-0.00057679-0.00016552i
-0.00043356-0.0011779i,-0.0005517-0.00075175i,-0.00032087-5.9745e-05i,0.00022792+0.00061216i,0.00046955+0.00058685i,0.00052674-0.00019655i,0.00056801+2.1535e-05i,0.00044168+4.7965e-06i,-0.00012957-0.00065885i,-0.00071518-0.0010383i,-0.00060552-0.00076817i,-0.0004984-0.00051037i,-0.00050253-0.0010642i,3.2899e-05-0.00060924i,0.00079879+0.00068729i,0.0010453+0.0010901i,0.00098574+0.00059883i,0.00063337-7.3316e-05i,0.00061033-0.0003225i,0.00082194-0.00016282i,0.00056866+0.00034223i,0.00050492-4.2563e-05i,0.00062094-0.00039993i
-0.00080781+0.00014134i,-0.0018992-7.8761e-05i,-0.0028172+0.001736i,-0.001213+0.003066i,0.00076788+0.0023797i,0.0011004+0.00084066i,0.0012379+0.00036525i,0.00049432+0.00037704i,-0.00056753-2.4805e-05i,-0.00040683+0.00016317i,0.00058987+0.00020537i,0.00092798-0.0004757i,6.6959e-07-0.00032551i,-0.00057935+0.00040928i,-0.0008062-6.2487e-05i,-0.00075957-0.00049983i,0.00020694+0.00022939i,0.00049735+0.00028056i,-0.00010004-0.00015541i,-0.00034182-0.00024882i,-0.00042901-0.00059358i,5.0631e-05-0.00060122i,0.00049582-9.4018e-05i
-0.00029109+0.0011159i,0.00081355-0.00012445i,0.0016405-0.00022284i,0.0014308-0.0002451i,0.00083967-0.00018857i,0.00092427-0.00029697i,0.00055418-0.00028529i,-0.00049042-0.00023992i,-0.00053696-7.1353e-05i,0.00051407-0.00051629i,0.00085829-0.001116i,0.00050018-0.0018472i,0.00028649-0.0022642i,-0.00073954-0.0014578i,-0.00088053-0.0004665i,-0.00073144-0.00023683i,-0.00049132+4.763e-08i,0.00033982+6.5273e-05i,-0.00054031-0.00033911i,-0.0014413-0.00086632i,-0.00069877-0.00089304i,0.00081265-0.0011963i,0.00085307-0.00096105i
-0.00051265+0.00042449i,-9.3833e-05+0.0010253i,-0.00058598+0.0010288i,-0.0010583+0.001084i,-0.00092526+0.0015009i,3.7505e-05+0.0015794i,0.00079566+0.0013375i,0.00078538+0.0006463i,0.00038311-0.00033412i,0.00033498-0.0002691i,-0.0001637+0.00022607i,-6.1608e-05-5.7328e-05i,-7.4383e-05-0.00014527i,7.0889e-06-0.00023131i,0.00067351-0.00062359i,0.00060086-0.00034896i,-0.00019579+0.00025754i,-0.00043292+0.00073971i,-0.00039556+0.00029222i,-0.00011282+0.00048047i,0.00026357+0.0013677i,0.00053153+0.0010766i,0.00063351+0.00035268i
0.00059243+0.00060745i,0.00069177+0.0009387i,0.00084428+0.00041153i,0.0016291-0.00032914i,0.0021709-0.0010192i,0.0010866-0.0012534i,0.00012362-0.00044294i,0.00071105+0.00013281i,0.0014176-0.00021829i,0.001563-0.0001665i,0.0011697+0.0004421i,0.00059215+0.00045546i,-0.00010747-9.8247e-05i,0.00013751+0.0001726i,0.00031109+0.00060827i,9.7358e-05+0.00018801i,0.00056156+0.00061889i,0.00030208+0.00032777i,0.00025352+7.1872e-05i,0.00047705+0.00064077i,0.00055877-0.00014452i,0.00051732-0.00037054i,0.00038491-6.0334e-05i
0.0017518+0.00029918i,0.00079832-8.917e-05i,0.000914-9.9909e-05i,0.0019483+2.4901e-05i,0.0013627-0.00042615i,0.00044635-0.00032119i,9.5024e-05+0.00095343i,0.00022214+0.00099024i,0.00053948-0.00047191i,3.8144e-05-0.00069856i,-0.00039161-0.00030622i,-0.00061-0.00055962i,-0.00081586-0.00051967i,-0.00058366+0.00035023i,-0.00045983+0.0015869i,-0.00057181+0.0014596i,-0.00027244+0.00060133i,-0.00061604+0.00019988i,-0.00063249+0.00027222i,0.00026527+0.00039232i,0.00043103+0.00026186i,-0.00021725+0.0001102i,-0.00062606-0.00025371i
0.00036089-0.00091161i,-0.00069149-0.0016599i,-0.0017781-0.0017227i,-0.0015421-0.00031108i,-0.00076405+0.00062053i,-0.00039584-0.000457i,-0.00014124-0.00088901i,-0.00065522-0.00052415i,5.3776e-05-0.00042656i,0.00071236-0.00086605i,0.00058228-0.0012787i,0.00027045-0.0010642i,0.0001746-7.4527e-05i,-4.9328e-05+0.0012059i,3.4734e-05+0.0020846i,-0.00027615+0.0018299i,-0.00054926+0.00078988i,-0.00042213+0.00061312i,-0.00012281+0.0010814i,-0.00012029-0.00014766i,-0.0002067-0.0018426i,0.0004236-0.0013663i,0.00059065-2.2315e-05i
0.0014268+0.0026153i,0.001421+0.0011077i,0.0017067+0.00045351i,0.0016796+0.00012798i,0.0015184-0.00061742i,0.00076132-0.00074938i,0.00010896+0.00051904i,1.8533e-06+0.00099344i,0.00011106+2.4922e-05i,0.00012326-0.00041336i,9.6138e-05-0.00066196i,-0.00078887-0.001478i,-0.00024278-0.0011518i,0.00084161-0.00030476i,0.00010833-0.00046712i,-0.00012143-0.00049459i,0.0001142+0.00054827i,4.1947e-05+0.0010982i,-0.00044322+0.00091573i,-0.0011451+0.00083368i,-0.00048714-3.7907e-05i,0.00072287-0.00029i,0.00066926+0.00015448i
0.00058741+0.0013157i,0.0016235+0.0012301i,0.0021273+0.00064443i,0.0013249-0.00040175i,-7.3559e-05-0.00088926i,0.00055772-0.00051686i,0.0013885+0.00012621i,0.00095969+0.0011239i,0.00039687+0.00096446i,-0.00056117+0.00041337i,-0.0007495+0.00017731i,-0.00034221-0.00053816i,0.00037805-0.00017944i,0.00050052+0.00076703i,-7.7527e-05+0.00067385i,-0.00053074+0.000283i,-0.00054177+0.00028419i,-0.00032298+0.00021555i,-0.00048002+0.00075478i,-6.4273e-05+0.00058683i,-0.0001904+6.5233e-05i,-0.00034153+0.00035972i,-0.00033177+0.0003719i
-0.0025999+0.00086112i,-0.0035601+0.0019322i,-0.0042145+0.0022259i,-0.0022828+0.0029694i,0.00076645+0.0033066i,0.0017619+0.0014304i,0.0012959-0.00046633i,0.0012877-0.00031547i,0.0013112+0.00045363i,0.00031142+0.0009561i,-0.00041473+0.00092069i,-0.00023384+0.00096252i,0.00055335+0.00099126i,0.00080054+0.00011759i,-0.0002391+0.00023346i,-0.00092845+0.00076938i,-0.00087775+0.00062854i,-3.6927e-05+0.00054562i,0.00042966-9.0814e-05i,3.2772e-05-0.00037777i,-3.7291e-05+0.00015232i,0.00027849-4.7371e-05i,0.00063916-0.00031934i
0.0015122-2.1442e-05i,0.0022591-0.00056625i,0.0030418-0.0012738i,0.0022711-0.0011482i,0.00088912-0.00034344i,0.00032434+0.00018712i,-0.00016367+0.00073717i,-0.00019272+0.00081791i,0.00092397+0.00031746i,0.0012353-0.00052226i,0.0003614-0.00067172i,-0.00054065-0.00028607i,-0.00048347+0.00030097i,-0.0011383+0.0014397i,-0.0025266+0.00087324i,-0.0022874-0.00010052i,-0.00061815-0.00010608i,8.2723e-05-0.00015096i,0.00047748-0.00049027i,0.0003473-0.00069164i,0.00024909-0.00087873i,0.0004955-0.00030235i,0.00073073+0.00035979i
0.00044175-0.00087034i,-0.00032738-0.0022734i,-0.0013701-0.0030167i,-0.0013534-0.0018072i,-0.00060052+0.00034244i,1.0986e-05+0.0010809i,0.00072363+0.00065641i,0.0012382+7.5243e-05i,0.0015241-0.00062584i,0.00088727-0.001394i,0.00057157-0.00098518i,0.00053675-0.00027898i,0.00038992+0.00033294i,0.00037118+0.0010958i,-0.00013681+0.00092202i,-0.00070904+0.00019775i,-0.0004717+0.00011907i,0.00054942-8.1079e-05i,0.0012187-0.00074801i,0.0010254-0.0010694i,0.00025329-0.0003252i,-0.00031883+6.2971e-06i,-0.00032258-0.00048425i
-0.00044448-0.0017282i,0.00056526-0.0017407i,0.0012205-0.00024907i,0.0015317+0.00094431i,0.00074082+0.0012204i,-0.00025327+0.001608i,-0.00034095+0.0013065i,-0.00091752+0.00014748i,-0.0011202-0.0011968i,-0.00056008-0.00073941i,-0.00022068-3.3098e-05i,-0.00016787-0.00066767i,0.00052348-0.0010319i,0.0014105-7.2946e-05i,0.0022962+0.00053818i,0.0011946+0.00018264i,-0.0003723-0.00053396i,-0.00044358-0.00078603i,-0.000297-0.0011955i,-5.898e-05-0.00073688i,0.00023431+0.00041818i,0.00022026+0.00073199i,0.00042808+0.00062968i
0.0016683+0.0020218i,0.0012505+0.0013383i,0.0015036-0.00036145i,0.0015199-0.0016425i,0.0011515-0.00070873i,0.00039927+0.00024988i,0.00066516+0.00083525i,0.00081928+0.00077844i,0.00014379-0.00026206i,0.00012036-0.00062572i,-0.0002727+0.0002942i,-0.00073113+0.0010276i,-0.00061104+0.00023328i,-0.00020664-0.00077097i,0.00053853-0.00027358i,0.00029124-5.8955e-05i,-7.7295e-05-0.00015378i,-0.00027883+0.00038494i,-0.00097004+0.00052605i,-0.00054177+0.00046069i,0.00025464+0.0003898i,0.00029987+0.00046557i,0.0004376+0.00080351i
-0.0011445+0.00041244i,-0.00052036+0.0017158i,-0.00018124+0.0024698i,0.00066526+0.0022697i,0.0014455+0.00090179i,0.0018958+0.00025321i,0.001179+0.00011385i,0.0003469+0.00027839i,0.00028004+0.00078954i,0.00076678+0.00027383i,0.0006496-0.00054386i,0.00050571-0.00014695i,-3.0388e-05+0.00037735i,-0.00045822+0.0001052i,0.00022006+0.00037324i,0.0005314+0.000481i,0.00080049+0.0004199i,0.00016923+0.0005706i,0.00010454+0.00058964i,0.00040731+0.00061243i,-0.00072345+0.00020815i,-0.00094182-0.00044389i,3.5194e-05-2.217e-06i
-0.00082385-0.0021313i,-0.0024906-0.0037218i,-0.0029619-0.0040592i,-0.0021678-0.0015556i,-0.0019388+0.0013155i,-0.0014773+0.001481i,-0.0010521+0.00014998i,0.00041634-0.00021058i,0.0011774-0.00020015i,0.00058113-0.00012i,0.00027383+9.443e-05i,7.3213e-05+0.00038042i,4.2539e-05+0.0012902i,-0.00018667+0.001859i,0.00012143+0.0013899i,0.00086037+0.00064966i,0.00043598+0.00025441i,-0.00091774-0.00018248i,-0.0011891-0.00042005i,-0.00078425-0.00018143i,-0.00094007-0.00021327i,-0.00094323-0.00032965i,-6.0691e-05+6.3018e-05i
-0.0033074-0.0017903i,-0.0038411-0.0018872i,-0.0032639-0.00047067i,-0.001621+0.0012177i,0.0002341+0.0024224i,0.0010773+0.0027923i,0.0013544+0.0018961i,0.001634+0.00046408i,0.0017647+0.0001658i,0.0013937+0.00072749i,0.0012843+0.0003165i,0.0011344-0.00074863i,0.0011651-0.0007197i,0.0016407-0.00023195i,0.0014587+0.00055706i,0.00046869+0.00040515i,-0.00043666-4.2886e-05i,-0.00093796-0.00024423i,-0.0004688-0.00092477i,-6.7547e-05-0.00087694i,0.00027603+4.5484e-05i,0.00044819+2.2809e-05i,0.00043226-0.00064762i
-0.00040721+0.001026i,0.00072759+0.0013971i,0.0014804+0.0029435i,0.001869+0.0031224i,0.0023286+0.0019409i,0.0024007+0.00069359i,0.0015952+0.00043526i,0.00058136+0.00055003i,0.00067705-0.00071183i,0.0010123-0.0016943i,0.0010596-0.0013017i,0.00022407-0.00040096i,-0.00057709+3.226e-05i,-0.00041196-0.00025133i,0.00025222-0.0013602i,0.0008021-0.0015116i,0.0004155-0.00032887i,3.1175e-06+0.00017513i,-0.00021304-0.0001764i,-0.00049254+4.1392e-05i,0.00030126+0.0004929i,0.00010534+0.00045591i,-0.00041388+0.00018976i
0.0016061+7.9404e-05i,0.0022525+0.00011583i,0.0011103-0.00087457i,5.1945e-05-0.0011406i,0.00037939+0.0001604i,0.00057271+0.00041063i,7.6575e-05+0.00042292i,0.00010464+0.00068202i,0.00024344+0.00060662i,-0.00057623-0.00058239i,-0.0011055-0.0015697i,-0.0011405-0.0011184i,-0.0013067-0.00030406i,-0.0013875+0.0002722i,-0.00064541+0.00066367i,0.00017983+0.00043712i,-2.8924e-05+0.00056316i,-0.00041678+0.00095214i,-0.00091789+0.00037944i,-0.00055223-0.00065439i,-0.00016026-0.00042678i,-0.00023055-0.00089879i,-9.9637e-06-0.0011294i
-0.0014414+0.0011352i,-0.0012141+0.0014447i,-0.0005777+0.0027619i,0.0008821+0.002439i,0.0025526+0.00049481i,0.0019571-0.00012017i,0.00027008+1.8293e-06i,0.00020386+5.7523e-05i,0.00029987+0.00012657i,-0.00060317+0.00031301i,-0.00045638+0.00016136i,0.00043104-0.00044728i,0.00065357-0.0013836i,7.4414e-05-0.0013545i,-0.00022861-0.00072994i,-0.00044794-0.0005382i,-0.00017836-0.00051824i,0.00049223-0.00035371i,0.00027048-0.00025855i,-0.000252-3.5741e-05i,-0.00043437-0.00070717i,-0.00076205-0.0013844i,-0.00071056-0.0010071i
-0.00041825-0.00085698i,1.9191e-05-0.00025905i,0.00043098+1.4126e-05i,0.0002669+9.2245e-05i,-5.4459e-05+0.00034868i,-0.00069617+0.00017268i,-0.00074693+0.00046864i,0.00022732+0.0014363i,0.0011414+0.0017226i,0.001285+0.0015585i,0.0011882+0.00022298i,0.00066048-0.00080854i,2.8491e-07-0.00048828i,0.0006285+0.00014574i,0.00077342+0.00089213i,-0.00022481+0.0009357i,-0.00074354+0.00064148i,-0.0002168+0.0004831i,2.0372e-05+0.00047053i,-0.00073917+0.00071303i,-0.00095434+0.00074386i,-0.00052468+0.00041516i,-0.00034059+0.00023354i
0.00017926-0.0003265i,-0.00020086-0.00041244i,-0.0018047-0.00045648i,-0.0015978+0.00035827i,-0.00014877+0.0013663i,-0.00019327+0.0020966i,0.00017609+0.0017326i,0.0012393+0.00078574i,0.0019597+0.0003441i,0.0022873+0.00019967i,0.0012386-8.1787e-05i,0.00047365-0.00074847i,0.00025-0.00036081i,0.00042223+0.00093515i,0.00057489+0.0018162i,0.00012665+0.0018734i,0.00018026+0.00088709i,0.00065822-0.00038714i,0.00082539-0.00034691i,0.00053099-2.903e-05i,0.00021823-0.0002909i,-0.00070213+0.00032348i,-0.00088221+0.00065821i
-0.0016034-0.00028048i,-0.0012478+0.00069852i,0.0005519+0.0015168i,0.0019408+0.0018321i,0.0014228+0.0020915i,0.0011293+0.002185i,0.0013398+0.0015561i,0.0013137-0.00054788i,0.0011464-0.0013435i,0.00087648-0.000566i,0.00089572-3.7383e-05i,0.0010425-1.4056e-06i,0.00034237-0.00035284i,0.00022554-2.6456e-05i,0.00046354+0.00087228i,0.00032095+0.00044695i,-0.0001295-0.00033609i,-0.00074196+0.00010769i,-0.00037567+0.00066503i,0.0007034+0.00060564i,0.00080044+0.00067702i,0.00035286+0.00065307i,0.00092706+5.0564e-05i
0.0019891-0.0021069i,7.3021e-05-0.003376i,-0.0019307-0.004388i,-0.0026876-0.0036752i,-0.0020993-0.00098188i,-0.00055651+0.0010423i,0.00040395+0.00088869i,0.00034454-0.00039748i,-0.00043146-0.00089403i,-0.0014561-0.00105i,-0.001259-0.0013246i,-0.00045435-0.00060408i,-0.00028597+0.00035998i,-0.0012582+0.00080347i,-0.0017084+0.0010984i,-0.00057112+0.0010137i,0.0001743+0.00053746i,-0.00010139+7.5981e-05i,-0.00020173-0.00051946i,-7.3426e-05-0.00052233i,-0.00033269-0.00041424i,-8.0495e-05-0.00021266i,-0.00021658+0.00059563i
0.00029201-0.00043362i,-0.00030868-0.00022609i,0.00016079+0.0005707i,0.00077232+0.0016944i,0.00024038+0.0024325i,-0.00041999+0.0018825i,-0.00035255+0.0018622i,-0.00039594+0.0020047i,-0.00089489+0.00099653i,-0.0014377-3.5818e-05i,-0.00073914+1.6632e-05i,-0.00025059+1.6233e-05i,-0.00083069+0.000236i,-0.00087343+0.0010692i,-0.00056665+0.00095471i,-0.00052323+0.000546i,-0.00098276+0.00043755i,-0.001112+0.00087405i,-0.00078108+0.00091226i,-0.00031388+0.00051708i,0.00016951+0.00018599i,-0.00027898+0.00011197i,-0.00037469+0.00018171i
0.00030859-0.0020618i,-0.00012908-0.0020648i,-0.0011261-0.0022625i,-0.001308-0.0015323i,2.5193e-05-0.00050115i,0.00088908+0.00045058i,0.0004991+0.0013401i,0.00056482+0.0019436i,0.0014043+0.0019767i,0.0012443+0.0017977i,0.00053526+0.0020005i,0.00025157+0.001428i,-0.00062807+0.00089811i,-0.00046344+0.00021734i,-2.7811e-05-9.6533e-05i,-0.00047853-0.00027036i,0.00037796-9.4573e-05i,0.0010363+0.00053003i,0.00031437+0.00072632i,0.00029896+0.00066011i,0.0002902+0.00071749i,-0.00073876+0.00020886i,-0.0013814-1.9785e-05i
-0.00011345-0.0014086i,-0.00047729-0.0011929i,-0.0011985+0.00034689i,-0.0010212+0.0013403i,0.00044844+0.0011518i,0.00077535+0.00031569i,0.00056734+0.00014641i,0.0014723+7.5109e-05i,0.002952+0.00031722i,0.0032411+0.0002554i,0.0026608-0.00012819i,0.0021008-0.00050986i,0.0010184-0.00029762i,0.0005439-0.00031263i,0.0014213-0.00069365i,0.0011176-0.00059399i,2.464e-05-8.9739e-05i,-4.183e-06+7.2414e-05i,4.3481e-05-0.00030061i,5.2232e-05-0.00052553i,-0.00031496+0.00032875i,-0.0003643+0.00099299i,-0.00023625+0.00033173i
0.00082981+0.00109i,0.0010842-7.4197e-05i,0.0020236-0.00018067i,0.0021754-0.00040597i,0.0013235-0.0005341i,0.00034792-0.0002548i,0.00013192+0.00048883i,0.0006286+0.00097756i,0.001734-0.00043752i,0.0017387-0.001849i,0.00071387-0.0023516i,0.00011145-0.0016747i,-3.4186e-06-0.00042169i,-0.00052514+0.0006253i,-0.0010556+0.00067004i,-0.00059339+0.0003181i,-0.00052189+0.00011724i,-0.0013555+1.2376e-05i,-0.0015151+0.00028428i,-0.00089234+0.0003378i,8.903e-05-0.00021096i,5.3578e-05+0.00018679i,-7.9953e-06+0.00099322i
-0.0013694-0.00020665i,-0.0015081+0.00085284i,-0.0015176+0.0018088i,-0.00074463+0.0020863i,0.00020596+0.001999i,0.00061553+0.001286i,0.00074141+0.00037822i,0.00048859-0.00026192i,0.00038823-0.00041932i,-0.00017548-0.00059216i,-0.0006445+0.0001502i,-0.0001394+0.00059721i,0.00013386-0.00071546i,-8.8763e-05-0.00046382i,-1.3998e-05+0.00098176i,0.00031083+0.00067388i,0.00023001+0.00045294i,-0.00036642+0.00059582i,-0.00043423-0.00047021i,-0.00056081-0.0013147i,-0.00049835-0.0008155i,0.00036074-5.1423e-05i,0.00038138+0.0002884i
-0.00034121-0.0011788i,-0.0012196-0.0013039i,-0.00088517+3.8699e-05i,0.00010134+0.00044333i,0.0003635+2.3756e-05i,0.00030381+4.4322e-05i,0.00024648+0.00026221i,0.00020512-7.521e-06i,-7.0924e-05-0.00013393i,-0.0008743+0.00073179i,-0.0013963+0.001237i,-0.00080843+0.0014629i,-7.9316e-05+0.00089142i,0.00049431+0.00042987i,0.00043462+0.00035084i,-2.0555e-05+0.00034629i,-0.00021862+0.000551i,-0.00042931+9.7317e-05i,-0.00018035+0.00040732i,-0.00022774+0.00067077i,-0.00016964+0.00036117i,6.5655e-05+0.0004357i,8.7901e-05+0.00022608i
0.00072748-0.00091639i,-0.00026115-0.00022876i,-0.0015106-0.00041691i,-0.00071303-0.00039332i,0.00024773+0.00055161i,5.084e-05+0.00033731i,0.00042556+0.00037969i,0.0011223+0.0011952i,0.00093842+0.0019716i,0.0003023+0.0025942i,0.0010941+0.0024718i,0.0019914+0.0014083i,0.00082306+0.00040688i,-8.6049e-05+0.00038788i,-5.3336e-05+0.0008384i,-0.00016347+0.00024116i,-0.00041271+0.00030444i,-0.00077636+0.00080224i,-0.00045822+0.00024512i,0.0003107-0.00027131i,0.00029497-3.3433e-05i,-0.00015092-6.0292e-05i,0.00045723-0.00010806i
0.00017289-0.0015761i,0.00080395-0.0017045i,0.00138-0.00078952i,0.00032824+0.00087078i,-0.00051812+0.0016983i,-0.00011514+0.0013207i,0.00070247+0.0012793i,0.0013501+0.0015285i,0.0019478+0.00155i,0.0014605+0.00075921i,0.0012403-0.00036221i,0.0013631-0.00016954i,0.00062534-9.0512e-05i,9.2696e-05-0.00051736i,-0.00054505-0.00019638i,-0.00052674+6.0264e-05i,8.5115e-05-6.8933e-05i,0.00056005-0.00033761i,0.000676-0.00091416i,6.5052e-06-0.00022546i,-0.00047578+0.00043504i,0.00022976+6.7792e-05i,0.00065912+0.00017376i
-0.0011227+0.0012375i,-0.0011192+0.0025424i,-0.00014573+0.002302i,0.00073056+0.00095698i,0.00076333-0.00018447i,0.00070793-0.00048251i,0.00050545+0.00019653i,0.0008805+0.00072655i,0.0014397+0.00090136i,0.0014473+0.0001989i,0.0012648-0.00048963i,0.00071008-0.0011816i,0.00024166-0.001296i,1.4402e-05-0.0011469i,-0.00042817-0.0011275i,-0.00021098-0.00058557i,-6.3147e-05-0.00034036i,-0.0004293-0.000561i,-0.00032396-0.00042877i,-0.000907+0.00012214i,-0.00058918+0.00064486i,0.00046411+0.00085707i,0.00073818+0.00055596i
-0.0013221-0.00040749i,-0.0019837+0.00073139i,-0.0017493+0.0015968i,-0.00021759+0.0018666i,0.0014941+0.0020623i,0.0018523+0.0016924i,0.0011154+0.00068939i,0.00031431+0.00036184i,-0.00061142-0.00043198i,-0.00062811-0.00093226i,0.00036711-0.0012227i,0.00045012-0.0013183i,-8.3859e-05-0.0012454i,0.00018486-0.00096719i,0.00053799-0.00063096i,0.00036984-0.00068429i,0.00012265-0.00071734i,-0.00020965-0.00014859i,-0.00036801+0.00013814i,-8.9063e-05+0.00023494i,0.00030024+0.0010818i,-0.00020138+0.0010722i,-0.00052851+0.00031094i
-0.0019031-0.0012256i,-0.001311-0.0014517i,-0.00081832-0.00038301i,-0.0015728+0.00068112i,-0.00095408+0.0014617i,0.00069636+0.0015335i,0.0011165+0.00021252i,0.00068737-0.00034901i,-0.0005455-1.6812e-05i,-0.0012315+0.00070723i,-0.00079498+0.0010276i,-0.00047794+0.0004714i,5.3138e-05-0.00023056i,0.00019866-0.00074553i,0.00012054-0.0010736i,0.00063376-0.00082438i,0.00025113-8.548e-05i,-0.0011094+0.00054439i,-0.0014493+4.0341e-05i,-0.00073199-0.00041097i,0.00011479+0.0001332i,0.00064281+7.5972e-05i,0.00010954-9.0313e-05i
-0.00059366+0.00063939i,-0.00050902+0.00031618i,0.00032061+0.0011423i,0.0017145+0.0020089i,0.0014939+0.0019147i,0.00045705+0.0013376i,2.9705e-05+0.00086585i,0.00083462+0.0004686i,0.00081371+0.00093625i,0.00099769+0.0013598i,0.0014546+0.0011601i,0.00095336+0.00054143i,0.00064993+0.00026394i,0.00051324+0.0011506i,-0.00016059+0.0004664i,-0.0003851-0.00019038i,-0.00038178+0.00011379i,-0.00026606-0.00022931i,4.4748e-05-0.00053105i,6.3121e-05-4.4875e-06i,-0.0002716+0.00055747i,-0.00075509+0.00036234i,-0.00082651-0.000207i
1.7819e-05-0.00071531i,-0.0013567-9.8081e-06i,-0.0017845+0.00075328i,0.00040195+0.0013582i,0.002058+0.0015801i,0.0019934+0.0014259i,0.0014446+0.0011974i,0.0015595+0.0013079i,0.0015461+0.0010912i,0.0015014+0.00036554i,0.0018522+0.00016251i,0.0015644-0.00046324i,0.00036917-0.00047873i,-0.00059671+0.00037779i,-0.00078964+0.0012598i,-0.00012323+0.0011107i,0.00036384+0.00081363i,0.00050686+0.00058127i,0.00045556-2.878e-05i,9.2339e-05-0.00022775i,-0.0004895-0.00042604i,-0.00066459-0.00064105i,-0.00024023-0.00076936i
-0.0018154+0.0012176i,-0.0017565+0.00058406i,-0.0018089+0.0008424i,-0.0015566+0.0018062i,-0.00091793+0.0011709i,-0.00064376+5.3026e-05i,-0.00054885+0.00012047i,0.00049981+0.00051495i,0.0012815+0.00024839i,0.0010787+0.00017572i,0.00067772-0.00020075i,0.00019443-0.0005583i,-0.00013786-0.00020482i,-0.00061517+0.00014788i,-0.00098786+0.0001081i,-0.00076067-0.00015341i,-0.00057056-2.1755e-05i,-0.00049978+8.4752e-05i,-0.00047703-5.9321e-05i,-0.00073508-5.9684e-05i,-0.00070238-0.00019805i,-0.00010427-0.00013855i,0.00039113-2.9438e-05i
-0.0015688-0.00010646i,-0.0004329-5.4883e-05i,0.0010996-0.00057944i,0.0022958+0.00043269i,0.0022084+0.0012631i,0.001714+0.0008179i,0.0016517+0.0009315i,0.0012369+0.00072371i,0.00090218-0.00052664i,0.00055959-0.0015506i,-0.00013678-0.00082158i,-0.0010191+3.854e-05i,-0.0017273-0.00047331i,-0.0022078-0.0005559i,-0.0017775+0.00033691i,1.0578e-05+0.00030761i,0.00077657+0.00033884i,1.4997e-05+7.2624e-05i,-0.00062168-0.00080201i,0.00070244-0.00052752i,0.00082951+0.00092136i,-0.00014646+0.0012108i,-0.00027461+0.00015104i
-0.001133-0.00063396i,-0.0014888-0.00010672i,-0.0014046-0.00035061i,-0.00068443-0.000361i,-0.00026019-0.00013693i,-9.8773e-07+0.00066801i,0.00010459+0.0008376i,-0.0002268+0.00013848i,-0.000376-0.00015252i,-0.00085559-0.00024324i,-0.0012961+0.00055701i,-0.0014692+0.001109i,-0.00092508+0.00053521i,-0.00023442+0.0002812i,0.00032101+0.00076664i,-5.9514e-06+0.00085594i,0.00015339+0.00015533i,0.00094191-0.00052644i,0.00099203-0.0010692i,0.00065144-0.00082994i,-0.00010271-0.00041914i,-0.00036892-0.00055787i,-0.00015079-0.0005784i
0.0022703-0.0015022i,0.0018186-0.0024705i,0.00092693-0.0024067i,-8.105e-05-0.0013811i,-0.00014457+9.5536e-05i,0.00018134+0.00097144i,4.0224e-05+0.0010589i,-2.2449e-05+0.0010152i,1.4094e-05+0.00064059i,-3.3637e-06+0.00097159i,9.4665e-05+0.0014082i,0.00044323+0.00042718i,0.00061139-0.00038868i,0.00025788+7.5618e-05i,-0.00041544+0.00054781i,-0.00097756+0.000836i,-0.00077803+0.00096521i,-0.00013845+0.00092148i,4.1818e-06+0.00016537i,0.00050259-0.0001631i,0.00062352+3.563e-05i,-0.00052774-0.00023939i,-0.0014168+0.00011459i
-0.0001029-0.00080399i,-0.00076665-0.00039569i,-0.0014634-0.00081936i,-0.0012712-0.00028679i,3.8893e-05+0.00078244i,0.0010192+0.0013077i,0.0012326+0.0011632i,0.001176+0.0010606i,0.0012871+0.0001168i,0.0009862-0.00041795i,0.0010362-0.00082096i,0.00086581-0.0014606i,0.00078444-0.0010273i,0.0016503-0.00016194i,0.0010273+0.00087514i,0.00020782+0.0013117i,0.00055567+0.0012355i,0.00042126+0.00041501i,0.00021014-5.8533e-05i,0.00024219+0.00042541i,-0.00018556+0.00056704i,-0.00073738+0.00018016i,-0.00070967-0.00040625i
