-0.0029471+0.002019i,-0.00094887+0.0028323i,-0.00018174+0.0028875i,-8.2551e-05+0.0016702i,-0.00059151+0.0012807i,-0.00069471+0.00023433i,-0.00011046-0.00059181i,0.00073444-5.8522e-05i,0.00094273+2.5317e-05i,0.0006804-0.00059849i,0.0012399-0.00040375i,0.00094517-0.0004035i,0.000119-0.00067946i,-1.7354e-05-0.00077049i,-0.0002127-0.00057483i,-0.00073641+7.1075e-05i,-0.00098397+0.00015901i,-0.00067411-0.00035701i,-0.00057194-0.00075798i,-0.00065169-0.00065794i,-0.00054002+0.00057909i,-0.00090309+0.00061071i,-0.00036186-0.00035206i
0.00056816+0.0021892i,9.367e-05+0.0022177i,0.00059643+0.0016029i,-0.00042453+0.00063931i,-0.0025681-0.00039046i,-0.0030831-0.00018007i,-0.0024006+0.00033232i,-0.001157-0.00044491i,0.00050502-0.00093064i,0.00073077-0.00076228i,-0.00010032-0.00050063i,-0.0012581-0.00042307i,-0.00069339+0.00055743i,-0.00039249+0.0014461i,-0.0010472+0.00048717i,-0.00066348-0.00027359i,-3.0202e-05+0.00023469i,0.00046207+0.00029139i,0.00094152+0.00025512i,0.00072045+0.00052247i,6.0597e-06+0.00045445i,-0.00040725-1.5037e-05i,-0.00047622-0.00039795i
-0.00099597-0.00023922i,-0.002038-0.0013818i,-0.0012872-0.0018489i,-0.00074427-0.001702i,-0.00046855-0.00081635i,-0.00042467+0.00014102i,-7.0135e-05+0.00040222i,0.00072802+0.00010302i,0.00061013-0.00060149i,0.0005052-0.00093975i,0.00061519+0.00026858i,6.863e-05+0.0010229i,-0.0001388+0.0011547i,3.2842e-05+0.0012621i,-2.7952e-06+0.001098i,-3.1292e-05+0.0010316i,8.3688e-05+0.00033122i,0.00030505+6.3235e-06i,0.00022579+0.00029837i,-0.00064601-0.00017198i,-0.0005632-0.00012669i,0.00043896+0.00050816i,0.00067235+4.2787e-05i
0.0014707-0.0013801i,0.0022643-0.0019266i,0.0015206-0.0022732i,-7.1202e-05-0.001957i,-0.0011042-0.0011692i,-0.0017573-0.00057058i,-0.0018104+0.00050566i,-0.0008428+0.0010442i,0.00021679+0.00029192i,0.0003646-7.8628e-05i,0.00053565+0.00010413i,0.00022632+0.00062433i,-0.00016827+0.0010977i,0.00017575+0.001334i,0.00082625+0.0014522i,0.00096807+0.00063393i,0.00034705+0.00036579i,0.00059129+0.00078795i,9.7141e-05+0.00048444i,-0.00096264+0.00022912i,-0.00020009+0.00085854i,-0.00013361+0.0015616i,-0.0003619+0.0010781i
0.0016443+0.00021985i,0.0022139-0.00066993i,0.0014729-0.00014385i,5.7625e-05+0.00071569i,-0.0010006+0.00023639i,-0.0014579-8.322e-05i,-0.0012736+0.00030018i,-0.00046444+0.00026147i,-0.0004211+0.00024235i,-0.00053309-9.4346e-05i,-0.0002012-0.00011192i,-0.00018771-0.00012425i,-0.0007071-0.00050557i,-0.0007724-0.00035535i,-0.0005477+0.00023856i,-0.00062555+0.00083652i,-0.00010048+0.0011652i,0.00051307+0.00095474i,0.00058659+0.00094376i,0.00023844+0.00096437i,-1.5713e-05+0.00072623i,0.00045074+0.00065384i,0.00034019+0.00046488i
0.00098009+0.0016981i,0.0015616+0.0012218i,0.0015955+0.0013664i,0.00087188+0.0010676i,0.00016964+0.00026965i,-0.00031265-0.00010082i,-0.00027432-5.0169e-05i,-0.00090034-7.2381e-05i,-0.00073189-0.00034181i,0.00030855-0.00093867i,2.4829e-05-0.00085812i,-0.00012527+0.00021027i,0.00024688+0.00024784i,-6.2353e-05+0.00045854i,-0.00028859+0.0012826i,-0.0005044+0.0014524i,-0.00016924+0.0016508i,0.00061145+0.00097966i,0.00011808+0.0004889i,-0.00083904+0.00067842i,-0.00063895+0.0004619i,0.00078772+0.00030166i,0.00053665-7.8405e-05i
-0.002229+0.0017542i,-0.0017693+0.0017391i,-0.00074177+0.0020269i,0.00016379+0.00094887i,0.00079972-0.00086852i,0.00022758-0.0016052i,-0.0012167-0.0016892i,-0.001489-0.00072597i,-0.00079763+0.00021727i,4.055e-05+0.00028846i,0.00084696+0.00052675i,0.00053575+0.00056346i,-0.00019108+0.0001546i,-0.00010809-0.00059953i,8.2802e-06-0.00063918i,-0.00014713-0.00010475i,9.1173e-05+0.00023882i,0.00020506+0.00063739i,0.00029499+0.00081712i,0.00044148-0.00010801i,0.00062436-0.00016992i,-0.00022269+0.0002095i,-0.00035654-0.00024753i
-0.0025456+0.00064958i,-0.0019754+0.0019631i,-0.00071071+0.0035263i,0.00063192+0.0032114i,0.0008763+0.0013881i,0.00026597-0.00066001i,-9.4115e-05-0.0011071i,-7.3901e-05-0.00066426i,0.00035211-0.00050131i,0.00087961-0.00030819i,0.0010294-0.0011531i,0.00079393-0.00085733i,-1.6916e-05+0.00033736i,0.00026537+6.1101e-05i,0.00049949-0.00039251i,-0.00041342-0.00077843i,-0.00039182+9.0696e-05i,-0.00012446+0.00077103i,-0.00056941+0.00022788i,-0.0010984-4.5597e-05i,-0.00031421+0.00013939i,0.00025658-0.00026445i,-9.7991e-06-0.00055871i
0.00012712-0.0019131i,-0.00098393-0.0020463i,-0.0012988-0.0015552i,-0.00094364-2.876e-05i,-0.0011309+0.0013868i,-0.0016101+0.001084i,-0.00093611+0.00037026i,-0.0004033-3.0683e-05i,0.0001506-0.00064203i,0.00075594-0.00083401i,-5.6377e-05-0.00028859i,-0.00039206+9.8024e-05i,0.00066134+0.00034052i,0.00023548+0.0012202i,-0.00078499+0.0015765i,-0.00015315+0.00074681i,-0.00015913+8.1264e-05i,-0.00054001+0.00026301i,-0.00014712+7.584e-05i,0.0003265-0.00075544i,0.0002107-0.00025229i,-0.00045901+0.00016234i,-0.00084754-0.00027808i
0.00016258-0.00038069i,0.00028604-0.0019185i,0.00049836-0.0017725i,-7.6853e-05-0.00047122i,-0.0012555-0.00054765i,-0.0015036-1.22e-05i,-0.0014476-6.6945e-05i,-0.0009436+0.0002513i,-0.00079008+0.00078887i,-0.00033955-0.00019701i,0.00032901-0.00038778i,4.783e-05-0.00025484i,0.00033149-0.0003609i,0.00064372-8.334e-05i,1.3269e-06+0.00069688i,-0.00027362+0.00095622i,-0.000383+0.00025447i,-0.00021382-0.00040784i,0.00014831+0.00026129i,-0.00031744+0.00056229i,-0.00046275-0.00030393i,-0.00028515-0.00068959i,-0.00017592-0.0005256i
0.0001573+0.0011567i,0.0013552+0.0017257i,0.0019822+0.0016825i,0.0021313+0.0011274i,0.0018864+0.00066252i,0.00060621+0.0007992i,-0.00033789+0.00031547i,-0.0005802-0.00090994i,5.431e-05-0.0010191i,0.0003262-0.00083017i,-0.00020416-0.00087291i,-8.6487e-05-0.0010426i,0.00045478-0.0011386i,5.6103e-05-0.0014088i,-0.00083647-0.0012599i,-0.00098836-0.0012164i,-0.00026756-0.0013096i,0.00025381-0.001145i,0.0008552-0.00052087i,0.00098222+0.00055454i,0.00066689+0.00086647i,0.00038879-0.00015848i,0.00030472-0.00097022i
-5.6457e-05-0.0002675i,0.00023358+0.0022165i,-0.00071728+0.0030321i,-0.00066072+0.0026533i,-0.00036254+0.0019088i,0.0002794+0.00011399i,0.00074037-0.00076401i,0.00042588-0.00034787i,0.00034687+9.9141e-05i,0.00033557+0.00059268i,0.00048764+0.00054708i,0.00080362-0.00014157i,0.0009521-0.00033147i,0.00097112-0.00038221i,0.00098882-0.00088886i,0.0010555-0.00085302i,0.00059048+1.6089e-05i,0.00054731+2.5476e-05i,0.001171-0.00046842i,0.00051873-0.0005943i,-0.00073633-0.00043371i,-0.0010713-8.2988e-05i,-0.00064058+0.00073783i
-0.00051244+3.1272e-05i,-0.0011313+0.0012233i,-0.0018436+0.0019813i,-0.0018184+0.0018625i,-0.001339+0.00081671i,-0.0011119-8.4142e-05i,-0.0010259-4.7068e-05i,-0.00060856+0.00027148i,0.000273+0.00070909i,0.00026733+0.0011361i,-0.00053341+0.00032131i,-0.00010413-0.00041326i,0.00080462-0.00041957i,0.00093058-0.00020459i,0.00090384+0.00027335i,0.00098615-0.00046512i,0.00012996-0.00093078i,-0.0013277-0.00014147i,-0.0018634+0.00031867i,-0.0010621+0.00074455i,0.00025971+0.0010831i,0.00012987+0.00081216i,-0.00040618+0.00059026i
-0.00031384+0.00032367i,-0.00079228+0.00027413i,-0.00099355+0.00078318i,-0.00046417+0.00064771i,-0.00033598+0.00017046i,-0.00045594-0.00029031i,-0.00024198-0.00052438i,0.00014234-0.0007942i,0.0005293-0.00048725i,0.00073697-0.00028079i,0.00062862-0.00040306i,0.00020401-0.00026224i,-5.7971e-05-0.0002516i,-3.7671e-05+0.00024572i,0.00011427+0.00072299i,-0.00018751+0.00049642i,-0.00036391+2.5515e-06i,-0.00025362-0.00019441i,-6.8586e-05-0.00055424i,-3.4349e-05-0.00074748i,0.0003814-0.00062703i,0.00016357-0.00046307i,-9.3047e-05-0.0001293i
-0.0011772-0.00193i,-0.000584-0.001133i,0.00015595-0.0015602i,7.7376e-05-0.00098057i,8.0612e-05+0.00021267i,0.00019187+7.9557e-05i,0.00029585-0.00087023i,0.00037364-0.00087243i,0.0001888+0.00024265i,-0.00031833+0.00016871i,-0.0002938-0.00043323i,-0.00034101-2.0687e-05i,-2.4486e-05+7.0567e-05i,0.00039868+0.00039521i,6.7249e-05+0.00078769i,5.4753e-05+0.00084449i,0.00074676+0.00039821i,0.00056027-0.00020629i,0.00057711-0.00096296i,0.00079393-0.0008319i,-0.00019856+0.00019993i,-0.001307+0.00079223i,-0.001458+0.00033053i
3.9328e-05+0.00060972i,-0.0005444-6.9005e-05i,-0.00049149-0.00025728i,-0.00039421+0.00080349i,-0.00070058+0.0012603i,-0.001445+0.00074111i,-0.0012502-0.00034678i,-5.2784e-05-0.00063036i,0.00061748-0.00094429i,0.00056478-0.0011946i,0.00042689-0.00057915i,-0.00023157-0.00052537i,-0.00084496-0.0010772i,-0.00075919-0.00070701i,7.9648e-05-0.00096684i,0.00066763-0.00065572i,0.00025389+0.0007004i,-0.00012803+0.0010236i,0.00019498+0.00046935i,0.00055861+0.00022436i,0.00042867+0.00033021i,0.00020178-8.5519e-05i,-9.7581e-05+1.4971e-05i
0.0028914-0.00033395i,0.0034534-0.0012497i,0.0034725-0.001612i,0.0017317-0.002211i,-0.00044798-0.0019039i,-0.00082564-0.00084666i,-0.00025647-0.00078945i,-0.00031034-0.00038688i,-0.00012498+0.0001695i,0.0006611-0.00017281i,0.00096997-0.00049831i,0.00051272-0.00031279i,-0.00056448-6.8879e-05i,-0.0010924+0.00036681i,-0.00080441+0.00089437i,-0.00022813+0.00026288i,-4.0541e-05-0.00018879i,-1.0856e-05+8.9911e-07i,7.0775e-05-0.00050591i,0.00059178-8.9844e-05i,0.00042392+7.1172e-05i,-2.8426e-05-0.00084038i,-0.000185-0.00082522i
-0.00074786-0.00023074i,0.00044566+0.00048462i,0.00098741+0.001497i,5.8311e-05+0.0015376i,-0.00073605+0.00078313i,-9.0358e-05-0.00059645i,-0.00011847-0.00083664i,-0.00099269+4.6236e-05i,-0.00065783+7.383e-05i,-0.00032692-0.00036041i,-0.00015737-0.00041802i,0.00042284-7.5375e-05i,0.00058024+0.00054019i,0.00042024+0.00044959i,0.00042093+1.1957e-06i,0.00054092+0.00021967i,0.00085433+0.0002682i,7.6674e-05+7.0132e-05i,-0.00072223-0.00012154i,0.00028062+0.00018159i,0.00030341+0.0001963i,-0.00038346-0.00064482i,-0.00011194-0.00050886i
-0.0018658+0.00051499i,-0.0020555+0.0011842i,-0.001307+0.0010524i,-0.00050545+0.0013877i,-0.00054013+0.00078655i,-0.00058584-0.00032292i,-0.00036499-0.00058183i,0.00061999-0.00073382i,0.00069966-0.00037529i,-6.8854e-06+0.00013339i,0.00010669-0.00022605i,0.00014917-0.0001704i,-0.0001853-0.00023769i,0.0002622+0.00040812i,0.00033997+0.0012285i,-4.7246e-05+0.0013034i,-6.1404e-05+0.00047058i,-5.4305e-05-2.0701e-05i,0.00024111-0.00024257i,0.00067386-0.00086509i,0.00028847-0.0011698i,-0.00045494-0.00044428i,-0.00033973+7.6395e-05i
-0.00036275+0.00015005i,-0.0014606+0.00090326i,-0.0023217+0.0016091i,-0.0022366+0.0011771i,-0.0012996+0.00079517i,-0.00046599+0.00037441i,-0.0006354-0.0002443i,-0.00054474-0.00048181i,-0.00011708+0.00013959i,-1.3564e-05+0.00044278i,-6.9435e-05+0.00020012i,0.00067661-0.00013072i,0.0017086-0.00021201i,0.0013306-0.00021683i,0.00092645-0.00081767i,0.00087947-0.0011208i,7.6258e-05-0.0010084i,-0.00051435-0.0005993i,0.00018898-0.00025439i,0.00082692-0.00032503i,0.00041691-0.00029378i,2.4398e-05-0.00084377i,5.3079e-05-0.00099493i
0.00091705-5.2389e-06i,-0.00060271+0.00069154i,-0.0015464+0.00011581i,-0.00062904-0.00063033i,-0.00065558-0.00025942i,-0.0011119-0.00040243i,-0.00050847-0.00051432i,9.6661e-05-0.00070366i,0.0001706-0.00059421i,0.00038169-0.0005114i,-0.00039128-0.00065257i,-0.00088242-0.00027686i,-0.00038544+0.00059181i,0.00047693+0.00081798i,-0.00018565-0.00016847i,-0.00098078-0.00047711i,-0.00068691-0.00016432i,-0.00023311+0.00018424i,7.2494e-05+0.00048442i,4.5e-05+0.0001149i,0.00038435-0.00014392i,0.00038652+0.00019039i,-0.00034881+0.00037911i
-0.001102-0.0012471i,-0.0012139-0.00031006i,-0.00085925+0.0012208i,-0.00051714+0.0010038i,-0.0005143+0.00024461i,-0.0010442+0.00015981i,-0.00078378-8.9753e-05i,0.00010569+0.00036871i,0.00055843+0.00056882i,0.00088981+0.0002749i,0.00044574-0.00020244i,-0.00022864-0.00062802i,-0.00065798+0.00039091i,-0.00026848+0.00092019i,0.0002303-0.00033353i,-0.00044949-0.00069702i,-0.0010211+0.00014646i,-0.00087815+0.00010531i,7.3096e-06-8.8015e-05i,0.00054939+0.00030435i,0.00023192+0.00079197i,-1.6184e-05+0.00076988i,-0.00016626+0.00071617i
-6.4884e-05-0.00016499i,0.00049341-0.00071449i,-5.582e-05-0.0011947i,-0.00039679-0.00042541i,0.00020514+0.00085515i,0.00047864+0.00064804i,0.00038772+0.00081147i,1.9066e-05+0.0011024i,-0.00056429+2.8532e-07i,-0.00055277-7.1538e-05i,6.9839e-05+7.9606e-05i,6.0965e-05-0.00041648i,-0.00047999-0.00043526i,-0.00060552-0.00038165i,-5.3363e-05+0.00020654i,-0.0004648+0.00058085i,-0.00049485+0.00061152i,-8.9743e-05+0.00055402i,-0.00011786+0.00074236i,0.00016741+0.00036774i,0.0001805-0.00055744i,8.1454e-06-0.0008825i,0.00026775-0.00094493i
0.0015172-0.00076766i,0.0017313-0.00096421i,0.0013775-0.001399i,-0.00016849-0.001233i,-0.0013395-0.00024567i,-0.0010443+0.0006034i,-0.00016796+0.0004183i,0.00051882-0.00010993i,0.00059172-0.00024131i,0.0006956-0.00022872i,0.00011861+0.00048291i,-0.00054316+0.0011373i,0.00014246+0.00052002i,0.0012297+6.0833e-06i,0.00074554-0.00028303i,0.00021189-0.0008027i,8.195e-05-0.00070083i,-0.00036126-0.00044152i,-0.00046713-9.6161e-05i,-0.00071738+0.00049698i,-0.0010105+0.00058506i,-0.00051203+0.00011634i,0.0005264-0.0001755i
-1.5426e-05+0.0006412i,0.0010108+0.0016335i,0.0018401+0.0021231i,0.00092594+0.0017929i,-0.00075452+0.0015439i,-0.0012138+0.0014145i,-0.00097601+0.00080094i,-0.00052809+7.2674e-05i,-0.00013066+0.00010595i,-0.00037633+0.00039704i,-0.00058102+0.00072687i,-0.0012423+0.00011174i,-0.0011004-0.00043262i,-1.1046e-05-0.00054885i,0.00064394-0.0005839i,0.00040082-0.00018441i,-4.5647e-05-0.00021916i,2.1255e-05-0.00033499i,0.00027806-0.00015366i,8.4469e-07+0.00017242i,-0.0006577+0.00010975i,-0.00026842-8.4847e-06i,0.00014083+2.6036e-05i
-0.0011692+0.00021948i,-0.0020727+0.0010795i,-0.0018238+0.0012976i,-0.0011825+0.00071832i,-0.00030799-0.0004629i,-5.9331e-06-0.00086967i,-0.0007451-0.0009031i,-0.00088617-0.00052959i,-0.0007621-0.0002476i,-0.00050995-0.00046176i,-0.0002351-0.00023087i,-0.00044444+0.00020472i,-0.00071122+0.00012038i,-0.00058346+0.00013487i,-6.0379e-05+4.6043e-05i,0.00063192-1.7316e-05i,0.0002894+0.0002753i,-0.00058865-0.0003357i,-0.0010495-0.00077888i,-0.0011325-0.00012603i,-0.00080467+0.00029456i,-0.00022474+0.00032397i,5.3533e-05+0.00074372i
-0.001377-0.0024345i,-0.0021094-0.0015919i,-0.0026662-0.0019134i,-0.0021595-0.00042114i,-0.0012839+0.0015969i,-0.00077741+0.0013312i,-7.0051e-05-0.00040733i,0.00059934-0.0011566i,0.00063877-0.00058689i,0.00086987-5.6513e-05i,0.00029813+0.00050113i,-0.00014626+0.00077597i,0.00029655+0.00047893i,0.00073297+0.00041611i,0.00054436+0.00027315i,-0.00026271+0.00037419i,-0.001196+0.00024236i,-0.001172-0.00039502i,-6.767e-05-0.00030952i,0.00092055-0.00029165i,0.00068376-0.00017975i,0.00019891-4.4676e-05i,-0.00037578-1.6749e-05i
-0.0014163-0.0014463i,-0.0014329-0.0014038i,-0.0012413-0.00097241i,-0.00084623+2.8938e-05i,0.00015587+0.0004419i,0.00022741-2.6719e-05i,-0.00064995-9.5308e-05i,-0.00029603-0.00074598i,0.0003208-0.00081676i,-1.0471e-05+0.0001355i,-0.00025725+0.00064342i,3.2066e-06+0.00067163i,4.1804e-05+2.9189e-05i,-0.00027169-0.00013139i,-0.00015892+0.00023028i,-0.00046771+0.00062247i,-0.00042643+0.00063748i,2.7857e-05+0.00068802i,0.00031268+0.00057577i,0.0004117+4.428e-05i,0.00014261-0.00025288i,0.0001825-0.00075959i,0.00020949-0.000609i
