-0.0021652+6.3467e-05i,-0.0014759+0.00012119i,-0.0030269+5.3401e-05i,-0.0040656+0.00038295i,-0.0028497+0.0010257i,-0.0021438+0.00098322i,-0.001986+0.00057861i,-0.00059219+0.00088026i,0.001351+0.0011899i,0.0017598+0.00036797i,0.0014104-0.00056975i,0.00082908-0.00096999i,0.00032939-0.00078245i,-0.0004252-0.00058184i,-0.00098224-0.00037965i,-0.00079122-0.00063796i,-0.00071644-0.0011977i,-0.00070031-0.00073765i,-0.00027867-0.00048223i,3.0454e-06-0.00072103i,0.00025668+0.00019432i,0.00015511+0.0010813i,-0.00041257+0.001098i
0.0022163+0.0022706i,0.0031604+0.0022899i,0.0024974+0.0024076i,0.00031693+0.0012648i,-0.00035766+0.00043329i,-0.0001271+0.00060683i,-0.000639+0.0010465i,-0.00054331+0.00076527i,0.00031225-0.00012015i,0.00037102-0.00015482i,0.00032036+0.00036222i,0.00063724+0.00049343i,0.00028684+0.00021753i,-0.00013448-0.00037698i,-5.9474e-05-0.00049922i,0.00036517-3.5063e-05i,0.00031737+0.00036752i,-9.9059e-05+0.00025024i,-0.00045396+0.0001551i,-0.00084052-7.745e-05i,-0.00032276-0.00022519i,6.877e-05+3.7997e-05i,0.00035559-0.00039718i
0.0007751-0.00098779i,0.00056454-0.0023271i,0.0017946-0.0022644i,0.0020709-0.00077608i,0.0015636+0.00039833i,0.00032714+0.00047471i,-0.00048932+0.00072541i,-0.00036169+0.00088635i,-0.00030008+0.00019619i,-0.00041936-0.00081901i,-0.00052718-0.00082799i,-0.00016223-0.00034412i,0.00033602+0.00018122i,0.00078483+0.00065597i,0.00074129+0.0001409i,0.00038842+0.00016651i,-0.0004276+0.00065387i,-0.0010766+0.00016173i,-0.00060117+0.00031932i,-0.00066007+0.00021i,-0.00048369-0.0002398i,-8.1754e-05-0.00018068i,-0.00070779-6.4065e-05i
0.0024282+0.00038459i,0.0016674-0.0010698i,0.0015917-0.0028044i,0.001503-0.0038602i,0.0013357-0.0026553i,0.0010048-0.0010522i,0.00044843-8.7434e-05i,0.00012443+0.00054375i,0.00043936+0.00054771i,0.00017678-1.6548e-05i,-0.00082182-0.00033917i,-0.00079008-0.00091101i,0.00012177-0.001167i,0.00039738-0.00025513i,-0.00022039-0.00067469i,-0.00071278-0.0016195i,-0.00068658-0.0011899i,-0.00051021-0.00063329i,-0.00041345-0.00036199i,-5.5602e-05-0.00019909i,-0.00018619-0.00039086i,-0.00092066-0.00040122i,-0.0011825-0.00013513i
0.0015467+0.00010219i,0.00081459-0.00056824i,-0.00062428-0.0010945i,-0.002204-0.0020688i,-0.0016532-0.0018988i,-0.0015349-0.0012072i,-0.0019212-0.00070417i,-0.0006961-0.00024103i,0.00050208-0.00018746i,0.00095903-0.000234i,-1.3295e-06-0.00055873i,-0.00082134-0.00073136i,-0.00033443-0.00020785i,0.00029919+0.00038919i,-2.9693e-05+0.00040063i,-0.00056597-0.00046433i,-0.0005542-0.0013629i,-0.00032716-0.0012608i,0.00055244-0.00028128i,0.00064755+0.000385i,-0.00035381+7.38e-05i,-0.00050087-0.00084831i,-0.00011554-0.00050889i
-0.0010308-0.0016886i,-8.2233e-06-0.0011171i,-0.00020719-0.00025249i,-0.00057024+0.00078284i,-0.0011933+0.00071872i,-0.0015245+0.00091637i,-0.001536+0.00069081i,-0.0010211+0.00020348i,-0.00034186+0.00050095i,-0.00020703+0.00041773i,-0.0001864+0.00037443i,-0.00041526+8.9526e-05i,-0.0005829-0.00071235i,-0.00051394-0.00063108i,-0.00023267+0.00012215i,5.4581e-05+0.00041037i,-0.00022445-7.4933e-05i,0.00023121-0.00045516i,0.00013851-0.00010883i,-0.00061494+0.00057286i,-0.00051504+0.00061431i,0.00020495+0.00026251i,1.4743e-05+0.00021559i
-0.0011601-0.00031267i,0.00025595-0.00059378i,-1.5209e-05+0.00073348i,-0.00081859+0.0013682i,-0.00088548+0.0019364i,-0.0011583+0.0022365i,-0.0019053+0.0013585i,-0.0014017+0.00025099i,-9.1871e-05-8.548e-05i,0.00017694+0.00060451i,-0.00022072+0.00070083i,-0.0006271-0.00043189i,-0.00069424-0.0011373i,-0.00091798-0.00045804i,-0.0014033+0.00015479i,-0.0015271-0.00012472i,-0.0010225-0.00010609i,-0.00038111+0.00019221i,-5.2967e-05-0.00033624i,-3.7297e-05-0.00087394i,-0.00054267-0.00057842i,-0.00054223-8.3257e-05i,0.00017498+0.0001926i
0.00078685-0.001194i,0.00067361-0.0022999i,0.0023254-0.002649i,0.0028553-0.0026344i,0.0018072-0.0012432i,0.00090965-8.7396e-05i,-0.00016032-0.00011533i,-0.00065794-6.6231e-05i,-0.00034906+3.5571e-05i,-0.00021944+0.000435i,-0.00019344-0.00012211i,-0.00048988-0.00086788i,-0.00049109-0.00087257i,-0.0002541-0.00045644i,-0.0001963+0.00017254i,-0.00018119+0.00049563i,-0.00062581+0.00082714i,-0.00044496+0.00076398i,-1.3374e-05+0.0004044i,0.00047167-0.00019086i,0.00065066-0.00078952i,0.00062306-0.0005839i,0.00048921-8.9786e-05i
0.0017241-0.00056594i,0.00031539-0.0027648i,-0.00062385-0.0038312i,-0.00065859-0.0036041i,-0.00040098-0.0027932i,-0.00044469-0.0021444i,-0.00061251-0.0010706i,-0.0002906+0.00021574i,-9.9635e-05+0.00028357i,0.00030686-0.00033652i,6.608e-05-0.00070921i,-0.00034134-0.00012721i,-0.0001292+0.00066i,-0.00015691+0.001004i,-0.00049157+0.00036539i,-0.00024812-1.4594e-05i,7.7806e-06-0.00010825i,-0.0002246+7.3521e-07i,-1.5578e-05+0.00029704i,0.00027931+0.00052003i,-2.6e-05+0.00082061i,-0.00046852+0.00018585i,0.00014062-0.00049896i
-0.0012759+0.00032816i,-0.0014552+0.00085416i,-0.0018342+0.00085134i,-0.0026649+0.00059708i,-0.0020398+8.1473e-06i,-0.00095414-0.00060058i,-0.00048613-0.00072876i,7.104e-05+4.5957e-06i,-6.429e-05+0.00010698i,0.00024611-2.8353e-05i,0.00011018+0.00018702i,-6.825e-05-2.4463e-05i,-0.00049123-0.00034979i,-0.00065052-0.00083357i,-0.00017591-0.00042391i,-0.00056091+0.00047223i,-0.00046588-3.1984e-05i,0.00032822-0.00057543i,0.00065776-6.3635e-05i,0.00041756-4.3697e-05i,8.1756e-05-0.00065146i,-0.00028092-0.00080947i,-0.00087862-0.00031178i
0.0028557-0.00036316i,0.0025727-0.00028753i,0.0016201-0.0011735i,-0.00046928-0.00044885i,-0.0012835+0.0011581i,-0.0019545+0.00075253i,-0.0022174+7.5687e-05i,-0.0016128+0.00060137i,-0.00098237+0.00052724i,-0.00052422+0.00031424i,-0.00019946+0.00044593i,-3.7674e-05-0.00015122i,7.8649e-05-0.00043984i,-0.00028044-0.00028562i,-0.00036042-5.1116e-05i,9.7358e-05-0.00026557i,0.0001277-0.00010495i,-0.00014369+0.0004463i,-0.00072136+4.8921e-05i,-0.00053744+0.00025965i,-0.00038033+0.00057883i,-0.00056514-0.00023712i,2.6038e-05-0.00034258i
