-0.0024609+0.0018924i,0.00043396+0.00033523i,0.0014356-0.0019298i,0.00026669-0.0028407i,-0.001015-0.0016595i,-0.0015926+0.0004367i,-0.0014076+0.0012064i,-0.00045249+0.00082501i,-2.6994e-05+0.00056227i,-0.00030665+0.00061272i,0.00013956+0.00027649i,0.00045142-0.00093464i,-9.38e-05-0.0010621i,0.0001447-0.00059074i,0.00025252-0.00090428i,0.00031329-0.0007169i,0.00074315-0.00023167i,0.00025761-0.0003852i,-0.00062403-0.00032246i,-0.00040283-0.0001574i,0.00026244-0.00022027i,0.00041299-0.00032835i,0.00063208-0.00013275i
-0.0012276-0.00057622i,-0.00075796-0.0012861i,-0.00015138-0.0029288i,-0.00061236-0.0035297i,-0.0016091-0.0030022i,-0.0019093-0.001318i,-0.00095475-0.00020607i,0.00030736+0.00013289i,0.00056949+8.7873e-05i,-0.00064683-0.00039089i,-0.0016075-0.00077267i,-0.0011747-0.00089734i,-0.00098301-0.00032061i,-0.00073492-0.00022551i,-0.00014997-0.00071223i,6.5434e-05-0.00011168i,-0.00051298+0.0004015i,-0.00089045+9.5516e-05i,-0.00080087+0.00023225i,-0.00050964+0.00076298i,-0.00012505+0.0003369i,-0.00011273-0.00018643i,-0.00041554+5.8066e-06i
0.00055574+0.00092621i,0.00087194+0.00049942i,0.00049293-0.0016937i,-0.0005661-0.0027699i,-0.00096548-0.0019401i,-0.00099257-0.0019888i,-0.00090119-0.0017503i,-0.00073573-0.0011445i,-0.00070353-0.00094329i,-0.0007753-0.00022192i,-0.0003264+0.00011008i,0.00032621-0.00033108i,0.00015853-0.00041763i,-3.4422e-05-0.00045964i,-0.00010295-0.00089858i,0.0004248-0.00087337i,0.0007433-0.00038564i,-0.00040055-0.00014005i,-0.0010558+0.00028843i,-0.0005671+0.00033557i,-0.00048632+0.00033513i,-0.00092948+3.6067e-05i,-7.7214e-07-0.00034196i
-0.001708+0.003314i,-0.0018333+0.0024372i,-0.00082182+0.0011319i,-0.00035083-7.9482e-05i,-0.00071041-0.00046573i,-0.0010467-1.8919e-05i,-0.00069558+0.00019483i,-0.0009336+0.00020384i,-0.00073913+0.00040889i,0.00039918+0.00013065i,0.00035732+0.00053877i,-0.00029295+0.0013631i,-0.00078686+0.0016401i,-0.00057249+0.0014576i,-0.00011476+0.00020984i,-0.00044173-0.00056472i,-0.0006941-0.00013076i,-0.00064245+0.00012361i,-0.00078384+2.3634e-05i,-0.00083414+8.4183e-05i,-0.00012227-0.00032013i,0.00095579-0.0010122i,0.00086964-0.00063254i
-0.00067876+0.0018059i,-3.8655e-06+0.00043198i,0.0001249-0.001615i,0.00083449-0.0031755i,0.00042251-0.0026076i,-0.00020348-0.00089067i,-0.00066175+0.00017704i,-0.00042999+0.00054219i,-5.0144e-05+0.00056736i,-0.00018611+0.00062717i,-0.00025331+0.00074329i,1.2239e-05+0.00058231i,-0.00023872+0.00039966i,-3.2601e-06-8.2325e-05i,0.00047267+0.00010525i,4.3686e-05+0.00017044i,-0.000198-0.00052637i,-0.0005384-0.00027984i,-0.00079928-0.00029073i,-0.00022619-0.00058341i,2.7293e-06-0.00016892i,-0.0008834+0.00018058i,-0.00061515-0.00047i
0.0027805+0.002611i,0.0031677+0.00037613i,0.0035057-0.0015873i,0.0026527-0.0018104i,0.0014271-0.0012931i,0.0010343-0.0012415i,0.00033854-0.00034967i,-0.00033632+0.00072539i,-0.00018927+0.00093973i,0.00066565+0.00067363i,0.0010291-0.00043246i,0.00053463-0.0010033i,0.00047104-0.00096281i,0.00028016-0.00093679i,1.8458e-05-0.00035456i,-6.6739e-05+8.2879e-05i,0.0003305+0.00047113i,2.5731e-05+0.00029083i,-0.00036804+0.00030815i,-9.9403e-05+0.00095681i,-0.0001499+0.00096692i,0.00032446+0.00049639i,8.754e-05+0.00012531i
0.00088781+0.00058625i,8.0591e-05-0.00042932i,0.00063975-0.0016168i,0.00032412-0.0027111i,-0.00075235-0.0034951i,-0.0012487-0.0019987i,-0.00051226+0.00062862i,-6.7031e-05+0.0013288i,0.00035856+0.00087057i,0.0008556+0.00028058i,0.00063839+0.00022176i,6.6925e-05+0.0005091i,-0.00065906+0.00043622i,-0.00017058-0.00010619i,0.0010265-0.00079238i,0.00092299-0.0012113i,0.00027472-0.0010442i,0.00011884-0.00073128i,0.00022625-0.0011717i,0.00058307-0.00063386i,-9.726e-05-0.00015063i,-0.00070102+0.00017789i,-0.0005559+0.00054293i
0.0020925+0.0028684i,0.0019611+0.0018268i,0.00081128-0.00011513i,-0.00086886-0.0020972i,-0.0017041-0.002084i,-0.0019375-0.00065687i,-0.0019565+0.00015687i,-0.0014116+0.00045537i,-0.00045605+0.0001136i,0.00049172-1.0143e-05i,0.00034209-0.00013142i,-0.0004465-0.00033884i,-0.00088852+0.00012699i,-0.00085932+0.00015243i,-0.00048347+0.00015019i,-8.2149e-05-6.6686e-05i,0.0002792+0.00010636i,0.00074613+0.00023624i,0.00079316-0.00031094i,0.00031646-0.00055965i,0.00035713-9.0381e-05i,0.00078576+0.00043002i,0.00060179+0.00056029i
-0.0030455-0.00049077i,-0.0010846-0.00026002i,-0.0016442-0.0011427i,-0.0016547-0.0012478i,-0.001122-3.9449e-05i,-0.00082374+0.00049594i,-0.00040118+0.0002451i,-0.0005403-3.9108e-05i,-0.0013499-0.00027333i,-0.0015596+7.2575e-05i,-0.00086464+0.00037465i,-0.00030848+1.1148e-05i,-0.00025562-0.00048037i,-0.00038162-0.00031389i,-0.0001222+4.9337e-05i,0.00029788-0.00048559i,0.00029125-0.00040996i,0.00048432-0.00017144i,0.00041266-0.00033981i,-0.00035549-7.2785e-05i,-0.00068614+0.00016204i,-0.00021578-0.00032244i,0.00027904-0.00032501i
0.0011809-0.0012299i,0.0011686-0.0015081i,0.0010541-0.0020791i,0.00028369-0.0024756i,-0.000475-0.0027486i,-0.00039326-0.0015217i,0.00046798-0.00052154i,0.0010985+0.00011282i,0.00058318+0.00086209i,0.00053726+0.00043369i,0.00046641-6.4071e-05i,0.00045155-0.0003339i,0.00056031+7.8902e-05i,0.00062749+0.0004123i,0.00033629+0.00058077i,-0.00030527+0.00032093i,-4.1889e-05+0.00022041i,0.00079989+0.00060529i,0.00042272+0.00057356i,8.1995e-05+0.00082294i,-2.1912e-05+0.0010836i,-0.00027918+0.00011524i,0.00071107-0.00052217i
0.00037158+0.00055659i,0.00010542-0.00026409i,-0.00044376-0.00097867i,-0.00057621-0.0018045i,-0.00078434-0.0022933i,-0.00075318-0.0017087i,-0.00084639-0.00059331i,-0.00074196-0.00015697i,-0.00044514-0.00062972i,0.00029584-0.00099741i,0.00089607-0.00088485i,0.00019348-0.00075407i,-6.0003e-05-0.0010441i,0.00028843-0.0017417i,0.00030591-0.0012453i,0.00027779-0.00020653i,0.00037504-8.3893e-05i,-0.00029775-8.9892e-06i,-0.00040552+0.00018113i,0.0002217+0.00026013i,0.00021504+0.00026036i,6.0652e-06-5.069e-05i,-5.8164e-05+4.9027e-05i
-0.001687+0.0010489i,-0.0010027+0.00093688i,-0.00042289-0.00057917i,-0.0007439-0.0015352i,-0.00034313-0.00071021i,0.00034047+0.00014304i,0.00012291+0.00096966i,-0.00017293+0.000865i,-0.00099355+0.0003129i,-0.0013903+0.0009629i,-0.00090428+0.00099481i,-0.00041967+0.00030291i,-8.6323e-05-0.00040314i,-0.00033345-0.00055796i,8.0306e-05-0.00074158i,0.00061745-0.00088025i,-0.0001349-0.00038398i,-0.00055835+0.00023711i,3.5945e-05+0.00032525i,1.3383e-05-0.00038381i,-0.00075655-0.00077525i,-0.0003473-0.00051084i,0.00049954-0.00029381i
0.0016893+0.0021264i,0.0017244+0.0002295i,0.00096398-0.0016763i,0.00061769-0.0025681i,-0.00014856-0.0016225i,-0.0012439-0.00027216i,-0.0015122+0.0001607i,-0.00062329+0.0007501i,0.00027885+0.0010647i,6.4751e-05+0.0011264i,-0.00021479+0.0008566i,-0.00018443+9.0646e-05i,-0.00049741-0.00047882i,-0.00050208-0.00044012i,0.00034911-0.00013058i,0.00059504+0.00016984i,-9.671e-05+0.00020217i,-0.00060787+0.00018268i,0.00026336+0.00072287i,0.00063681+7.9523e-05i,0.00017965-0.00022708i,0.00020957+4.4514e-05i,0.00015556-0.00022056i
-0.0017424-0.0017739i,-0.0012912-0.0013058i,-0.0008502-0.0022156i,-0.0010085-0.003313i,-0.0018915-0.0022102i,-0.0018071-0.001032i,-0.00057588+0.00011724i,-4.3054e-06+0.0009367i,0.00010175+0.00043597i,0.00034416-9.4784e-05i,0.0002788-3.7347e-05i,8.5053e-05-0.0001528i,0.00012636-7.5015e-05i,0.00017925+0.00021164i,0.00049543+0.00016018i,0.0007128+0.00056327i,0.00040208+0.00091233i,0.0004035+0.0005444i,0.00099116+0.00030008i,0.00056903+0.00027685i,0.00023253-0.00029559i,0.00043474-0.00026275i,-0.00010273+0.00025924i
-0.00052827+0.0018539i,0.00051077+0.0014215i,0.00063328-0.00023412i,0.00022907-0.0015797i,0.00036223-0.0017871i,0.00014442-0.00053714i,-0.00047817+0.00042222i,-0.00056914+0.00045535i,5.765e-05+0.00035698i,0.00033155+0.00034747i,0.0004218-3.0608e-05i,0.00035723-0.00045563i,-0.00020228-0.00037813i,-0.00011447-0.00055833i,-0.00054365-0.00016628i,-0.00046233-2.3729e-05i,-0.00049424-0.00079211i,-0.00063679-0.00078473i,-0.00010073-8.4976e-05i,0.00017045+0.00043793i,0.00040396+0.00045138i,6.8768e-05-6.2241e-05i,-0.00016344+8.5701e-05i
0.0013146+0.00045547i,0.00064581-0.0005295i,0.00057965-0.0020594i,0.00054046-0.0030789i,-0.00022258-0.0023668i,-0.00051376-0.0014329i,-0.00036842-0.00038154i,2.7203e-05+0.0001147i,0.00027514-8.9982e-05i,-0.00014657-0.00021861i,0.00012726-0.00052976i,0.00024063-0.00052976i,-0.00036486-0.00070529i,-0.0005312-0.00027224i,0.00018462-1.371e-05i,0.00049709-0.00055624i,0.00024534-0.00075213i,0.00014251-0.00052135i,-0.00029858-0.00053064i,0.00013377-0.00068598i,0.00025828-0.00045848i,0.00022711+8.4573e-06i,-1.2491e-05+0.0002572i
-0.0007745+0.0010101i,-0.0010256+0.0003343i,-0.0013386+0.00020378i,-0.001254-0.00055384i,-0.0012267-0.00082635i,-0.0011723-8.57e-05i,-0.00047469+0.00031915i,0.00019799+0.00080473i,0.00010919+0.00098757i,-3.6943e-05+0.00010468i,-0.00012544-0.00059185i,-0.0001008-0.00056664i,-0.00014821-0.00058502i,-0.00053399-0.00031193i,-0.00042982-0.00026621i,0.000334-0.00042606i,0.00071913-0.00035067i,0.00034198+0.00045284i,-0.0006725+0.0013871i,-0.0016438+0.00040768i,-0.001759-0.00055881i,-0.00074167-0.00017951i,0.00028597+0.0005198i
-0.0032118-0.00075801i,-0.0026222-0.00083465i,-0.0030291-0.00063238i,-0.0029388-0.0010527i,-0.0018111-0.0006127i,-0.0011224+0.00017971i,-0.00059148+0.0010601i,-0.00034446+0.0014701i,-0.00071136+0.00055285i,-0.00090359-0.00023266i,-0.00049028-0.00046191i,-5.0148e-05+0.00010007i,7.9714e-06+0.00034434i,0.00029987-0.00024345i,-1.1655e-05-0.00067923i,-0.00041356-0.00063284i,-0.00044235-0.00030115i,-0.00042247-0.00018219i,-0.00064987-3.8942e-05i,-0.00062239-0.00019103i,0.00028837-0.00013977i,0.00041082-0.00020048i,-0.00022187-0.00015793i
-0.0016323+0.00018043i,-0.00051896-0.00040969i,0.00096871-0.0010776i,0.00044537-0.0017374i,4.7377e-05-0.0016706i,0.00031439-0.00065398i,0.0001406+0.00045176i,-0.00011775+0.00072586i,-0.00010218-7.2815e-06i,0.00023245-0.00070843i,8.0204e-05-0.00062768i,-0.00021196-0.00010882i,-0.00059033+0.00020717i,-6.21e-05+0.00021232i,0.00090648+7.9654e-05i,0.00011418+1.3088e-05i,-0.00079949-8.5803e-05i,-0.00031431-0.0003187i,-0.00054478+0.00019918i,-0.00054193+0.00048174i,0.0002914+7.6886e-05i,0.00043499+7.1761e-05i,0.00021952+0.00014768i
0.00067675+0.00027568i,-0.00012184+0.00062768i,-0.00056746-0.0002671i,-0.00026658-0.0022702i,-0.00031179-0.0027519i,-0.0007979-0.0012663i,-0.00085313-0.0004001i,-0.00048726-0.00031478i,-0.00026421-0.000188i,0.00045811+0.00019288i,0.0007749-0.00024134i,0.00019938-0.00059083i,0.00012904-5.1937e-05i,-0.00030204+0.00044993i,-0.00079877+0.00019662i,-0.00031681-1.5254e-05i,-0.00047823+0.00046083i,0.00010741+0.00021583i,0.00057534-0.00058754i,-0.00051447-0.00045628i,-0.00011122+0.0005942i,0.00068338+0.0012371i,0.00039068+0.00060226i
