-0.0033149+2.3448e-05i,-0.002027-0.00037604i,-0.001503+0.00019525i,-0.00077268+0.0012502i,-0.0001421+0.0020797i,-3.086e-06+0.001011i,-0.0009093+0.00053347i,-0.00054752+0.00074519i,4.4906e-05+0.00074852i,0.00055473+6.9918e-05i,0.0014526+0.00041266i,0.0010223+0.00042911i,-0.00023728-6.9826e-05i,0.00016608-0.00084642i,0.0017724-0.0017797i,0.0016936-0.0010654i,0.0013183+2.6874e-05i,0.00083381+0.00064838i,-0.00011986+0.00066281i,-0.0005614-0.00016265i,-0.00040606-0.00017494i,0.00058929+0.0001858i,0.0011424+0.00066148i
0.0013875-5.328e-05i,0.0018855-0.00020784i,0.0011582-0.00084724i,0.00044963-0.00035979i,-0.00032592+0.00027635i,-0.0011754+0.00046498i,-0.0010858+0.00087078i,-0.00038694+0.00064527i,-0.00023395+1.8125e-05i,-0.00033685+0.00030581i,-0.00012945+0.0010599i,-0.00053681+0.0011151i,-0.0010133+0.00099599i,-0.00081519+0.00048292i,-0.00049313-0.00012348i,-6.6864e-05-0.00039759i,0.00018742-0.00026706i,-0.00052936-0.00014669i,-0.00071088-0.00039551i,-2.0401e-05+0.0002656i,8.1187e-05+0.00084483i,-0.00018849+0.00022457i,-0.00042405-0.00034432i
-0.00074339-0.0018115i,-0.00101-0.001935i,-0.00076777-0.0024303i,-0.00022285-0.001479i,-0.00012134-0.00083069i,-0.0002144-0.00086631i,0.0001052-0.00092459i,0.00088122-0.0010194i,0.00078013-0.00097856i,0.00049141-0.00016751i,0.00065692+8.4189e-05i,0.00050985-6.8105e-05i,0.00019735+0.00023586i,-0.00023604-0.00010773i,-0.00069483-0.00033506i,8.4915e-06+2.0457e-05i,0.00031424+7.4688e-05i,-7.7295e-05-0.00012508i,-5.7267e-05+0.00013926i,0.00035808+0.00037141i,0.00035794-0.00029726i,-0.00029778-0.0003953i,-0.0008438+0.00022547i
0.0012556-0.00020926i,0.0015571+0.00051337i,0.00066954+0.0011213i,0.00016642-0.00019324i,-0.00025895-0.001801i,-0.00085235-0.0014861i,-0.0010144-0.0011285i,-6.0065e-05-0.00080843i,0.00055883-0.00084343i,-0.00038572-0.0009726i,-0.0009795-0.00031474i,-0.00071369-3.4697e-05i,-0.00080746-0.00022284i,-0.00049485-0.00056776i,-0.00032365-0.00076988i,-0.0004806-0.00030293i,0.00015804+0.00015903i,0.00032602+0.00033999i,-0.00039101+0.00028784i,-0.00050622+4.6614e-05i,-0.00058729-0.00066836i,0.00030175-0.0004636i,0.00073724-0.00051866i
0.0013896+0.00053513i,0.0007174-0.0012769i,0.00037944-0.0021969i,0.00083689-0.001685i,0.00035119-0.0012572i,0.00050845-0.0013599i,0.00087455-0.0016412i,0.00080004-0.00094379i,0.00069702+0.00031066i,0.0005255+0.00036205i,-0.00012519+0.0002523i,-0.00017723+0.00032945i,0.00069612+8.9796e-05i,-0.00052761+0.00031348i,-0.0020318-1.287e-05i,-0.001405-0.00068512i,-0.00050484-0.001387i,-0.00023179-0.0008433i,-0.00083772+0.00032575i,-0.0012822-8.3749e-05i,-0.00058873-0.00034647i,0.00028597-0.00039909i,0.0005914-2.8343e-05i
0.00058822+0.00070158i,0.0013133+0.00051011i,0.0014345+0.0006023i,0.0011393+0.00091729i,0.00067018+0.00044199i,0.00038857+0.00051159i,9.4447e-05+0.00023561i,-0.00010001+0.00036924i,-8.723e-05+0.00056986i,3.2736e-05+0.00036045i,0.00044121+0.00051304i,0.00021888+0.00036672i,-0.0009647+0.00055144i,-0.0016059+0.00011998i,-0.00042301-0.0007877i,0.0005165-0.0003914i,0.00036591-0.00021551i,-8.0051e-05-0.00043795i,-0.00024351-3.3323e-05i,2.7032e-05+0.00067409i,0.00019637+0.0012477i,-0.00012865+0.00077128i,-0.00077352+8.5528e-06i
-0.00057691+9.7269e-06i,-0.0015021-0.00038041i,-0.0013897-0.0020253i,-0.00024584-0.0021348i,-0.0002033-0.0012887i,-0.00088885-0.0010448i,-0.00053642-0.0007155i,0.0010826-5.227e-05i,0.0011106+0.00026339i,-0.00016774-4.2126e-05i,-0.00015745+0.00010517i,0.00011425+0.00052734i,0.00014508+0.00041891i,2.5987e-05-0.00042755i,-0.00040588-0.0009616i,-0.00059705-0.00091882i,9.614e-05-0.00093918i,0.00084403-0.00067081i,0.00083351-0.00079547i,0.00044929-0.00064066i,-1.3385e-06-0.00043402i,0.00017588-0.00067781i,0.00056405-0.00088505i
-0.00095918-0.00090836i,-0.00047448-0.0012543i,-0.00022653-0.00047412i,-0.00098054+8.1721e-05i,-0.0017789-0.00040047i,-0.00056354-0.00084818i,0.00058862-0.00036719i,0.00046985-2.6031e-05i,0.00028949-1.7003e-05i,0.00033539-5.0324e-05i,0.00015797+0.00016656i,3.912e-05+0.00021251i,-0.00035273+0.00031964i,-0.00062991+0.00019793i,0.00020816-0.00025403i,-5.3648e-05-0.00032268i,-0.00066658-0.00047398i,0.00024924-0.00075196i,0.00046642-0.00061222i,0.00029022-0.00033359i,0.00036628+2.6014e-05i,0.00038757+0.00058849i,0.00032406+0.00071149i
-0.001131-0.0011165i,-0.00051182-0.0016811i,-0.00058797-0.0010785i,-0.00099757+0.00056379i,-0.00060408+0.00092854i,-0.00041166+0.00036617i,-0.00010839+2.0262e-05i,0.00054146-0.00019429i,0.00058962-0.00035757i,-0.00036824-0.00012007i,-0.0009904+8.9746e-05i,-0.00033455+0.00019317i,-4.2254e-05+7.3746e-05i,-8.0149e-05-0.00034238i,0.00039302-0.00020089i,0.00080597+0.00014354i,0.00080922+5.3878e-05i,0.00062189+5.1413e-05i,0.00065529-8.1816e-05i,0.0012766+3.2393e-06i,0.00040241+7.4003e-05i,-0.00044838-1.6394e-05i,-0.00043793+8.893e-05i
0.0016386+0.001089i,0.00097257+0.00019418i,0.00089772-0.00056054i,0.00074684-9.4869e-05i,9.3647e-05-0.00065235i,-0.0001551-0.0010635i,-0.00045075-0.0007393i,-0.00023651-0.00036526i,7.8928e-05+7.2346e-05i,0.0001042-0.00019051i,-0.00034839-0.001309i,-0.0001058-0.0017609i,0.00015637-0.00020173i,-0.00033536+0.00063302i,-0.000271-3.1023e-05i,-9.7668e-05-0.00068101i,0.00094069-0.00042803i,0.0012644+0.00017964i,0.0005349+7.0214e-05i,0.00021489-0.00037538i,0.00029716-0.00053874i,0.00012203-0.00055017i,0.00035313-0.00055847i
0.000486+0.00094637i,-0.00033928+0.00014036i,-0.0010387-0.00025305i,-0.00080223-0.00044113i,5.2595e-05-0.00074334i,-4.4705e-05-0.00045099i,-0.00019751-0.00010915i,0.00020502+2.4373e-05i,0.00030842+0.00021319i,0.00067149+0.00016619i,0.00062137-0.00058198i,0.00017965-0.00057014i,0.0003887+6.8057e-05i,0.00013218+6.1573e-05i,-9.5098e-05-0.00023274i,0.00083998-0.00080591i,0.0013004-0.00087295i,0.0011156-0.00034585i,0.00019036+0.00034214i,-6.2887e-05+0.00048635i,0.00066334+0.0005402i,0.00010781+0.00012534i,-0.00026045-0.00030742i
