-0.004832-0.00017859i,-0.0040294+0.00067612i,-0.004035+0.0029718i,-0.0037035+0.0034028i,-0.0019445+0.0041347i,-0.00042835+0.0038476i,2.1897e-05+0.0017936i,0.00042927+0.00028737i,0.001242+0.00043659i,0.0016256+0.00088988i,0.001002+0.00011627i,0.0011265-0.00051873i,0.0014065-0.0010805i,-0.00028104-0.0014891i,-0.0010317-0.0013242i,-0.00024349-0.001297i,-0.0002066-0.0011776i,-0.00030515-0.00068885i,-0.00028421-0.00045901i,2.6249e-05-0.00029591i,0.00035964-0.00021677i,8.1553e-05-0.00037408i,-0.00052902+7.2604e-06i
0.00047937-2.149e-07i,0.00034723+3.6795e-05i,0.00017972-0.00058485i,7.6467e-05-0.00026228i,-0.0010869+0.0016342i,-0.0022935+0.0018572i,-0.0014899+0.00099417i,-0.00062473+0.00038427i,0.00014747-0.00014169i,0.00038908-0.00015474i,-0.00072238-4.5393e-05i,-0.0014872-0.00060928i,-0.00052612-0.00066069i,0.00036436+0.00019348i,2.3578e-05+0.0002099i,-0.00019984+0.00052072i,-0.00012964+0.0012047i,0.00064676+0.0010442i,0.0006797+0.00080996i,-4.1986e-05+0.00087104i,0.00018688+0.00072212i,0.00055262+0.00050694i,0.0004148-0.00044407i
0.0013421+0.00046573i,0.00076611+0.00046336i,0.0014079+0.00048655i,0.00067164-0.00016451i,-0.0010264-0.00041402i,-0.0014797+0.00023011i,-0.00056626+0.00025034i,-0.00029276-2.5062e-05i,-0.00061286+0.00015995i,0.00011435-0.0002022i,0.0011263+0.00022926i,0.00036175+0.00097178i,-0.00016256+0.00070471i,0.00027264+0.00060351i,0.00081289+0.00034697i,0.0007666-0.00038377i,0.00094407-0.00065904i,0.00059991-0.00024497i,0.00025291-0.00072872i,0.00035036-0.00074334i,-0.0003007-3.1536e-06i,-0.00020276+2.5082e-05i,0.0010215-0.0004495i
5.6694e-05+0.0023753i,-0.00055993+0.0027402i,0.00093987+0.0028649i,0.0016595+0.0017037i,0.0015863+0.0014277i,0.0010043+0.00093773i,0.00058031+1.3888e-05i,0.0001899-2.5967e-05i,-0.00026257+1.9002e-05i,-0.00058356+0.00013554i,-0.0005297+0.00021759i,0.0001682+0.0005524i,0.00031037+0.0008236i,0.00030309+0.00044393i,0.00023855+0.00074129i,0.00015609+0.00096893i,-2.444e-05+0.00037898i,-0.00027227+6.7235e-05i,9.5976e-05+0.00017276i,0.00022419+0.00018147i,-4.8457e-05-0.00012747i,-0.00050329+1.6184e-05i,-0.00089836+0.00049777i
-0.002516+0.00098427i,-0.0029485+0.0012151i,-0.0018176+0.0013836i,5.1454e-05+0.0013511i,0.00024192+0.00082398i,-0.0009805-0.00016465i,-0.0012183-0.00036903i,-0.00077655+6.5418e-05i,-0.00037865+0.00060939i,-0.00013395+0.0010354i,0.00061682+0.00049256i,0.0017139-0.00058791i,0.0013255-0.0009719i,0.00034776-0.00098946i,-7.5e-05-0.0005965i,-0.0004127-0.00031605i,-0.00096805+0.00010349i,-0.00029579+0.00049748i,0.00044927+0.00080632i,0.00030061+0.00082939i,0.00028908+0.001039i,0.00022209+0.00093896i,0.00024732+0.00033283i
0.0016805+0.0012237i,0.0021927+0.00079552i,0.0015184-0.00071052i,0.00017595-0.00034918i,-0.00046896+0.00058398i,-0.00067499+0.00063828i,-0.00062796+0.00054336i,0.00027435+0.00020275i,0.00045714-2.9564e-05i,0.00032558+0.0001976i,0.00024014-0.00031637i,0.00038582-0.00040943i,0.0010435+5.9679e-05i,0.00044481+0.00041067i,-7.6198e-05+4.6438e-05i,0.00055305-0.00076156i,0.00070118-0.0007887i,0.00069444-0.00037372i,0.00040244-0.00028083i,0.00036917-0.00019174i,-0.000252+9.5911e-05i,-0.00091646+0.0003765i,0.00015999+0.00042138i
0.00032213+0.00072656i,0.00041017+0.0019724i,0.00018747+0.0028967i,0.00064275+0.0023282i,0.00043514+0.0014799i,-2.763e-05+0.0011099i,-0.00022866+0.0012812i,-0.00082696+0.001352i,-0.001019+0.00081444i,0.00017923+0.000288i,0.0010889+0.00040284i,0.00039559+5.7898e-05i,-0.00014197+8.5351e-05i,-0.00028019-4.4652e-05i,-0.00024783-2.5517e-05i,0.00043388+0.00033317i,0.00074755+0.00013481i,0.00054423-0.00016195i,0.00038608-0.00087542i,0.00057856-0.00056984i,0.0006012-9.5413e-05i,0.00041862-0.00045622i,0.00016022-0.00079954i
-0.0012283+0.00041499i,-0.0019619+0.0011214i,-0.0018883+0.0014862i,-0.00037758+0.00096812i,0.00039963-0.00014838i,-2.0424e-05-0.00083016i,-0.00036947+4.502e-05i,-0.00015583+0.00034187i,0.00042899+0.00025112i,0.00032222+0.00084538i,-0.00011048+0.00043548i,-0.0003388-0.00023038i,-0.0003489-0.00065338i,8.2591e-05-0.00062901i,0.00040648-0.0007295i,0.00028629-0.00082249i,-0.00018998+0.00022677i,-4.8681e-05+0.00067316i,0.00070569+0.00014721i,0.0006247-0.00024661i,0.00027255+0.00017371i,0.00014188+0.00070896i,-0.00057897+0.00078556i
0.0012704+0.001841i,0.0020618+0.0010946i,0.0021223+0.0017357i,0.0015441+0.0006641i,0.00046159-0.00074037i,-0.00060159-7.9167e-05i,-7.5222e-05+0.00063987i,0.00036822+0.00082436i,2.7562e-05+0.00078683i,0.00029635+0.00010798i,0.00065095-0.0010534i,-0.00025242-0.0016876i,-0.00068499-0.0011647i,-0.00031749-0.0006699i,0.0004373-0.00012839i,0.0002114+0.00057077i,-0.00030187+0.00035565i,-6.3827e-06-4.8943e-06i,0.00014256-0.0002393i,-0.00018443-0.00045099i,-0.00032473-0.0003063i,0.00020159+0.0005082i,0.00018622+0.00025629i
-0.00019931-0.00060296i,-3.8778e-05+0.00019645i,-0.0014621+0.00079622i,-0.0018053+0.0017409i,-0.0012585+0.0018145i,-0.00020823+0.00095612i,-3.5902e-05+0.00031703i,-0.00048132+0.00029893i,3.4329e-05+0.00035565i,0.00010143+0.00055344i,-4.1987e-05+0.00051635i,-8.35e-05+0.00049238i,-0.00023313+0.00011305i,-0.00031784-0.00038404i,-0.00026499-0.00031465i,2.5801e-05-4.6464e-05i,0.00054519+9.2348e-05i,0.00083019-0.00011697i,0.00066069-0.00019412i,0.0002082-0.00035118i,5.014e-05-0.00029777i,0.00010594+0.00042165i,-0.00012209+0.00088666i
-0.00094127-0.0010883i,-0.0024247+0.00021062i,-0.0035328+0.0011147i,-0.0026382+0.0015231i,-0.0011148+0.0019751i,-0.00075098+0.0019079i,-0.00065082+0.0015052i,-0.00029454+0.0011139i,-0.00062533+0.00077177i,-0.00048392+0.00024147i,2.8201e-05-0.00036031i,0.00032821-0.0011155i,0.000124-0.00088663i,-0.00044707+0.00050392i,-0.00052783+0.00042905i,6.3833e-05-0.00011963i,-9.6116e-05-0.00051543i,-0.00019282-0.0010311i,1.0991e-05-0.00018856i,-3.3387e-05+0.00012333i,-0.00010745-0.0001015i,0.00027284+0.0003398i,0.0002192-0.00024417i
