-0.00095115+0.00056655i,-0.0023973-0.00049348i,-0.0022451-0.0011459i,-0.0020371-8.5606e-05i,-0.0015802+0.00099972i,-0.0018049+0.0025405i,-0.0011278+0.002547i,0.00056898+0.0015128i,0.0009494+0.00070479i,0.00044638+0.00024963i,0.0001859-0.00061744i,-0.00021401-0.0010353i,0.0005805-0.00043504i,0.0011534-0.00063388i,-0.00014224-0.00088454i,-0.00075731-5.8562e-05i,-0.00038011+4.0797e-05i,-0.00030628-0.000138i,-0.00015707+0.00017102i,0.00019789+0.0008825i,0.00029833+0.00086872i,3.9786e-05+0.0001374i,0.00011311+8.521e-05i
-0.00066486-0.0040329i,-0.0014818-0.0034117i,-0.0015606-0.0025436i,-0.0016919-0.0014667i,-0.0020888+0.00049736i,-0.0019766+0.0017025i,-0.00078515+0.0011724i,-4.3218e-05+0.00037031i,4.8391e-05-0.00045479i,0.00034298-0.00026881i,0.00050374+0.00073346i,0.00053989+0.00051822i,0.00047521+0.00022493i,0.00049793+0.001163i,0.00021188+0.0014849i,-0.00015923-2.9544e-05i,0.00020608-9.1938e-06i,0.00040196+0.00068051i,-0.00019674+0.00029839i,-0.00056547+8.5757e-05i,-0.0011107+0.00040147i,-0.00078911+0.00054895i,-0.00031648+0.00026376i
-0.0004293+0.00069541i,5.8893e-05+0.001978i,0.0026825+0.0013918i,0.0030562+0.00061967i,0.0012929+0.0004i,0.00049903-0.00033517i,0.00025317+4.8068e-05i,0.00056303+0.00043065i,0.00057512+0.00016873i,0.00019255+0.000218i,-6.4592e-05+0.00036317i,3.7373e-05+0.00023104i,0.00034913+0.00064121i,0.00015988+0.00079073i,-0.00037262+0.00057032i,-0.00024567+0.00051837i,0.00034538-0.00021754i,0.00022293-0.00061459i,-5.1401e-05-0.00024979i,0.00018399+0.00029126i,0.00053941+0.00086333i,0.00038393+8.7611e-05i,0.00056122-0.00034856i
-0.0015033-0.0017474i,-0.0023589-0.0019253i,-0.0029103+2.37e-05i,-0.0019943+0.0018235i,-0.0011587+0.0014814i,-0.00051094+0.001085i,4.9161e-06+0.0018456i,0.00092518+0.0019784i,0.0018021+0.00080868i,0.0015124-0.00023626i,0.00036164-6.359e-06i,8.3655e-05+0.00078966i,0.00051887+0.00073389i,0.00056677+0.00039244i,0.00018396-0.00019026i,-3.8072e-05-0.00033769i,3.6069e-05-0.00042673i,-0.00025193-0.00030335i,-0.00031861-6.9212e-06i,-0.00015897-0.00020837i,-0.00063424-0.00074499i,-0.00047257-0.00089619i,0.00018256-0.00092258i
0.00081815-0.0036168i,0.00051574-0.0041151i,0.00028626-0.0035884i,-0.00014352-0.0019761i,-0.00092278+7.4803e-05i,-0.0017013+0.0015063i,-0.00052908+0.0015432i,0.001326+0.00023149i,0.0010088-0.00039601i,-0.00038787+0.00039606i,-0.00038032+0.00022542i,0.00033938-0.00055254i,0.00078306-0.00078717i,0.00068495+0.00054395i,-1.3235e-05+0.0015428i,-0.0011384+0.001302i,-0.0012907+0.00092519i,-0.00015492+0.00013123i,-4.3778e-05-0.00044433i,-0.00058213-0.00047974i,0.00012083+6.3891e-05i,0.00080144+0.00039214i,0.00050504+0.00023729i
-0.0001908-0.0011138i,0.00072599-0.0015279i,0.0012992-0.00058604i,0.00067222+8.8873e-05i,0.00017457+0.00058886i,0.00056732+0.0012881i,0.0004568+0.0010187i,0.00043398+0.00027415i,0.00023445-0.00019569i,-0.00015421-0.00055098i,0.00055063-0.00033364i,0.0011811+0.00072489i,0.00073621+0.00089729i,0.00011499-8.4266e-06i,-0.00027364-0.00038515i,-0.00066314-0.00030475i,-1.0168e-05+0.00017071i,0.00049548-2.665e-05i,-0.0002768-0.00094042i,-0.00097701-0.00064017i,-0.0010829-0.0001512i,-0.00050864-2.2095e-05i,-1.1025e-05+7.6038e-05i
-0.00024221-0.0020244i,-0.00098235-0.0010418i,-0.001905+0.00015981i,-0.0024451+0.00057661i,-0.0018505+9.8888e-05i,-0.0015746+4.0268e-05i,-0.001548+0.00079911i,-0.00084426+0.001516i,-0.0002565+0.0012746i,-0.00027619+0.00089342i,0.00024945+0.00053231i,0.00053915+3.244e-05i,0.00019945+0.0003724i,-0.00036571+0.00019337i,-0.00012957+2.0707e-05i,4.0884e-05+0.00021113i,-0.00026608+0.00027582i,-3.0501e-05+0.00011135i,0.00012355-0.00054494i,0.00012913-0.00063805i,-0.00034028-5.913e-05i,-0.00033623+0.00042472i,0.00036992+0.00023334i
0.0017705-0.0021361i,0.00063005-0.0037096i,0.00086839-0.0032385i,0.001162-0.0016786i,0.00087896+0.00011821i,-0.00025027+0.00084762i,-0.00091391+0.00027927i,-0.00046309+0.00029493i,5.7458e-05+0.0006566i,-0.00038243+0.0005163i,-0.00067211-1.6465e-05i,-0.000122-0.00059118i,4.337e-05-0.00019732i,0.000242+0.00096692i,0.00031026+0.0011367i,0.00018834+0.00069338i,0.00023158+6.3418e-05i,0.00039786-0.00031027i,0.00037796-0.00011499i,-0.00037839-5.3163e-05i,-0.00030434-3.4013e-05i,-3.6559e-05+0.00023559i,4.1838e-05+0.0004088i
-0.0012649-0.00083513i,-0.0010108-0.00081613i,-0.00084015+2.8144e-05i,-0.00013021+0.00019205i,0.00033563+0.00026258i,-0.00039806+0.00074801i,-0.00027601+0.00087892i,8.1062e-05+0.00015954i,5.4391e-05-0.00054794i,0.00029877-0.00036159i,0.00084078+0.0004983i,0.0010359+0.00075796i,0.00062974+0.00027421i,-0.00013551+4.8087e-05i,-0.00070451-0.00050817i,-0.00064997-0.00077234i,-0.00041712-0.00064066i,-0.00046469-0.00082469i,-8.7218e-06-0.0010189i,8.8419e-05+5.7049e-05i,-5.4347e-05+0.00054993i,-0.00021739-0.00043298i,-0.00056246-0.00055616i
-0.00096946-0.0019485i,-0.0021412-0.0019112i,-0.0035513-0.00078894i,-0.0023485+0.00075979i,-0.00025771+0.0014935i,0.00025504+0.000986i,-0.00045548+0.00061893i,-0.00013349+0.0008146i,-0.0003352+0.00082336i,-0.00047783+0.0010646i,-3.5935e-05+0.00069966i,0.00038321-0.00014846i,8.3894e-05-0.00058052i,-0.0003687-0.00093151i,-0.00010908-0.00051552i,0.00014634-0.00016539i,0.00025057-0.00016351i,0.00062807-0.00038402i,0.00039453-0.0010376i,-6.9167e-05-0.00068753i,7.434e-05+0.00057822i,-0.00026782+0.00097289i,-0.00029006-3.079e-06i
-0.00037712-0.00085045i,-0.00077779-0.00037349i,0.00025144+1.6414e-05i,0.0017658+0.00048153i,0.0018644+0.00054254i,0.00075681+0.0010695i,0.00020408+0.001306i,0.00038559+0.00086924i,0.00013234+0.00072726i,0.00058782+0.00055818i,0.0009515-0.00031787i,0.00060091-0.00042893i,-0.00023411-0.00019696i,-0.00084178-0.0003325i,-0.0013761+0.00013929i,-0.00090618+0.00082663i,0.00010768-1.2527e-05i,0.00044057-0.00066729i,0.000105-0.00024668i,-0.00015167+0.00013325i,-0.00012592+0.00034555i,0.00041673-0.0003922i,0.00063479-0.00061869i
-0.0011346-0.00073243i,0.00031765-0.0010491i,0.0027142-0.00062488i,0.0022101-0.00021565i,0.00037716-0.00015216i,-0.00070199-0.00026314i,-0.0011109+0.00051221i,-0.00035269+0.0008226i,0.00072428+0.00016733i,0.00073149-0.00068317i,0.00091848-0.00076087i,0.00040135-0.00081296i,-0.00091063-0.00069329i,-0.0010187-5.948e-05i,-0.0010948+0.00018775i,-0.0012073+0.00040433i,-0.00081831+0.00029232i,-0.00043368-7.6988e-05i,-0.00044988+0.00031293i,-0.00041274+0.00055786i,2.8566e-05+4.0728e-05i,-0.00016364-0.00090628i,-0.00084796-0.0008683i
-0.00064125-0.004533i,-0.00013867-0.0025829i,0.00025974-0.00049067i,0.00037707+0.00073168i,0.0002196+0.0010009i,0.00038532+0.00093116i,0.00058454+0.0014289i,0.00050971+0.00072811i,0.00028273-0.00019841i,6.2821e-05+5.4679e-05i,0.00024801+0.00043929i,0.00036341+4.4186e-05i,0.00041295-0.00029957i,0.00052285+0.00037365i,0.00053836+0.00065932i,0.00082712+0.0003416i,0.00046567+0.00014981i,-0.00016662+0.00028462i,9.8698e-05+0.00014415i,0.00018769-0.00061461i,-0.00066102-0.00061418i,-0.00089554+6.7303e-05i,-0.00047125+8.5995e-05i
