-0.0073025+0.00074502i,-0.0056511+0.0032361i,-0.003878+0.0066756i,-0.0011147+0.0081948i,0.0010645+0.0066682i,0.0022087+0.0039771i,0.0013053+0.0010751i,-0.00056128+0.00019587i,-0.0012481+0.0012524i,0.00018956+0.0018517i,0.0016237+0.0013687i,0.0015743+0.00015371i,0.00073571-0.0011833i,0.00034536-0.0012304i,4.057e-05-0.00026101i,-0.0003805+0.00024707i,-0.0003841+0.00047132i,-0.00023571+0.00036255i,0.00046303-0.00034085i,0.00074122-0.00090071i,0.00034891-0.00085207i,0.00061691-0.00066225i,0.00095893-0.00046625i
-0.00047172+0.00019378i,-0.00076146-0.00040472i,-0.0012333+0.00013311i,-0.00090679+0.001802i,0.00013405+0.0020144i,0.00092185-7.8092e-05i,0.00038817-0.001395i,-0.00049988-0.0015433i,-0.0001974-0.00042776i,-0.00018911+0.0010171i,-0.00032981+0.0005976i,0.00029119-0.00043765i,0.00020833-0.0001093i,-0.00029504+0.00061338i,0.00033414+0.00037168i,0.0012847-0.00017553i,0.0009777-0.00055693i,0.00018909-0.00033619i,-0.00030994-0.00017411i,4.2379e-05+0.00011524i,0.001141+0.00063389i,0.00096972+0.00079564i,-0.0001556+0.00027443i
-0.00055701-0.0013052i,-0.0009511-0.0011466i,-0.00065986-0.002675i,0.00062806-0.002718i,0.0014201-0.00025899i,0.00087696-2.7976e-05i,0.00052878-0.00056104i,0.0006012-0.00056143i,-2.1638e-05-0.0011662i,-0.00032591-0.00096099i,3.8617e-05-0.00093386i,0.00015734-0.0010622i,0.00062572-0.0010297i,0.00092162-0.0010069i,0.0004908-0.00063781i,-0.00025403-0.00061321i,-0.00017939-0.00096155i,-2.8069e-05-0.00084534i,-0.00025384-0.00021593i,-0.000147-8.0864e-05i,-0.0001703-0.00035431i,-0.00013123-0.00025607i,-0.00018056-0.00033377i
-0.00087266+0.0013801i,-0.00049208+0.0013777i,-0.0001062+0.0012869i,0.00050936+0.0012604i,4.6018e-05+0.001379i,-4.2025e-05+0.00039291i,0.00042827-0.00044324i,0.00064206-0.00016033i,0.00014099+3.5852e-05i,5.8663e-05-9.741e-05i,0.00012196-0.00057317i,0.00012064-0.00098348i,3.64e-05-0.00031683i,-0.00010321+0.00014501i,-0.00065269-0.0003551i,-0.0010003-0.00086227i,-0.00068823-0.00034233i,-0.00083384-0.00027702i,-0.00048577-0.00091337i,-9.7307e-06-0.00022596i,-0.00028157+0.00068832i,-0.00019561+0.0010061i,-0.00031153+0.0011408i
0.00035095-0.00046835i,-0.00035309+0.0006363i,-0.0015989+0.0018246i,-0.0011413+0.0019251i,-0.00071055+0.0011009i,-0.00072421+0.00056909i,0.00011241-0.00035797i,0.00071984-0.00022501i,0.00052518-0.00042309i,2.6768e-05-0.00060315i,-0.0004387-3.0532e-05i,-0.00081605-2.5155e-05i,-0.00083616+0.00014087i,-0.00035892+0.00010455i,0.00036021-0.00025445i,-0.00010158-0.00027437i,-6.9674e-05-0.00038928i,1.1989e-05-0.00060223i,-0.00036426-0.0006052i,-0.00013862-0.00032399i,0.00055055+7.2795e-05i,0.00068288-1.5104e-05i,5.7129e-05+0.00012403i
-0.0010345-0.0014855i,-0.00097075-0.0022083i,-0.0014153-0.0015881i,-0.00079556-0.00011761i,0.00024831+0.00033573i,0.0011959-8.7247e-05i,0.0013654-0.00045677i,0.00043298-0.00081561i,-0.00054643-0.0011794i,-0.0011159-0.0008084i,-0.0010177+0.00052022i,-0.00091082+0.0012305i,-0.00011166+0.0013053i,0.00054512+0.0016705i,-0.00013881+0.00088693i,-0.00046087-0.00017421i,-0.00031184-0.00037237i,7.8867e-05+0.00040007i,0.00017776+0.00086314i,0.00020402+0.00063986i,0.00026463+0.00058321i,1.882e-05+0.0010936i,-0.00032883+0.0010379i
-0.00047973-8.5567e-05i,-0.00013421-0.00033473i,0.0011809+0.00049345i,0.00079121+0.00045616i,-0.00011438+0.00032778i,3.0629e-05-1.6504e-06i,1.9674e-05+5.3748e-05i,-0.00036115+0.00070352i,-0.0005374+0.0009235i,-0.00016274+0.0002743i,0.00014057-0.00039801i,0.00033844-0.00075316i,-5.8021e-05-0.00020912i,-0.00067685+0.00075234i,-0.00038388+0.0010306i,0.00018547+0.0002732i,0.00029635-0.00057328i,0.0002533-0.00043643i,-9.9872e-05-5.0811e-05i,-1.1168e-05+0.00012292i,0.00027943+0.00075335i,-0.0002209+0.0008071i,-0.0001481+0.0005204i
0.00098764-0.0006407i,0.00093668+0.00046174i,0.00077838+0.00093961i,0.00060448+0.0018233i,0.00012833+0.0018337i,-0.00057584+0.0012479i,-0.00043128+0.00063361i,0.00099318+0.0003181i,0.0011131+0.00091098i,0.00033785+0.00084837i,0.00047404-0.00034665i,0.001262-0.0008754i,0.001129-0.00028444i,0.0006969+0.00066916i,0.0011417+0.00075402i,0.00093991+0.00066104i,0.00067566+0.00034307i,0.00020496-0.00080976i,-0.00053065-0.00060186i,-0.00058196-0.0002683i,0.00027072-1.4571e-05i,0.00058068+2.8873e-05i,0.00030097+2.5154e-05i
-0.0016217-0.00010347i,-0.0023771+0.00071676i,-0.002694+0.00025867i,-0.0016186-0.00052923i,-0.0007942-0.00062524i,-0.00010329-0.00066215i,0.00031673-1.9561e-05i,-0.00020457+0.00062198i,0.00023379+6.3647e-05i,0.0014732-3.4452e-05i,0.0015457-0.00011811i,0.00091127-0.00051521i,0.00072193-3.0055e-05i,0.00040637+0.00021628i,-0.00025164+6.5878e-06i,-0.00027393-0.00083568i,0.00025136-0.0014021i,0.00018774-0.00088319i,0.00032809-0.00046368i,0.00078042+2.7221e-05i,0.00010922-0.00023447i,-0.00051097-7.236e-05i,-0.00022448+0.00094229i
0.00020997+0.001662i,0.00079166+0.0017201i,0.00098626+0.0014816i,0.00066915+0.0014527i,0.0014979+0.00093116i,0.0015815-4.0329e-05i,-0.00028732-0.00040285i,-0.0011444-0.00063045i,-0.00079554-0.00025701i,-0.0002012-5.351e-06i,7.8022e-05-0.00049695i,0.000107-0.00073748i,-0.00093635-0.00050522i,-0.0016701-0.00017194i,-0.00091597+0.00019672i,-0.00071964+0.00055108i,-0.00076699+0.00084489i,-0.00036201+0.0014732i,-0.00062932+0.0015852i,-0.0013539+0.0010609i,-0.00079543+0.00051563i,-0.00011451+0.00019686i,1.9061e-08+0.00020806i
-0.0015752-0.001296i,-0.001058-0.0011777i,-0.00036436-0.00054134i,-0.00027712+0.00075606i,6.8413e-05+0.0012789i,0.0011618+0.00029672i,0.0013625-0.00020822i,0.00087632+0.00018116i,0.00021977+0.00022411i,-0.00026972+0.00042711i,-0.00093301+0.0011304i,-0.00089114+0.0008974i,-0.00055033-4.5145e-05i,-0.00056583+0.00018056i,-0.00032203-0.00033512i,-5.7617e-05-0.00085498i,0.00015573+0.00038743i,-0.00018464+0.00081717i,-0.0011657+0.00032762i,-0.0013641+0.00011545i,0.00043551-0.00058573i,0.001494-0.00068126i,0.0003578+3.0666e-05i
