5.7524e-05-3.7701e-05i,0.00061856-0.00040311i,-0.0010785-0.00093711i,-0.0023592-0.0010241i,-0.0021633-0.00011251i,-0.0026272+0.00062321i,-0.0018959+0.0014467i,0.00041657+0.0015122i,0.0022811+0.00076855i,0.0026186-0.00058428i,0.0015929-0.00069405i,0.00056635-0.00096461i,0.00073184-0.0011207i,0.00079711-0.0007789i,-1.2048e-05+6.5782e-05i,-0.00095939+0.00085784i,-0.0005789+0.00053664i,-0.00021312-0.00064285i,5.0849e-05-0.0012268i,0.00026506-0.00060897i,-0.00046663-5.9706e-05i,-0.00068451-3.8124e-05i,-0.00054319-0.00016663i
-0.0011568-0.0017647i,-0.0004896-0.00012563i,0.00016794+0.00018915i,-0.00061642-0.0002994i,-0.0020517+0.00022259i,-0.0013719+0.00048577i,-0.00010515+0.00032013i,0.0012051+0.00012716i,0.0011189+6.9936e-05i,-1.3342e-05+0.00037412i,-0.00055099+0.00028643i,-0.00022039+0.00028383i,0.00078461+0.00018275i,0.00089803-0.00038369i,0.00031876-0.00054726i,-0.00014086-7.5431e-05i,0.00017708-0.00046309i,0.00075978-0.00078431i,0.00044052+0.00046323i,-0.00037279+0.00043378i,-0.00064823-0.00034609i,-0.00058771-9.2132e-05i,-0.00049313+9.879e-05i
0.0013079-0.00011645i,0.00093621-0.00030946i,-8.0526e-05+0.00012908i,-0.00060133+4.4649e-05i,-0.00061623-0.00041239i,-0.001108+0.00022433i,-0.0012063+0.0010362i,-0.00051041+0.0011421i,0.00053766+0.00036179i,0.00096944-0.00025244i,0.00062978+0.00022043i,0.00033902+0.00086654i,0.0004988+0.0014159i,0.00049547+0.0012885i,-0.00024822+0.00069515i,-0.0008722+0.00049569i,-0.0001265+2.3154e-05i,0.00061641-0.00039894i,0.00050947+3.6456e-05i,-0.00016862+0.00059122i,-0.0013588+9.8321e-05i,-0.0012122-0.00093023i,6.2295e-05-0.00022632i
-0.00062805-0.00045577i,-0.00031237+0.00085353i,-2.5088e-05+0.001352i,0.00010423+0.00063167i,-0.00029537-0.00037988i,-0.00027131-0.00076976i,-0.00022687-0.00032827i,0.00031751+1.6678e-05i,0.00080043-8.5672e-05i,0.00020452-0.00010206i,-0.00020279+0.00046294i,0.00013575+0.00078921i,0.00024635+0.00069299i,0.00026055+8.167e-05i,0.00015144-0.0004424i,-0.00022937-0.00091849i,-0.00060716-0.00031871i,-2.9364e-05+0.00023358i,0.00069736+0.0006324i,0.00031371+0.00087318i,-0.00043579+0.00089158i,-0.00044658+0.00040137i,-0.00044123-0.00032961i
0.0017595+0.00066004i,6.6612e-05+0.00052858i,-0.00089562-0.00027686i,-0.00087654-0.00083666i,-0.00077885-0.00064282i,-0.00013577-0.00033786i,0.0008054+5.8279e-05i,0.00080124+0.00093415i,0.00023822+0.00050313i,0.0001176+8.4368e-05i,-0.00017894+0.00046397i,-0.00059392+2.9611e-05i,-0.00049647+0.00013276i,0.00011195+0.00054625i,-2.4793e-05+0.00011184i,-0.00015563-0.00056782i,-0.00021333-0.00041245i,0.00010062+4.7198e-05i,0.00032851-0.00051782i,0.00019211-0.00053723i,0.00030986-0.00019674i,0.00043839-0.00010714i,6.256e-05-7.1927e-05i
-0.0011215-0.00059239i,-0.0011161+0.0016104i,-0.0017105+0.0021363i,-0.0010693+0.0027699i,1.6621e-05+0.0022345i,0.00097587+0.00055854i,0.00073104-0.00069345i,0.00042621-0.00061442i,0.00058019+0.00028781i,0.00028633+0.001075i,0.0002639+0.00083172i,0.00048548+0.00012652i,0.00019938-0.00045089i,-7.9405e-05-0.00043034i,0.00013886-0.00044842i,0.00047732-0.00057989i,0.00036017-0.00041196i,1.0096e-05-0.00049677i,-8.6537e-05-0.0004654i,-0.00019319+5.975e-07i,-0.00035428-3.4864e-05i,-0.0001133+0.00046572i,-0.00022972+0.000469i
0.0017204-0.0010149i,0.0011861-0.00065718i,0.00090127-0.0014217i,0.00040022-0.001851i,-0.00042305-0.0015301i,-0.00053338-0.00090907i,0.00088102+0.00012548i,0.0011206+0.00025035i,0.00064213-0.00022112i,0.00051044-0.00054615i,0.00019638-0.00043829i,-6.7317e-05-9.9931e-05i,-0.00017136+4.34e-05i,0.00061966+8.5282e-05i,0.00070806+0.0003539i,0.00034061-0.00011239i,0.00011419+0.00015938i,-0.00043396+0.00068346i,-0.0012414+0.00042361i,-0.00081289+0.00044044i,0.00035736+0.00037964i,0.00050915+0.00014708i,-0.00026531+4.5793e-05i
0.00022292+5.2253e-05i,0.00053386+0.00096906i,0.0003815+0.00070486i,0.0010653+0.0002625i,0.0018444+4.1704e-06i,0.002104-0.00059692i,0.0020698-0.00056391i,0.0013528+0.0001961i,0.00057084-0.00018695i,0.00077618-0.0014169i,0.0012065-0.0012652i,0.00076605-0.00037859i,0.00052332+4.2881e-05i,0.00082742-0.00010921i,0.00038537-0.00022547i,0.00023538-7.28e-05i,0.00051853+0.00011481i,0.00062104+0.00045189i,0.00034111+0.00068742i,-0.00019363+9.5813e-05i,3.8062e-05-0.00023438i,-0.00011464-6.8173e-06i,-0.00089288-0.00011266i
0.0014086+0.0021184i,0.0019467+0.00046238i,0.0020337-0.00065671i,0.0012549-0.0015817i,0.00082309-0.0026342i,0.00053754-0.0021312i,0.00037914-0.00013937i,0.00068488+0.00094702i,0.0007181+0.0010763i,-0.00028676+0.00075129i,-0.00026706-1.3733e-05i,0.00049325-0.0001036i,-0.00029107+0.00016935i,-0.0008505+0.00022134i,-0.00061355-0.00016137i,-0.00062456-0.00014778i,-0.00067826+0.00015125i,-0.00047986+0.00010876i,-0.0009751+0.0006778i,-0.0012024+0.00096683i,-0.00073444+0.00037671i,2.9412e-05-0.00025815i,6.7991e-05-6.1503e-05i
-0.0010528-7.8537e-05i,-0.0012855+0.00073154i,-0.0017813+0.0016214i,-0.0011568+0.0017987i,-0.00066204+0.0012268i,-0.00066943+0.00082994i,-0.0011527+0.00036246i,-0.0015996+0.00024544i,-0.0015895+0.00032047i,-0.00098068+5.9787e-05i,-2.667e-05-0.00011294i,0.00065754-8.0082e-05i,0.00086126-0.00032267i,0.00062819-0.00045331i,0.00062377-0.00044272i,0.00073122-0.001032i,0.00038702-0.00046868i,7.4577e-05+0.001007i,0.00013496+0.00028421i,5.3551e-05-0.00037285i,0.0004843-0.00028075i,4.8431e-05-7.4164e-05i,-0.00075464-0.00057136i
-0.0021588-0.00033581i,-0.0017076+0.00090288i,-0.0010856+0.0014695i,0.00017724+0.00029378i,0.00094813-0.00033582i,0.00040342-0.00038104i,-4.4441e-05-0.000771i,0.00044331-0.000907i,0.00047183+0.00057054i,0.00012941+0.001374i,1.2585e-05+0.00031224i,0.00023713-0.0006778i,-0.00011861-0.00061659i,-0.00049242-3.3025e-05i,-0.00019874-6.495e-05i,-0.0008805+0.00022005i,-0.0011447+0.00031424i,-0.00055706-8.0665e-05i,-0.00039428-0.0007105i,-5.0629e-05-0.00077533i,0.00035959-0.00056298i,0.0012431+8.8914e-05i,0.0016266+0.00059235i
