-0.004359+4.6745e-05i,-0.0039238+0.0012238i,-0.0042292+0.0023013i,-0.002991+0.0021386i,-0.0014513+0.0015421i,-0.00098705+0.0017856i,0.00032276+0.0020445i,0.00063685+0.0022594i,0.00012458+0.0015525i,0.00080386+0.00067522i,0.00098152-0.00033843i,0.00011057-0.00081239i,-0.00043213-0.00082175i,-0.00060594-0.0013841i,-0.0006355-0.00075168i,-0.00041711-4.0264e-05i,-0.00029786+0.00014997i,-2.827e-05+0.0006837i,0.00031673+0.00059475i,0.00037914+0.00046855i,-9.8282e-05-0.00015686i,-0.00019777-0.00068175i,0.00069805+0.00035069i
-0.0015285-0.00092937i,-0.0026487+0.00057401i,-0.0022998+0.0012176i,-0.00046461+0.00068297i,0.00076549-0.00046896i,0.0010439-0.00031686i,0.0014099+0.0002078i,0.00084943-0.00045286i,-0.001325-0.0011433i,-0.0019716-0.00042745i,-0.0013163+0.00041398i,-0.00075516+0.00027715i,-0.00088334-0.00014294i,-0.00093118-0.00022482i,-0.00048392-0.00030064i,-0.00043916-7.1084e-05i,-0.00066929+8.3952e-05i,0.00010767-0.00019974i,0.00096233-0.00024981i,0.00070759-7.0788e-05i,0.00042573-0.00030282i,-0.00034336+0.00028725i,-6.888e-05+0.00038668i
0.0022508+0.00035057i,0.0013089-0.00031305i,0.0011016-0.00081948i,0.00093441-0.0017645i,0.00041062-0.0019122i,-4.2998e-05-0.0010221i,0.00066131-0.00055322i,0.0011413-0.00044719i,0.00040791-0.00071168i,4.2364e-05-0.00072433i,-0.00087341-0.00034744i,-0.0016647+0.00043475i,-0.0013709+0.00073448i,-0.00072527+0.00047271i,-0.00076761+0.00026327i,-0.0004513+0.00060811i,-0.00034459+0.0013654i,0.00011201+0.0012352i,0.00030105+0.00033777i,0.00073501+0.0006333i,0.0009228+0.00063692i,7.9595e-05-0.0004207i,-0.00019384-7.6887e-05i
-0.00062134-0.00079599i,-0.00093462-0.00074007i,-0.00099021-5.4219e-05i,-0.0010919+0.0010404i,-0.00052582+0.00031641i,-5.7242e-05-0.00045787i,-0.00022606+0.00059401i,0.00010618+0.00092713i,0.00042284-0.00054918i,-0.00013726-0.00098917i,-0.00083341-0.0004472i,-0.00099965-0.00043845i,-0.00041403-0.00015884i,-0.00013589+0.00013763i,-0.00020053+0.00015758i,-0.00024911+0.0010708i,-0.00013253+0.001742i,0.0002541+0.0012813i,0.00082504+0.00085834i,0.00091175+0.00087067i,0.00049912+0.001093i,0.0003614+0.0010032i,9.2147e-05+0.00039512i
-0.0024019-0.0005004i,-0.0031595-0.0005678i,-0.002347-0.00085432i,-0.0017085-0.0002583i,-0.0012404+0.00074817i,0.00038219+0.0010501i,0.0014989+0.00052291i,0.0018035-0.00016204i,0.00047018-0.0010505i,-0.00095742-0.00084377i,-0.00086464-4.2443e-05i,-0.00066461-1.0983e-05i,-0.00052211-0.0001671i,-7.9146e-05-0.00018406i,0.00073654-0.00027382i,0.0012949-0.00013928i,0.00096508+0.00040574i,0.0008922+0.00025828i,0.0011299-0.00021764i,0.0010913+0.00034235i,0.00058733+0.00077134i,0.0002654+0.00022559i,-1.8166e-05-0.00030272i
0.0015436+0.00029703i,0.0011193+0.00027421i,-0.00010393+0.00038736i,0.00029359-1.9992e-06i,0.0017206-0.00060547i,0.001632-0.00046473i,0.0013111-0.00014444i,0.0013176+0.00016779i,0.0006618+0.00018154i,-0.00070983+3.055e-05i,-0.0012314-0.00061941i,-0.00080225-0.0012359i,-0.00032517-9.8094e-05i,-0.00058655+0.00044513i,-0.0005314+4.386e-05i,-0.00040987+4.6959e-06i,-0.00097715-0.00017078i,-0.00027815+0.00049305i,0.00055099+0.00026768i,0.0008145-0.00039168i,0.00032047-0.00025089i,-0.00031705+9.2856e-05i,-0.00078734-0.00030478i
-0.0010377+7.812e-05i,-0.00109+0.00037734i,-0.0014559+0.00016658i,-0.0011671-0.00067251i,0.00019177-0.0010281i,0.00027219-0.0005274i,0.00014172+0.00065345i,0.0002252+0.00072925i,-0.00070125+3.5471e-05i,-0.0011214+0.00029003i,-0.00059609+0.00064103i,-0.0009892+0.00074711i,-0.0011008+0.00096326i,0.00031112+0.00094312i,0.00082015+0.00096074i,0.00011987+0.00033672i,5.0256e-05-0.00031064i,-0.00015415+0.0001273i,-0.00025516+0.00043118i,0.0001969+0.00014538i,0.00032212+3.6567e-05i,0.00032101-0.00019436i,-0.0001918-0.00041395i
0.00016734-0.0019262i,0.0014506-0.0018055i,0.00083328-0.0022975i,-0.00050296-0.0019842i,-0.00094985-0.0010017i,-0.00018478-0.00087663i,0.0011007-0.0010558i,0.0017799-0.00080049i,0.0010505-0.00087252i,-0.00011925-0.00089886i,-0.00035026-0.00057563i,-0.0005849-0.00066889i,-0.00064464-0.0011633i,-0.00052086-0.0012388i,-0.00043947-0.0011754i,-8.1497e-05+0.00046573i,6.7765e-05+0.0018395i,-7.5882e-05+0.001327i,0.00023599+9.7379e-05i,0.00052235-0.00079243i,0.00055467-0.00016211i,0.00046978+0.00090068i,-0.00016645+0.00052215i
0.00090029-0.00086544i,0.00067463-0.00055859i,-0.00037572-0.00073993i,-0.0014178-0.00045357i,-0.0011292+0.00039424i,0.00036326+0.00082914i,0.0013189+0.00012923i,0.0017771-0.001i,0.001245-0.0010604i,7.1746e-06-0.0010742i,-0.00042514-0.0007598i,-0.00056877-0.00054083i,-7.1434e-05-0.00051555i,0.00078158-0.00067689i,0.00054404-0.00058694i,0.00013986+0.00042383i,0.00028901+0.00096792i,0.00058045+0.00076329i,0.00097603+0.00051627i,0.00096255+0.0009117i,0.00018808+0.0010578i,0.00045967+0.00082208i,0.0010674+0.0008265i
-0.00012483+0.00018891i,-0.00018257-0.00055252i,-0.00034339-0.00010323i,0.00023912+3.9298e-05i,0.00075187+6.1286e-05i,0.00039303+0.0005612i,0.0002202+0.00012i,0.0011178-0.00022424i,0.0012256-0.00012304i,0.00029551-0.00011213i,-0.00067631-0.00092373i,-0.00054478-0.0010719i,-2.8928e-05-0.00050524i,-0.00067527+0.0001365i,-0.001168+0.00058134i,-0.00090671+0.0008602i,-0.00072294+0.0011215i,-0.00013109+0.00070828i,0.0004464+0.00033225i,-0.00034679-0.00031187i,-0.0013814-0.00082859i,-0.0010993-0.00053273i,7.6295e-05+0.00047766i
0.00061402-0.00018184i,0.00052333-0.00013055i,0.00083553-0.00078282i,0.0010473-0.00087534i,0.00079984-7.5264e-05i,0.00041013+0.00016904i,0.00068334-0.0001013i,0.00079959+8.0626e-05i,-7.8726e-05+0.00025808i,-0.00077784+0.00037464i,-0.00073002-1.2136e-05i,-0.00054412-0.00076479i,-0.00024351-0.00033522i,-0.00031578+0.00030457i,-0.00095068+0.0012134i,-0.001327+0.00096594i,-0.00067001+0.00037332i,0.0001485+0.00020441i,0.00012762-9.1425e-05i,9.4739e-05-0.00028152i,0.00019668-8.7645e-05i,-0.0001536-0.00027668i,-0.0010627-0.0010017i
-0.00047327-0.00015282i,-0.0004467+0.0004751i,-7.4417e-05+7.9599e-05i,-9.7396e-05-0.00033194i,0.00047083-0.00068437i,0.00079428-0.00085302i,0.00048735-0.00031266i,0.00074226+3.5683e-05i,0.0009697+0.00029153i,-0.00039743+3.3795e-05i,-0.0011946-0.00039101i,-0.0011561-0.00010636i,-0.00085034+0.0004594i,-0.00022252+0.00062052i,-0.00027768+0.00076238i,8.5708e-05+0.00097738i,0.00010111+0.0011449i,-0.00020713+0.0013183i,0.00011512+0.0010013i,0.00074471+0.00051117i,0.00097547+0.00027094i,0.00036387+0.00062298i,0.00016062+0.00058253i
0.00022395+0.00077617i,6.046e-05+0.00075242i,0.0004161-0.00068018i,0.00064536-0.0018456i,0.00059064-0.0015143i,0.00011456-0.00060958i,0.0001941+0.00018823i,0.00050755+0.00045358i,0.00046337-0.00015134i,5.9758e-05-0.00098158i,-0.0008203-0.0018017i,-0.0016064-0.0013773i,-0.0015557+0.00026972i,-0.00069806+0.0015675i,-0.00024152+0.0017491i,-0.00044312+0.00087743i,-0.00018755+0.00061434i,0.00047507+0.0007064i,0.0011784+0.00077015i,0.0010143+0.00108i,-0.00031671+0.00091134i,-0.00076367+0.00019996i,-0.00023515+0.00016397i
