0.0053475-0.00086947i,0.0030585-0.0028425i,0.00042964-0.0060565i,-0.0011727-0.0059391i,-0.0015774-0.0040161i,-0.0013696-0.00061396i,0.00034776+0.0014822i,0.0016691+0.0012497i,0.0014986-1.8032e-05i,0.0010791-0.0013164i,0.00072932-0.0007673i,-0.00043608+0.00059862i,-0.00091125+0.0012346i,-0.00045703+0.0019624i,-0.0014794+0.0020203i,-0.0023428+0.0010993i,-0.0012706+0.00063023i,-0.00014698+0.00024693i,-2.9067e-05+0.00035931i,-0.00046061+0.0008892i,0.0001316+0.00034087i,0.00049014-0.00097739i,-0.00043383-0.00089812i
-0.00020145+0.0028256i,0.00089652+0.0027408i,0.0018465+0.0017i,0.0011679+0.00095493i,0.0011722+0.00010269i,0.0016864-0.00076836i,0.0015181-0.00072672i,0.0013048-0.00021653i,0.00097111+1.0395e-05i,0.0004226+5.5081e-05i,-5.9311e-05-0.00013687i,5.1961e-05-0.00033924i,0.00069479-0.00013932i,0.0002144+0.00018044i,-0.00076125+1.6793e-05i,-0.0012559-0.00025257i,-0.00071131+5.268e-05i,5.4679e-07+0.00071225i,-0.00033149+0.00044783i,-0.00010126-0.00012841i,0.00034438-8.5933e-05i,-0.00020511-3.4327e-05i,-0.00055488-0.00057121i
0.003785-0.00079072i,0.0026326-0.0013439i,0.0018787-0.0014563i,0.0010775-0.0014246i,0.00038666-0.0011319i,0.00032983+4.5443e-05i,0.00078847+0.0013036i,0.00070488+0.00065689i,-7.507e-05-0.00043742i,-0.0004396-0.00062009i,-0.00037291-0.00017953i,-0.00090654+0.00026932i,-0.00094438+0.00045449i,-0.00066001+0.00018413i,-0.00070916+0.00014684i,-0.00018493+0.00057754i,0.00022197+0.00050629i,-0.00016536+0.00059258i,-0.00045802+0.00044451i,-0.00010948+0.00010063i,0.00035982+5.1293e-05i,-0.00015426-0.00041004i,-6.0618e-05-0.00069099i
0.00090593+0.00056984i,0.00048426+0.00072344i,-0.00060264+0.00085995i,-0.00087828+0.00051797i,0.00021184+6.6654e-05i,0.001608-3.8515e-05i,0.0015232-0.00046422i,0.00094965-0.0011163i,-8.5946e-05-0.00033328i,-0.00073898+0.00073188i,-0.00042604+0.00044664i,-0.00043433+3.0819e-05i,-0.00040333-0.00047303i,-0.00043515-0.00026999i,1.308e-05+0.00039268i,0.00069269+0.00049271i,0.00052892+0.00049039i,0.00029069+0.001146i,0.00040533+0.0014386i,0.00013932+0.0012458i,0.00010864+0.0004679i,0.00039817+0.00027059i,0.00019249+0.00032966i
-0.00024908-0.00071211i,-0.00029451-3.4818e-05i,0.00023656-0.00053351i,0.00036783-0.00055473i,0.00042428-0.00023842i,0.00060414-0.00011643i,0.0010217+0.00028097i,0.00088921+1.0734e-05i,0.00022346-0.00075537i,-0.00025437-0.001162i,0.00014821-0.0012047i,0.00048874-0.00084378i,0.00033583-0.00038044i,0.0002519-0.00040019i,0.000285+8.7559e-05i,0.00057288+0.00035838i,0.0003432-5.1213e-05i,0.0002138-0.00033619i,-0.0001563-0.00062709i,0.00014493+0.00026425i,0.000563+0.0010102i,0.00036794+0.00091201i,-0.00027661+0.00084992i
-0.000111+0.0029949i,0.00013348+0.0026719i,0.001015+0.0020697i,0.0024445+0.00098021i,0.0030907+0.00022588i,0.0018259-0.00050651i,0.00060361-0.0013412i,0.0002579-0.00040144i,-0.00032121+0.00070652i,-0.0006593+0.00085898i,-0.00033391+7.0004e-05i,-0.00058179+3.5037e-05i,-0.00075961-0.00038921i,-0.00072592-0.00103i,-0.0010965-0.00073298i,2.7708e-05+0.00025018i,0.00024189+0.0011653i,0.00021646+0.00063185i,0.0006182+0.00043999i,-0.00050087+0.00071741i,-0.00086643+0.00042811i,9.722e-05+0.0006757i,0.00055868+0.00079389i
0.0001116-0.0024551i,-0.00121-0.0024174i,-0.0014031-0.0017786i,-0.00022751-0.00058543i,0.0012996+0.00017095i,0.0020437+0.00059818i,0.0017589+0.0007196i,0.0013648+0.0007801i,0.00060359+0.00044715i,-0.00055674-2.4907e-05i,-0.00095867-3.2292e-05i,-0.00072618-0.00030953i,-0.00028887-0.00086318i,0.00030482-0.00043536i,0.00030921+0.00069678i,0.00018076+0.0007956i,0.00018527+0.0007021i,0.00067182+0.0007711i,0.000988-9.6136e-05i,0.00037668-0.00039911i,0.00011939+3.7912e-05i,-0.00017605-0.00043857i,-0.00045655-0.00025793i
0.0022447+0.0015844i,0.0024996+0.0015516i,0.0022622+6.2118e-05i,0.001648-0.0006099i,0.0010454-0.00055552i,0.00025844-0.00028656i,0.00025175-0.00018698i,0.00062123-1.4079e-05i,0.00037059+0.00025995i,8.8703e-05-3.823e-05i,-0.00032574-0.00082024i,-0.00047668-0.0014008i,-0.00064762-0.0010918i,-0.00096994-0.00016569i,-0.00084133-0.00067298i,-0.00062285-0.0014953i,-0.00050602-0.00014395i,0.00013083+0.00041186i,0.00010084-8.3128e-05i,0.00036574+0.00053557i,0.0011756+0.00079248i,0.00068511+0.00038471i,0.00015179+0.00058371i
-0.00019322-0.00055566i,-0.00057678-0.00018649i,0.00026145+0.00088462i,4.3955e-05+0.0014272i,0.00026152+0.0015307i,0.00038884+0.0012366i,0.00067456+0.00045568i,0.0010672+0.00047274i,0.00049692+0.00063854i,-2.3073e-05+0.00045828i,-0.00012795+0.00025108i,-8.9757e-05+0.00014309i,-0.00015882+0.00025552i,-0.00017839+8.9961e-05i,-9.077e-05-5.865e-05i,4.8097e-05+0.00040898i,0.00018498+0.00050996i,0.00010654+0.00046145i,-0.00028878+0.00052341i,-0.00087363-7.1741e-05i,-0.0010155-0.00026345i,-0.00033546-0.00021722i,-0.00018251-4.9374e-05i
-0.0012329+0.0016129i,-0.0014376+0.0010376i,-0.00085125+0.00043295i,0.00025775+0.00045795i,0.00052691+0.00016417i,0.0010751-0.00054015i,0.0007414-0.00081911i,-0.00083775-0.0015988i,-0.00084018-0.001882i,-2.2724e-05-0.00084728i,-0.00014524+2.7158e-05i,-0.00045551+0.00058887i,-0.00013625+0.00038248i,-0.00059526+1.8881e-05i,-0.00051799-0.00047985i,-0.00013664-0.00020213i,-0.00091137-9.8306e-05i,-0.00085689-0.00046743i,-0.00023204-0.00048573i,0.00019366+6.6085e-05i,0.000411+0.00088135i,0.00036719+0.0010291i,0.00025997+0.0011154i
-0.0007955+0.00019217i,-0.00018741+0.00099642i,0.0004653+0.00050212i,0.00063354+0.00073375i,0.0013334+0.00026011i,0.0022361-0.00081524i,0.0012508-0.0014344i,0.00015553-0.00094142i,0.00020394-3.664e-05i,0.00048125-0.00011057i,0.0002291-6.3698e-06i,-0.00037904+0.0001691i,-0.00046468-0.0004286i,0.00019171-0.00097367i,0.00073238-0.00091854i,0.00075751-0.00056145i,0.00040868+0.00019075i,-0.00045073+0.00018579i,-0.0003845+0.00025371i,0.00011135+0.00042865i,0.00046273+0.00035986i,0.0006049+0.00021633i,-3.5172e-05-0.0001443i
