-0.00097334-0.0012402i,-0.00041493-1.0661e-05i,-0.00041676-0.00016591i,-0.001532-0.0010721i,-0.0016467-0.0010389i,-0.00012897-4.4648e-05i,0.00026889-0.00082839i,-0.00015151-0.0016332i,-0.00058399-0.0001172i,0.00030604+0.0011716i,0.00095389+0.0010003i,0.00023293+6.0567e-05i,0.00023523-0.0010355i,0.00076586-0.00086212i,0.0002926-5.0014e-05i,-1.3274e-05+0.00010203i,0.00043809+0.00032943i,9.3049e-05+0.00074979i,-0.00033042+0.0001099i,-9.4639e-05-0.00018636i,0.00021208+5.0796e-05i,0.00041393+0.0003236i,-0.00020089+0.00016407i
-0.0010283+0.0010395i,-0.00014983+0.0010838i,0.00064014+0.00025159i,0.00043123-0.00025202i,-0.00027169-0.00089439i,0.00029243-0.0015592i,0.00086052-0.00088702i,-0.00023956-0.00016257i,-0.00063912+0.00048041i,0.00022235+5.8066e-05i,0.00067123-7.1423e-05i,0.00045146+0.00069373i,-0.00030418+0.00038017i,-0.0003612-0.00050057i,0.00040524+3.6122e-06i,0.00035304+0.00098698i,-0.00078757+0.00048932i,-0.00073283+0.00032443i,-0.00014057+0.00048831i,0.00026117-0.00024025i,0.00015236-0.00014239i,-0.00056155+0.00035122i,-0.00043569+6.0895e-05i
0.0016523+0.00011154i,0.0013489-0.00021448i,0.0013694-0.00090139i,0.00019923-0.0015754i,-0.00090493-0.0024052i,-0.00081031-0.0020677i,-0.00044789-0.00055089i,0.00020766+0.00029721i,0.00056508-0.00040865i,0.00015951-0.00072555i,-0.00074521-0.00017177i,-0.00094078-0.00052749i,-7.43e-05-0.00072341i,0.0003446+7.7773e-05i,0.00040057+0.00039326i,0.00039651+0.0001042i,0.00021121-0.00028611i,4.6914e-05+1.5048e-06i,0.00041354+0.00016141i,0.00088942-2.491e-05i,0.0012663+0.00037715i,0.00042859-0.00025434i,-0.00049453-0.0003957i
0.00012602-0.0026794i,0.0004239-0.0016145i,0.00025428-0.0022196i,-0.0010379-0.00235i,-0.0015395-0.002043i,-0.00047622-0.00077809i,0.00043352+0.00047511i,0.00042481+0.00081602i,-0.00026851+0.00076008i,-0.00027621-6.0994e-05i,0.00054487-0.00046107i,0.0013676+0.0006049i,0.0010349+0.00075879i,0.00035387-0.00049205i,0.00040771-0.00081973i,0.00050407-0.00015508i,0.00034317+0.00028049i,0.00024098+0.00046225i,0.00053551+0.00054573i,0.0004919+0.00048282i,0.00021743+0.00034225i,-0.00065449-0.00049313i,-0.00076604-0.00051718i
-0.00035577+0.00023804i,-0.00063777-0.00032901i,-0.0011004-0.0018687i,-0.0020839-0.002593i,-0.0022177-0.0018066i,-0.0012215-0.0016227i,-0.00037465-0.0017943i,-0.00017408-0.0010555i,-0.00052228+0.00056213i,-0.00075711+0.00081912i,-0.00026499-0.00041969i,2.9649e-05-0.0010761i,0.00029371-0.00010694i,0.00015374+0.00093958i,-0.00021732+0.00049146i,-0.00014155+0.00063888i,0.00012774+0.0007619i,0.00018925+0.00041241i,-0.00030453+0.00025137i,-0.00088639-0.00073381i,-0.00035554-0.0011616i,0.00016651-0.00077338i,-0.00019778-0.00052078i
-0.00052572+0.00032401i,0.0013093+0.00010564i,0.0018468-0.00046111i,0.00045073-0.0012766i,-0.00059136-0.002391i,-0.00050427-0.0020548i,-9.2328e-05-0.0010927i,0.00027499-0.00025074i,0.00013077+0.00013878i,9.7141e-05+0.00037257i,0.0004348+0.00050798i,0.0006542-0.00013275i,0.00046874-0.00044137i,0.00033723-0.00021367i,3.0161e-05+0.00053211i,-0.00037165+0.00017689i,-0.00078261-0.00075933i,-0.0006097-0.00071091i,-0.00034913-0.00085786i,-0.00092501-0.00090006i,-0.0012649-0.00066976i,-0.00050488-0.00042537i,0.00021185+2.6803e-05i
0.0021835-0.0010795i,0.0016073-0.00065202i,0.00086626-0.0020279i,-0.00028963-0.0025439i,-0.00066524-0.0025627i,-0.00063094-0.0020431i,-0.00032618-0.0011617i,3.3489e-05-0.00043425i,-0.00067828+0.00015556i,-0.00035997+0.00015562i,-0.00011345-0.00047294i,6.0157e-05-0.00071081i,0.00021113-0.00028497i,3.6647e-05-0.00073346i,5.5233e-05-0.0010068i,0.00010927+0.00019832i,-9.9131e-05+0.0009254i,-0.000227+0.00084896i,2.8234e-05-7.0511e-05i,0.00065159-0.00083891i,0.00092343-0.00018087i,3.5674e-05+0.00018027i,-0.00026217+0.00023579i
0.00052745+0.00047705i,0.0014944+0.00058898i,0.002436+0.00027323i,0.0021561-0.0016289i,0.0010851-0.002873i,0.00086253-0.0030414i,0.0010463-0.0020336i,0.0004496-0.0006349i,-0.00015977-0.00060343i,0.00041615-0.00099316i,0.00052216-0.00082948i,0.00021453-0.00084675i,0.0001767-0.0013779i,0.00032012-0.0006951i,0.00050281+0.00018788i,5.3146e-05+0.0005961i,-0.00033462+0.00071065i,-0.00020332+0.00024506i,0.00021322-0.00024306i,0.00046262-0.00033135i,0.00015324-0.00011883i,-0.00014836+8.1744e-05i,0.00054361+0.00038627i
-0.0013609+0.00097334i,-0.00090754+0.00088177i,-0.00057827+0.0010338i,1.7883e-05+0.00089269i,0.00017637+0.0010463i,0.00061396+0.00027927i,0.00059807+0.00048432i,-0.00030938+0.0014223i,-0.00041468+0.0015124i,-0.0002898+0.00090034i,0.00010746-8.771e-05i,0.0002044-0.00054854i,0.00077673-0.00017983i,0.0017335+0.00029364i,0.0014433+0.00010411i,0.0003955-0.00050102i,-0.00039939-0.00082151i,-0.00030061-0.00072451i,-0.0005941-0.00014083i,-0.0003102+0.00024815i,0.00080509-0.00024925i,0.00070231-0.00048i,0.00023359+0.00021639i
-0.00050959+0.00073579i,-0.00086666+2.7426e-05i,-0.00031649-0.00046521i,0.00036107-0.0011368i,-0.00060571-0.0015389i,-0.0013974-0.00086142i,-0.00049759-0.00081135i,-0.00011017-7.7822e-05i,0.00013138+0.00074966i,0.00073524+0.00050745i,-0.00017943-0.00027144i,-0.00087445-0.00037039i,-0.00078988+5.3003e-05i,-0.000727+7.7487e-05i,-0.00038676-0.00044345i,0.00024114-0.00083986i,0.00031883-0.00051064i,0.00057912-0.00059056i,-0.00010456-0.00090519i,-0.00064153-0.0010067i,0.00051184-0.00068484i,0.0015311-0.00040305i,0.0013004-0.00057716i
-0.0014723-0.0015921i,-0.00045994-0.00091152i,-0.00083472-0.00053706i,-0.00079266-0.0010292i,-0.00034935-0.0011955i,0.00080084-0.00097184i,0.0012501-0.00092148i,0.00060299-0.00056061i,0.00016074-0.0002984i,-0.00024498-0.00013973i,-0.00054227+4.8701e-05i,0.00035941+0.00054077i,0.001051+0.00027675i,0.000451-0.00066677i,-0.00043596-0.0014237i,-0.00064597-0.0007681i,-0.0002591+5.1625e-05i,-0.0004791-0.00034477i,-0.00026177-0.00035126i,-4.1955e-05-3.2798e-05i,0.00010314-0.00039626i,-2.2517e-05-0.00083098i,-0.00056251-0.00044438i
0.001121-0.0019899i,0.00086196-0.0019457i,0.00012777-0.0016485i,-0.00062557-0.00092848i,-0.00053497-0.00070005i,0.00044097-0.0013769i,0.0012305-0.0014444i,0.00018994-0.00042816i,-0.00057591+0.00054037i,-0.00039989+0.0014371i,-0.00012606+0.001295i,0.0001718+0.0003019i,0.00048511-0.00053698i,0.00076058-0.0011454i,0.0010356-0.00066181i,0.0002713-3.6984e-05i,-0.00033429-0.0003787i,-0.00038568-0.0003522i,-0.00082577+0.00030619i,-0.00051697+0.00070274i,-0.00032212+0.0005943i,-0.00016088-7.126e-05i,0.00016885-0.00030055i
0.0018951-0.00065718i,0.0013497-0.00036645i,0.0019455-0.0014244i,0.0018408-0.0027633i,0.00028035-0.0025168i,-0.00071772-0.0014825i,-0.00018665-0.00056517i,0.00010148+0.00011908i,0.00030729+0.00062143i,0.00090196+0.00050912i,0.0008814+0.00060588i,0.00037885-0.00023039i,0.0001849-0.00086878i,-0.00016898-0.00060266i,-0.00064156-0.00096547i,0.00065965-0.001136i,0.00072557-0.00045807i,-0.00067471+0.00046644i,-0.00062572+0.00011833i,-0.00017019-0.0004826i,-0.00043043+0.00011975i,-0.00039737+0.00022253i,-0.00013882-0.0003972i
0.00081901+0.0012093i,0.00099864+0.0013774i,0.000297+0.00099579i,-0.00012022-0.0006006i,0.00012429-0.0011824i,3.9945e-05-0.00078214i,-0.0007883-0.00093127i,-0.00053732-0.00063721i,-6.2534e-05+0.00011285i,-0.00071184+0.00065888i,-0.00093694+0.00056157i,-0.00044172+0.00027182i,0.00024197-0.00029125i,0.00065559-0.00044886i,0.00072485+0.00012027i,0.00028808-5.4225e-05i,0.00022395-0.00025609i,0.00094508-0.00046721i,0.00078675-0.00030426i,-0.00059217-0.00012996i,-0.0012466-0.00024026i,-0.00070528-0.00011566i,-7.4192e-05-0.00050271i
