-0.0029855+6.8396e-06i,-0.0031439+0.0015191i,-0.0024217+0.002538i,-0.0018536+0.0024939i,-0.0016014+0.0029378i,-0.00053929+0.0032339i,-0.0011042+0.003065i,-0.00097677+0.0030869i,0.00075108+0.002378i,0.0018818+0.0011013i,0.0023668+8.4745e-05i,0.0016676-0.00026233i,0.0010376-0.00067438i,-2.2112e-05-0.0012706i,-0.001283-0.00083098i,-0.00053152-0.0003521i,-0.00038156+4.6834e-05i,-0.00033383-3.5717e-05i,0.00082336-0.0003809i,0.00060159-1.4721e-05i,0.00011296+0.00024258i,0.00029593-2.6063e-05i,-0.00010796-0.0004041i
-0.0016373+0.00019868i,-0.0011252-0.00067442i,-0.00068285-0.00071143i,0.00010102-5.0309e-05i,8.8772e-06-0.00029414i,-0.00040891-0.00024051i,-0.00058514+0.00029384i,-0.00053971+0.00072969i,0.00039782+0.00031485i,0.00086463+0.00037827i,0.0012377+0.00066368i,0.0010891+0.0008346i,0.00050479+0.00023975i,0.00018165-0.00014492i,0.0001794-0.00061873i,0.00048338-0.0013278i,-1.655e-05-0.00054074i,-0.0006613-0.00029824i,-0.00066837-0.00061768i,-0.00016108-9.2425e-05i,0.00050933+0.00018358i,-9.9936e-05-0.00017312i,-0.00065638-6.1618e-05i
-0.001287+0.00048798i,-0.00078662+0.0016091i,-0.0010997+0.0019364i,-0.00032658+0.0012326i,0.00065165+0.00093416i,0.00055781+0.00029022i,-0.00014972-0.00026074i,6.7323e-05+0.00026366i,0.00028114+0.0011807i,0.00075611+0.0017655i,0.0012987+0.0010549i,0.0015281+0.00017557i,0.001237-0.00027458i,0.00093811-0.00093297i,0.00055437-0.00078433i,-9.1201e-05-0.00022158i,-0.00016007-0.00047794i,-4.0815e-05-0.00081124i,-0.00077863-0.00057452i,-0.0010639-0.00016504i,-0.00050588-1.4771e-05i,-0.00012663-0.0006059i,0.000388-0.00038541i
0.00082975+0.0010638i,0.0015054+0.00016259i,0.0015476-0.0009729i,0.00092742-0.0022572i,0.00028066-0.001529i,-0.00026508-0.00021133i,-0.0008119+0.00059042i,-0.00070343+0.0010458i,0.000314+0.0005675i,0.0012689-0.00016076i,0.0010378-0.00080022i,0.00092796-0.00068885i,0.0014081+0.00021863i,0.00075837-0.0002829i,0.00024353-0.0013346i,0.00021262-0.001052i,-0.00044366-0.00038159i,-0.0010047-0.00044065i,-0.0013445-0.00072573i,-0.00087119-0.00073507i,-0.00013294-0.00058641i,0.00012494-0.00052798i,0.00027566-0.00033236i
-0.00065685+0.0011955i,3.2004e-05+0.0018133i,0.00025839+0.0011002i,5.1573e-05+0.0002913i,-0.00041712-1.1062e-05i,-0.0016678+0.00018693i,-0.0019975+0.00060198i,-0.0012198+0.0010774i,-0.00017977+0.0013313i,0.00063832+0.0012304i,0.0012278+0.00055913i,0.0010898-0.00015537i,0.00093483-0.001315i,0.00057835-0.0017699i,0.00018261-0.00071096i,-0.00029367-0.00071938i,-0.00029406-0.0013735i,-0.00020652-0.00045757i,-0.00047262+8.4995e-05i,-0.00068892-0.00026163i,-0.0006995-0.00010407i,-0.00059659+0.00049893i,-0.00080118+0.0011488i
0.0013411-0.00044934i,0.0022643-0.0021153i,0.001325-0.0022409i,7.9884e-05-0.00045905i,-0.00044708+0.00074691i,-0.0003378+0.0002251i,3.665e-05+0.00044352i,0.00063041+0.00085993i,0.00077493+0.00025333i,0.00098605+0.00026113i,0.001148+0.0013116i,0.00058745+0.00046635i,0.00022612-0.0005819i,0.00035427-0.00092159i,-0.00012139-0.00047021i,-0.00088809+0.00014401i,-0.0009498-0.00044518i,-0.0010778-0.00088861i,-0.00082875-0.00043116i,0.00040945-0.00028074i,0.00067049-0.00028596i,9.6909e-05-9.3291e-05i,0.00023491-0.0001898i
-0.00050601+0.0016996i,0.00058306+0.0028321i,0.00063688+0.0028771i,0.00023814+0.0019704i,0.00025255+0.0011568i,0.00068226+0.00072618i,-0.00048182+0.00070935i,-0.0015578+0.00065746i,-0.00023962+0.00092735i,0.00057883+0.00071293i,0.00084583-0.00047935i,0.001124-0.0013425i,0.00084406-0.0014217i,-0.0004363-0.00088239i,-0.00075385-0.00060864i,0.00013744-0.00034649i,6.8918e-05-0.00022565i,8.6743e-05-0.00025103i,0.00028864+2.0049e-05i,0.00022643-2.7662e-05i,0.00068377-0.00012709i,0.00076867+0.00020528i,0.00091993+0.00073661i
0.00066798-0.00055288i,0.0016789-0.00025249i,0.001892+0.00048575i,0.0007877+0.00070126i,-0.00011031+0.00025543i,-0.00065858-0.00011914i,-0.00080331+0.0001848i,-0.00053572+0.00020523i,0.00016741+7.3112e-05i,0.00094085-0.00016398i,0.0018916-0.00057924i,0.0021477-0.00037075i,0.0017771-3.76e-05i,0.0017911-0.00049433i,0.0008763-0.0011963i,-6.5282e-06-0.0015714i,8.9892e-05-0.0012607i,-0.0002126-0.00094131i,-0.00046443-0.00045771i,-0.0005276-0.0002016i,-0.00042306+0.00028295i,-0.00030856+0.00082827i,-0.000172+0.0003254i
-0.0010961+0.00036099i,-0.0024272-0.00062286i,-0.0029308-0.0004283i,-0.0020437+0.00055659i,-0.00074478+0.0006679i,0.00055621+0.00064394i,0.0007621+0.00054272i,0.00019465+0.00051569i,0.00019411+0.00011561i,0.00024456+0.00046274i,0.00039523+0.00040018i,0.0017629-0.00013581i,0.0021728-0.00020262i,0.0011309-0.0012908i,0.00029229-0.0014835i,-0.0003953-0.0010701i,-0.00096107-0.0011316i,-0.00066054-0.0007568i,-8.4218e-05-0.001124i,2.3412e-05-0.001517i,0.00054496-0.00071688i,0.0009845-0.00015078i,0.00099599+3.0037e-05i
-0.0010692+0.00061493i,-9.4115e-05+0.0011845i,0.00095697+0.0014679i,0.00091363+0.00025361i,0.00012265-0.00080967i,-0.00026159-0.00046848i,0.00027896+0.00012825i,0.00061399-0.00017242i,0.0009323-0.00032027i,0.0013661-0.0003797i,0.00076321-0.00014407i,0.0011677-0.00015307i,0.0020127+8.6266e-05i,0.0009351+0.00015668i,-0.0002924-0.00011143i,-0.00047387-4.8013e-05i,-0.00014151+0.00025955i,-0.00014965+0.00014467i,-0.00036687-0.00033954i,-0.00087212+0.0003101i,-0.00097333+0.00068825i,-0.00085034-0.00011259i,-0.00019659-0.00035559i
0.00039217-0.0011828i,0.00082655-0.0021242i,2.5273e-07-0.0026623i,-0.00082665-0.0028144i,-0.0020151-0.0021541i,-0.0030956-0.00085059i,-0.0014976+0.00032075i,-0.00029597+0.0005518i,-0.0002186+1.9523e-05i,0.00048099-0.00040427i,0.00028263-0.00018496i,-0.00021896+0.00019901i,-3.7838e-05-3.8223e-05i,-0.00016972-0.000657i,-2.9631e-05-0.0011232i,3.652e-05-0.0010213i,-9.2348e-05-0.00020024i,0.00014427-0.00022848i,-0.00060435-0.00056217i,-0.00094177+1.8281e-05i,7.7788e-05+0.0004633i,0.0011698+0.00082845i,0.00088777+0.0002345i
