-0.0047507-0.00055508i,-0.002901-0.0001321i,-0.0028663+0.0011309i,-0.0016046+0.0013205i,-0.00090654+0.0018024i,0.00036185+0.001409i,0.0018185+0.00079642i,0.0018033+0.00088604i,0.0016364+0.00092796i,0.0017365+0.00028776i,0.0015883-0.00017317i,0.0014525-0.00064519i,0.00019876-0.00092307i,-0.00048335-0.00043511i,-0.0004142+5.3336e-05i,-0.00025026-8.5449e-05i,0.00027385-0.00034089i,0.00041681-0.00036371i,0.00032861-0.0002864i,-0.00030205+0.00017696i,-0.00071245-0.00061808i,-5.3243e-05-0.0010762i,0.00073607-0.00040737i
0.00055764+0.00060538i,-0.00035851-0.0008341i,-0.00055581-0.00094625i,-0.00016986-0.0007376i,0.00056687-0.0012985i,0.00073267-0.0023327i,0.00050539-0.0027357i,0.00033476-0.00226i,0.00047702-0.0013981i,0.00010486-0.0012467i,-9.1482e-05-0.00082335i,-0.00035973+0.00017545i,-0.00063409+0.0005819i,-0.00050183+0.00072397i,1.6023e-06+0.00063907i,0.0003903+0.00048912i,0.00041249+0.00030673i,0.00041038+0.00089039i,0.00030445+0.00087512i,-5.5238e-05+0.00017829i,-0.00053955-0.00022629i,-0.00081505-0.00013739i,-0.00044774+9.8505e-05i
-0.00035059+0.00030536i,0.00027841+0.00010456i,0.00030112-0.00053431i,-0.00040498-0.0010481i,-0.00051398-0.0015643i,-0.0013739-0.0019201i,-0.0029479-0.0010452i,-0.0031372-0.0003614i,-0.0027111-5.6476e-05i,-0.0011254+0.00020682i,0.00049055+0.0008968i,0.00026587+0.001217i,0.00019043+0.0010157i,0.00061961+0.00060603i,0.00070941+0.00048611i,3.9983e-05-2.6234e-05i,-0.00010329-0.00074821i,0.00024511-0.00022593i,-0.00012327+0.00026975i,-0.00036962+0.00048422i,-0.00026557+0.00093395i,-0.00013471+0.00061892i,-0.00029408-0.00012843i
-0.00089691-0.0002126i,-0.0010636-0.00010638i,-0.0010881+0.00099584i,-0.00079197+0.0015885i,-0.0018616+0.0013124i,-0.00237+0.0012439i,-0.0019282+0.0012378i,-0.0019176+0.0011798i,-0.0015776+0.0005471i,-0.0011078+8.5788e-05i,-0.00052373-0.00051234i,0.00053568-0.0011192i,0.00094414-0.00043657i,0.00041157+0.00058131i,7.8065e-05+0.00102i,0.00034195+0.00052796i,0.00074032+0.00025184i,0.00061008+4.8118e-05i,0.00028498+0.00021774i,0.00012757+4.2977e-05i,-4.5656e-05-0.00024653i,-0.00017296-0.00044644i,-0.00013297-0.00046173i
-0.00046206+0.00045654i,0.00090821+0.00054366i,0.00061508-0.0002501i,-0.0001605-0.00054978i,-0.00013671+0.00030723i,0.00049486+0.0013946i,0.0011158+0.002459i,0.00055459+0.0024574i,7.4886e-05+0.0013671i,-0.0002148+0.00016884i,-0.00043206-0.0005218i,-0.00071373-0.0008087i,-0.0012104-0.0010717i,-0.00046213-0.0012086i,0.0010684-0.00096162i,0.00057597-0.00074467i,0.00014937-0.00084764i,0.00024612+0.00015899i,0.00021611+0.00044488i,0.00041185-0.00039532i,0.00038117-4.9638e-05i,-0.00033681+0.00055711i,-0.0011686+0.00039761i
0.00042794+0.0015714i,-0.00011959+0.0019817i,-0.00042924+0.0017045i,0.00057305+0.00060133i,0.0019757-0.00011783i,0.0026352-5.0897e-05i,0.0027061+0.00036058i,0.0028436+0.00036684i,0.0027955+0.00088459i,0.0017705+0.00075641i,0.00017253+0.00028266i,-0.00063364-4.0485e-05i,-0.00024752-0.0004255i,0.00011529-0.00085592i,0.00029652-0.00040897i,0.00046147+0.00038318i,-0.00010506+0.00048953i,-0.00065413+0.00026068i,-0.00082662+0.00065905i,-0.001019+0.00045755i,-0.00036189+0.00033014i,0.0005235+0.00017261i,3.9917e-06+0.00032247i
-0.00011427-0.0002538i,-0.00035741-0.000141i,-0.0012731-2.6761e-05i,-0.001816+0.00086045i,-0.0013295+0.0008822i,-0.00067778-0.00056684i,0.00090265-0.0022022i,0.0017537-0.0022801i,0.0012605-0.0013723i,0.00089488-0.00041751i,0.0002355+0.00040604i,-7.0414e-05+0.00028602i,0.00015581+0.00027879i,0.00021518+0.00069312i,0.00040195+0.00032091i,0.00031136+0.00045767i,9.61e-05+0.0003571i,0.0003784-0.00014947i,0.00053124+0.00020746i,0.00059764+0.00065068i,0.00055701+0.0004189i,9.0553e-05+0.00045773i,-4.4854e-05-5.6506e-05i
-0.00049598+0.00077557i,-0.00016944+0.0002255i,-0.0005393-5.7063e-05i,-0.000682-0.0012054i,-0.00035802-0.0024021i,-0.00033882-0.0021311i,-0.0010689-0.0028071i,-0.0014638-0.0035691i,-0.0016154-0.0031498i,-0.001021-0.0021323i,-0.00043666-0.00079432i,-0.00051829+0.00076374i,-0.00042596+0.0011646i,-1.6936e-05+0.00037257i,0.00036775-0.00028858i,0.00025301-0.00069708i,0.00013818-0.00098374i,-0.00029904-0.00045875i,-0.00091793-3.7139e-05i,-0.00039162+0.00030109i,0.00068353+0.00061376i,0.001267+5.7329e-05i,0.00094459-0.0010487i
-0.00061234+0.001878i,0.00023454+0.0015597i,0.0014063+0.001212i,0.00093074-0.0001263i,-0.00025646-0.00060321i,-0.0012853+9.8162e-05i,-0.0019629+0.00045442i,-0.0020347-5.8911e-05i,-0.0012583-6.4564e-05i,-0.00039795-0.00039453i,8.7211e-05-0.0013424i,0.00039657-0.0016639i,0.00053475-0.00095262i,0.00061652-0.00033843i,0.00037934-0.00015888i,-6.4953e-05-0.00016831i,-0.00067981-0.00071662i,-0.00052096-0.000945i,0.00042551-0.00042557i,0.0008881-9.0604e-05i,0.00016274-0.00032607i,-0.00010147-0.00073721i,0.00028496-0.001295i
-0.00059851-0.00053819i,-0.00017386-0.00052056i,0.0006229-0.0011666i,-0.00031667-0.00088497i,-0.0018869+8.3828e-06i,-0.0019787+0.0011591i,-0.0011214+0.0019694i,-2.9049e-05+0.0022055i,0.0004294+0.0016242i,-0.00012987+0.00052131i,-0.00043807-0.0005823i,-0.00015806-0.00083249i,-0.00024038-0.0013069i,-0.00036709-0.0016947i,-0.00047792-0.00083966i,-0.0005606-0.00075254i,-5.0242e-05-0.00021854i,0.0001618+0.00055046i,0.00033873+0.00060481i,-0.00025704+0.00017799i,-0.00059257-5.2665e-05i,-6.7396e-05-0.00034158i,-8.1358e-05-0.00028325i
-0.00064904+0.0009587i,-0.00041479+0.00088487i,0.00050575+0.0018789i,0.0009782+0.0017613i,0.00116+0.00088851i,0.00083436+0.0010591i,0.00054291+0.0019613i,0.00081764+0.0023521i,0.00067928+0.001566i,0.00049247+0.00063564i,-0.00017287+0.00031778i,-0.0014056+8.8456e-05i,-0.0018739+0.0001778i,-0.0011994+0.00051668i,-0.00046333+0.00058016i,-0.00061938+0.00049016i,-0.0013255+3.8366e-05i,-0.00089447-0.00051263i,-0.00047912-0.0003046i,-0.00035992-0.00060248i,-0.00062549-0.00078404i,-0.0008873-0.00030527i,-0.0010156-0.00023755i
