-0.00027181-0.0028781i,-0.0010589-0.0028905i,-0.0021333-0.0018843i,-0.00080254-0.00022276i,0.00026838+0.0017676i,0.00015593+0.0037284i,0.0008375+0.0034169i,0.0012281+0.0019046i,0.0010415+0.0004834i,0.0012827-0.0011065i,0.0011558-0.0011063i,0.00017678-0.00044776i,-0.00028042-0.00059338i,0.00025825-0.00040274i,-2.2606e-05+2.9466e-05i,-2.7804e-05+0.00028528i,0.00019247+8.3282e-05i,-9.844e-07-0.00048562i,-0.00058342-0.00034096i,-0.00060228-0.00045573i,0.0002206-0.00087457i,-4.6873e-05-0.00038666i,0.00020599+8.8175e-05i
-0.00094445-0.0015073i,-0.0015438-0.0014498i,-0.0022107-0.00040754i,-0.0012212+0.00091416i,0.00041613+0.0011743i,0.002205+0.00099582i,0.0018652+0.0005364i,0.00049403-0.00039804i,-0.00048176-0.00058084i,-0.00058936+1.5865e-06i,-0.00039342+0.00030576i,4.1617e-05+0.00028158i,0.00093859-0.00010681i,0.0010015-0.00054161i,0.00043522-0.00070595i,3.04e-05-0.00049938i,0.00010902-0.00021843i,0.00065477+0.00022171i,0.00011232+0.00060228i,-0.00060762-0.00035051i,-4.1593e-05-0.00069999i,0.00037759-0.00053409i,0.00031227+5.3801e-05i
-0.0010935-0.004358i,0.00036934-0.0031079i,0.00067741-0.00019486i,-0.0002274+0.00049918i,0.00022213+0.00054056i,0.0011287+0.0020814i,0.00069276+0.0021944i,0.00016037+0.00073461i,-4.2664e-05+8.5346e-05i,0.0001877+0.00014434i,0.00043703+0.0002656i,-0.00012006+1.7822e-05i,-0.00037785-0.00053513i,-8.6452e-06+0.00017083i,0.00011808+0.00064458i,-0.0004725-2.2997e-07i,-0.00091679-0.00081678i,-0.0008015-0.00061577i,-0.00079249+0.00084887i,-0.0010207+0.001217i,-0.00057823+0.00068083i,-3.5076e-05+0.00077726i,0.0002844+0.0010287i
0.00078513+6.9592e-05i,0.00069661+0.00075382i,0.00041028+0.0016056i,0.00055277+0.0015314i,0.00076841+0.0014472i,0.0011807+0.0011479i,0.0013696+0.00068671i,0.00011671+8.8572e-05i,-6.0565e-05+0.00071229i,0.00020098+0.0009739i,-0.00024934+0.00040339i,-0.00037864-0.000135i,-0.00034493+0.00015066i,-3.5671e-05+0.00048771i,-0.00025173-7.8662e-05i,-0.00044169-0.00022441i,-0.00057996-9.4301e-05i,-0.00067769-0.00047446i,-0.00044648-0.00057441i,-0.00067163-0.00073718i,-0.00079063-0.00093743i,-0.00044796-0.00028532i,-0.00014952+0.00036405i
0.0010698-0.001767i,0.00021147-0.0018049i,-0.00083673-0.0023303i,-0.00085533-0.0019668i,-0.00030862-0.00047069i,0.00043181+0.00041125i,0.0007211+0.00044803i,0.0011515+1.2904e-05i,0.0012156-0.00048556i,0.00021049-0.00053481i,-0.00044007-0.00058002i,6.7833e-05-0.00078975i,0.0004578-0.00068279i,9.5312e-05-0.0013882i,0.00035728-0.00082029i,0.00060196-0.00041207i,-0.00034739-0.0015087i,-0.0011588-0.0014158i,-0.0010814-0.00045316i,-0.00025551+0.00041178i,0.00037712-5.8628e-05i,0.00066771-0.00062401i,0.0010619-0.00018818i
-0.0019222-0.0017934i,-0.001922-0.0019314i,-0.00067762-0.0009828i,0.0015468-0.00039102i,0.0020347-0.00015639i,0.001614-0.00027078i,0.00094329-0.0008518i,0.00014006-0.00032898i,-0.00015628+0.00096198i,-5.2827e-05+0.00083003i,0.00044082+0.00067164i,0.0002461+0.00091684i,-0.0001479+4.3215e-05i,0.00016679-0.00086437i,-0.00014525-0.00099832i,-0.00079669-0.00067665i,-0.00067689-0.00049319i,-9.0728e-05-0.0010671i,6.0042e-06-0.001025i,-0.00031701-0.00028472i,-0.00072511-0.00012756i,-0.00051814-0.00041388i,0.00015175-0.00034785i
0.0027434-0.00023942i,0.0015427+0.0010027i,0.00081824+0.001794i,0.001834+0.0012449i,0.0023185+0.0007243i,0.0030024+0.0014579i,0.0029186+0.001501i,0.0015889+0.00070556i,0.00090088+0.00043177i,0.00083556+0.0005098i,0.00032137+0.0002005i,6.6281e-05-0.00048281i,0.00085952-0.00026952i,0.0007444+0.00040656i,0.00041345+0.00068207i,0.00030367+0.00057992i,0.00013298-0.00036631i,2.1925e-05-0.00043552i,-0.00015174+0.00053484i,-0.00025741+0.00021626i,-4.8884e-05-0.00042184i,0.00054528+0.0003148i,3.4247e-05+0.00091694i
-0.00029458+0.0016993i,-0.0012562+0.0010752i,-0.0015932+0.0014659i,-0.00049902+0.001801i,0.00096766+0.00083682i,0.0017269+0.00050593i,0.0011845+0.00096481i,0.00046431+0.0010842i,0.000513+0.00073163i,0.00083182+6.183e-05i,0.00025308+0.00054661i,-0.0007246+0.00099392i,-0.0009695+0.00047305i,-0.00080222-0.00049571i,-0.00018864-0.00070421i,4.839e-05-1.7852e-05i,-0.00038779+0.00077081i,1.9094e-06+0.0015062i,-0.00036367+0.0014527i,-0.0010497+0.00087173i,-0.0015429+0.00074122i,-0.0013407+0.00079744i,0.00031134+0.0010272i
-0.0013254-0.0011011i,-1.1178e-05-0.0020002i,0.0017652-0.0016908i,0.0022249-0.00022377i,0.0019428+0.00065089i,0.00089562+0.00035799i,0.00070264-0.0001146i,0.00061787-0.00056844i,-0.00063353-0.00047088i,-0.00073812-0.00043968i,-0.000498-8.693e-05i,-0.00088223+0.0010484i,-0.00021372+0.00066596i,0.00030073-0.001082i,-0.00018503-0.0018694i,-0.00014553-0.0010858i,0.00072587-6.5786e-05i,0.00048017+0.00018334i,-0.00017941+0.00076609i,-0.00019278+0.0015547i,-0.00025133+0.0012972i,-0.00048956+0.00024544i,-0.00026597+9.2731e-06i
0.00058181+0.00028384i,0.00093682+0.001324i,0.0010563+0.0026815i,0.001313+0.0015968i,0.00099659+0.00052752i,0.0010571+0.00042892i,0.0014194+0.00026489i,0.00068286+0.00065339i,0.0004179+0.00081789i,0.0011601-0.00023283i,0.00044326-0.0008423i,-0.00065875-0.00037213i,-6.6627e-05+6.7749e-05i,-6.9186e-05-8.0592e-05i,-0.00075756-0.00022618i,-0.00066176-0.00031328i,-0.00037706-0.00049018i,-0.00021359-0.00039662i,-0.00019311-0.0004952i,-0.00053601-0.00028391i,-0.00024647+0.00032988i,0.00050109+0.0004789i,0.00050991+8.4443e-05i
-0.00083232+0.0001713i,-0.0011778+0.0003015i,-0.00058511+0.00026639i,0.00067153-9.4191e-05i,0.0010934-0.00039481i,0.0009689-0.0009631i,0.00084738-0.00099906i,0.00014336-0.00051665i,0.00013735+3.1785e-05i,0.00062438+0.00016352i,0.00068762+5.6019e-05i,0.00045824-0.00028149i,-0.00029841-3.6405e-05i,-0.00069633-0.0002242i,1.9586e-05-0.00041475i,7.1771e-05+0.00019553i,-0.000259+0.00052117i,-0.00011228-0.00058171i,-0.00022156-0.0014298i,-1.2177e-05-0.0012111i,-0.00051016-0.00080373i,-0.0006441-0.00024473i,0.0006395-0.00013496i
