0.0022693+0.00058499i,0.0014454-0.00023284i,0.0012897-0.0028097i,-0.00016577-0.003026i,-0.002552-0.0019339i,-0.0030978-0.00013788i,-0.0019274+0.00083086i,0.00021947+0.0014309i,0.0011626+0.00080394i,0.0003191-0.0010821i,0.00014014-0.0010664i,-6.2032e-05+0.00047453i,-0.00021208+0.0018321i,-6.7127e-05+0.0020304i,-0.0002293+0.0016112i,0.00020457+0.0010023i,0.00034188+0.00056815i,0.00032301-0.00012438i,0.00092783-0.00021973i,0.0013477+2.8802e-05i,0.0016845-0.00011756i,0.0012444+1.7459e-05i,0.00018751+0.00018646i
-0.0020037-0.001094i,-0.001952-0.00063105i,-0.0018513+0.00052285i,-0.00018851+0.00069862i,0.00095179+0.0010913i,0.00051926+0.0010129i,-6.254e-05-0.00060198i,-3.5241e-06-0.0015405i,-0.00063221-0.0012481i,-0.00070261-0.00018107i,0.00014189+0.00039251i,0.00055575-0.00017945i,0.0013129-0.00084354i,0.001954-0.0009351i,0.0013802-0.00066041i,-1.5989e-05-0.00091105i,-0.00059098-0.0010372i,0.00010801-0.00038435i,0.00077837+6.8838e-05i,-5.6688e-05+0.00024017i,-0.00060766+0.00029068i,-0.00017085-0.00012123i,0.00020642-1.7754e-05i
0.0019214-0.0011331i,0.0012421-0.001693i,-0.00039859-0.0014386i,-0.00058994-0.0010912i,-0.00080796-0.00017351i,-0.00080766+0.0011701i,1.7745e-05+0.00047394i,3.1246e-05-0.00053162i,-0.00045868-0.00030962i,-0.00095309+7.8062e-05i,-0.00122+0.00051835i,-0.00011691+0.0011058i,0.00043931+0.0011241i,-0.00021946+0.0011867i,-0.00035274+0.0012345i,3.8612e-05+0.00072352i,0.00026514-0.00056027i,0.00019558-0.0008209i,0.00017593-0.00065163i,0.00027406-0.0007558i,0.00041208-0.00075192i,-1.1466e-05+1.4461e-05i,3.5151e-05+0.0007886i
-0.0048855-1.8301e-05i,-0.0035275+0.0014116i,-0.0020135+0.0021538i,-0.00096139+0.0012532i,-0.00027543+0.0012599i,-0.0001411+0.002107i,-7.6411e-05+0.0019322i,-0.00034066+0.00027863i,-0.00078597-0.00065729i,-0.00034235-0.00015047i,-0.0001194+0.00019137i,-0.00017296-0.00010745i,0.00028796+0.00036566i,0.00053857+0.00083156i,0.0011063+0.00032532i,0.0013713-0.00015571i,0.0010705-9.601e-05i,0.00075839+0.00032223i,0.00011616+0.00027951i,-0.001046-4.6343e-05i,-0.0013369-2.54e-05i,-0.00088646+0.00071463i,-0.00082384-3.3113e-05i
-0.00053873-0.0029242i,-0.0017874-0.0030774i,-0.0026809-0.002003i,-0.0012971-0.00053058i,-0.0001732+0.00139i,0.00044608+0.0021544i,0.00053741+0.0012772i,-0.00012475-0.00027931i,-3.5383e-05-0.00034771i,-1.7308e-05+0.00043337i,0.0002316+0.00090952i,0.00073162-8.1415e-05i,0.0011622-0.0007864i,0.00084875+0.00036622i,0.00027716+0.00070466i,0.0011347-9.8506e-05i,0.0013239-0.00033442i,0.00072258-0.00016162i,0.00060185+0.00032695i,0.00028053-9.8037e-05i,2.8491e-05-0.00024675i,-0.00035124+0.00031414i,-0.00052785-4.6333e-05i
-8.1579e-05+0.0028241i,0.00059576+0.0030874i,0.0013155+0.0017904i,0.0015161+0.00084371i,0.00090091+0.00039239i,0.00073054-4.7032e-05i,0.00027591-0.00030124i,0.00061848-0.00038552i,0.00094654+0.00027103i,0.00020778-4.7543e-05i,-0.00034095-0.00046344i,1.7987e-05-0.00013391i,0.00027609-0.00056488i,-0.00026619-0.00076446i,-0.00071135-0.00053347i,-0.00025681-0.00025553i,0.00043758+2.4907e-05i,0.00038403+0.00080007i,-5.1552e-05+0.00062414i,0.00031652+0.00013538i,7.1108e-05+0.00051487i,-0.00071238-0.00015468i,-0.00040575-0.0013385i
-0.001256-0.0028067i,-0.0019938-0.0023901i,-0.0010235-0.0015953i,3.473e-05-0.00087486i,0.00049408-0.00025892i,0.00076283+0.00051897i,0.00044668+0.0007272i,0.00033511+0.00053512i,0.0002148+4.3618e-05i,0.00012891-0.00018767i,7.5848e-05-0.00012386i,0.00013327+0.00025215i,0.00051019+0.0010353i,0.00078944+0.00086035i,0.0011154+0.00010106i,0.00068322-0.00011766i,0.0005354-0.00021583i,0.00095676-0.00036338i,0.0015063-0.00056996i,0.0016458-0.0006331i,0.00092774-0.00038669i,0.0003071+0.00019568i,0.0009768+0.00059427i
-0.001365+0.0012551i,-0.0018233+0.0012055i,-0.0011191+0.00087059i,-0.00077032+0.00096003i,-0.00060579+0.0010085i,0.00015541+0.0011805i,0.00014627+0.0004049i,-0.00033459-0.00083127i,-2.5655e-05-0.00081232i,-0.00018627+0.00012954i,-0.00015942+8.4092e-05i,-7.4342e-05+0.00029719i,0.00036124+0.00010212i,0.0012048+0.00029083i,0.00082081+0.00084384i,0.00019121+1.0334e-05i,0.00047376-0.00031287i,0.00030076+0.00026719i,-0.00021587+0.00060197i,-0.0002401+0.00049161i,-0.00035464+0.0001306i,-0.00044069-0.00025896i,3.1569e-05-0.00022362i
-0.00087705-0.0024723i,-0.0010212-0.0028223i,0.00012653-0.0019944i,0.0016193-0.00076855i,0.00050777-0.00048318i,-0.00088419-0.0012059i,-0.00083365-0.0008211i,-7.2018e-05-0.00035616i,0.00012941-0.00040526i,0.00079141-0.00032921i,0.0008489-0.00017612i,9.7026e-05+0.0005012i,0.00018896+0.0012969i,0.00048983+0.00024363i,0.00051212-0.00065478i,0.00042651-0.000497i,0.0007054-0.00046495i,0.00081239-6.151e-05i,5.476e-05+0.0011183i,-1.5426e-06+0.0010063i,0.0010457-0.00019619i,0.00068662-0.00055837i,-0.00042734+0.0003023i
0.00022705-0.00010643i,0.00022777-0.00031377i,-6.4603e-05-0.0011527i,-0.00019301-4.0946e-05i,-0.0001456+0.0017922i,0.00066268+0.0019853i,0.00067733+0.0015377i,5.7688e-05+0.00075324i,-0.00021065+0.00029716i,-0.00017209+0.00046135i,-7.3196e-05+0.00070211i,-0.00037928+0.00080744i,0.00014363+0.00058683i,0.00082678+0.00041391i,0.00051886+0.00088205i,-0.00011698+0.00062069i,-0.0004171+4.6262e-05i,-0.00020083-4.376e-05i,0.0003943-0.00039327i,0.00087904+0.00037084i,0.00070507+0.00086412i,0.000346+0.00060467i,-9.5904e-05+0.00032082i
-0.0043676+0.001443i,-0.003931+0.0024957i,-0.0010933+0.0027811i,0.00046274+0.0022445i,9.9011e-05+0.0010537i,-0.00087972+0.00045026i,-0.0010782-0.00010693i,-0.00094738-0.0020699i,-0.0012261-0.002536i,-0.0012698-0.0012653i,-0.0011658+0.00029733i,-0.00080144+0.00087183i,-0.00013093+0.00038386i,0.0001882+2.3701e-05i,0.00020544-0.00021069i,0.0011265-0.00042721i,0.0019502-0.00083126i,0.0010252-0.00067708i,0.00030644-0.00023242i,0.00059065-2.0347e-05i,0.00050547+0.00027349i,-0.00023586+0.00051105i,-0.00067564+0.00052065i
-0.0007119-0.0049217i,-0.0014886-0.005275i,-0.0022582-0.0033606i,-0.0017363-0.00036396i,-0.00042685+0.0012025i,0.00062751+0.001235i,0.0010825+0.00052949i,0.00075401-0.00058662i,-0.00069518-0.00081214i,-0.0012793+0.00013517i,-0.00042653+0.0012827i,0.00074033+0.0012414i,0.00098655+0.00026524i,0.0014946-0.00034209i,0.0018147+0.00032426i,0.0014155+0.00037936i,0.00074058-0.00017025i,0.00043117-0.000348i,0.00049061-0.0002239i,0.00012358-0.00050906i,-0.00025871-0.00083914i,-0.00023907-0.00067979i,2.9107e-05-5.9408e-05i
