-0.00096507+0.0013831i,6.7618e-05+0.0010153i,-0.00099349+0.0020879i,-0.0015784+0.0019208i,-0.0013757+0.00133i,-0.0014426+0.00061225i,-0.0011187-0.00021441i,-0.00044604+0.00023854i,-1.9228e-05+0.00029674i,0.00086239+0.00038825i,0.0010392-0.00020197i,8.0675e-05-0.0010863i,8.5887e-06-0.0016729i,0.00028133-0.0016318i,-1.5027e-05-0.0011254i,0.00041693-0.00068411i,0.00051794-0.00066134i,-0.0004667-0.00086639i,-0.00058172-0.0010403i,-0.00010244-8.4918e-05i,0.00016579+0.00055018i,0.00069298-9.7085e-05i,-8.033e-05-0.00038013i
0.11513+0.013439i,0.24475-0.020102i,0.24949-0.18099i,0.025038-0.35053i,-0.20389-0.31277i,-0.22707-0.13422i,-0.13599-0.022074i,-0.061239+0.010943i,-0.012245+0.035956i,0.0095839+0.057197i,-0.0031992+0.05569i,-0.042559+0.044024i,-0.063681+0.046184i,-0.047112+0.037087i,-0.03395+0.0014378i,-0.029055-0.022146i,-0.0052346-0.012835i,0.037327-0.0012204i,0.069435-0.02246i,0.056447-0.059409i,0.015028-0.072761i,-0.012168-0.058708i,-0.011308-0.032349i
-0.0009504+0.062291i,-0.0072267+0.18203i,0.065412+0.40327i,0.24849+0.54145i,0.3778+0.44542i,0.32192+0.26345i,0.20675+0.14611i,0.13987+0.054943i,0.077902-0.012008i,0.042386-0.016435i,0.05211-0.003859i,0.065893-0.0083083i,0.06375-0.028484i,0.03856-0.042839i,0.0048523-0.033253i,-0.010207-0.016991i,0.0054993-0.0048268i,0.031956-0.00018964i,0.032506-0.0055606i,0.0046274-0.011156i,-0.022029-0.01363i,-0.028286-0.017346i,-0.022983-0.021314i
-0.057441+0.040937i,-0.065931+0.039805i,-0.0036214-0.062044i,0.036385-0.16332i,-0.019157-0.10117i,-0.02223+0.029095i,0.03797+0.052437i,0.0056577+0.0135i,-0.050692+0.011111i,-0.043275+0.012349i,-0.012137+0.0028905i,0.021062+0.00081609i,0.033342-0.0053831i,0.016549-0.006949i,-0.0017997+0.0054438i,-0.025657+0.0076356i,-0.065185-0.0043522i,-0.096058-0.0067604i,-0.097838+0.013692i,-0.068825+0.051695i,-0.028267+0.079605i,-0.0053638+0.080576i,-0.002752+0.063577i
0.046178-0.046032i,0.0010336-0.17415i,-0.18058-0.2916i,-0.37742-0.29606i,-0.38616-0.25847i,-0.28691-0.23767i,-0.212-0.18073i,-0.10857-0.09507i,-0.031819-0.05172i,-0.055487-0.029843i,-0.10726+0.00062211i,-0.11343+0.020117i,-0.056165+0.019184i,0.017506-0.018031i,0.0561-0.073117i,0.074972-0.095951i,0.081218-0.082302i,0.05928-0.048725i,0.030764-0.012108i,0.023539-0.0030251i,0.030741-0.018335i,0.032279-0.027128i,0.026632-0.015918i
-0.04544+0.083725i,-0.026678+0.27808i,0.10913+0.52411i,0.28677+0.57347i,0.28726+0.36017i,0.0985+0.12763i,-0.036972+0.035996i,-0.052447+0.0082388i,-0.042831+0.0030896i,-0.028034+0.048566i,0.0096922+0.088975i,0.045647+0.067378i,0.050277+0.01503i,0.046392-0.013264i,0.061613-0.020697i,0.073137-0.030417i,0.060603-0.032601i,0.037667-0.020826i,0.023145-0.0071569i,0.017959-0.0036177i,0.010729-0.01159i,0.0045191-0.021251i,0.003622-0.030322i
0.047556-0.12375i,0.097655-0.33102i,0.10275-0.64059i,-0.032173-0.79562i,-0.19226-0.57249i,-0.16914-0.20959i,-0.06362-0.0078021i,-0.035886+0.06863i,-0.013134+0.10492i,0.052969+0.075497i,0.089269+0.014887i,0.071558-0.0046979i,0.023145+0.010573i,-0.038483+0.032845i,-0.086546+0.06797i,-0.10028+0.098412i,-0.082256+0.090731i,-0.046821+0.048193i,-0.023774-0.0013213i,-0.02904-0.019285i,-0.040874+0.0058171i,-0.035505+0.035933i,-0.021027+0.037648i
-0.073556-0.00044897i,-0.17532+0.13424i,-0.20271+0.3956i,-0.025928+0.53738i,0.22127+0.35254i,0.29399+0.06044i,0.21248-0.075887i,0.12226-0.088864i,0.052886-0.074072i,-0.012462-0.074272i,-0.077795-0.084279i,-0.11934-0.058434i,-0.089719+0.0050981i,-0.0091714+0.050923i,0.056381+0.054423i,0.087045+0.045699i,0.093762+0.043158i,0.080679+0.035891i,0.063926+0.020919i,0.053558-0.002985i,0.043753-0.03136i,0.030561-0.045925i,0.016806-0.036299i
0.075807+0.089952i,0.17276+0.12931i,0.21576+0.12166i,0.14358+0.11252i,0.047274+0.13744i,0.0047031+0.11716i,-0.021284+0.027512i,-0.042873-0.034008i,-0.031107-0.044141i,0.0013764-0.023833i,0.038669+0.01118i,0.057412+0.02444i,0.036603+0.020419i,0.0078746+0.026326i,-0.0033769+0.036126i,-0.0049646+0.029328i,-0.0068618+0.013146i,-0.014897+0.0084497i,-0.016857+0.015844i,-0.0042743+0.015132i,0.0045608+0.0021844i,0.0018654-0.0060888i,-0.0033886-0.010489i
-0.022453-0.060494i,-0.090281-0.21179i,-0.19681-0.3822i,-0.28337-0.40632i,-0.2961-0.27084i,-0.23524-0.093298i,-0.13085+0.02926i,-0.055156+0.04874i,-0.049674+0.02492i,-0.056989+0.021775i,-0.039822+0.020231i,-0.021774+0.0018937i,-0.024042-0.025665i,-0.052034-0.046094i,-0.088826-0.045008i,-0.10578-0.03384i,-0.093188-0.027405i,-0.057814-0.016083i,-0.028161+0.0030511i,-0.027945+0.026463i,-0.034599+0.050677i,-0.026067+0.056439i,-0.014066+0.044484i
0.065598+0.093628i,0.14909+0.15782i,0.21134+0.17312i,0.21403+0.12047i,0.21849+0.040849i,0.23017-0.042796i,0.18324-0.088114i,0.11153-0.060037i,0.06264-0.011425i,0.015403+0.0069902i,-0.035061+0.0072031i,-0.055102+0.010153i,-0.028185+0.019234i,0.021205+0.015336i,0.061639-0.0049979i,0.073247-0.011469i,0.058102+0.0094948i,0.037085+0.025415i,0.02237+0.020754i,0.019755+0.013635i,0.02824+0.0056001i,0.032742-0.0053469i,0.028348-0.011892i
