-0.00096507+0.0013831i,6.7618e-05+0.0010153i,-0.00099349+0.0020879i,-0.0015784+0.0019208i,-0.0013757+0.00133i,-0.0014426+0.00061225i,-0.0011187-0.00021441i,-0.00044604+0.00023854i,-1.9228e-05+0.00029674i,0.00086239+0.00038825i,0.0010392-0.00020197i,8.0675e-05-0.0010863i,8.5887e-06-0.0016729i,0.00028133-0.0016318i,-1.5027e-05-0.0011254i,0.00041693-0.00068411i,0.00051794-0.00066134i,-0.0004667-0.00086639i,-0.00058172-0.0010403i,-0.00010244-8.4918e-05i,0.00016579+0.00055018i,0.00069298-9.7085e-05i,-8.033e-05-0.00038013i
0.0011554-0.00085682i,0.0010933+6.1888e-05i,0.00066805+0.00045918i,-0.00027304+0.0012829i,-0.00039783+0.0016879i,-4.2406e-05+0.0010994i,0.00094298+0.0011809i,0.00122+0.0002047i,0.00090632-0.001158i,0.00046006-0.0012259i,-6.1805e-05-0.0019723i,0.00018839-0.0019502i,-0.00033545-0.00068413i,-0.00082482+0.00019519i,-0.00062262+0.00057266i,-0.00035196+8.1484e-05i,0.00030013-0.00037219i,0.00066192-0.00039961i,0.00070457-0.00036508i,0.00060373-0.00042978i,0.00070912-7.6661e-05i,0.00052882+0.00055901i,0.00022382+0.00018966i
-0.0003514+0.0013422i,0.0004147+0.0012934i,0.00055049+0.0016814i,0.0005668+0.0010137i,0.0011198+0.00014171i,0.0016487-0.00028549i,0.0012045-0.00040355i,0.0005589-0.00076714i,0.00024722-0.00090762i,-0.00025335-0.00062553i,2.4393e-05+2.4484e-05i,0.00011781+0.00035552i,-0.00020455+0.00013981i,-0.00025557-0.0002093i,-0.00034721-0.00021674i,-0.00061721-0.00026763i,-0.00075112-0.00018858i,-0.00050179+0.00025965i,0.00020344+0.0014009i,0.00026564+0.0014937i,-0.00042361+4.1329e-06i,-0.00027136-0.00043445i,0.00040929-0.00018621i
0.0017245+0.0010145i,0.0010814-7.4617e-05i,0.00043854-0.00045618i,-0.00038431-0.00086404i,-0.0007503-0.00090118i,-0.00051782+0.00039197i,-0.00025442+0.0012918i,0.00010219+0.00088096i,0.00018376-1.1834e-05i,7.4014e-05-0.00057107i,-0.00037385-0.00086224i,-0.0011611-0.00047263i,-0.0011308-0.00055402i,-0.00044588+0.00011565i,-0.00053205+0.0012674i,-0.0010754+0.00040121i,-0.00035913-0.00030287i,0.00031082+0.00014413i,0.00044935-0.00018982i,0.00057181-0.00070401i,0.00056744-0.00019711i,-7.3185e-06+0.00036458i,-0.00042587+0.00044501i
0.00054645+0.00013595i,0.001096-0.00014916i,0.002534-0.0013815i,0.0032617-0.0014172i,0.0022042-0.00024417i,0.00043269+0.00018803i,0.00011199+0.00034152i,0.00037891+0.0003519i,8.8895e-05+0.00032857i,0.00034388-5.9537e-05i,0.00046279-0.00089155i,-0.00024407-0.0011379i,-0.00064901-0.00085452i,7.0667e-06-6.9916e-05i,0.00022087+0.00053526i,-0.00049185+0.00023906i,0.00010045-0.00051146i,0.00057258-0.00030716i,5.0171e-05-0.00034061i,-0.00012168-0.00050833i,-0.00037072+0.00014803i,-0.00024874+0.00043043i,0.00055205+0.0005332i
-0.0022965+0.00058018i,-0.0015243+0.00091604i,-0.00061496+0.0011284i,-0.00013097+0.0021399i,0.00047635+0.002596i,0.0011734+0.0011985i,0.00083537-0.00020556i,0.00024931-0.0005715i,0.00058921-0.00027024i,0.00073445-0.00037014i,0.00016404-0.00042484i,0.000288-0.00087128i,0.0002342-0.0012101i,-0.00061624-0.00059732i,-0.00094653-0.00042454i,8.8392e-05+0.00013449i,0.00047907+0.00014933i,-0.00011871-0.00022326i,-0.00053839+0.0001583i,-0.00062233+1.0875e-05i,-0.000228-0.0003225i,-0.00082281+3.5052e-05i,-0.00094514-0.00023209i
0.00065628-0.00031066i,0.00050047-0.00075614i,0.00091609-0.00011546i,-9.2378e-05-0.00022358i,-0.0012204-0.0012049i,-0.0013306-0.0012405i,-0.0009555-0.00031149i,-0.00027537-0.00053231i,0.00010183-0.00077112i,-0.00019875-0.00052431i,-0.00053876-8.2324e-05i,-0.00022995+0.00025351i,0.00013578-0.00010424i,0.00038825+1.3555e-05i,0.00033326+0.00015394i,-0.0001372+0.00051864i,-9.8646e-05+0.00022407i,0.00043573-0.0011073i,0.00072659-0.0013974i,0.00066665-0.00083282i,0.00026159-0.00039272i,0.00015863-0.00067704i,0.00048833-0.00039988i
7.7953e-05+0.00035941i,0.00055542+0.00084136i,0.00076737+0.00058732i,0.0013842+0.00030372i,0.0015096+0.00026986i,0.0010205+0.0010192i,0.00097502+0.00076258i,0.0008317-0.00043807i,0.00072286-0.00055412i,0.00038995-0.00052714i,-7.8988e-05-0.00054417i,-0.00038201-0.00029005i,-0.00075615-0.00030875i,-0.00058297-0.00042632i,-0.00056991-5.8841e-05i,3.2914e-05+0.00073138i,0.00048981+0.00068577i,0.00020504-1.1542e-05i,-0.00032857-0.00021676i,-0.00021767-0.0001295i,0.00079913-0.00049624i,0.00089687-0.00079316i,0.00038125-0.00015351i
-0.00065022-0.00061165i,-0.0014206-0.00013362i,-0.0018399+0.00012957i,-0.0019775+0.0005291i,-0.0010768+0.00067099i,5.7505e-05+0.00050065i,0.00063356-0.00038144i,0.00037267-0.00086159i,-0.00045471-0.00047391i,-3.2935e-05+0.00065997i,0.00048485+0.00090624i,0.00085142+0.00012533i,0.0010758+0.00034529i,0.00082848+0.00061083i,0.00034642+0.00045409i,-0.00024518-6.4116e-05i,-0.00038723-0.00064717i,-0.00066838-0.00034711i,-0.00062813+0.00029109i,0.00022538+0.00034921i,1.5271e-05+0.00031091i,-0.00057821+0.00066678i,-0.00014657+0.00044278i
-8.4422e-05+0.00028612i,-8.1308e-05+0.0010629i,0.00070108+0.00078174i,0.00048998-0.00031955i,-0.00032447-0.00070016i,-0.00040761-0.00043403i,3.7063e-05-0.00063639i,-1.4016e-05-0.00026945i,0.00015935+0.00074346i,8.0245e-05+0.00034489i,-4.5862e-05-0.00028766i,0.00038564-0.00029628i,-0.00025555+0.00016486i,-0.0012215+0.00056536i,-0.00063876+0.00034535i,0.00029447+0.00043574i,0.00041559+0.0006032i,0.00022431+5.013e-05i,1.3723e-06-0.00041675i,0.00019223-0.00030095i,0.00070993-0.00025135i,0.00068407+0.00046391i,0.00039941-3.938e-05i
-0.00012304+0.00047169i,-5.488e-05+0.0010281i,-0.00063637+0.0019219i,0.00026301+0.0022865i,0.00061405+0.0018105i,0.00083862+0.00024685i,0.0013886-0.00073513i,0.0010679-0.00037552i,0.00029321-0.00023032i,-0.00012359-0.00040874i,3.0611e-05+5.5881e-05i,0.00018998+0.00042291i,0.0001116-0.00045754i,6.9314e-05-0.0012067i,0.00034953-0.0005166i,0.0001481+0.00025598i,-0.00012225+3.4612e-05i,0.00021284-0.00063335i,0.00045129-0.0011649i,7.6761e-05-0.0011925i,-0.0003236-0.00018469i,-0.00080795+0.0011793i,-0.00084629+0.0012218i
-0.00052393-0.00016063i,0.00068557-0.00051079i,0.00022998+0.00021063i,0.00033137+0.0010865i,0.00068224+0.00035891i,0.00012369-0.00064993i,-0.00038995-0.00079415i,-0.00033574-0.00063176i,-0.00010546+9.8784e-05i,-0.00062166+0.00053257i,-0.00068094+0.00035181i,-0.0002705-3.7907e-05i,-0.00061225-0.00013091i,9.3614e-05-0.0001829i,0.00046168+0.00021341i,-0.00013164+0.00021353i,-0.00034128+0.00045515i,-0.00018671+0.00077459i,-0.0001218-0.00016161i,0.00035022-0.0012041i,0.00065266-0.0010739i,0.00030844-0.00041423i,5.9863e-05-2.2997e-05i
0.0012891+0.0004579i,0.00024516+0.0010868i,0.00077225+0.0009106i,0.0012527+0.00010221i,0.0011815-0.0013363i,0.00065186-0.0017051i,0.00098456-0.00048322i,0.00086072+0.00045771i,0.00034697+0.00083029i,-0.00029277+0.00046444i,-0.00094799-0.00047022i,-0.00063282-0.00081898i,-0.00045717-0.00055281i,-0.00058898-0.00028535i,-0.0011936-0.00011924i,-0.0014246+0.00036127i,-0.00097671+0.00029066i,-0.00045159+0.0004323i,-7.6426e-05+0.00022597i,-0.00052925-0.00060235i,-0.00012806-9.3537e-05i,0.00035276+0.00052679i,-0.00083757+0.00061809i
0.00027466-0.00074805i,0.00056696-8.9532e-05i,0.00064621-0.00015605i,-0.00062575-0.00063432i,-0.0014207-0.00041113i,-0.00097613-0.0001289i,-0.00063429-0.001114i,-0.00021203-0.0013606i,0.00070026-0.00069233i,0.0006732-0.00032607i,-0.00014661-0.00023912i,-0.00028351+0.00015035i,3.1235e-05+0.0005205i,-0.00012281+0.00037688i,-0.00082806+7.2791e-05i,-0.0010352+0.00018673i,-0.00087597+0.00026761i,-0.00052865+0.00037521i,-0.00018064+0.00013917i,-0.00056873-0.00029972i,-0.00050962-0.00060943i,7.5407e-05-0.00086532i,0.00085807-0.00044263i
-0.00044081-0.0001232i,-0.00020164-0.00028722i,0.00041704+0.00079438i,0.0012726+0.00099262i,0.0023169+0.00043937i,0.001622-3.9695e-05i,0.0007244-0.00023671i,0.00094568-0.00058542i,0.0007454-0.00037791i,-8.4077e-06+0.0002323i,-0.00040438+4.4491e-05i,-0.00030708-0.00028961i,-0.00020958-0.00044509i,0.00029378-0.00024919i,0.00017511+0.00016724i,-0.00065819+0.00020221i,-0.00047057+0.00034239i,6.0917e-05+0.0005066i,0.00041418-8.5781e-05i,0.00071102-0.00065612i,0.00075492-0.00052807i,0.00020904-0.00036282i,-0.00020427+0.00012642i
-0.00040312+0.00053575i,-0.00099561+0.00010797i,-0.00055649-0.00017968i,0.00047694+0.00033558i,0.0010593+0.00076499i,0.00064637-0.0001424i,0.0006536-0.0014314i,0.0010927-0.0013818i,0.001167-0.00053853i,0.00041682-0.000185i,-0.00039616-0.00011225i,0.00019813+5.6951e-06i,0.00031088-0.00025998i,-0.00031305-0.00083555i,-0.00091197-0.00043109i,-0.00065424+3.5115e-05i,-0.00017278-2.172e-05i,0.00051101-0.0001445i,0.00051509-0.00079978i,0.00021442-0.0015795i,0.00018206-0.00065818i,-0.00011331-0.00018004i,-0.00022582-0.00020304i
-0.0013491+0.0016844i,-0.00023387+0.0019794i,0.00072449+0.0015246i,0.00063338+0.00020308i,0.00040108+8.8591e-05i,-0.00029728+0.00075723i,-0.00053013+0.00058291i,-0.00041007+0.00054489i,-0.00019776+0.00040748i,-0.00023105-0.00027407i,-0.00033122-0.00073223i,0.00019982-0.00078981i,3.263e-05-0.0012596i,-0.00013481-0.00085593i,-9.3909e-05-0.00060331i,-6.2604e-05-0.00077887i,-5.1468e-06-0.00068308i,3.1596e-05-0.00052555i,-2.8165e-05-0.0003648i,0.00011351-0.0002577i,4.7158e-05+0.00013708i,-0.00032728-5.6191e-06i,-0.00040046+0.00014503i
3.6974e-05+0.00047316i,0.00033037+0.00052338i,0.00011302+0.0015452i,0.00079931+0.0015759i,0.0012285+0.00079912i,0.00041848+0.00081549i,-3.2954e-05+0.00058929i,-7.2777e-05-5.2957e-05i,1.8122e-05-0.00025952i,0.00015236-0.0004938i,-0.00072931-0.0010231i,-0.00022655-0.00019395i,0.00065227-0.00021915i,-0.00030822-0.0014486i,-0.0010859-0.0010965i,-0.0013496+8.3936e-05i,-0.0012226-0.00010696i,-0.00062243-0.0011713i,-0.00017924-0.00094739i,0.00032824-0.00064455i,0.00027246-0.00084123i,-0.00043761-0.00024633i,-0.00023713+0.00050746i
0.00040134-0.0001108i,0.00024417-0.00051948i,0.00041684-0.00093363i,0.00035042-1.5429e-05i,-8.1864e-05+0.0007727i,-0.00018362-0.00043301i,0.00059517-0.00091127i,0.0011321-7.3643e-05i,0.00076655+0.00037168i,0.00069326+0.00042883i,0.00066518+0.00043904i,0.00020516+0.00063155i,-0.00027511+0.00082374i,0.00019428+0.00064992i,0.00052418+0.0003864i,1.2544e-05-0.00022153i,1.2298e-05-0.00090854i,0.00048064-0.00065844i,0.00020879+0.0002192i,-0.00081297+0.00039313i,-0.0010686+0.00033092i,-0.00067591-5.3205e-05i,-8.1923e-08-0.00040194i
0.00049224-0.00081762i,0.00043756+0.00023138i,0.00034811+0.00049977i,0.00027994+0.0010132i,-6.974e-05+0.0015578i,-0.00036016+0.00090847i,-0.00086856-0.00036586i,-0.00016223-0.0004552i,0.00049076+0.0003411i,0.00036079-1.3501e-05i,0.00050775-0.00063861i,0.00037295-0.00010148i,-0.00014601+0.00049806i,-0.00043178+0.00017085i,0.00060337+0.00055169i,0.00065645+0.001428i,-0.00056615+0.00046326i,-6.2109e-05-0.00071553i,0.0002651-0.00026487i,-0.00046606+0.00054222i,-0.00096993+0.0005867i,-0.001209+0.00016979i,-0.00030092+0.00039447i
7.2062e-05-2.3847e-05i,-0.00048724+0.00020263i,-0.00028968+6.7622e-06i,-0.00031286-0.00066979i,0.00035822-0.0013854i,0.0011233-0.00025215i,0.00097394+0.0010247i,0.00082772+0.00053532i,0.00012953-0.00021599i,-0.00018508-0.00059696i,9.7883e-05-0.00030039i,0.00044959+0.00017465i,0.0002705-0.00037549i,-0.00013194-0.00086555i,-0.00051442-0.000839i,-0.00099075-0.00057894i,-0.000593-0.00043611i,-0.00027089-0.00026885i,-0.00022076-9.5153e-05i,-0.00050865+6.7389e-05i,-0.0014368+0.00086135i,-0.00050785+0.0010236i,0.00045658+0.00062626i
-0.00082368-0.001061i,-0.00069758-8.1733e-05i,-0.00086798+0.00053622i,-0.00051628+0.0012377i,-0.0001773+0.00099917i,0.00080725+0.00031184i,0.0011516+5.0959e-05i,0.00070764+0.00013902i,0.00020255+0.00065815i,-0.00022602+0.0012094i,0.00039196+0.0013291i,0.00097509+0.0006061i,0.0010852+5.8482e-05i,0.00058607-0.00029727i,5.883e-05-0.00052747i,-0.00037659+8.2436e-05i,-0.00036704+0.00057382i,7.1858e-05+0.00088455i,0.00035068+0.00039774i,-6.9317e-05-4.5165e-05i,-0.00069627+0.00035046i,-0.0012734-7.0809e-05i,-0.0012783-0.00062299i
0.0020122+0.00036787i,0.00099976-8.7136e-05i,0.00046007-0.00041654i,0.00038324+0.00024807i,-7.4601e-05+0.00057928i,-0.0010911+0.00050009i,-0.00066089+0.0011432i,0.00033537+0.00078561i,0.00014882-8.4994e-05i,-0.00015765-0.00022834i,-0.00047359-0.00035025i,-0.00083759+0.00035714i,9.2902e-05+0.00035554i,0.00083724+0.0005497i,0.00078942+0.001099i,0.00070568+0.0002808i,0.00012628-0.00043857i,0.00033521-0.00089643i,0.0013033-0.00060337i,0.0012501+0.0003387i,0.00041721-1.3182e-05i,-0.00013077-0.00044568i,0.0002964-2.0151e-05i
0.00077549-0.00049204i,0.00091768+3.2526e-05i,0.00094828+0.00021668i,0.00072958-0.00026362i,0.00012883+2.7013e-06i,-0.0007942-0.00021843i,-8.5834e-05-0.00061536i,0.00044446-0.00043775i,-0.00028211+5.1485e-05i,-0.00021281+0.00031886i,0.00071407+0.0005797i,0.0011388+0.00052707i,0.00047891+0.00029644i,-0.00020369-5.7516e-05i,-6.2648e-05+1.109e-05i,0.00036871+0.00033965i,0.00048871+0.0001021i,0.00049331-0.00051105i,0.00044856-0.00024555i,-3.5744e-05-0.00023718i,0.00022026-0.00073037i,4.086e-06-0.00069979i,-0.00037769-0.00033125i
0.001643+0.00080448i,0.0023763+0.001107i,0.0024658+0.0010349i,0.0030481-0.00026042i,0.0031094+9.8579e-06i,0.0013251+0.0003514i,-0.0004835+0.00078184i,-0.00076407+0.00082752i,-0.00018884-0.00025826i,-0.00020672-0.00038818i,-0.00057137+0.00023349i,-0.00067414-0.00031576i,-9.6961e-05-7.6809e-05i,0.00059759+0.0010158i,3.9602e-05+0.0011693i,-0.00049675+0.00055182i,-0.00094103+6.1807e-05i,-0.00079591-1.4905e-05i,-0.00039805+0.00033859i,-0.00018842+0.00013922i,0.0002179-0.00058238i,0.00046923-0.00081047i,0.00049993-0.00048051i
-0.00033512-0.00037425i,-0.00013375-0.00070414i,-5.2837e-05-0.0008237i,-0.0005759-0.0012925i,-0.0007645-0.0013922i,-0.0004737-0.00099362i,-0.00014646-0.00080584i,0.00013606-6.5848e-05i,-3.3553e-05+0.00058188i,3.2061e-05+0.00037402i,0.00024911-4.4592e-05i,0.00019495-0.00086262i,0.00045481-0.0011664i,0.00045837+6.5916e-05i,0.00042965+0.00060893i,0.00097776-0.00027042i,0.00070369-0.00060986i,-0.00065569-7.5508e-05i,-0.00030901-0.00010659i,0.00077258-0.00067076i,0.00027046-0.00092016i,-0.00052782-0.00029631i,-0.00072018-0.00031364i
0.0024815-0.00026857i,0.0025627-0.00062241i,0.0018831-0.00057035i,0.0013049-9.5919e-05i,0.0018211+0.00013595i,0.00053303+0.00018073i,-0.00016325+0.0010177i,0.00071703+0.00085895i,0.00020181+0.00047001i,-0.00095855+0.00054038i,-0.0009947-0.00028277i,-0.00018481-0.00071217i,0.00072862+0.00014894i,0.0010011+0.00048894i,0.0010071-9.3715e-05i,0.0010295-0.00011489i,0.0007999+0.00021254i,0.0001598+0.00014246i,-0.00074829+0.00020876i,-0.00086712+8.2982e-05i,-4.2505e-05+3.1605e-05i,-2.9751e-05+0.00018342i,-0.00021096-0.00025679i
0.00022325+0.00063217i,0.0013806+0.0010367i,0.00086227+0.00068313i,-0.00044431+0.00063265i,0.00028571+0.0011728i,0.001451+0.00074898i,0.00062443+0.00017677i,0.00018312+0.00025129i,0.00030309+0.00016916i,-0.00036418-0.00023337i,-0.00064057-0.00019912i,5.6729e-05-1.3072e-05i,0.00061935-0.00036111i,0.0008539+7.9056e-06i,0.00037323+0.00083638i,-0.00036413+0.00053797i,0.00011524-3.3099e-05i,0.00036783-0.00034396i,-3.3608e-05-0.00027352i,-0.00014362-0.00044277i,-0.00010597-0.00015846i,-0.00017463-0.00019902i,-0.00032992-0.00055897i
0.00083872+0.00034616i,3.3563e-05-0.00036703i,0.00021788-0.0012359i,0.00054631-0.00085264i,-3.7587e-05-0.00037626i,-0.00058783-0.00027049i,-0.0005537-4.6086e-05i,-0.00030146+0.00038771i,0.0003269+0.00045726i,0.00075908+0.00018339i,0.00049753+0.00026157i,3.8917e-05+0.00027291i,-0.00042854-0.00013761i,-0.00039453-0.000182i,-0.0005944+0.00023608i,-0.00073236+0.0003459i,-5.2392e-05+0.00068144i,0.00043203+0.0010953i,0.00038599+0.00047166i,0.00053325-0.00031016i,0.00084333-0.00024738i,0.00098672+0.00042064i,0.00048931+0.0012926i
-0.0016058+0.00052999i,-0.0019968+0.00055292i,-0.0017068+0.0023966i,-0.00096682+0.0027869i,0.00025672+0.0018629i,0.0013709+0.00068204i,0.0017356-0.0011583i,0.001267-0.0016654i,0.00049055-0.00071611i,0.00011477-0.00022266i,-0.00013231+0.00044913i,-0.00042212+2.9855e-05i,-0.00021677-0.00043089i,-6.2124e-05-0.00055523i,-0.00014683-0.00051711i,-0.00062466+0.00051939i,-0.00090717+0.00055309i,-0.00039688-0.00020795i,-0.00021751-0.00034024i,-0.00046122-8.2434e-05i,-0.00013544+0.00040931i,-4.3625e-05-6.1073e-05i,-0.00039941-0.00079302i
-0.0012978-0.0016984i,-0.0025985-0.0014019i,-0.0032079-0.00053551i,-0.0029131+0.00045275i,-0.0011736+0.0012056i,0.00020864+0.0021178i,0.0012901+0.0017162i,0.00089867+0.00032675i,-0.00024593-0.00067299i,-0.00024421-0.00040713i,-0.00035207+0.00050927i,-0.00014318+0.00026162i,0.00017396-0.00051268i,2.788e-05-0.00046312i,-0.00018604-0.00024128i,0.00016997-0.00031563i,0.00039899-1.3521e-05i,-0.00059002+0.00079444i,-0.00074904+0.00085317i,-0.0001336+0.00065973i,-0.00035087+0.00045426i,-0.00016873+0.00010304i,7.7385e-05-0.00026421i
-2.028e-05+0.00017927i,0.0002743+0.0005105i,0.0012964+0.00063218i,0.0012949-3.6088e-05i,0.00076443-0.00090008i,0.00013727-0.0003318i,-0.00023623+0.00035079i,0.00074244-0.00013682i,0.0013045-0.0010753i,0.00048485-0.00169i,-0.00053496-0.001011i,-0.00075213+0.00051733i,-9.9622e-05+0.0010812i,0.00020626-0.00017965i,1.9718e-05-0.0012954i,0.00035788-0.0010718i,0.00080163-5.3441e-06i,2.1666e-05-6.139e-05i,-0.00067528-0.00075257i,-0.00027927-8.3958e-05i,-0.00039145+0.0002668i,-0.00062833+0.00014768i,-0.00047882+0.00011153i
0.00015415+0.00015287i,0.00054721-0.00090705i,0.00061358+0.00028406i,0.00076233+0.00069865i,0.0012505+0.00056356i,0.00093484+0.00058464i,-0.00029478+8.1465e-05i,-0.00074559-0.00027638i,-0.00033013-0.00067994i,0.00028968-0.0013483i,0.00081268-0.0018435i,9.3986e-05-0.0011401i,-0.00039972+0.00037436i,-0.00062453+0.001341i,-0.00059103+0.00080879i,0.00020306-0.00022874i,0.0001361+6.9405e-06i,-0.00028937+0.00025391i,-5.0445e-05+8.563e-05i,0.00054682+0.00046518i,0.00050203+0.001071i,0.0002108+0.00090258i,-0.00036718+0.0003992i
0.00092268+8.5517e-05i,0.0016905+0.0014444i,0.0023804+0.00017346i,0.0024448-0.0010667i,0.0012555-0.00034538i,0.0001541-0.00027171i,0.00016729+0.00011518i,-3.0682e-05-2.2574e-05i,0.00013106-0.00072864i,0.00015373-0.0010319i,-0.00024211-0.0010551i,-2.9672e-05-0.00050059i,0.00027384-9.1856e-05i,-0.00012036-0.0002849i,-0.00024341+1.2672e-05i,0.00047197+0.00029877i,0.00022307+0.00018066i,-0.00021917+0.00039723i,-0.00019506+0.00069696i,-0.0002323-2.122e-06i,-0.0001632+0.00014887i,0.00018859+0.0007354i,0.00016158+0.00031761i
-0.00039736-0.00040159i,-0.00021528-0.00072022i,-0.001145+6.9913e-05i,-0.001317+0.0015829i,-0.00047636+0.0014184i,0.0008613+0.00089747i,0.0012694+0.0004879i,0.0010402-4.5257e-05i,0.00032697+0.00030113i,-0.0004496-0.00044732i,-0.00017246-0.00070248i,0.00064965-0.00049554i,0.00075834-0.00058736i,-3.9373e-05-0.00015286i,-0.00043452+0.00014282i,-0.00021619-0.00036288i,-0.00013036-0.00029883i,-0.00053104+0.0006744i,-0.00092274+0.0007779i,-0.0012615+0.00010535i,-0.0011596-0.00051114i,-0.00091528-0.00054938i,-0.00041248-4.2671e-06i
-0.00026363-0.0010059i,0.00060842-0.00092262i,0.00054235-0.00043794i,-0.00022109-0.00034445i,-0.0010386-0.00061165i,-0.00057488-7.9848e-05i,0.00075588-0.0002974i,0.00039049-0.00074431i,-4.1517e-05-0.00042461i,-0.00019636-0.00021574i,-3.7494e-05-0.00082802i,-0.00020498-0.00090637i,3.9738e-05-0.0002207i,0.00086107+0.00019909i,0.00045615-1.3579e-05i,-0.00017798-0.00022705i,-0.00010258-0.0001394i,-0.00027513-0.00037812i,-0.00049857+0.00034172i,-0.00066515+0.00080209i,-0.00060481+0.00055529i,-0.00023384-2.9222e-05i,0.0009789-0.00029371i
-0.00052819+0.00038495i,0.00066903+0.00070987i,0.00039006+0.00065505i,-0.00022289+0.0006699i,0.00033076+0.00090006i,0.00098656+0.00012918i,0.00059982-0.00026891i,-0.00019718-4.4989e-05i,-0.00063411+0.00043834i,-0.00028624+0.00016571i,0.0006449+0.00065621i,0.00058904+0.00088876i,-0.00017114+0.00051086i,-0.00052112+0.00015795i,-0.00078673-0.00013951i,-0.00073574+0.00014834i,-9.5457e-05+8.4678e-05i,0.00040973-0.00045768i,0.00056374-0.00012453i,-0.00010086+0.00037435i,-0.00096132-0.00016742i,-0.0012777-0.00097474i,-0.00058945-0.00091992i
-0.0002528+0.0012376i,-0.00016914+0.00018788i,-1.2802e-05+0.00021743i,-0.00018623+0.0013799i,-4.8872e-05+0.0014058i,0.0004739+0.00064499i,0.00091957-3.8468e-05i,0.00067175-0.00040453i,0.00031121-0.00071408i,-0.00015728-0.0011288i,-0.00074704-0.0012115i,-0.00024142-0.00071144i,-3.5886e-06+7.5086e-05i,-0.00063871+0.00025138i,-0.00098206-0.000596i,7.2361e-05-0.00090962i,0.00041121-0.00047195i,-0.00047277-0.0003293i,-0.00092057-0.00030266i,-0.0010255-0.00027801i,-0.00085575-0.0001308i,-0.00021908-6.665e-05i,0.00031761-0.00058571i
0.00052596-2.3513e-05i,0.00088403-0.00010448i,0.00057859-0.00091029i,-0.00031328-0.0006974i,-0.00018006-0.00031004i,0.00016958-0.00032114i,0.00025601+7.5933e-05i,0.00016418-0.00082297i,-2.1875e-05-0.0010112i,-0.00010578-8.5121e-05i,-0.00017306+0.0002205i,0.00025598+0.00040404i,0.00033333+0.0002088i,-0.00019866-0.00024311i,0.00017266+0.00072694i,0.00019656+0.0010441i,-4.9839e-06+0.00024536i,6.4872e-05-0.00029371i,4.9642e-05-0.00053666i,-0.00029891-0.00029248i,8.5083e-05+3.4308e-05i,0.00017451+0.00026922i,0.00022898+0.00061664i
-0.00063258-0.0016852i,-0.00040611-0.00084651i,3.1346e-05+5.9208e-05i,-0.00030906+0.0014237i,-0.001068+0.001645i,-0.0002922+0.0012014i,0.00090725+0.0008482i,0.0013375+0.0012868i,0.00073197+0.0004935i,-0.00019505-0.0010382i,-0.00066936-0.00082845i,-0.00042826+9.8987e-05i,0.00063668+0.00055353i,0.00093421+0.00024397i,-0.00033369-0.00032234i,-0.00089322+6.1578e-05i,-0.00017994+0.00087861i,0.00035525+0.00056589i,0.00020198+0.0003772i,-0.00037181-0.00043274i,-0.00048647-0.0014274i,0.00015843-0.00097024i,0.0004411-0.00037279i
0.00048173+0.00077038i,0.00067017+0.0013805i,0.00048642+0.00018164i,0.00043418-0.00077733i,0.00015275-0.00038916i,-0.00038723+0.00047249i,8.4718e-05+0.00040492i,0.00079715+0.00014902i,0.00056558-0.00021684i,-0.00072477-0.00085436i,-0.00093025-0.00011488i,2.1231e-06+0.00088973i,0.00015458+0.00076337i,-0.00024507+0.00049479i,-0.00054352+0.0002885i,-0.00073298+0.00014452i,-0.00063392+0.00049127i,-0.00022409+0.00046767i,-0.00010787+0.0010114i,-0.00032759+0.0012672i,-0.00030284+0.00073028i,-0.00016608+0.00014571i,8.485e-05-0.00019541i
-0.0004327-0.00081103i,-0.0015138-0.00037668i,-0.0019769+0.00067277i,-0.0011397+0.0011767i,-0.00029741+0.0015754i,0.0002715+0.0015177i,0.00034125+0.00072849i,0.00047584-5.1264e-05i,0.00063051-0.00059038i,-0.00042668-0.00028082i,-0.00089131+0.00027419i,-0.00029733+6.2255e-05i,0.00029194-0.00027637i,0.00012133-0.00013447i,-0.00021109+0.00011617i,-0.00046326+0.00025053i,-9.3821e-05+0.00038467i,0.00031394+0.00011811i,-0.0002037-0.00010087i,-0.00033355-0.00012991i,0.00014112-0.00085067i,7.9395e-05-0.00029879i,-0.000308+0.00016209i
0.00022738-0.0001296i,0.00021971-0.00032603i,-6.0412e-05+0.00039662i,0.00093289+0.0012059i,0.00095799+0.0013801i,-9.4025e-05+0.0011442i,0.00078369+0.0013247i,0.001475+0.00079114i,0.00053142-0.00049806i,0.00023128-0.00041694i,0.00032632+0.00012768i,-0.00011798+0.00040744i,-0.00020303-0.00061452i,0.00040849-0.00069241i,2.1632e-05-6.7442e-05i,-0.00076201-6.4147e-05i,-0.00054675+0.00012213i,-3.1188e-05-0.0008581i,0.00040762-0.0012465i,0.0002098-0.00041823i,0.00047641-0.00019195i,0.00074583+0.00013492i,0.00043403+0.00085867i
