-0.0011877+0.0009206i,-0.00088577-2.6003e-05i,-0.001342-0.00043575i,-0.00093732-0.00069069i,-0.0014974-0.0002416i,-0.0022156+0.0019443i,-0.0014387+0.0029327i,0.00020977+0.0026636i,0.0012182+0.0019429i,0.0017062+0.00049577i,0.0010927-0.00045983i,-0.00067019-0.00052109i,-0.0010082-0.00037148i,-0.00073473-0.00054946i,-0.00091476-0.00039672i,-0.000958+1.6396e-05i,-0.00033331-0.00012534i,0.00036452-0.00094465i,-6.1914e-05-0.00074495i,-0.00026475-3.4134e-05i,0.00018229+0.00086673i,-0.00011577+0.00096832i,-0.00063357+0.00033197i
0.0015312-0.0026247i,-0.00025757-0.0021869i,-0.00091883-0.0022693i,-0.0015533-0.0019232i,-0.0038228-0.001214i,-0.0040967+0.00036413i,-0.0016527+0.00205i,-3.8338e-05+0.0020656i,6.1117e-05+0.00073017i,-4.3321e-05-0.00019347i,3.9053e-05-0.00041781i,0.00011112-0.00056274i,-0.00024621-0.00063987i,-0.00093231-2.0433e-05i,-0.00040951+0.00043173i,0.00075377+9.0615e-05i,0.00033457-0.00040236i,-0.00056818-0.0006715i,-0.00010721-0.0010231i,0.00047906-0.00068212i,-0.00038+0.00010497i,-0.00063916+0.00014986i,0.00023609-0.00024396i
0.0027788+0.0013411i,0.0025746+0.00044178i,0.0031063+0.00025299i,0.0032555+0.00074998i,0.0024388+0.00072996i,0.0003169+0.0011687i,-0.00042684+0.0021656i,0.00049146+0.0017823i,0.0012051+0.00099318i,0.0010007+0.00062352i,-2.8202e-05-0.00025249i,-0.00090989-0.00095057i,-0.0015345-0.00047467i,-0.0011781-7.6521e-05i,-0.00037948-0.00026325i,0.00044251-0.00049231i,0.00034119-0.00014846i,-5.4487e-06+0.00023814i,4.3912e-06-0.00025314i,-0.00030239-0.00069361i,0.0001506+9.3834e-05i,0.00043209+0.0004505i,0.00030334-9.6234e-05i
-0.00054715-0.00057478i,-0.0013447+0.00024739i,-0.002194+8.6377e-05i,-0.0023927-0.00041414i,-0.001898+0.0002811i,-0.00074742+0.00096563i,0.00051901+0.0011134i,0.0013547+0.0014297i,0.00077659+0.00084919i,0.00064684+5.3533e-05i,0.00014502-0.00053949i,-0.00084549-0.00059209i,-0.00027117-0.00018467i,0.00011443+0.0001999i,-0.00020287+0.00060748i,0.00050678-0.00042196i,0.0012396-0.0013522i,0.0006826-0.00052125i,-0.00028212+6.6209e-05i,-0.00057199+0.00054322i,-0.00010641+0.0006661i,0.00066388-6.6447e-05i,0.00077255-5.2571e-05i
0.00084846-0.00034885i,0.00084189-0.00041589i,0.0011375-0.00026066i,0.00083012-0.00071472i,0.00015682-0.00066706i,4.0039e-05+0.00015718i,0.00060027+0.00028904i,0.001533+0.00043057i,0.0016089+0.0010572i,0.00065166+0.00011023i,-0.00075805+0.00031116i,-0.00086084+0.00036573i,-0.00033399-1.21e-05i,0.00043808+0.00037878i,0.00063892+0.00016873i,0.00037307-0.00083199i,0.00029925-0.0010698i,-0.0002371-0.0008104i,-0.00068512-0.00024701i,-0.00086173+0.00010315i,-0.0010507+6.2092e-05i,-0.0012846+0.00038996i,-0.0017056+0.00080412i
0.00039754-0.0017989i,-0.0010681-0.0019303i,-0.0017936-0.0013674i,-0.0028126-0.0011334i,-0.0027931-0.0014557i,-0.0017828-0.00075923i,-0.00050736+8.0698e-05i,0.00028045+0.00017868i,0.00083356-8.5577e-05i,0.00093634+1.0499e-05i,0.00084358-0.00037876i,0.00095022-0.00028461i,0.00060528-0.00075025i,0.00058412-0.0012807i,0.00018077-0.00053563i,0.00020788+0.00051506i,0.00049283+0.00038805i,0.0001854-0.0008653i,0.00013499-0.00095681i,0.00034198-0.00014965i,0.00020575+0.00077031i,0.00011049+0.0010262i,-0.00044793+6.9594e-05i
0.0011926-0.00055346i,0.00043487-0.00057608i,0.0011453-0.0016173i,0.0007482-0.0015912i,-0.00011944-0.0008893i,-0.00010604+0.00036152i,0.00063726+0.0016939i,0.0011043+0.0013306i,0.00064195+0.00043423i,0.00030238-7.6227e-05i,-0.00095199-0.00068816i,-0.0012317-0.00061526i,0.0001344-0.00038917i,0.0011164-0.0001533i,0.0016223-0.0002488i,0.0010192-1.234e-05i,0.00053617-0.00022968i,0.0003686-0.00045736i,-0.00017282-0.00063593i,-0.00048009+5.9616e-05i,4.5665e-06+0.0010164i,0.0011835+0.0011489i,0.0014687+0.00081623i
-0.0012122+0.0013204i,-0.0014148+0.0016453i,-0.00071708+0.0010887i,-0.0011183+0.00027183i,-0.0024142-4.8735e-05i,-0.0020336+0.00084498i,-0.00065796+0.0021387i,0.00045223+0.0013522i,0.00073849+0.00011315i,0.00023722-3.5662e-05i,0.00054397-0.00030441i,0.0011752-0.00023974i,0.00014027+0.00062109i,-0.00048921+0.0006791i,-0.00020727+3.8829e-05i,-0.00071322-5.07e-06i,-0.00097335-0.00019367i,-0.0008069-1.6953e-05i,-0.00027176-0.00049665i,0.00051622-0.00072715i,0.00042938+0.00048895i,0.00022736+0.00082201i,0.00052441+2.6128e-05i
0.0027602-0.00032515i,0.0022988-0.0012036i,0.0018118-0.0020571i,0.00081337-0.0021975i,0.00063283-0.0013544i,0.00077227+0.00053838i,0.00087912+0.0015252i,0.0011189+0.0012132i,0.0012302+0.00014381i,0.00099368-0.00049299i,0.00064729-0.00051959i,0.00032226-0.0010926i,-0.00018141-0.0011857i,-0.00023771-0.00055227i,-6.5768e-05-0.00048928i,-5.8959e-05-0.0011252i,5.4795e-05-0.0015137i,0.00039863-0.00038936i,0.00049788-0.00011181i,0.0009383-9.8812e-05i,0.00095685+0.00048161i,0.00024774+0.00037911i,-5.9938e-05+0.00019691i
-0.00029911+0.0032421i,0.00054458+0.0028202i,0.0023124+0.0035031i,0.0026969+0.0030037i,0.0013491+0.0012067i,-0.00032473-0.00019332i,-0.00084756+7.1335e-05i,-8.2416e-05+0.00095836i,0.00064968+0.00082076i,0.0012915-9.5498e-05i,0.00082326-0.0001263i,5.6488e-05-0.0001578i,0.00035301-0.00042223i,0.00063003-0.00113i,0.00082276-0.00084972i,0.0010779+0.00017772i,0.0013847+0.00010073i,0.00092963-0.00061061i,0.00035644-0.00047773i,0.00045333+0.00023324i,0.00074959+0.00028423i,0.00052513+0.00034358i,0.00034405+0.00016948i
0.0019998+0.00040077i,0.00087103-0.00020247i,-0.00067197-0.001033i,-0.00086422-0.0015553i,-0.00055905-0.001148i,-0.0014524+0.0002387i,-0.0012734+0.0013245i,-0.00052597+0.0019846i,-0.00025748+0.00077875i,0.00038716-0.00038523i,6.3961e-05-0.00043521i,-0.00052491-0.00091476i,7.1904e-05-0.0010467i,0.00049601-0.00046114i,0.0002108-0.0002361i,1.7715e-05-0.00031579i,9.9504e-06-0.00052313i,0.00050985-0.00043706i,0.00093406-4.1378e-07i,-5.7187e-05+0.00048029i,-0.00017462+5.3692e-05i,0.00042798-0.00042886i,7.8947e-05-0.00018807i
-0.0011883+0.0010735i,-0.00012927+0.0017437i,-0.0002954+0.0019704i,-0.00022259+0.00073583i,-0.00032478+0.00040593i,-0.00060159+0.00073072i,0.00060034+0.0013261i,0.0011315+0.0017514i,0.00093771+0.0014079i,0.0013468+0.0012523i,0.0011109+0.00059659i,0.00038677-0.00034279i,0.00053967-7.024e-05i,4.7428e-05+0.00051941i,-0.00034954+0.00084019i,-0.00024047+0.00079236i,0.00033996+0.00025i,6.6853e-05-0.00041229i,-0.0012047-0.00060672i,-0.0015949+2.1011e-06i,-0.0009839+0.00035852i,-0.00037135-0.00062105i,-5.0208e-05-0.00075526i
0.00042366-0.00043154i,0.00031759-0.0011181i,-9.9248e-05-0.0012162i,-0.00093383-0.0016689i,-0.001194-0.00093956i,-0.0014188+0.00090952i,-0.00036026+0.0015486i,0.00074178+0.0016771i,0.00012313+0.00085568i,-0.00021721-0.00063039i,5.9664e-05-0.0013377i,0.00015164-0.0010831i,-4.8074e-05-0.00034623i,-0.00058318+0.00072713i,-0.00034651+0.00044299i,0.00058612-0.00028175i,0.00069119-7.6807e-05i,0.00011983-0.00033255i,-0.00020782-0.00092631i,-0.00059956-0.00082419i,-0.00048585-2.5362e-05i,-0.00041965-0.00010246i,-0.00062309-0.00065427i
-0.0016041-0.00023796i,-0.00072821-0.00084655i,-0.00029963-0.00096028i,-0.0014613-0.00034322i,-0.0017562+0.00089839i,-0.00092591+0.0018604i,-0.00010041+0.0021579i,0.00017727+0.00202i,-7.0468e-05+0.0013454i,0.00023547+0.00063885i,0.0012791+0.00012652i,0.0016637-0.00021023i,0.00062803-0.00064559i,0.00018709-0.00014692i,0.00044528+0.0003803i,0.00026562+0.00046021i,0.00014563-0.00016352i,0.0004263-0.0011362i,0.00012421-0.0013156i,-0.00095889-0.00053266i,-0.0013733-0.0002779i,-0.00079294-0.00044953i,-6.527e-05+0.00027515i
0.00016218-0.0011851i,-0.00097166-0.0010542i,-0.0013424-0.0014454i,-0.0016131-0.0018246i,-0.0025466-0.00063007i,-0.0017893+0.00044442i,-0.00018442+0.0014176i,0.00057085+0.0012092i,0.00091412+4.375e-05i,0.001088-0.00018964i,0.00053195+0.00055162i,0.0001317+0.00042637i,0.00061323-0.00018073i,0.0013886+0.00033252i,0.00061018+0.00060828i,-0.00040638+9.5316e-05i,-0.00029562+9.3837e-05i,-0.00032407-2.5051e-05i,-0.00050754-2.6926e-05i,-0.00069714+0.0001335i,-0.00042361+0.00049344i,-0.00032863+0.0007022i,-0.00068662+0.00047469i
-8.2791e-05-0.0011565i,-0.00039307-0.0009901i,-5.6272e-05-0.00021585i,-0.0013649+0.00055867i,-0.0024687+0.00064307i,-0.0013932+0.0011543i,9.9486e-05+0.0023701i,0.00041644+0.0021071i,0.00050143+0.00098692i,0.00022015+0.00040428i,-0.00025059+0.00026791i,-0.00051686+0.00013248i,-0.00092199-0.00031426i,0.00019582-0.0003981i,0.0015635-0.00056432i,0.0016684-0.00049583i,0.0011812-3.4461e-05i,0.00048998-0.00018784i,-0.00032617-0.00077466i,-0.00080614-0.00045472i,-2.6492e-05-0.00062523i,0.00046687-0.0012533i,3.4417e-05-0.00070162i
0.0013153+0.0022962i,0.0012435+0.0023371i,0.0018121+0.0022145i,0.0018284+0.001013i,0.00039993-4.0149e-06i,-0.00047626+0.00095832i,-0.00031633+0.0020997i,0.00033293+0.0019542i,0.00070146+0.0010146i,0.00037322+2.2243e-05i,-0.00010661-0.0006817i,-0.00032404-0.0010372i,-0.00017361-0.0011623i,0.00053458-0.00071451i,0.0009977-0.00043294i,0.0007913-0.0005282i,0.00031083-0.00012679i,-0.00021713+0.00040172i,-0.00049671+0.00053772i,-0.0006706+0.00046209i,-0.00050111+0.00034735i,-0.00032279+0.00070692i,0.00027877+0.00092097i
-0.0023789-0.00033491i,-0.0027245+0.00092258i,-0.0041269+0.0013933i,-0.0033751+0.00082532i,-0.0020368+0.001183i,-0.0014506+0.0015616i,-0.00012476+0.0016569i,0.00013134+0.0013391i,-8.4282e-05+0.00038313i,0.00022957+0.00015157i,0.0005143+0.00029388i,0.00030851-2.2502e-05i,-0.0011257+4.3702e-05i,-0.0011759-8.675e-05i,-0.00030286-0.00078157i,-0.0002881-0.0005767i,7.8387e-06+6.3133e-05i,0.00052299+0.0002175i,-0.00042533+0.00079871i,-0.0014794+0.0006785i,-0.001169-0.00016874i,-0.0011024-0.00029656i,-0.00043705+0.00012736i
-0.00013743+0.0029774i,0.000972+0.0016782i,0.0018517+0.0011104i,0.0012304+0.00061285i,0.00060483+0.00043451i,0.00049835+0.001317i,0.00041623+0.0016741i,0.0013298+0.001679i,0.002052+0.0014153i,0.0013152+0.00066226i,0.00010936-0.00010543i,-0.00048547-0.00077416i,-0.00043539-0.00043902i,-0.00021631+0.00044586i,0.00035377-2.3409e-05i,0.00053996-0.00035317i,9.9231e-05-0.00014563i,-0.00046969-0.00051346i,0.0002147-0.00083692i,4.114e-06-4.0457e-05i,-0.00023091+0.00033047i,0.000571-0.00060242i,0.0013588-0.0013446i
0.00010346-5.2697e-05i,-0.00043568+0.00063458i,-0.00078029+0.00072968i,-0.0015307+2.1355e-05i,-0.0018157-8.9459e-05i,-0.0015302+0.00074072i,-9.1865e-05+0.0013161i,0.001589+0.001276i,0.0016487+0.00098481i,0.00063127+0.00056915i,-0.00063715+0.00068674i,-0.00062319+0.00041301i,0.00026908-0.00020457i,0.00029979+0.00019113i,0.00056299+0.00037555i,0.00054808-9.3038e-05i,0.00010858-0.00039813i,5.4972e-05-0.00075325i,-0.000685-0.00088281i,-0.0012391-0.00062076i,-0.00056779-0.00031803i,0.00076224+0.00015034i,0.00050055+0.0007786i
0.00013852-0.00030945i,-0.0008766+0.00057315i,-0.0017676-0.00059917i,-0.0021237-0.0013161i,-0.0016565-0.00060984i,-2.3928e-05+0.00047216i,0.00063682+0.0016318i,-0.000123+0.0019666i,-0.00019412+0.0016455i,0.00027069+0.0010933i,4.4224e-05+0.00013521i,-0.0003526-0.00021751i,-9.7423e-05-5.972e-05i,-0.00014738-0.00025033i,-5.2419e-06-0.00027012i,0.00040553-0.00062755i,0.00058372-0.0010299i,0.00095996-0.00099271i,0.00090606-0.00088662i,0.00030128-0.00022206i,-0.00028187-0.00046112i,-0.00057691-0.00046415i,-0.0011683-4.8643e-05i
0.0005643+0.00095506i,0.0014271+3.767e-05i,0.0023067-7.3539e-05i,0.0016841-0.00033955i,0.00015575+0.00042341i,-0.0010256+0.00097369i,-0.00038733+0.00016097i,0.00077658+4.875e-06i,0.00060739+0.00018187i,-0.00010876-0.00044413i,6.4313e-05-0.0006258i,-2.8264e-05-8.7691e-05i,9.7495e-06+6.1497e-05i,0.00071702+9.8184e-05i,0.0012021-0.00037027i,0.0012037-0.00089022i,0.00035546-0.00088861i,0.0003073-0.00097744i,0.00055126-0.00067695i,-0.00014069+0.00054168i,-0.00084883+0.0015117i,-5.4652e-05+0.00097551i,0.00062084+0.0003568i
-0.00070175+0.0009683i,-0.0012793+0.0013491i,-0.00026465+0.0024968i,0.0011033+0.0021807i,0.0007146+0.0015456i,0.00025444+0.00066478i,0.00044675+0.00073739i,0.0012021+0.0013702i,0.0013524+0.0010197i,0.00070615-8.5426e-05i,0.00020413-0.00063637i,8.5767e-05-0.00071036i,-0.00011412-0.0010993i,0.00013017-0.00040371i,0.00050978+0.00073479i,0.0004965+0.00061735i,0.00049549+0.00048635i,0.00010413+0.00051439i,8.0501e-05+6.2068e-06i,0.00016017-0.00015971i,-0.00047604+0.0001396i,-0.00035398+0.00011172i,0.00021523+0.00053991i
-8.4648e-05-0.00058695i,-0.00078302-0.0010944i,-0.0010833-0.001682i,-0.00058449-0.0010222i,-0.00055822+0.0004606i,-0.0013142+0.0013139i,-0.001103+0.0019166i,0.0003449+0.0018264i,0.0012205+0.00025488i,0.00072332-0.00033407i,0.00057308-0.00031808i,0.00060736-0.00051115i,0.00030765-0.00033046i,0.00073612-0.00014469i,0.00078945-3.3103e-05i,0.00029604-0.00027169i,-0.00023604-0.00052183i,3.1514e-05-0.00066704i,0.00037379-0.00023725i,0.00021078+0.00013032i,0.00030461-0.00019322i,0.00027095+0.00060292i,0.00056479+0.0011973i
0.0018574-0.00056342i,0.0034583-0.00089752i,0.0034552-0.0017874i,0.0013662-0.0026718i,-0.00069071-0.0022397i,-0.00088009-0.0010098i,6.1625e-05+6.1312e-05i,0.00085302+0.00072924i,0.0008693+0.00045173i,0.00024431+2.6955e-05i,-6.4436e-05-0.00092994i,-0.00012659-0.0013823i,-0.00014473-0.00056769i,-0.00085172-0.00025041i,-0.0010047-0.00045617i,-0.00060293-0.00077899i,-0.0001625-0.00073047i,0.00032197-0.00042707i,-0.00027466-0.00026938i,-0.00054584+2.9192e-05i,-0.00026719+0.00026439i,-0.00015955-0.00014984i,-0.00040878-0.00049475i
0.0017946-0.00030144i,0.0011364+0.0003573i,0.00073283+0.00065125i,0.0011761-3.9849e-05i,0.00085145+0.00026359i,-9.8005e-05+0.0011522i,0.00024079+0.0020588i,0.00081125+0.0020888i,0.0010132+0.00095222i,0.00056445-0.00039045i,-0.00014238-0.0010865i,-0.0006697-0.00099631i,-0.000475-0.00096705i,-0.00015766-0.00042236i,-0.00047727+0.00010855i,-0.00053742-2.517e-05i,-0.00045703+0.00081417i,-0.00046206+0.00070213i,-0.00093271+0.00010518i,-0.00081573+0.00061109i,0.00071058+0.00068676i,0.0010742+0.00044409i,0.00031979+0.00026582i
5.9263e-05-0.0024667i,-0.0013603-0.0031461i,-0.0022637-0.0035269i,-0.0028061-0.002581i,-0.0031166-0.0012496i,-0.0027564+0.00025625i,-0.0014708+0.0015696i,-0.00034626+0.0015536i,0.00049116+0.0002761i,0.00070481-0.00096254i,-0.0004676-0.0020834i,-0.0012745-0.0025019i,-0.00047996-0.0012252i,0.00011594+0.00032261i,-4.804e-05+0.00032098i,-0.00029147+0.00013498i,-0.00034222+0.00058535i,4.106e-05+0.00036963i,-2.1738e-05-0.00026235i,-0.00016546-0.00031665i,-0.00027063-0.00024149i,0.000202-0.00024602i,0.001139-0.00041549i
0.00058765+0.0014671i,0.0012319+0.0018014i,0.0021994+0.0020255i,0.0024025+0.0014183i,0.0015222+0.00047159i,0.00056934+0.0014609i,0.00021939+0.0023141i,0.00088437+0.0013486i,0.0015713+0.0006575i,0.0012977+0.00018884i,0.0010389+0.00033393i,0.0001569+0.00018907i,-0.00072632+0.00041299i,-0.0003606+0.0013541i,0.00041509+0.0012421i,0.0011637+0.00036395i,0.0010535-0.00025739i,0.00039825+7.0874e-05i,7.8977e-05+0.0001978i,0.00019378+0.00024337i,0.00012642+0.00031383i,-6.4521e-05-0.00027183i,6.2224e-05-0.00060922i
4.3935e-05+0.0011474i,0.00059908+0.0012481i,0.0012262+0.0010951i,-0.00013155+0.00035642i,-0.00068194-0.00037822i,-0.00042208-9.2916e-05i,-0.00080638+0.0011498i,-5.2219e-05+0.0015063i,0.0003901+0.00072899i,-6.7432e-05-2.1791e-05i,-6.6812e-05+0.00012296i,-0.00044689+0.00073143i,-0.0010679+0.00067317i,-0.00086203+0.00032477i,0.00013329-0.00016251i,0.00092518-0.0010842i,0.001168-0.0012068i,0.00089687-0.00030508i,0.00036203+0.00018407i,-0.00014532+0.00020528i,-0.00018088+0.00073262i,0.00031697+0.0010503i,2.0012e-05+8.5412e-05i
-0.0010053+0.001746i,-0.0013101+0.0020075i,-0.00092628+0.0014826i,2.9609e-05+0.00083584i,0.00031892+0.00048921i,-0.00032597+0.0012081i,-0.00070154+0.00253i,-0.00021618+0.0029069i,0.00081474+0.0023957i,0.00076407+0.0016642i,0.00017514+0.0010609i,0.00035862+0.00077275i,0.00082206+0.0002642i,0.0011666-0.00035602i,0.0011089-0.00054032i,0.0012542+1.6272e-05i,0.00095897+0.00026213i,0.0009603-0.00010975i,0.00054672-0.000372i,0.00027642+1.3959e-05i,6.7833e-05+0.00077826i,-0.00056882+0.0011292i,-0.00030473+0.00083432i
-0.0018663+2.0142e-05i,-0.0013182-0.00048991i,-0.0010044+8.767e-05i,-0.002012-0.0001574i,-0.0019055+6.0745e-05i,-0.00028627+0.00068485i,0.00076758+0.0011456i,0.0011973+0.0015314i,0.0013902+0.0011057i,0.0010781+0.00059016i,0.0011247+0.0004938i,0.0012916+0.0013676i,0.00076632+0.0011467i,0.00039446-0.00030631i,-0.00018374-0.00048593i,-0.0010214-2.3879e-05i,-0.0013156-8.4178e-05i,-0.0011566-0.00072925i,-0.00022429-0.0010154i,0.00016864-0.00070978i,6.0732e-05-0.00063914i,0.00093524+3.6766e-05i,0.0010845+0.00042403i
-0.0006765-0.00053871i,-0.001203-0.00074121i,-0.001488-0.0011362i,-0.0010834-0.0017206i,-0.00012411-0.00090167i,-6.9514e-05+0.00035608i,-0.00012533+0.0010354i,0.00020874+0.00068907i,0.00088691-0.00026863i,0.0008815-0.00013014i,0.00012394+0.00056865i,-0.00076175+0.00018954i,-0.0013229-0.00066881i,-0.0010188-0.00071903i,-0.00040068-0.00077839i,-0.00030407-0.0011592i,-0.00027188-0.0011434i,-0.00011471-0.00022451i,-0.00016495+0.00040606i,1.1827e-05+0.00049276i,0.00013506+0.00069438i,0.00069397+0.00018296i,0.0010014-0.00032804i
0.0013215-0.0010596i,0.0014918-0.00079921i,0.0013861+0.00010905i,0.00012744-0.00024115i,-0.0011139-0.00039246i,-0.0010345+0.00059125i,-0.0007265+0.0019353i,0.0003983+0.0025171i,0.00072042+0.0012279i,-9.0749e-05-0.00066189i,-0.00027312-0.0015977i,-0.00042586-0.0013196i,-0.00074959-0.00065088i,-0.00098798-0.00064852i,-0.0010663-0.00086749i,-0.00090963-0.0010875i,-1.6956e-05-0.0013638i,-3.1606e-05-0.00082369i,0.00010507-0.0001846i,0.00019931+9.0573e-05i,0.00010182+0.00043658i,0.00030361+0.00056224i,-0.00020011+0.00061723i
0.001379+0.00016318i,0.001531+0.00012515i,0.00061279-0.0011097i,8.0948e-05-0.0015669i,-0.00063013-0.0010836i,-0.00087102+6.1535e-05i,-0.00043943+0.0011121i,0.00044856+0.00069113i,0.00070975+9.0353e-05i,-0.00050828-0.00065016i,-0.0011857-0.0021515i,-0.00060783-0.002091i,-0.00041089-0.00029699i,-0.00047475+0.00022006i,-0.0003581-0.00044255i,0.000113+0.00021371i,0.0009666+0.0012165i,0.0012758+0.00081218i,0.00058208+0.00024488i,-0.00018737-3.9471e-05i,-0.00047462-0.00070503i,-0.00036435-0.00098167i,-0.00052946-0.00024718i
0.00066726+0.00011883i,0.00055081-0.00046483i,0.0011073-0.00022361i,0.00060535+0.00043394i,-0.0006391+0.00094379i,-0.0014019+0.00093033i,-0.0011415+0.0008458i,-0.00015021+0.0011128i,0.00094029+2.2652e-05i,0.0004064-0.00089993i,-0.00064249-0.00096356i,-0.00057252-0.00075089i,-0.0004688+0.00019751i,-0.0002806+0.00064762i,-0.00017432+0.000731i,0.00017023+0.0013248i,0.00081937+0.00095895i,0.00046011-0.00073518i,2.0666e-05-0.00072292i,0.00022351+5.4231e-05i,0.00013741-0.00032393i,0.00044374-0.00097843i,-1.3824e-05-0.00063277i
0.0012573-0.00021773i,0.00051209-0.00022696i,-0.00040237+0.00014389i,-0.00114-0.0013006i,-0.00050642-0.0018597i,-0.00031689-0.00012294i,0.00019157+0.0010996i,0.00072129+0.00085507i,0.00095398+2.7341e-06i,0.0009668-0.0011445i,-4.9129e-06-0.0015031i,-0.00080726-0.0012104i,-0.00029367-0.0004487i,0.00091518-4.5468e-05i,0.001228+0.00026482i,0.00036811-5.786e-05i,0.00021582-0.00083332i,0.0010328-0.00062115i,0.0010004-0.00052725i,-8.8516e-08-0.00016598i,-0.00094224+0.00041133i,-0.00076672+0.00047144i,-0.00029573+0.00079063i
-0.0015225-0.0013668i,-0.0020815+0.00024394i,-0.0033524+0.00014988i,-0.0033553+0.0014142i,-0.00271+0.0034483i,-0.0017359+0.0038914i,-0.0012999+0.0022548i,-0.00090114+0.0014475i,0.00013261+0.0017422i,0.00016385+0.001317i,-4.6898e-06+0.00065702i,0.00050517-0.00018597i,0.00073265-0.00014971i,0.00073249+6.5017e-05i,0.0014655-0.00025586i,0.0017357-0.00082589i,0.00078214-0.0009844i,0.00032182-0.00053124i,-4.431e-05-0.00010535i,-0.0008721-8.8189e-05i,-0.0012047-9.2237e-05i,-0.0011617+0.00065224i,-0.00063799+0.000945i
0.0044264+0.0020859i,0.0048136+0.00065193i,0.0057838-0.001379i,0.0053838-0.0031723i,0.0034625-0.0034597i,0.00032201-0.0019206i,-0.0011689+7.7443e-05i,-0.00033477+0.00040616i,0.00053981-0.00011703i,0.001048-0.0010681i,0.001415-0.0014216i,0.00077342-0.0011697i,0.00011213-0.0011524i,0.00045212-0.0019285i,0.0014577-0.002193i,0.0014974-0.0013467i,0.00051285-0.00046226i,-0.00014867-0.00025874i,-0.00017861-0.00060042i,-0.00033334-0.00057951i,-9.7945e-05-0.00022808i,0.00010655-0.00053952i,-3.1404e-05-0.0012641i
0.00011071+0.0011435i,0.00015578-0.0001608i,0.0012959-0.00020584i,0.0011399-0.00012594i,-0.00093949-0.0010906i,-0.0019411-0.0010098i,-0.0014076+0.00026009i,-2.6926e-05+0.0012327i,0.0011194+0.00083837i,0.00089035+3.2379e-05i,0.00065737+0.00019669i,6.1712e-05+8.4078e-05i,-0.00068439-0.00030519i,-0.00029477-0.00072116i,-1.9967e-05-0.0012841i,-0.00022535-0.00078306i,-0.00019788-0.00045022i,0.0002292-0.00061598i,0.00064805-0.00036135i,0.00065512-0.00030381i,0.00010658-0.00037436i,-0.00020162+9.5323e-05i,-0.00040613-3.3715e-05i
0.00048798-0.00035386i,0.0013181+0.00017041i,6.9592e-05+0.00088622i,-0.00072003+0.00046222i,-0.00066998+9.9042e-05i,-0.00078514+0.001151i,-0.00010395+0.0019928i,0.00050255+0.0016222i,0.00081421+0.00056254i,0.00041127-0.0003022i,0.00021529-0.00067547i,0.00031666-0.00045601i,-6.8164e-06-0.00056707i,-0.00046121-0.00078193i,-0.00011166-0.00064438i,0.00067935-9.7321e-05i,0.00067365-0.00053373i,0.00024409-0.0010425i,0.00095257-0.0002736i,0.0013439+0.000223i,0.00060408-0.00014832i,-0.00012856-0.00047323i,-0.0006468-0.00013624i
0.00020496-0.00073877i,-0.00041264-0.00013139i,-0.00085672-0.00025565i,-0.0020343-0.0011096i,-0.002471-0.00059571i,-0.0023442+0.00013913i,-0.001238+0.00051206i,0.00020075+0.00049003i,0.0012735-7.9915e-06i,0.0015077-0.00046785i,0.0013927-0.00047792i,0.00073061-0.00077559i,-0.00036225-0.0012779i,-0.00096455+6.8304e-05i,-0.0011737+0.00092219i,-0.0010037+0.00026279i,-0.00072136-0.00038811i,-0.00023093-0.0001012i,-5.5605e-05+0.00015575i,-1.8549e-05-0.00017525i,0.00047769+0.00012071i,-0.00017726+7.2353e-05i,-0.0002002-0.00046077i
-3.1859e-05+0.0013214i,0.00015725+0.00085053i,0.00042161-0.00012628i,0.0011655+0.0012733i,0.00036264+0.0017493i,-0.0011638+0.00071809i,-0.00087196+0.0001459i,-0.00034228+0.00017359i,-0.00021854+0.0009399i,0.00039698+0.00088324i,0.00071825-0.00033655i,0.00050948-0.0013192i,2.0997e-05-0.00075013i,0.00069976-6.9787e-05i,0.0014706+0.00010401i,0.00079388+0.00024291i,0.0003629+0.00062544i,0.0005365+0.00052334i,0.00051507-0.00059814i,0.00053069-0.0013454i,0.00035527-0.00049547i,-0.00018614+0.00024193i,-0.00030164+0.00028853i
0.00094536-0.00087734i,-0.00090682-0.0010543i,-0.0013385-0.00019583i,-0.0014932-0.00034147i,-0.0013739-0.0011242i,-0.0010631-0.00016045i,-0.00063096+0.0011052i,9.3273e-05+0.00052603i,0.00052947-0.00029566i,0.00055639-0.00094244i,0.00032936-0.0011696i,0.00013543-0.0008897i,0.0002674-0.00082282i,0.00075285-0.00038683i,0.00038351-0.00025244i,-0.00041792-0.00029573i,0.0002481+8.8793e-05i,0.00065941-0.00091558i,-2.8359e-06-0.0012694i,-0.00027641-0.00046466i,-0.00019504-0.00015817i,-0.00016992+6.2241e-05i,-0.00027651-5.9297e-05i
-0.00075347-0.00063736i,-0.00036201+0.00029659i,-0.0012211+0.00036334i,-0.0018955-0.00012516i,-0.001557-0.00017408i,-0.0011866+0.00069749i,-0.00053895+0.00086271i,0.00015898+0.00063441i,0.00047981+0.00057124i,0.00050386+0.00022093i,-0.00028975-0.00027462i,-0.0009566-8.0439e-05i,-0.00064027+0.00031299i,-0.0005432+0.00012156i,-0.00017972+7.4198e-05i,0.0008709+3.3702e-05i,0.00084408-7.8556e-05i,-0.00016955+0.00034029i,-0.0011452+0.000196i,-0.0013027-0.00021227i,-0.00087701-0.00060626i,-0.00045269-0.00028929i,-0.00087122+0.00022299i
