-0.0025796-0.00017296i,-0.0036717-0.00104i,-0.0037641-0.00027829i,-0.0024832+0.00096298i,-0.0016316+0.0028854i,-0.0015799+0.0031599i,-0.0015957+0.0021903i,-0.00073693+0.0010205i,0.00057854+0.00027636i,0.00069746+0.00052137i,0.0015803+0.00041105i,0.0018127+7.8457e-05i,0.0010881+9.8867e-05i,0.00070581+0.00068379i,0.00010867+0.00066116i,-0.00028716+0.00031633i,-0.00048799+0.00016483i,-0.00031293-1.4375e-05i,-0.00013352-0.00018292i,-0.00074047+0.00046658i,-0.00075911+0.00093128i,-0.00057819+0.0004538i,-0.00051377-0.00031319i
0.0001873-0.00061894i,-0.00046182-0.00060747i,-0.00071706+0.00021825i,-0.00058645+0.00080047i,-0.0015959+0.001364i,-0.0019375+0.001458i,-0.00091082+0.00084308i,-4.5826e-05+0.00059192i,0.00084873+0.001102i,0.0010749+0.0011386i,0.0012308+0.00039235i,0.0012649+0.00030974i,0.0011403+0.00095212i,0.00065722+0.0010756i,0.00031285+0.00063371i,0.00067847+0.00069749i,0.0010438+0.00070587i,0.00065464+0.00053301i,-4.7724e-05+9.9219e-05i,-2.6056e-05-0.00040452i,0.00031901-0.00011434i,0.00012044+0.00032697i,-0.00016349+8.7963e-05i
0.00096353-0.0001124i,0.00078546+0.00044983i,0.00058164-2.9319e-05i,-0.0001052-0.0010657i,-0.0011306-0.0013977i,-0.0020536-0.00069307i,-0.0018365+3.2471e-05i,-0.00061481+0.0010598i,0.00053299+0.0014356i,0.00020528+0.00088377i,-0.00035997+0.00027976i,-0.00041877-0.00029207i,-0.00059635-0.00060108i,-0.00075463-0.00032747i,-4.8277e-05-0.00050592i,0.00071369-0.00047111i,0.00056521+6.2e-05i,-0.00017355+0.00057433i,-0.00048711+0.00081325i,-0.00046827+0.001009i,-4.0617e-05+0.0014438i,4.387e-05+0.0009265i,-5.7558e-05+0.00083266i
0.0024327-0.00060569i,0.0026257-0.0020481i,0.002189-0.0031687i,0.00052252-0.0032349i,-0.0018468-0.0015994i,-0.0019988+0.00046227i,-0.00095409+0.00043884i,-0.0010912+0.00045877i,-0.0010324+0.0011123i,-0.00031894+0.00053111i,0.00016189+0.00018115i,0.00049421+0.00036062i,0.00085141+0.00059903i,0.00031628+0.00019148i,-0.00022428-0.00047612i,0.00010463-2.7254e-05i,-0.00012472+0.00010603i,-0.00022746-0.00029932i,-0.00036035-0.00034498i,-0.00051412-0.00030367i,-0.00018202-0.0004438i,0.00015065-0.00015778i,0.00035741+0.00022571i
0.00011817-0.0021774i,-4.1697e-05-0.0017594i,-0.0012771-0.0014563i,-0.0029782-0.0015375i,-0.0037727-0.00019246i,-0.0031665+0.0012288i,-0.0015894+0.0018046i,-0.00077613+0.001629i,-4.4193e-05+0.00091741i,0.00076143+0.00022203i,0.00026171-0.00038817i,-0.00021366-0.00034944i,0.00049678-0.00012983i,0.0010862-0.00012616i,0.00085538+0.00017486i,0.00020542+3.6419e-05i,-0.00023371-3.08e-05i,-0.00024451-0.00011279i,0.00012379-1.8075e-05i,0.00036286+0.00071732i,9.6023e-05+0.0005547i,0.00014686-0.00042863i,0.00031062+3.1588e-05i
-0.00099783-0.0024055i,-0.0013068-0.0030309i,-0.0010934-0.0030257i,-0.0017169-0.0012791i,-0.0025484+0.00051169i,-0.0023293+0.00035758i,-0.0012179-0.00056814i,-0.00037483-0.00067478i,0.00030586-0.00017021i,0.0007124+0.00037609i,0.0010856+0.00069066i,0.0011551+0.00099659i,0.00066165+0.001508i,-8.5367e-05+0.00083749i,-0.00069797-0.00053607i,-0.00067333-0.00086228i,-0.00033318-0.00027564i,5.5656e-05-0.0006661i,0.00044449-0.00060628i,0.00060932-0.00020856i,0.00049403+1.917e-05i,-0.00011563-3.7156e-05i,-0.00056695-0.00012317i
7.3604e-06+0.0024495i,-0.00023222+0.002767i,0.00015498+0.0023073i,-0.00016528+0.0008912i,-0.00044103+0.00033994i,-0.0010783+0.00045713i,-0.0014897-0.00028047i,-0.00099055-0.00055022i,-0.00061458-0.00057367i,-0.00032062-0.00094815i,-0.00015264-0.00040528i,4.2529e-05+5.5525e-05i,-0.00029572+0.00027358i,-0.00070333+0.00053986i,-0.00052867+0.00018387i,-0.000478+0.0001732i,-0.00014998+0.00052996i,-0.00032316+0.0004387i,-0.00045283-0.00078938i,-0.00028222-0.001172i,-0.00078921-0.00058531i,-0.00081286-0.00062288i,0.00027785-0.00060033i
-0.001923-0.00075359i,-0.0018635-0.00094889i,-0.0013734-0.0017068i,-0.0017057-0.0014478i,-0.001349+0.000116i,-0.0010608+0.0013428i,-0.00066586+0.0010336i,0.00012355+0.00042696i,0.00026906+0.00014614i,0.00065294+0.00019002i,0.00097884-1.0792e-06i,0.00095535+0.00014103i,0.00085654+0.0001702i,0.0010704-4.1286e-05i,0.00061717+4.738e-05i,-0.00019719+0.00058065i,-0.00014811+0.00068439i,-7.5482e-05+0.00014719i,-0.00089517-0.00096434i,-0.0013846-0.0011963i,-0.00039177-0.00048082i,0.00024209+0.00026084i,-0.00046614+0.00076837i
0.0004217-0.001674i,-4.4615e-05-0.002238i,-0.00062516-0.0018028i,-0.0020088-0.0014242i,-0.0029186-0.00046783i,-0.0031376+0.00087133i,-0.0028779+0.0012543i,-0.0016108+0.0001649i,-0.00096399-0.00088734i,-0.00016473-0.0010245i,0.00083166-0.00015595i,0.00070402+0.00028421i,-0.00015382-0.00023402i,-0.00033307+4.5738e-05i,-0.00055954+0.0008075i,-0.0008438+0.00013281i,-0.00069505-0.0010621i,-0.0005775-0.0020095i,-0.00047505-0.0018385i,-3.1267e-06-0.0013638i,0.0010362-0.0005804i,0.00075027+0.0007545i,0.00012499+0.00074668i
0.00092483+0.00076075i,0.0014255+0.0010748i,0.0011424+0.00045757i,-0.00021991-0.00024102i,-0.0015001-0.00080756i,-0.002538-0.00023477i,-0.0020635+0.00034863i,-0.0011802+0.00028885i,-0.00072476-2.7982e-05i,-0.00017265-0.00085716i,-9.9875e-05-9.4426e-05i,0.00012608+0.0010279i,-0.00020297+0.00010958i,-0.00053804-0.00090418i,-0.00041299-0.0013461i,-0.00035223-0.00095082i,-0.00012988+0.00010276i,0.00043119+0.0011266i,-0.00010621+0.00091988i,-0.00015525+0.00071717i,2.5039e-05+0.00050386i,9.2881e-05+0.00011282i,-0.00011889+8.4207e-06i
-0.0015012+0.0011576i,-0.00027341+0.00088723i,0.00077726+0.0011375i,0.00026416+0.00074251i,-0.0007169+0.00037246i,-0.00077658+0.000118i,-0.0003667+8.4029e-05i,-0.00049591+0.0011601i,-0.00036768+0.0013532i,-0.00025652+0.00048637i,7.3564e-06-0.00012485i,0.00035828-0.00029832i,0.00032861-0.00013129i,7.7567e-05+0.00041738i,0.00012986+0.00075466i,0.00067986+0.00049051i,0.0010716+7.1588e-05i,0.00058758+0.00022604i,-0.00030218-6.2466e-05i,-0.00043988-0.00078421i,-0.0003824-0.00068802i,-0.00056521-3.4038e-05i,-0.00060384-0.00048711i
