-0.0045655-0.00016591i,-0.0037+0.0017098i,-0.0030589+0.0033607i,-0.0020613+0.0036072i,-0.00058373+0.0025528i,0.0001611+0.0015978i,-0.0007101+0.00071093i,-0.001556+0.0006802i,-0.001208+0.00061781i,-0.00051094+0.00019457i,0.00039191+0.00024792i,0.00070456+0.00054103i,0.00042253-0.00021341i,-0.0001924-0.0010647i,-0.0011087-0.00164i,-0.00089409-0.0012162i,-0.00020458-0.00027419i,0.00043186-2.9391e-06i,0.00064814+0.00069327i,0.00046788+0.00049937i,0.00053503-0.00037299i,-0.00010336-0.00070866i,-0.00025826-0.00099798i
-0.0013195+0.00049089i,-0.0012314+0.0012491i,-0.00092261+0.0011758i,0.0007322+0.0016207i,0.0018864+0.0012786i,0.0021006+0.00025822i,0.001443+1.7702e-05i,0.0002117-0.00027982i,-0.00089901-0.00017051i,-0.0012402+0.00019002i,-0.00065848+0.00061047i,-0.00016855+0.00038368i,0.000177-0.0002683i,0.00036214-0.00015028i,-0.00010827+0.00031271i,-0.00045966+0.00055568i,-2.8949e-05+0.00045378i,-0.00024782+1.2805e-05i,-0.00042536-0.0001192i,-0.0001987+0.00050058i,4.0872e-06+0.0013991i,0.00033514+0.0011705i,0.00074613+0.00043454i
0.0010924-0.0021525i,-0.00075059-0.0023637i,-0.0019608-0.0029902i,-0.0021317-0.0018738i,-0.0017911-0.00027631i,-0.00072294+0.00073919i,-0.00053213+0.00014315i,-0.00056562-0.00085498i,-0.00041018-0.0007475i,-0.00081083-0.00049706i,-0.00055019-0.00072281i,0.00021047-1.201e-05i,-0.00015853+0.0001806i,-8.6201e-05-0.00058882i,0.00059826-0.00046966i,-5.4292e-05-0.00059938i,-0.00073049-0.0010066i,-7.0496e-06-0.0005655i,9.7186e-05+0.00070829i,-0.00021908+0.0010804i,0.00042087+0.00017074i,0.0006-2.2067e-06i,0.00042528-0.00015399i
-0.00026346-0.00067233i,0.00031047-0.0013753i,0.00048891+0.00018772i,0.00032104+0.0016578i,-0.00018924+0.0011241i,0.00039418+0.00077805i,0.00090016+0.00027313i,-9.9767e-05-0.00057039i,-0.00079636-0.00018256i,-0.000216-0.00016259i,7.4043e-05+0.00022076i,-0.00012683+0.00046799i,2.1326e-05-0.00017591i,3.2607e-05-0.00031718i,-0.00021528-0.00040019i,-0.00032065+0.0001407i,-0.0005058+0.00062906i,-0.00077364+0.00025545i,-0.00053445-0.0003177i,0.00010809-0.00084571i,0.00076444-0.00060583i,-4.0306e-05+0.0005269i,-0.00053582+0.00072995i
-0.0016378+0.00094779i,-0.0029687+0.00073325i,-0.0030847+0.0010623i,-0.001452+0.0020064i,0.00046108+0.00083765i,0.0013728-0.00028715i,0.00054867-0.00023771i,-0.00044166-9.7999e-05i,-0.0001514+0.00038431i,-0.00055618-0.00016927i,-0.00091057-0.00091553i,-0.00092507-0.001101i,-0.0008932-0.0015168i,-0.0004724-0.0011844i,-0.00016301+0.00011878i,1.4029e-05-0.00012593i,-0.00038475-0.0010763i,-0.00074211-0.00044877i,-0.00094588+0.0010155i,-0.0012748+0.00063901i,-0.00066175-6.113e-05i,-0.00037925+0.00013284i,-0.00096867+0.00012441i
0.00089159-0.00072927i,0.0011528-0.0025564i,0.0016559-0.0041676i,0.0019679-0.0025012i,0.0013832-0.00076993i,-0.00013935-0.0011275i,-0.00099035-0.0014449i,-0.00074075-0.00056549i,-0.00070391+0.00031653i,-0.00062845+0.0001592i,-0.00019938-0.00028837i,-0.00043076+0.0001354i,-0.00095399+0.00037821i,0.00010768+0.00012965i,0.00031558+0.00055791i,0.00030443-5.6547e-05i,0.00081681-0.00022607i,0.00061311+0.00025573i,0.00059286+0.00062908i,0.00011393+0.0011236i,-0.00040376+0.0011478i,5.0563e-05+0.00057332i,0.00057755+0.00010979i
0.0012949+0.00058011i,0.0013872+0.00074803i,0.00088666+0.00092702i,-0.00012233+0.00086366i,-0.00030656+0.0007199i,0.00047047+0.00049525i,0.00010536+0.00021748i,-0.00021605+0.00071355i,0.00021298+3.9715e-05i,0.00018518-0.0012331i,0.00022281-0.0014559i,-0.00051677-0.00026778i,-0.0014032+0.00051676i,-0.0011051+0.00041882i,-0.00087652-0.00032343i,-0.0007147-0.00079075i,-0.00055962+0.00018188i,-0.00031491+0.00060566i,-0.00027478+0.00013141i,-0.00053702+0.00039232i,-0.0015368+0.00099298i,-0.00094094+0.00049891i,0.00076718+0.00015419i
0.00026149+0.00087864i,-3.6539e-06+0.00023003i,-0.00015952-0.0010063i,0.00049396-0.001626i,-0.00040313-0.0011672i,-0.00043845-0.00088083i,0.00028888-0.00059378i,-0.0002132-0.00013486i,-0.00061733-4.4815e-05i,-0.00047564+3.116e-05i,-0.00031899-0.00038349i,0.00059159+6.5912e-05i,0.00066826+0.00086994i,-0.00036646+0.00035744i,-0.00058884+0.00014129i,0.00012366+0.00023692i,0.00026567+4.4989e-05i,-0.0007618+0.00012067i,-0.00062645+0.00022824i,9.865e-06+0.00025789i,-0.00029127+0.00035918i,-0.00025388+0.00016487i,-0.00024954+0.00015671i
-0.00027436-0.00088298i,-0.00084553-0.00036803i,-0.0011424-0.00036534i,-0.0012013+0.00038669i,-0.00098414+0.00093124i,-0.00053603+3.0096e-05i,-0.0011559-0.00047083i,-0.0011039-0.00059824i,-0.0009974-0.00083267i,-0.0010525-0.00028719i,-0.001164+0.00030778i,-0.00032553-0.00032794i,0.00083537-0.00050948i,4.9906e-05+0.00037692i,-0.00013475+0.00057635i,0.00017365+0.00044964i,-0.00034745+8.216e-07i,-0.00072895-0.00056077i,-0.00050619-0.00044038i,-0.00011406-0.00024675i,-9.8792e-05+0.00048707i,-0.00032548+0.00060866i,-0.00059182-8.5834e-05i
0.00023023+0.00064463i,0.0012023-0.00034081i,0.0026082-0.00092335i,0.0025703-0.00039906i,0.0015891+0.00029941i,0.00034368+5.5582e-05i,-0.00035602-0.00049813i,-0.00052017-0.00039016i,-0.0009+7.8485e-05i,-0.00089652+0.00045605i,-0.00028398-0.00024564i,-4.6642e-05-0.0012204i,-0.00021951-0.00050364i,-0.00052566-0.00067987i,0.00035099-0.00084611i,0.00050131+0.00043352i,-0.0002793+0.00014479i,-0.00039356-0.00065464i,5.7251e-05-0.00069598i,0.00028624-0.00044683i,-0.00015654+0.00030384i,0.00017498+0.00095631i,0.00041432+0.0012483i
-0.0003858+0.00023264i,-1.5048e-05+0.0011697i,0.0012028+0.001585i,0.001496+0.0010446i,0.00081943+0.00019618i,0.00059401+0.00055603i,-3.7442e-05+0.00084845i,-0.0007018+0.00087295i,-0.00076652+0.0003276i,-0.00062001-0.00065967i,-0.0001106-0.00088201i,-0.00013477-0.00057886i,-0.00064387-0.00023196i,0.00052869+8.3995e-07i,0.00056063+0.00013842i,-0.000352-0.0001391i,-0.00055748-0.00034094i,-0.00056051-4.9914e-05i,-0.00068399+0.0004058i,-0.00040165+0.0013703i,-0.00018468+0.0010092i,-0.00052906+0.00039645i,-0.00095173-8.6566e-05i
-0.0011554-0.00019551i,-0.00048823+0.00028204i,-0.0013111+0.00039934i,-0.0013978+0.00028519i,-0.00033092-0.000185i,0.0010444-0.00032668i,0.0011801+6.5956e-05i,0.000178-0.00015188i,-0.0001806-0.00025726i,-0.00025377+0.00013733i,-0.00064087-0.00019363i,-0.00069501-0.00042767i,1.9232e-05-0.00051147i,2.0974e-05-0.00042172i,-0.00034526-0.00053238i,-0.00092278-0.00042403i,-0.001255-0.00010516i,-0.00054438+0.00035545i,-0.00013283+0.00048916i,-0.00058571+0.00013342i,8.1775e-05-3.5783e-05i,0.00047454+0.00020625i,0.00029914+0.00073996i
-0.00023043+0.00070325i,-7.3063e-05-4.5419e-07i,-0.00018435-0.00047868i,0.00040111-0.0011005i,0.00087296-0.0013303i,0.00060726-0.00054683i,-1.1563e-06+0.00033213i,-0.00053303+0.00017282i,-6.7793e-05-0.00061793i,-0.00034388-0.0012994i,-0.00089172-0.00077147i,-0.0011285+9.0697e-05i,-0.00060104-5.9398e-05i,-0.00051796-0.00014816i,-0.00075426-0.00033498i,-8.1931e-05-0.00064082i,0.00013395-0.00026162i,-0.00023121+0.00033123i,-0.00069171+0.00068594i,-0.00080016+0.00085267i,-0.00034513+0.0010105i,-0.00026152+0.0011382i,-0.00041812+0.00055015i
5.0738e-05-0.001572i,-0.00036442-0.0026164i,-0.00015262-0.002051i,-0.00034959-0.00028529i,-0.00022496+0.00043954i,-0.00036863-0.00019003i,-0.0004165+8.8884e-05i,-6.3971e-05+0.00020457i,-0.00036243-0.00031592i,-0.0013321-0.00014702i,-0.002135+0.00041646i,-0.0017076+0.00013036i,-0.0011685+0.00013317i,-0.00042008-9.0107e-05i,-0.00011482-0.00044885i,-0.00070488-0.00056988i,-0.00022227-0.00043042i,4.5655e-05+0.00033918i,-0.00053196+0.00079257i,-0.00086428+0.00072636i,-0.00025122+0.00024389i,0.00024413+0.00032513i,-0.0002464+0.00050676i
0.00022848-0.0016171i,0.00021171-0.00080206i,-0.00048274-0.00017629i,0.00026207+9.0997e-05i,0.0010025+0.00047546i,0.00070858+0.00041342i,0.00046442+0.00015897i,0.00017127+8.1163e-05i,-3.778e-05-0.00034428i,9.8909e-05-0.0010822i,0.00015868-0.00035532i,-0.00010881+0.00087341i,-1.9786e-05+0.0014881i,0.00020891+0.00092502i,-0.00044496-0.0001213i,-0.00097312-0.00013933i,-0.00096927-0.00025141i,-0.00094079+7.1525e-05i,-0.0010534+0.00022074i,-0.00086493+1.5087e-05i,-0.00051291+0.0004595i,-0.00040868+0.00093839i,-0.00028586+0.0010743i
-0.0023319+0.00011128i,-0.0016874-0.0010037i,-0.001068+5.96e-05i,0.00062105+0.001235i,0.0010299+0.00049139i,-0.00032433-0.00033267i,-0.00073285-0.00086293i,-0.00059709-0.00072965i,-0.001318-0.00015071i,-0.00044796+8.9777e-05i,0.00055074+0.00033176i,0.0002954+0.00019573i,0.00030138+1.7388e-05i,-0.00018234-7.3491e-05i,-0.00035944-6.1394e-05i,-0.00038062+0.00016187i,-0.00097254-0.00013105i,-0.00050933-9.2484e-05i,-0.00029509+0.00069381i,-0.00012147+0.00076881i,0.00047749+0.00049136i,-0.00013236+0.00063831i,-0.00056946+0.00057851i
-0.0020299+0.00049193i,-0.0023913+0.0012731i,-0.0014389+0.00299i,-0.00025292+0.0025865i,-0.00024302+0.00093767i,-0.00021888-0.00014016i,-0.00071691-0.0008949i,-0.0019612-0.0012995i,-0.0020578-0.00027138i,-0.00062326+0.00047753i,-0.00062267+0.0001604i,-0.00034982-0.0003846i,0.00028357-0.00059908i,0.00020122-0.00053347i,-0.00034092-0.00026484i,-0.00078761-0.00016704i,-0.00041901+0.0002145i,-0.00013203+0.000482i,-0.00047654+0.0004704i,-0.00083679+0.00044743i,-0.00063411-0.00012391i,-0.00090736-0.00068778i,-0.00071482+1.9092e-07i
-0.0016213+0.0009051i,-0.0010459+0.0017222i,-0.00091102+0.00033067i,-5.5369e-05-8.7433e-05i,0.00011173+0.00071527i,0.00044484+0.00074062i,-3.4707e-05+0.00043956i,-0.00024052-0.00055686i,0.00013512-0.0004504i,-0.00010195+0.00020515i,-0.0004406-4.2278e-05i,-0.00031092-0.00041003i,-0.00019803-0.00062839i,-0.00078756-0.0011793i,-0.00029972-0.0015406i,2.7745e-05-0.00099817i,-0.0002919-0.00075348i,0.00034741-0.0003357i,0.00054987+0.00069022i,0.00045727+0.00055763i,0.00088463+0.00024771i,0.0011827+0.00036668i,0.00095715-8.9611e-05i
0.0012147+0.00067207i,0.0029703-0.00036035i,0.0029824-0.0017524i,0.0015781-0.0023206i,0.00055262-0.0020907i,0.00073636-0.001287i,0.00015653-0.0002003i,-0.00055923+0.00032199i,-0.00030689-0.00018444i,0.00012997-0.00099448i,9.4402e-06-0.00070289i,-0.00054921+0.00051266i,-0.00058731+0.0007311i,-0.00034493+0.00052676i,-0.00025491+0.00056864i,-0.00013672+0.00020672i,-0.00039424-0.00024414i,-0.00080808+0.00021881i,-0.00039059+0.00075135i,-8.0199e-05+0.00027961i,-0.00018486+0.00043072i,3.7148e-05+0.00080398i,0.00018516+0.00073181i
-0.0017412-0.0013631i,-0.0017272-0.00044756i,-0.0025054+0.00086021i,-0.0024349+0.0017777i,-0.00088976+0.0018236i,1.8159e-05+0.0017342i,0.00024189+0.00090602i,-0.00058749-0.00020457i,-0.0017809-0.00078702i,-0.0010798-0.0013003i,5.7784e-05-0.00081196i,0.0003704-8.084e-05i,0.0012123-0.00010982i,0.00067253-0.00089486i,-0.00082365-0.0007247i,-0.0010938+6.2216e-05i,-0.00078766-0.0001785i,-0.00056068+0.00019804i,-0.00080252+0.00068491i,-0.00075608+0.00036884i,-0.00036264-0.00010152i,-5.8282e-05-0.00088681i,0.0003846-0.00030831i
-0.0018745-0.00013385i,-0.0017454-2.9814e-05i,-0.0025213-0.00019682i,-0.0016295+0.00035122i,-0.00056002+0.00072162i,-0.00050722+0.00042937i,-0.00069961+0.00023706i,-0.00028798-0.00049678i,0.00018504-0.0011311i,0.00041242-0.0013008i,0.00021695-0.001028i,-0.00027093-0.00067569i,-0.00053462-0.0005968i,-0.00087036-0.00086722i,-0.0006951-0.00079224i,-0.00027723-0.00034211i,-0.00015233+9.4874e-05i,1.1776e-05+0.00047777i,-6.466e-05+0.00048095i,0.00012531+0.0004087i,-0.00036009+0.0007711i,-0.00049469+0.00035088i,0.00046934-0.00058029i
