-0.0002043+0.0013338i,0.00093505+0.00022439i,0.00029768+0.00067043i,0.00028839+0.00099021i,0.00075853+0.00092014i,0.0014318+0.0013037i,0.001874+0.00086869i,0.00090601+0.00026596i,6.9971e-05+0.00017869i,0.00018809+0.00041112i,4.1635e-05+0.00020935i,6.408e-05-0.00095663i,0.00020455-0.0011763i,0.00031189-0.00047593i,0.00020349+9.0236e-05i,2.4946e-05+0.00075664i,0.00051839+0.00088848i,0.0013312-5.2937e-05i,0.0016051-0.00076699i,0.00093085-0.00036682i,-0.00016711+0.00020434i,-0.00014722-0.00020349i,0.00022273-8.9705e-05i
0.00095824-0.0021026i,0.00054205-0.0019651i,-0.0001073-0.0014201i,-0.00036778-7.0691e-05i,-0.0003854+0.0011994i,-0.00019065+0.0018899i,0.00026398+0.002058i,0.000604+0.0011493i,0.00037172+0.00027786i,-0.00011267+0.00080021i,-0.00026339+0.0010074i,-0.00027451+8.5956e-05i,0.00060441-0.00053713i,0.001098-0.00018551i,0.00024674+0.0006736i,4.2383e-05+0.0014448i,0.00057061+0.0013276i,0.00034267+0.0010681i,-0.00012372+0.00064732i,0.0003363+0.00086226i,0.00032837+0.0012664i,-0.00048235+0.00022744i,-0.0002783-0.00030434i
0.00083542-0.0022527i,0.00098666-0.0016798i,-0.0002408-0.0005778i,-0.0006937+0.00096049i,-0.00021177+0.0012951i,0.00042631+0.00065461i,0.0012823-0.00010804i,0.00096457-0.00035382i,0.00035063-0.00024897i,0.00052944+0.00055792i,0.0002721+0.00045945i,-0.00019241+1.5297e-05i,-0.00028145-0.00048088i,0.00013671-0.0010913i,0.00070018-0.000769i,0.00050971-0.0002622i,2.3589e-06-0.00039165i,0.0002172-0.00065886i,0.00016872-0.00036373i,0.00086645+0.00016472i,0.0012383+0.00069071i,0.00022185+0.00053731i,-0.00082553-9.4844e-05i
0.00089364-0.0010659i,0.0013996-0.0010864i,0.001296-0.00053549i,0.00087087+0.00031584i,3.382e-05+0.00081762i,-9.4246e-05+0.0016236i,0.0005128+0.0015791i,0.00074367+0.00087321i,0.00099633+0.00044672i,0.00096931+0.00057427i,0.00053883+0.00096321i,0.00035898+0.0011009i,0.0004578+0.00070126i,0.00059639-1.0996e-05i,0.00072301+0.00031869i,6.0651e-05+0.00036664i,-0.00020374-0.00039818i,3.1539e-06+4.5344e-05i,7.7292e-05+0.00037389i,0.00031788-0.00012052i,-0.0005096+0.00010725i,-0.0008177+0.00026843i,-4.7289e-05-0.00062864i
-0.00024802+0.00014607i,0.0012166-0.00026623i,0.0013772-0.00062571i,0.00044975+0.00021035i,0.00037303+0.0013985i,0.001384+0.0018423i,0.0017891+0.0013384i,0.0010836+0.00026156i,0.00032467+7.1051e-05i,-0.00022834-8.5662e-05i,-0.00035784-0.00027995i,0.00015377-0.00050048i,0.00066063-0.00084465i,0.000752-0.00040978i,0.00028193-8.6104e-05i,7.1406e-05-0.00012804i,-3.4842e-05-0.000212i,-0.00026176-0.00038384i,-0.00017344-0.0004564i,0.00012455-0.0004724i,0.00017791-0.00053538i,-0.00028666-0.00041552i,-0.00055843+5.1662e-05i
0.0016773-0.00029567i,0.0019181-2.4306e-05i,0.00058063-9.1621e-05i,0.00039705-0.0004441i,6.41e-05-0.00087452i,-0.00046881-0.00036957i,-0.00030196+0.00040381i,-0.00050012+0.00014495i,-0.00058727+4.0628e-05i,-1.4287e-05+0.00025665i,0.00092811+0.00088464i,0.00084904+0.0015515i,0.00011966+0.0015251i,-0.00014458+0.0014997i,-6.349e-05+0.00092642i,0.00011276+0.00077817i,-0.00029873+0.00054565i,-0.00073434+3.148e-05i,-0.0010345+4.3042e-05i,-0.00044205+0.00069414i,4.8143e-05+0.00081553i,3.0986e-05+0.00067611i,0.00024507+0.00032605i
0.0022493-0.0020164i,0.0027853-0.0012196i,0.00094893-0.0013068i,0.00010585-0.00012106i,0.00086685+0.0014382i,0.00094996+0.0015239i,0.00062923+0.00030528i,0.0012371-0.00014789i,0.0014542+0.00010971i,0.00072127+0.00026241i,8.5279e-05+0.00040876i,-0.00023986-0.00010852i,-0.00045572-0.00023799i,-0.0003223-0.00025798i,-0.00043295-0.0001534i,-0.00087179-1.3878e-05i,-0.00030756+0.00039416i,0.00047637+0.00086762i,0.00044691+0.00030203i,-1.5154e-05-5.972e-05i,-0.00052377-1.1544e-05i,0.00011475+8.4736e-05i,0.00047767+0.00010463i
0.00053387+0.00050557i,0.0004003+6.1062e-05i,0.00031266+0.00048748i,0.00030284+0.00032903i,0.00079656-0.00029399i,0.0010204-4.7192e-05i,0.00058471+5.6976e-06i,0.00054384-0.00041178i,0.00076351-0.00055162i,0.00088485-0.00093925i,0.00063818-0.00039308i,0.00056101+0.00055391i,6.3292e-05+0.00036278i,-0.00039817-4.595e-05i,-0.00020115-0.0001155i,0.00030086+0.00028719i,0.000291+0.00029012i,-0.00011426-0.00019102i,0.00034436+0.00021236i,0.00076487+0.00067231i,-0.00017315+0.0007421i,-0.00057141-0.00018439i,-0.00019679-0.00030265i
-0.00042283+0.00028619i,0.00047291-0.00019424i,0.00053651-0.00016861i,0.00034592+0.0003632i,0.00048082+0.00020502i,0.00038338+4.1688e-05i,-0.00026824-0.0004621i,-5.5033e-05-0.0005427i,0.00019699+0.00019194i,-8.4409e-05+0.00071439i,-0.00012731+0.00057372i,0.00016095-0.00037854i,0.0002689-0.00055849i,0.00047128+0.00010313i,0.00062447+0.00028503i,0.00039373+0.00059534i,-1.6353e-05+0.00075404i,-5.7709e-05+3.7178e-05i,0.00065238+0.00012178i,6.6415e-05+1.2674e-05i,-0.00060696-0.001154i,9.5932e-06-0.00092343i,-0.0001706-1.017e-05i
0.0022908+0.00018733i,0.0018946+0.00069061i,0.0018791+0.00045473i,0.0014722+0.00018446i,0.0011627+0.00052698i,0.00083952+0.0015799i,0.00058361+0.0012054i,0.00063044+0.0007034i,0.00018177+0.00052032i,-0.00081483+0.00067155i,-0.0009036+0.00093256i,-0.00052165+0.00092045i,0.00020054+0.00060821i,0.00028144+0.00040384i,-0.0004947+0.00096408i,0.00011044+0.0014985i,0.00073894+0.00083099i,0.00032579+0.00013248i,0.00038283+0.00033405i,0.00019469+0.00038347i,-0.00073491-0.00011099i,-0.00043295-0.00057649i,-0.00012365+5.4445e-05i
0.0018216+0.00038326i,0.0013813-0.00013148i,-0.00016795+0.0002534i,-0.00085591+0.0018173i,-0.00036678+0.0022448i,-0.00013288+0.00078015i,-0.0006377+1.8304e-05i,-0.00092256+0.00011118i,-0.00073239+0.0003012i,-7.0634e-05+0.00056839i,0.00019843+0.00031086i,-0.00069416-0.00012204i,-0.00059493-0.00021308i,-0.000157+0.0004536i,-0.00097224+0.00080843i,-0.0010041+0.00053288i,-0.00020115+0.00032274i,0.00020654-0.00016009i,-0.00014265-0.0005685i,-0.00043368-0.00059394i,-0.00054179-0.00016651i,-0.00090438+0.00031783i,-0.00097199+0.00011783i
