0.00080484+0.001025i,0.00036979-0.0002141i,-0.00077427-0.0011287i,-0.0018611-0.0013404i,-0.0022967-0.00050519i,-0.0016693+0.00095464i,-0.001115+0.001518i,-0.0011163+0.0016251i,-0.00073815+0.0017218i,0.00076995+0.0011475i,0.0018924+0.00042084i,0.00092441-0.00029773i,4.0849e-05-0.0010012i,0.00086324-0.00070076i,0.0015179-0.00043508i,0.00040922-0.00031216i,-0.00095168+0.00040128i,-0.00087944+0.00024975i,-0.00022631-0.00095002i,0.00053844-0.0013887i,0.00075608-0.0010193i,9.5117e-05-0.00034845i,0.00011025+0.00031757i
-0.0011038-0.0013361i,-0.00021041-0.0010069i,-0.0014384+3.7907e-05i,-0.0031172+0.00093893i,-0.0033221+0.0012492i,-0.0017565+0.00038551i,-0.00089903-0.0001551i,-0.00032687+0.00040424i,0.00016505+0.0005586i,8.0397e-05+0.00068166i,-0.00016809+0.0011668i,-0.00032897+0.00077302i,0.00045924-2.5904e-05i,0.0011551-0.00029914i,0.0010035-0.00040029i,0.00086749-0.00074593i,0.00027083-0.00044592i,-0.00021905+0.00040769i,-0.00014068+0.0011248i,-5.0792e-05+0.0010112i,-0.00010483+0.00084049i,-0.00042109+0.0014562i,-0.0010343+0.0013708i
-0.00033874-0.0014308i,-0.00029527-0.0016102i,-0.00037438-0.0011262i,-0.0010841-0.00047596i,-0.0018568-0.00010927i,-0.0017811+0.00063734i,-0.00090014+0.0015221i,-0.00031721+0.001687i,0.00011669+0.0012527i,8.6264e-05+0.00047093i,-0.00050801+0.00012709i,0.00016678+0.00010844i,0.00068282+0.00046696i,-3.5082e-05+0.00036663i,-0.00054494+0.00014037i,-0.00072859+0.00029971i,-0.0013866-0.00021899i,-0.00093336-0.00057251i,-5.3783e-05-9.9928e-05i,-6.8815e-05-0.00023405i,8.1236e-05+1.4192e-05i,0.00069893+0.00068952i,0.001002-2.6078e-05i
-0.00043013+0.0017939i,-0.00015294+0.0013337i,-3.1854e-05+0.0018216i,-0.00031173+0.0019233i,-1.7997e-06+0.0012237i,-0.00016925+0.00075704i,-0.00071258+0.0012244i,-0.00041543+0.0015237i,-1.6747e-05+0.00061381i,0.00060127+5.4626e-05i,0.000439+0.00035743i,-3.3248e-06-5.6134e-05i,0.00054193-0.0013194i,0.0012882-0.001764i,0.00071347-0.00057296i,-0.00010385+0.00071813i,0.00013314+0.0010585i,0.00040822+0.00057236i,-1.5867e-05+0.00041494i,-0.0005729+5.5937e-05i,-0.001217-0.00037302i,-0.0014673-0.00036181i,-0.00067942+8.7226e-05i
-0.00025322+0.00083471i,4.589e-05+0.00052886i,0.00066351-0.00044406i,9.5037e-05-0.0008061i,-0.00015492-0.00047408i,0.00022899-0.00022785i,-1.9478e-05-5.5914e-05i,-0.00033735+0.00013456i,-0.0010962+0.00073852i,-0.0009684+0.0003208i,0.00020053-0.0010232i,0.0007619-0.0011266i,0.00067686-0.0008027i,0.00044071-0.00018221i,-0.00017919-0.00011946i,-0.00067992-0.00017814i,-0.00072649+0.00036942i,-0.00048683+0.00017224i,0.00043588-0.00015333i,0.00078412-0.00030101i,0.00016479-0.00055451i,7.8708e-05-0.00019417i,6.7207e-05-0.0003621i
-0.0020912+0.00090876i,-0.0028292+0.00071403i,-0.002303+0.0017713i,-0.00085614+0.0027975i,-8.8745e-05+0.0020547i,0.00018078+0.00038506i,-0.000349-0.00059859i,-0.00080802+0.00063753i,-0.00014012+0.0017307i,0.00053343+0.00091959i,0.00087851-0.00014947i,0.0010725-0.0006329i,0.00093662-0.0010222i,0.00090944-0.00085381i,0.00033103-0.00015753i,-0.00064014-0.00048777i,-0.00069077-0.00097201i,3.293e-05-0.00020912i,0.00052379+0.00023671i,0.00026957+0.00012313i,0.00046485+8.6529e-05i,-0.00011318-0.00033705i,-0.00047974-0.00057159i
-0.00057871-0.00079142i,-0.00016821-0.00029843i,-0.00057034+0.00015942i,-0.0010772-0.00023607i,-0.0014852-0.00079403i,-0.0010857-0.00082234i,-0.00065464+0.00033698i,-0.00093153+0.00077732i,-0.0011218+0.00067421i,-0.00075946+0.0009068i,4.3897e-05+0.00062295i,0.00059833+0.00024517i,0.0011109-0.000467i,0.00087086-0.00037931i,-0.00026302+0.00014288i,0.00022916+0.00031026i,0.001356+0.00025217i,0.0010814+4.0656e-05i,0.00079219+0.00051632i,0.0010742+0.0003842i,0.00079263-0.00068395i,0.00023435-0.00057312i,-0.00067139-0.00045885i
0.00020057-0.0011307i,0.0006804-0.00063983i,3.9987e-05-0.0012535i,-0.00086974-0.0016217i,-0.00082193-0.0013753i,1.7228e-05-0.0005085i,-0.00041323+0.00011145i,-0.0013079-0.00012998i,-0.0005317+0.00010171i,-0.00031075+0.00036348i,-0.00027477+0.00073814i,0.00063116+0.00078113i,0.0012727+0.00025525i,0.00028408+0.00033985i,-0.00088409-0.0001082i,2.2621e-06-0.00057853i,0.00064296+4.4556e-05i,-0.00034653+0.00022418i,-0.00065745+0.00028125i,-0.00041009+0.00057951i,1.9853e-05+0.00019077i,0.00047593-6.3138e-05i,0.00030553+0.0006326i
-0.00038487-0.0010935i,0.0014253-0.00076081i,0.00096534-0.00016187i,0.00016162+8.9634e-06i,0.00028443-0.00012819i,0.00032765+0.00027609i,1.6626e-06+0.00080898i,-0.00038023+0.00088827i,-0.00048668+0.0011151i,-0.00043931+0.0010835i,0.00028099+0.00081069i,0.0013274+0.00091031i,0.0012618+0.00093926i,0.0004544+0.00093821i,-1.3768e-06+0.00084925i,-8.7451e-05+0.00049794i,7.4594e-05+0.00023462i,-1.2858e-05+1.0336e-05i,-7.6135e-05-0.00042369i,0.00020548-0.00054768i,-0.00020435+7.5244e-05i,-0.00037928+0.00061374i,-0.00068787+0.00047332i
0.00053361-0.0022888i,0.00067859-0.0018079i,0.00064068-0.0019132i,-0.00022717-0.0007096i,-0.0012478+0.00069754i,-0.0010957+0.00085911i,-0.00071332+0.0005134i,-0.00080261+0.0010484i,-0.00050033+0.00092709i,-0.00036672+0.0004638i,-0.00029796-6.7296e-05i,-2.7855e-05-4.9795e-06i,0.00010527-0.00012622i,0.00013366-0.0002826i,-8.1282e-05+0.00034863i,-0.00029453+6.7727e-05i,-0.00055199-0.00017555i,-0.00067311-0.00024263i,-0.00029128-0.00056947i,0.00040909-0.0005997i,0.00075214+0.00040952i,-0.00017188+0.00059947i,-0.00031569+0.00029838i
0.0014651+0.0012591i,0.00096255+0.00049784i,0.00056945-0.00022176i,0.00014625-0.0010504i,-0.00034929-0.0010807i,-0.00062283-0.00052211i,-0.0003028-0.00040954i,-0.00081842+0.00018827i,-0.0012844+0.00085012i,-0.0011166+0.00068707i,-0.00050058+4.1991e-05i,-9.591e-05-0.00038247i,4.1659e-05-0.00062016i,0.00032733-0.0010224i,0.00010553-0.00022945i,-5.803e-06+0.00054971i,-0.00018787+0.00058018i,-0.00057974+0.00056609i,0.0003258+0.00073855i,0.00077865+0.00097426i,0.00028004+0.0007068i,0.00018107-4.339e-05i,0.00039202-0.0006831i
