0.00080484+0.001025i,0.00036979-0.0002141i,-0.00077427-0.0011287i,-0.0018611-0.0013404i,-0.0022967-0.00050519i,-0.0016693+0.00095464i,-0.001115+0.001518i,-0.0011163+0.0016251i,-0.00073815+0.0017218i,0.00076995+0.0011475i,0.0018924+0.00042084i,0.00092441-0.00029773i,4.0849e-05-0.0010012i,0.00086324-0.00070076i,0.0015179-0.00043508i,0.00040922-0.00031216i,-0.00095168+0.00040128i,-0.00087944+0.00024975i,-0.00022631-0.00095002i,0.00053844-0.0013887i,0.00075608-0.0010193i,9.5117e-05-0.00034845i,0.00011025+0.00031757i
0.0010951-0.00036325i,0.0012297-0.00039855i,-0.0006776-0.0026526i,-0.0044376-0.0057703i,-0.0070386-0.0062948i,-0.0066263-0.0012248i,0.00013174+0.0022542i,0.011002-0.0042684i,0.01496-0.01384i,0.0088306-0.016509i,0.0015269-0.011285i,-0.00077314-0.0039282i,-0.00061502+0.00012737i,-0.00073302+0.0014298i,-0.00087729+0.0012558i,-0.00027683+7.0713e-05i,-0.00018772-0.00014052i,-0.00102-0.00019779i,1.4816e-05+3.2851e-05i,0.00097076+6.8368e-05i,0.00013325+0.0002581i,-0.00066371+0.0012684i,-0.00049622+0.0010347i
0.0021569+0.00097534i,0.0019356+0.00027528i,0.00098929-0.00015702i,-0.0017729+0.00013497i,-0.0046693+0.0018604i,-0.0033629+0.002893i,0.00089141-0.0013075i,0.0010119-0.012977i,-0.0047039-0.021637i,-0.0093166-0.017258i,-0.0088116-0.0071804i,-0.0049217-0.00094547i,-0.0011169+0.001309i,0.00079673+0.00257i,0.0014304+0.0021644i,0.00081516+0.0011585i,0.00036442+0.00088783i,0.0017093+0.00090968i,0.0031559+0.0006069i,0.0027542-0.00089203i,0.0015287-0.0021929i,0.00091128-0.001605i,0.0008251-0.00073253i
-0.0013397-5.9417e-05i,-0.0016264+0.00041223i,-0.0015168+0.0024694i,-0.0031819+0.0051593i,-0.0049283+0.0067262i,-0.0016378+0.0038414i,-0.0010466-0.0029921i,-0.011097-0.008281i,-0.02135-0.0069067i,-0.0196-0.00067537i,-0.0093813+0.0039432i,-0.0013626+0.0046605i,0.0017422+0.0024739i,0.0043698+0.00039209i,0.004694-0.00038906i,0.0021242-0.00074951i,-0.00015274-0.0012203i,-0.0013561-0.0021133i,-0.0010821-0.0017603i,0.00018062-0.00081962i,0.0016152-0.0005562i,0.0018393-1.94e-05i,0.0011047-0.00030229i
0.0018485+0.0011855i,0.0022232+0.0013948i,0.0024643+0.0029495i,0.0018916+0.0049313i,0.0020181+0.0049726i,0.0012484+0.0020963i,-0.0037199-3.5222e-05i,-0.012458+0.0048305i,-0.017143+0.013411i,-0.011684+0.0159i,-0.0023514+0.010893i,0.0029101+0.004153i,0.0042019-0.00012996i,0.0039231-0.0024005i,0.0023778-0.0028105i,0.0010348-0.0016272i,7.3622e-05-0.00059656i,-0.00025183-0.00058277i,-0.00075341-0.00086789i,-0.0011623-0.0015273i,-0.00067431-0.0013918i,-0.00053695-0.00089884i,-0.00076545-0.0006816i
-0.00051728-0.0020431i,-4.1733e-05-0.0023726i,0.00048645-0.0027328i,0.0026159-0.0024476i,0.004845-0.0013783i,0.0026924-0.00061743i,-0.0012654+0.0025103i,-0.0016238+0.012452i,0.0015297+0.020225i,0.0049427+0.015789i,0.0053255+0.0065024i,0.0032192+0.00083758i,0.001188-0.0019434i,5.7279e-07-0.0043354i,-0.0012245-0.0047332i,-0.0013853-0.0033105i,-0.00082558-0.0019122i,-0.0020423-0.00033575i,-0.0032088+0.0016746i,-0.0025868+0.002658i,-0.00094994+0.0018523i,0.0001166+0.00105i,-0.0005217+0.00095217i
0.0013309-0.001673i,0.0019259-0.0025255i,0.0033467-0.0038317i,0.0048469-0.0056269i,0.005805-0.0076744i,0.0038407-0.0063848i,0.0024661-0.00094513i,0.0093393+0.0051218i,0.016985+0.007205i,0.014763+0.0040603i,0.0058159+0.00018344i,-0.00052065-0.0010205i,-0.0024465-0.0011394i,-0.0030741-0.0023147i,-0.0027625-0.0022615i,-0.0014575-0.00098329i,0.00019334-0.00012263i,0.0011643-1.0065e-05i,0.0017742+0.0010372i,0.00087672+0.0021926i,-0.00054342+0.0014494i,-0.00076864+0.00057867i,6.8139e-05+0.00059299i
-0.0016194-0.0027522i,-0.0010095-0.0029021i,-0.0018076-0.0033607i,-0.0026528-0.0064713i,-0.0026069-0.0088296i,-0.0017682-0.0061207i,0.0015338-0.0028404i,0.0086878-0.0062151i,0.011749-0.011731i,0.006138-0.010326i,-0.00047613-0.0039863i,-0.0023883+0.0010873i,-0.0021772+0.0028371i,-0.0028828+0.0029199i,-0.0028652+0.0022841i,-0.0016806+0.00045057i,-0.0013619-0.00032121i,-0.00084906+0.0010097i,0.0010522+0.0015919i,0.0021215+0.0015801i,0.0013232+0.0010865i,5.6407e-07+0.00095788i,-0.00060655+0.00063859i
0.00074262-0.00182i,0.00057293-0.002433i,-0.0010801-0.003092i,-0.0055657-0.0045374i,-0.0089535-0.0059226i,-0.0074524-0.0047209i,-0.0035514-0.0040379i,-0.0032468-0.010271i,-0.0059197-0.01599i,-0.005972-0.011762i,-0.0023681-0.0025336i,0.00063906+0.003218i,0.0022301+0.0046078i,0.0031533+0.0046793i,0.0027329+0.00443i,0.00098229+0.0021608i,-0.00055504-0.00014271i,-3.9378e-05-0.0017412i,0.0010658-0.0019746i,0.0012596-0.0010847i,0.0011495-0.0007483i,0.00024781-0.000475i,0.00017519-0.00073781i
0.0015333+0.0010266i,0.0014629+0.0013676i,9.2345e-05+0.0019126i,-0.0056488+0.0021037i,-0.012601+0.0020342i,-0.011168+0.00034473i,-0.0072-0.0022202i,-0.012263-0.0037499i,-0.017767-0.0034559i,-0.013558-0.00093627i,-0.0041835+0.0013583i,0.0025849+0.0018946i,0.0050651+0.0018579i,0.0053435+0.0010942i,0.004146+0.00042241i,0.00127+0.00091742i,-0.00062585+0.00040131i,-0.00065426-0.0010158i,0.00010481-0.001041i,0.00041301-0.0012872i,0.00031259-0.0018942i,0.0005793-0.00040282i,0.00075971+0.00091781i
-0.00074113-0.00031504i,-0.00034467+5.0038e-05i,-0.0010757+0.0016357i,-0.0010397+0.0068538i,-0.0027863+0.011536i,-0.004219+0.0088543i,-0.0043764+0.00419i,-0.0086581+0.0072659i,-0.011586+0.011933i,-0.0074295+0.0096801i,-0.00055183+0.0031908i,0.0035144-0.0018804i,0.0043301-0.0035424i,0.0044548-0.0042666i,0.0035886-0.004628i,0.001711-0.0034547i,0.00072741-0.0025995i,0.00017445-0.0018741i,-0.0013549-0.00053111i,-0.0020914+0.00052823i,-0.0010122+0.00054443i,0.00025102+0.00024974i,0.00095762-0.00011772i
-0.0015634+0.001644i,-0.001206+0.0018795i,0.0007396+0.0033536i,0.0060018+0.0068379i,0.0096919+0.010415i,0.0074266+0.0093564i,0.0026375+0.0061701i,0.0020417+0.0092796i,0.0041507+0.013944i,0.0038513+0.011212i,0.0010258+0.0032338i,-0.00079642-0.0028659i,-0.00094979-0.0047858i,-0.00072416-0.0047685i,-0.00042782-0.0034094i,-9.9083e-05-0.00066508i,0.00072566+0.00067455i,0.0010213+0.00096038i,-0.00049484+0.0016553i,-0.0011386+0.001055i,-3.3788e-05-0.00093767i,0.00076808-0.0012662i,0.0006805-0.00066303i
0.00075079-5.3365e-05i,0.0013003-0.0008208i,0.003715-0.0018351i,0.0091801-0.0032993i,0.014423-0.0031169i,0.013016-0.0016034i,0.0081696-0.0010091i,0.00969+0.00029496i,0.012663+0.0010798i,0.0085983+3.0237e-05i,0.0010168-0.00010842i,-0.0033571+0.0010436i,-0.0044676+0.0009883i,-0.0047692+0.00033582i,-0.0045662-0.00020202i,-0.0031051-0.0015557i,-0.00090527-0.0021953i,0.00011544-0.00045509i,0.0003186+0.0018809i,0.00065979+0.0028422i,0.00054463+0.0011274i,-0.00081942-0.0011516i,-0.0021876-0.00096864i
-0.0018862-0.00036946i,-0.0025912-0.00054712i,-0.0028108-0.0030925i,-0.00079178-0.007971i,0.0024344-0.012198i,0.0045547-0.010256i,0.0035594-0.0072402i,0.003463-0.0096012i,0.0050123-0.011434i,0.0034711-0.0068835i,0.00041512+0.00010539i,-0.00055577+0.0045789i,3.4488e-05+0.0050201i,0.0010089+0.0037759i,0.00080287+0.0024622i,0.00011036+0.0012173i,-0.00032051+1.9573e-05i,6.6866e-05-0.00073337i,0.0011318-0.00013976i,0.00044974+0.00058429i,-0.0011528+0.00043211i,-0.0015076-0.00033637i,-0.001148-0.00056698i
-0.00020264-0.0011143i,-0.00053975-0.0014782i,-0.0040517-0.0044688i,-0.008968-0.011176i,-0.011344-0.018327i,-0.0090346-0.016655i,-0.0063332-0.0091798i,-0.0080379-0.0087461i,-0.0093503-0.010229i,-0.0059038-0.0057861i,-0.00059865-1.8542e-05i,0.0028367+0.0034931i,0.0034697+0.0039477i,0.0032476+0.0032968i,0.0016163+0.002428i,-0.001343+0.00091332i,-0.0029857+0.00049311i,-0.0028255+0.00053932i,-0.0011293+0.00078229i,-7.256e-05+0.0015807i,-0.00035111+0.0017288i,-0.00085637+0.0016198i,-0.00070034+0.0018658i
0.0021265+0.0021897i,0.0015141+0.0026088i,-0.00041929+0.0024889i,-0.0088483+0.0017771i,-0.018842-0.00029921i,-0.019275-0.0031772i,-0.013118-0.0017795i,-0.011823+0.001751i,-0.012592+0.0031286i,-0.0072612+0.003035i,0.00050799+0.0019024i,0.0049912+0.00063672i,0.0060369-0.00013699i,0.0052175-0.00096251i,0.0034597-0.0015657i,0.0020324-0.0005949i,0.0010855+0.00033464i,0.00034126-0.00032874i,0.0004243-0.00081015i,0.00026511-0.00022343i,-0.00011878+0.0005954i,0.00072632+0.00094029i,0.0022778+0.00069216i
-0.0012083-0.00071608i,-0.0013341+0.00014984i,-0.0030882+0.0034687i,-0.0067341+0.0096372i,-0.012454+0.016167i,-0.013709+0.015373i,-0.0081984+0.0089648i,-0.0048762+0.008218i,-0.0051145+0.010254i,-0.0035165+0.0069873i,-0.0014079+0.0016634i,-0.00032679-0.00092266i,0.0010832-0.0022834i,0.0016248-0.0036462i,0.0005625-0.0031017i,-0.00060328-0.00043414i,-0.00082856+0.0015964i,-8.9239e-05+0.0010823i,0.00048896+0.00039944i,0.00068093+9.068e-05i,0.0014866-0.00060987i,0.002186-0.0001597i,0.0020238+0.00033696i
0.0009753-0.00068361i,0.0016708-0.0007355i,0.0026173+0.0025761i,0.0050929+0.010622i,0.0079555+0.019529i,0.0062835+0.020733i,0.0032295+0.012974i,0.0041182+0.0088161i,0.0054672+0.0094486i,0.0029625+0.0064584i,-0.0012722+0.0022203i,-0.0023002-0.00021083i,-0.0010746-0.0021981i,-0.001622-0.0038381i,-0.0024075-0.0043518i,-0.0011198-0.0035444i,0.00069018-0.0015665i,0.00069593-0.00041812i,-5.0786e-05-0.00035427i,-6.9488e-05-0.00035163i,0.00071664-0.0011945i,0.00094927-0.00249i,0.00030491-0.0024232i
0.0027957-0.0020003i,0.0030484-0.0025057i,0.0064593-0.0051812i,0.01458-0.0045267i,0.021722+0.00039445i,0.01958+0.0044856i,0.010887+0.0035831i,0.0075341+0.00071819i,0.008397-0.00069291i,0.0052022-0.001247i,0.00058715+0.00032011i,-0.0014047+0.002441i,-0.0019083+0.0027419i,-0.001795+0.003499i,-0.00081002+0.0033822i,0.00020241+0.0027527i,0.00021888+0.0019083i,0.00024677+0.00061499i,2.5241e-05+0.00038036i,-0.0010002+0.0001567i,-0.00051815-0.0014052i,-0.00080453-0.0028292i,-0.002238-0.0028131i
-0.00040826+0.00080573i,0.00010145-0.00018552i,0.0030919-0.0035621i,0.0080245-0.010902i,0.013578-0.017947i,0.015833-0.016331i,0.010207-0.0089881i,0.0048713-0.0064684i,0.0040408-0.0075254i,0.0031306-0.003979i,0.0025596+0.00050541i,0.002268+0.0020895i,0.0018057+0.0023839i,0.0016361+0.0018371i,0.0013955+0.0010562i,-3.4326e-05-0.00048597i,-0.0016225-0.0017435i,-0.0012696-0.0007294i,-0.00067932+0.00096132i,-0.00020901+0.0015862i,-0.00053639+0.001377i,-0.0018682+0.00091016i,-0.002487+0.00081881i
-0.00020903-0.00025098i,1.1474e-05-0.0011253i,-0.002618-0.0047606i,-0.0070596-0.015555i,-0.009955-0.027953i,-0.0076657-0.026986i,-0.0034988-0.015255i,-0.0033304-0.0081875i,-0.0046913-0.0063205i,-0.0037642-0.002773i,-0.00068036+0.0013368i,0.0020636+0.0023635i,0.0032663+0.0020514i,0.0038461+0.001549i,0.0038471+0.00069129i,0.0022755-9.3973e-05i,0.0011357-0.00041075i,0.00083448+0.00020255i,0.00023566+0.00051149i,6.2767e-05+0.00081333i,-0.00070311+0.0019326i,-0.00096204+0.003233i,-0.0001529+0.0036546i
0.0026079-0.00056796i,0.0019923+0.00048424i,-0.0019-0.0010009i,-0.014027-0.0043317i,-0.026029-0.0091963i,-0.026825-0.013672i,-0.017049-0.012021i,-0.0094437-0.0064414i,-0.0085061-0.00221i,-0.0058798+2.7244e-05i,-0.0020411-0.00092926i,-0.0007557-0.0020849i,-1.0531e-05-0.0011369i,0.00021242-0.00064769i,-0.00087025-0.0012549i,-0.0017538-0.00073888i,-0.0019479+0.00025488i,-0.0011562+0.00064228i,-6.8975e-05+0.001355i,0.001029+0.0017929i,0.0016538+0.0015945i,0.0016382+0.0014583i,0.0017476+0.0021596i
0.0027678-8.2196e-05i,0.0031599+0.00022987i,0.00063782+0.0024817i,-0.0091355+0.0083983i,-0.021374+0.015548i,-0.025077+0.015092i,-0.01842+0.0069223i,-0.011417+0.0027139i,-0.0083311+0.0034567i,-0.0054532+0.002908i,-0.0031843+0.0014868i,-0.0018366+0.0012907i,-0.00057916+0.00078684i,0.00037308-0.0015643i,0.00029472-0.0032388i,0.0011468-0.0033493i,0.0021651-0.0018276i,0.0012259-0.00042711i,-0.00037279-0.00010633i,-0.00025157+7.595e-05i,0.0011049-0.00035191i,0.0018969-0.0010172i,0.0027671-0.0022914i
0.00068383-0.00089932i,0.002085-0.00085297i,0.0042325+0.0037785i,0.0061473+0.016354i,0.0052484+0.028912i,0.00044645+0.031662i,-0.004717+0.021025i,-0.006961+0.010551i,-0.0047884+0.0082033i,-0.0021127+0.0054594i,-0.0012455+0.0023336i,-0.0012013+0.002415i,-0.0015206+0.0023257i,-0.0021998+0.0012589i,-0.0023932+0.0011258i,-0.0014227+0.00011189i,-0.0008891-0.0012746i,-0.00059661-0.0016583i,-0.00042909-0.0012344i,-0.00045045-0.0011063i,-0.00061335-0.0020212i,-0.00079375-0.0027652i,5.3158e-05-0.0027355i
0.0025908+0.0017745i,0.003706+0.0014273i,0.0082471+0.0004757i,0.017754+0.0019341i,0.028431+0.0079252i,0.028289+0.013872i,0.01458+0.015405i,0.0042727+0.013116i,0.0035479+0.0087583i,0.0032219+0.0043997i,0.0014216+0.0018718i,0.002411+0.0018967i,0.0030111+0.0020551i,0.0018284+0.0014381i,0.0011843+2.2143e-05i,5.8167e-05-0.0014591i,-0.0014698-0.0022387i,-0.0026366-0.0023452i,-0.0034437-0.001441i,-0.0033442-0.00069462i,-0.002907-0.00096437i,-0.0026011-0.001748i,-0.0031433-0.0013421i
0.0026542-0.00038493i,0.0033215-0.0012108i,0.0064933-0.0058472i,0.014134-0.015329i,0.025054-0.022426i,0.02872-0.020015i,0.021586-0.0083167i,0.012859+0.0023708i,0.0083481+0.0028021i,0.0037723-5.2703e-05i,0.00024074+0.0005915i,-3.7142e-05+0.0016722i,5.6915e-06+0.0019752i,0.00072002+0.0027809i,0.0013605+0.0029856i,0.001046+0.0026362i,0.00046021+0.0020175i,-0.00034122+0.001791i,-0.0012489+0.0018542i,-0.0013297+0.0020073i,-0.00052682+0.0010508i,-0.00084788+0.00063677i,-0.0017253+0.0019035i
-0.0016163+0.0012329i,-0.0019403+0.00053868i,-0.0031174-0.0040934i,-0.0050301-0.017397i,-0.0057505-0.035007i,-0.00051042-0.039264i,0.0081931-0.02671i,0.01169-0.013627i,0.0079295-0.0081267i,0.0021224-0.0044415i,6.2612e-05-0.00039481i,0.00065797+0.00035465i,0.00083059-0.00041822i,0.00056372-0.0015811i,0.00069328-0.0023137i,0.00056048-0.0014118i,0.00018087+0.00038241i,-0.00051002+0.0029626i,0.00037462+0.0047175i,0.0011068+0.0042428i,0.00070494+0.0031167i,0.00068996+0.0030603i,0.00031419+0.0035992i
-0.0043515-0.0018764i,-0.0049877-0.000561i,-0.010528-0.00023397i,-0.021016-0.0031618i,-0.033115-0.0097997i,-0.034956-0.016515i,-0.020725-0.019323i,-0.0061335-0.017869i,-0.0047021-0.012418i,-0.005507-0.0046409i,-0.0012143+0.0004399i,0.0014974+0.0022654i,0.0016075+0.001696i,0.00203-0.00050035i,0.0020205-0.0021617i,0.0022032-0.0019981i,0.0022812-0.00084833i,0.001945-8.5049e-05i,0.0019968+0.00060918i,0.0026513+0.0010133i,0.0033026+0.0012544i,0.0027903+0.0013753i,0.0028454+0.0011021i
-0.0021415+0.0018134i,-0.0021905+0.0033335i,-0.0050534+0.0067775i,-0.016144+0.013172i,-0.030339+0.021926i,-0.035573+0.022293i,-0.029663+0.0094377i,-0.021303-0.004382i,-0.015784-0.0055918i,-0.0078627-0.001168i,0.00030289-1.1101e-05i,0.0031978-2.6747e-05i,0.002785-0.0009506i,0.00071686-0.002292i,-0.00095273-0.0026669i,-0.001295-0.0030382i,-0.0012657-0.0036618i,-0.00019187-0.0036251i,0.0014172-0.0026771i,0.001742-0.0021231i,0.0016882-0.0022557i,0.0015086-0.0024063i,0.0012125-0.0026062i
0.0030092-0.0013136i,0.0026186+0.00042194i,0.0031909+0.0055661i,0.00377+0.018422i,0.002076+0.035095i,0.00012699+0.041775i,-0.0067756+0.030067i,-0.015736+0.015617i,-0.014174+0.010893i,-0.0064549+0.0063762i,-0.00091203+0.00058914i,0.0014969-0.00040208i,0.0016036+0.0013868i,0.00082601+0.0024453i,-4.1838e-05+0.0019322i,-0.00010659-0.00098525i,-0.0006388-0.0039131i,-0.0019412-0.0046963i,-0.002144-0.0046199i,-0.0011526-0.0035323i,-0.00079667-0.0032907i,-0.0015444-0.0046517i,-0.0018555-0.0050438i
-0.0023908+0.0011933i,0.00029342+0.001756i,0.0050563+0.0045828i,0.016832+0.0096334i,0.033243+0.01529i,0.03841+0.017507i,0.025074+0.018916i,0.0069685+0.020772i,0.00034891+0.018141i,0.0011594+0.010422i,0.00013911+0.0026648i,-0.0010669-0.0013541i,0.00039794-0.0016484i,0.00087086-3.4053e-05i,0.00022695+0.0018035i,-0.0012041+0.0024622i,-0.0025632+0.00091331i,-0.003693-0.00035779i,-0.004037-0.00067614i,-0.0031242-0.0011898i,-0.0024742-0.0016514i,-0.0023682-0.0017732i,-0.0020391-0.00074062i
0.00024536-0.0012957i,0.0017161-0.0023291i,0.0065974-0.0047288i,0.017465-0.012227i,0.031935-0.022169i,0.037095-0.027073i,0.030388-0.01635i,0.02303+0.0016716i,0.016534+0.0073063i,0.0069057+0.0042929i,-0.0021826+0.0032836i,-0.0034607+0.0035006i,-0.00051773+0.002741i,0.00087833+0.0015128i,0.0008575-0.00018562i,-0.00084015-0.0012076i,-0.0021271+0.00023783i,-0.0022537+0.0019163i,-0.0033989+0.0022252i,-0.0035212+0.001749i,-0.0025931+0.0016974i,-0.0021041+0.002541i,-0.0016155+0.0031661i
-0.0036639+0.0030919i,-0.0026424+0.0018564i,-0.0016058-0.0028447i,-0.0012256-0.01746i,-0.0042193-0.03757i,-0.0054455-0.046791i,0.0015034-0.037851i,0.011257-0.020924i,0.013031-0.010723i,0.0072426-0.0040226i,0.0025154+0.0032602i,0.00094209+0.0055109i,0.00046491+0.0037687i,0.00080596+0.00064648i,0.00078121-0.0024177i,0.00096901-0.0023417i,0.0016201-5.5629e-05i,0.0015001+0.0013769i,0.0015563+0.0035553i,0.0010038+0.0050331i,0.00044154+0.0050203i,0.0010198+0.004496i,0.0016541+0.0033151i
-0.0039724-0.0010033i,-0.0040929-0.00089362i,-0.0094719-0.0024242i,-0.020571-0.0075605i,-0.036684-0.013415i,-0.046214-0.014792i,-0.035971-0.016091i,-0.01565-0.020656i,-0.0054088-0.019561i,-0.0023675-0.0093134i,0.0035881+0.00032933i,0.0079032+0.0033002i,0.0076476+0.0019657i,0.0049565+0.00014072i,0.0023069-0.0018602i,0.001546-0.0026426i,0.002637-0.0015143i,0.0032256+0.0004671i,0.0030408+0.0031139i,0.0029219+0.0039503i,0.0024707+0.0031244i,0.0020004+0.0024057i,0.0025252+0.0016253i
0.0018572-0.00045372i,-0.00021926-0.00036033i,-0.0068606+0.00019123i,-0.019713+0.006758i,-0.032486+0.019249i,-0.038097+0.028837i,-0.034754+0.023144i,-0.026306+0.0048226i,-0.018657-0.0040411i,-0.0083194-0.0017463i,0.0014754-0.0021175i,0.0054851-0.0032989i,0.0054662-0.0017104i,0.0033611-0.00053658i,0.0018217+0.00063577i,0.0013362-0.00022252i,0.0012566-0.0031606i,0.0018865-0.0047982i,0.0023047-0.0041296i,0.0017646-0.0024523i,0.0014781-0.0019018i,0.0014041-0.002605i,0.00098665-0.0031175i
0.00074848-0.0026692i,-0.0005057-0.0011651i,-0.00068951+0.0047963i,-0.0017612+0.017893i,-0.00087766+0.035789i,0.0085884+0.046302i,0.0094143+0.040235i,-0.0075086+0.026083i,-0.015506+0.015182i,-0.0090159+0.0062064i,-0.003369-0.0022842i,-0.0014622-0.0061804i,3.7131e-05-0.0046449i,0.00065114-0.0020271i,0.00035263+8.6729e-05i,-0.00042467+0.001577i,-0.0014491+0.00026578i,-0.0023622-0.002304i,-0.0020928-0.0033698i,-0.0010161-0.0033188i,-0.0002522-0.0036118i,-5.6789e-06-0.0036775i,-0.00033776-0.0032225i
-0.0013798+0.0016655i,0.0011927+0.0016345i,0.0065496+0.0069737i,0.017187+0.014367i,0.034133+0.017472i,0.046487+0.013573i,0.040764+0.011524i,0.022394+0.017333i,0.0079999+0.019171i,0.00081181+0.011694i,-0.005682+0.0033142i,-0.0083707-0.00019102i,-0.0060445-4.4249e-05i,-0.0027708+0.00018599i,-0.001196-0.00079537i,-0.001773-0.0013285i,-0.0024403-0.0017846i,-0.0038185-0.002782i,-0.0047601-0.0036983i,-0.0035178-0.0041002i,-0.0023932-0.0038052i,-0.0024755-0.0026785i,-0.0020751-0.001129i
0.00047692-0.0013913i,0.0018968-0.0024016i,0.0057116-0.0043328i,0.016729-0.009589i,0.029561-0.02166i,0.031649-0.035951i,0.027493-0.033671i,0.023953-0.014923i,0.016186-0.00093495i,0.0045313+0.0021291i,-0.0044155+0.0048825i,-0.0063886+0.0078814i,-0.0046909+0.0060405i,-0.0022764+0.001367i,0.00039704-0.0015806i,0.0011148-0.0026058i,2.8278e-05-0.001324i,-0.0011676+0.00057422i,-0.0018873+0.0024534i,-0.0020897+0.0030933i,-0.0023926+0.0023401i,-0.0023843+0.0028336i,-0.0016434+0.0029742i
0.0035023-0.0035244i,0.0027892-0.0062442i,0.0044336-0.014544i,0.0027857-0.027536i,-0.0075721-0.039741i,-0.01915-0.045795i,-0.019691-0.044127i,-0.0064059-0.032939i,0.0064862-0.020057i,0.0064608-0.008027i,0.0036245+0.0039599i,0.0037055+0.010275i,0.0027831+0.0099675i,0.0019076+0.0059566i,0.001502+0.00079655i,0.00040908-0.00087921i,8.7102e-05+0.0014429i,0.00031023+0.0035131i,-0.0005271+0.0049294i,-0.00085011+0.0049461i,-0.0010198+0.0042777i,-0.00082965+0.0040289i,-0.00075336+0.0035339i
-0.001052-0.0019929i,-0.0019261-0.0032035i,-0.0060876-0.0074455i,-0.016698-0.014367i,-0.033746-0.015923i,-0.048883-0.0074458i,-0.049303-0.0025218i,-0.032845-0.008701i,-0.017044-0.012542i,-0.0068365-0.0061017i,0.003668-0.0001119i,0.0097539+0.00066838i,0.0084986+0.00061238i,0.0055803+0.0006534i,0.0036331+0.0001755i,0.0032104+6.6198e-05i,0.004294+0.00050779i,0.0049973+0.001729i,0.0047005+0.0036095i,0.0034517+0.0039781i,0.0031149+0.0030321i,0.0028913+0.0016579i,0.0019653+0.00063072i
0.000796+0.0011822i,-0.00056397+0.001633i,-0.0069697+0.0015836i,-0.018316+0.0050533i,-0.025168+0.01536i,-0.024998+0.034188i,-0.022028+0.043887i,-0.02239+0.026903i,-0.01999+0.007933i,-0.008946+0.0022973i,0.0009121-0.0018869i,0.0046951-0.0056193i,0.0054059-0.0053647i,0.0038691-0.0021541i,0.0017322+0.0014019i,0.00058585+0.0023973i,0.00032259+0.0011536i,0.00038352-0.00010502i,0.00112-4.126e-05i,0.0018901-0.00026998i,0.0015681-0.0015923i,0.0012144-0.0019411i,0.0013281-0.0016687i
-0.00185+0.00087289i,-0.0019905+0.0021146i,-0.0045115+0.0057601i,-0.0078762+0.016461i,-0.0034921+0.030522i,0.018117+0.03631i,0.031792+0.033795i,0.016841+0.029939i,0.000146+0.022175i,-0.0042169+0.010598i,-0.0058352+0.00059708i,-0.0063277-0.0038577i,-0.0040289-0.0040581i,-0.0014211-0.0033068i,-0.00048404-0.0024794i,-0.00094999-0.0040527i,-0.0013236-0.0060183i,-0.00052451-0.0064219i,0.00036321-0.0056454i,0.00062554-0.0041397i,2.5596e-05-0.0041026i,-0.00075494-0.0047817i,-0.00014082-0.004006i
0.0015027-0.0010203i,0.0033291-0.0004377i,0.0068682+0.0040433i,0.013747+0.012585i,0.024792+0.012733i,0.038257-0.0029371i,0.042317-0.013811i,0.030933-0.0047524i,0.015767+0.0041605i,0.0046469+0.001879i,-0.00336+6.3331e-05i,-0.0055005+0.0026169i,-0.0032042+0.0031859i,-0.0014377+0.00084866i,-0.00062385-0.0018299i,-0.0011289-0.0028797i,-0.0025351-0.0025312i,-0.0038491-0.0024815i,-0.0041242-0.0032459i,-0.0030081-0.0032078i,-0.001892-0.0013564i,-0.0013804+0.0004478i,-2.8825e-05+0.00088153i
0.000865-0.0012974i,0.0030335-0.0015257i,0.0071749-0.0001565i,0.016229-0.00094006i,0.021827-0.014179i,0.011644-0.034072i,0.0024283-0.043177i,0.0080322-0.03445i,0.013344-0.016216i,0.0081105-0.0034624i,0.0020524+0.0037534i,0.0013095+0.0070271i,0.00027069+0.0055538i,-0.0022607+0.002352i,-0.002446-0.0010217i,-0.0021454-0.0028089i,-0.0028583-0.0018997i,-0.003577-1.3943e-05i,-0.0037202+0.0014127i,-0.0033648+0.0025632i,-0.0025698+0.0030929i,-0.002009+0.002328i,-0.0016612+0.0016264i
0.0025546-0.0006182i,0.0031441-0.0026787i,0.0056148-0.0094945i,0.0067747-0.019268i,-0.003185-0.023685i,-0.024614-0.023454i,-0.038106-0.022075i,-0.0302-0.017189i,-0.014457-0.012516i,-0.0058484-0.0060731i,0.0014612+0.00154i,0.0061085+0.003957i,0.0051079+0.0027448i,0.0021671+0.0014613i,-0.00015496+0.00051177i,-0.0005937+0.0016858i,0.00053363+0.0043194i,-0.00044866+0.0064153i,-0.0023492+0.0070322i,-0.00088823+0.0053701i,0.0004899+0.0031243i,0.000257+0.0021962i,0.00012572+0.00093039i
-0.0020218+0.00037246i,-0.002486-0.0011771i,-0.0037365-0.0069574i,-0.0082826-0.015344i,-0.017311-0.011021i,-0.028155+0.011069i,-0.034064+0.027387i,-0.026893+0.017697i,-0.016433+0.003093i,-0.0078594+0.0019709i,0.00043453+0.00080826i,0.0031997-0.0029536i,0.0017543-0.0025226i,0.0010049+0.00020334i,0.00028484+0.0017572i,0.00048208+0.0032672i,0.001984+0.0040065i,0.0023462+0.0042525i,0.0020227+0.0051687i,0.0016261+0.0040684i,0.0015401+0.0019248i,0.00095765+0.0006616i,3.2316e-06+0.00016487i
