-0.0053986+0.0011237i,-0.003724+0.0021566i,-0.0031412+0.0036898i,-0.0019276+0.0048016i,0.00072536+0.0041613i,0.002433+0.0026599i,0.0014305+0.0010306i,7.3538e-06+0.00071986i,0.000105+0.0012865i,0.001099+0.00066637i,0.0013005-0.00084742i,0.00047638-0.0018984i,0.00046064-0.0025544i,-0.00018886-0.0023058i,-0.0011886-0.0013332i,-0.00086377-0.00065249i,-0.0002778-0.00012848i,0.00025469+8.6792e-05i,0.00062842-0.00035095i,0.00046481-0.00089058i,0.00047553-0.0014528i,0.00071636-0.0010591i,0.0002778-2.3403e-05i
0.00025239-0.0011597i,-0.00095679-0.0015222i,-0.00033707-0.0011683i,0.00016104-0.00011181i,0.00042688-0.00057053i,0.00053744-0.00078389i,0.00031515-0.00022294i,-0.00015548+0.00011869i,-0.00020987+0.00024089i,0.00040896+0.00019783i,-0.00042696-3.0481e-05i,-0.0010159-0.00011136i,0.00033722-0.00039746i,0.00080829-0.00053606i,0.00019068-0.00063902i,0.00038142+0.00013319i,-3.6167e-06+0.0003724i,-9.9893e-05+0.00031785i,0.00044937+0.00092517i,0.00053391+0.001013i,0.00019268+0.0013075i,0.00027231+0.0010064i,0.00023186-3.5887e-05i
-6.6107e-05+0.001381i,0.00056689+0.0012793i,0.00063526+0.00068186i,0.0017052+0.00061443i,0.0020891+0.00087151i,0.0017391+0.00043847i,0.001469-0.00039209i,0.00052482-0.00056298i,-0.00013585-0.00075377i,-0.00079567-0.00090283i,-0.00056842-0.00035407i,0.00011457+0.0002137i,0.00041475+0.00040065i,0.0009235-0.00020832i,0.00099059-0.00085289i,0.00092034-0.0011845i,0.0012846-0.0010887i,0.00083841-0.0011089i,0.00059504-0.0011333i,0.0012505-0.00022173i,0.0011309+0.00039762i,0.00054096+0.00029473i,-9.613e-05-0.0002946i
0.00024865+0.00017351i,0.00066605-0.00086985i,0.0007614-0.0021622i,0.0015188-0.0021213i,0.0013924-0.0015703i,0.00076606-0.0021632i,0.00083261-0.0017969i,0.00089254-0.000782i,0.00099232-0.00035983i,0.00090498-0.00046733i,3.1758e-05-0.00050376i,-0.0012992-0.00072465i,-0.0016021-0.00051937i,-0.00073431+0.0002987i,-0.00015905+0.00026545i,-0.00071357+0.00031749i,-0.00047872+0.0010354i,0.000133+0.0015955i,0.00038839+0.001386i,0.00050409+0.00041259i,0.00016069-0.00061639i,-4.3989e-05-0.0012382i,-0.00039446-0.0013984i
0.00031195+0.00052024i,0.00011403-0.00030035i,-0.00015945-0.00019985i,0.00013317+0.00094171i,4.9835e-05+0.00063833i,-0.00049464-0.00042545i,-0.00030153-0.00076157i,-0.00030369-0.00073879i,-0.0002406-0.00072229i,-2.184e-05-0.00045593i,0.00035063+0.00015417i,-0.00037501+0.00090558i,-0.00059268+0.00045911i,-0.0001938+0.00022628i,0.00010709+0.00036806i,0.00071829+0.00054579i,0.0012085+0.00040649i,0.00052614+6.7619e-05i,-0.00048038+0.00051246i,5.4716e-05+0.00051553i,0.00047138+0.00063329i,0.00036175+0.00089112i,0.00020594+0.00012697i
0.00038715+5.6924e-05i,0.00026019-0.00023807i,-0.00081414-0.00146i,-0.00067012-0.00080305i,-0.00013257+0.0003114i,0.0011971+0.00017572i,0.0015899-0.00031669i,0.00062163-0.0001338i,-3.8753e-05-9.3039e-05i,-0.00027266-3.4294e-06i,3.443e-05-0.00016705i,-5.7291e-05-0.00029995i,-0.00025332-0.0001271i,0.00024113+0.00032543i,0.0001093+0.0008793i,0.00011536+0.00046312i,0.00064767-0.00014623i,0.00077591-0.00014723i,0.00049253+0.00085535i,6.2276e-05+0.00062411i,0.00062066-0.00035782i,0.0010408+4.3375e-05i,0.00044465+0.00046384i
-0.00058795-0.00023401i,-0.0010101+3.9501e-05i,-0.0010218-0.00014161i,-0.0010256+0.001146i,-0.00065479+0.0019674i,0.00035198+0.0013524i,0.0010232-9.2544e-05i,0.0010798-0.00082795i,0.00080946-0.0012557i,0.00060164-0.0012998i,0.00030846-0.0013562i,0.00037972-0.00084658i,0.00065112-0.00046429i,4.1092e-05-0.0005232i,-0.00042538+0.00013336i,-0.00029872+0.00026824i,-0.00024767-0.00022697i,-0.00026737-3.8822e-05i,-2.6921e-05-0.00016573i,0.00036252-0.00078244i,7.6948e-05-0.00011936i,-3.2769e-05+0.00014943i,-0.00047789+5.1173e-05i
-0.00020426-1.2808e-05i,-0.00072124+0.00020634i,-0.00010361-0.00043357i,0.00042532+0.00072657i,-0.00025246+0.0019264i,3.0794e-06+0.00075473i,0.00044035-0.00092691i,0.00013326-0.0014433i,-4.8205e-05-0.00089487i,-1.4393e-06-0.00065528i,-0.00025912-0.00033987i,-0.00065548+0.00026237i,-0.00047466+0.00027624i,0.00014949+0.00040686i,0.00075072+0.00081942i,0.00059448+0.001055i,0.00086242+0.00062615i,0.00070087-0.00027299i,0.00078769-0.00087443i,0.00027682-0.0007228i,-0.00042012-0.00025262i,8.6285e-05+5.4041e-05i,0.00023165+3.1746e-05i
-0.00094658-0.00035292i,-0.00099564-0.0011276i,-0.0010461-0.0019597i,-0.00012564-0.0010529i,0.00055734-1.3212e-05i,-0.00029661+0.00010485i,-0.00019508-0.001124i,0.0002694-0.0018745i,8.1023e-05-0.0009327i,0.00016708+0.00024084i,8.2663e-05+0.00031991i,-5.4481e-06-0.00012692i,-4.7e-05-0.00020984i,0.00063767-0.00037915i,0.0009877-0.00016085i,0.00075471+0.00027259i,-0.0001475+0.00025421i,-0.00077595+0.00055945i,-0.00020941+0.00050757i,6.3929e-05-0.00061994i,-4.2011e-05-0.00071945i,0.00049632+0.00013024i,0.00071033+0.00081944i
0.0013617+0.00017219i,0.0011014-0.0004867i,0.00060118-0.00097916i,0.00044014-0.00099192i,0.00041741-0.00047598i,0.00020203-0.00030819i,0.00040772-0.00089413i,0.00081835-0.0011845i,0.00055085-0.0010883i,-0.00071442-0.00063373i,-0.00067493-0.00040661i,-9.6273e-05-0.00096321i,0.0003793-0.0012494i,0.00061918-0.00077932i,0.00068408-0.00050982i,0.0010737-0.0001007i,0.00069088-0.00030207i,-0.00021239-0.00035682i,-0.00099916+7.9322e-05i,-0.00083637+0.00049756i,-0.00034127+0.00025133i,-0.0005287-0.0003157i,-0.0002666+7.17e-05i
-0.00088069-0.0023475i,-0.0011579-0.00099401i,-0.0016825-0.0003693i,-0.0014116+6.5981e-06i,-0.0008281+0.00042522i,0.00047427+7.4495e-05i,0.0010398-0.00025223i,0.00036789-0.0013734i,-0.00046315-0.0017167i,-0.00090707-0.00048326i,-0.0010249-0.0003714i,4.8657e-05-9.8965e-05i,0.00086847-0.00027292i,0.00063717-0.0004755i,0.00035732-0.00010536i,-0.00012457-0.00031205i,0.00022658-0.00025695i,0.00031104+0.00013081i,-0.00021343+3.6853e-05i,-0.00017929+0.00023509i,0.00029462+6.6254e-05i,0.00054322+4.4647e-05i,0.00046816+4.3906e-05i
-0.0004815-0.0018122i,-0.0019988-0.0025679i,-0.001423-0.0014127i,-0.00025115+0.00040247i,-0.00062443+0.00018362i,-0.00024068-0.0006407i,0.00034478-0.0011165i,0.00084378-0.0011734i,0.00042922-0.00064312i,0.00044855+0.00011118i,0.00097066+0.00036731i,0.0011156-0.00021525i,0.0014193-0.00010699i,0.0014498+0.00015747i,0.00072819+0.0001644i,0.00017387-0.00026316i,0.00038007-0.00042944i,0.0005671+9.9804e-05i,0.00045625+0.00042163i,0.0007081+0.00032411i,0.0015814+0.00018138i,0.0017213-0.00010903i,0.00092781+1.9422e-05i
7.9683e-05-0.0018927i,-3.2539e-05-0.0022797i,-0.00026113-0.00074129i,-0.00052056-2.5222e-05i,-1.564e-06-0.00011025i,0.00078527+8.7282e-05i,0.00081627-0.0010018i,0.001196-0.00079004i,0.00077092+3.8883e-05i,-4.7131e-05+6.6736e-05i,-0.00040993+0.0001777i,-0.00064605-0.00029477i,-0.00012251-0.00044619i,0.00075067-0.00012272i,0.00069507-0.00021706i,3.8745e-05-2.3738e-05i,-0.00042125+6.7254e-05i,0.00028258-0.00049448i,0.00096044+0.0001454i,0.00054409+0.00029472i,0.0008046-0.00036632i,0.00065158-0.00093252i,-2.6602e-05-0.0015128i
-0.00036292+0.00057827i,0.00014675+0.0010364i,-0.00074341+0.00070791i,-0.00037795-0.00034882i,0.0011846-0.0012051i,0.0014977-0.00078663i,0.0011791-0.0011427i,0.00049296-0.0014682i,-0.00028101-0.00051279i,0.00024121+0.00012611i,0.00057574+4.525e-05i,0.00081335-0.00044497i,0.00084985-0.00033612i,0.00040766-5.0139e-05i,0.00031338-0.00037238i,0.00047826-0.00066236i,0.00036078-0.00014568i,-0.0010147+0.0004749i,-0.0013971+3.4437e-05i,-0.00058723-0.00044633i,-0.00035711-0.0001868i,-0.00052806+0.00030911i,-0.0001024-0.00021138i
-0.00034787+0.00053656i,-0.00050392+0.00059024i,-0.00031064+0.00092202i,0.00045786+0.00098792i,0.0014025+0.0011755i,0.0016713+0.00051063i,0.00075071-0.00077443i,-4.8412e-05-0.0014564i,5.637e-05-0.0010858i,-0.00028283-0.00069418i,-0.00027718-0.00060249i,0.00068162-0.00035633i,0.0016615-0.00045197i,0.0015992-0.00024251i,0.00082955-0.00050111i,-0.00042105-0.00040054i,-0.0012055-0.0003737i,-0.00056096-0.00093779i,0.00012118-0.00099157i,1.4643e-05-0.00097347i,-0.00035485-0.00041363i,-0.00070011+0.00022079i,0.00027499+0.00015715i
-0.00075966+0.0011194i,0.00022166+2.2021e-05i,4.367e-05-0.0005213i,-0.00063103+0.00030808i,7.9704e-05+0.00052973i,0.0013892-8.9183e-05i,0.001496-0.00039596i,0.00089148-0.00039161i,0.00034394+0.00017562i,0.00072007+0.00049312i,0.00046562+0.00014777i,-0.00018518-0.0005642i,8.5143e-05-0.0010095i,0.00053802-0.00097097i,0.00041601+0.00010961i,0.00018143+0.00099308i,0.00046748+0.00034322i,0.00056581-0.00025539i,0.00098443-0.00031947i,0.0011909-1.9935e-05i,0.00061904-4.1775e-05i,0.0007206-0.00025221i,0.00051024-2.6983e-05i
0.0018412+0.0017638i,0.0024348+0.0024028i,0.0026709+0.0014858i,0.0028339+8.21e-05i,0.0028792-0.00075614i,0.0019898-0.00013349i,0.0010326-3.4302e-05i,0.0005635-0.00052194i,0.001034-0.0010058i,0.001276-0.0012292i,0.0008003-0.001246i,0.00016578-0.00085466i,0.00044179-0.0002032i,0.00078434+0.00028031i,0.00020247+0.0011065i,0.00028458+0.00076853i,0.00039147+0.00011155i,-4.9677e-05+0.00023042i,-0.00043563+8.5548e-05i,-0.00053067+0.00039034i,-0.0003607+0.00054787i,-0.0002765+0.00028238i,-0.00029741-0.00010034i
-0.00043136+0.0023797i,-0.00033757+0.00069376i,0.00082039+0.00040915i,0.0017118+0.0013362i,0.0017678+0.00028008i,0.0016382-0.0014531i,0.0013888-0.0016905i,0.00033956-0.00085318i,0.00035164-0.00016771i,0.00066977+1.8857e-05i,-0.00035487+5.7542e-05i,-0.00046748-0.00041425i,-9.0907e-05-0.00065762i,-0.00014845-1.217e-05i,0.00016656+0.00039501i,0.00065073+0.00052775i,0.00078434+0.00086411i,0.00016357+0.0005319i,-0.00027139+0.00021098i,0.0001867+0.00026445i,0.0008095+0.00062789i,0.00084245+0.0001745i,-0.00028166-0.00087923i
0.0005287-0.00063682i,-0.0011077-8.4282e-05i,-0.001075-0.00019854i,-0.001062-0.0012304i,-0.00039447-0.001215i,0.0001062-0.00064314i,0.00031419-0.00064699i,0.00080245+3.759e-05i,0.00070859+0.00031887i,0.00048997+4.5424e-05i,0.00060538-0.00052002i,-6.0598e-05-0.00088505i,-0.00063358-0.00080051i,-9.6117e-05-0.00085237i,0.00019745-0.00078442i,-6.7838e-05-0.00031929i,-0.00031298-0.00013971i,0.00012321+0.00011752i,0.00025489+0.00011872i,-0.00011555-0.00017804i,-0.00051974-0.0001494i,-0.00064037+0.00038864i,-8.3398e-05+0.00081281i
-0.001158+0.001206i,-0.00015704+0.0010253i,0.00055759+0.00084137i,0.0014043+0.00051191i,0.0023585-0.00029807i,0.0024307-0.00046989i,0.0016689-0.00072098i,0.00080373-0.0014099i,0.00082398-0.00097613i,0.00059313-0.00056189i,-6.8623e-05-0.00018028i,-0.00067798+6.0585e-05i,-0.00078878+0.00011639i,-0.00054199+0.00050234i,-0.00037184+0.00073034i,0.00033823+0.00058168i,0.00037107+0.00038869i,-0.00035732+0.00039487i,-0.00084406+0.00083569i,-0.0011953+0.00050511i,-0.00070483+0.00041961i,-0.00040671+0.000687i,-0.0001729+0.00027767i
0.001107-0.0018103i,-0.00052092-0.0019047i,-0.0015712-0.0021132i,-0.001254-0.0011858i,-0.0010041-0.00020307i,-0.00042302+0.00039883i,0.00076399-4.409e-05i,0.0010406-0.00025615i,0.00084675-0.00015796i,0.0001123-0.00065498i,0.00020903-0.00076236i,0.00061474-0.00051693i,0.00025292+0.00012246i,-0.00031694+0.00068818i,-0.00015461+0.00048639i,0.00050673-3.716e-05i,0.00083777-0.00014337i,0.00048724+0.00063966i,-0.00049812+0.0012675i,-0.00078477+0.00053817i,-0.00039028-0.00039295i,-0.00054419-0.000413i,-0.00088842-0.00025594i
-0.00076211-0.00016428i,-0.00085845-0.00041274i,0.00022741+0.00037973i,0.00057948+0.0019318i,0.0007685+0.0019657i,0.00057641+0.00097704i,0.00036228+0.00015308i,0.0004714-0.00052303i,0.00079721-0.00063366i,0.00071308-0.00017671i,0.00034759-0.00019242i,0.00053618-0.00056669i,0.001032-0.00090707i,0.00098604-0.00041508i,0.00038473+0.00072982i,3.3253e-05+0.00060242i,0.00039086-0.00049232i,0.00035225-0.00075482i,0.00051194-0.00022008i,0.00027755+0.00035431i,-0.00016561+0.00014289i,-0.00036162-1.1556e-05i,-0.00014419+0.00020461i
-0.0018145-0.00063485i,-0.0019912-0.00095143i,-0.0022582-0.00019133i,-0.00115-1.287e-05i,0.00054264-0.00031364i,0.0013569-0.00021072i,0.0011446-0.00088275i,0.00066207-0.00138i,0.00079509-0.0013482i,0.00091099-0.00065526i,0.00012684-0.00015568i,-0.00018828-0.00025748i,0.00036211+9.7583e-05i,0.00056081-0.00019145i,0.0002171-0.00075502i,4.7429e-05-0.00073714i,0.00051174-0.00060515i,0.00090356-0.00018772i,0.00060309+0.00010172i,0.00039254-0.00019631i,0.0001371-0.00046494i,-0.00089187-0.00083563i,-0.00085499-0.0010807i
-0.00018724-0.0012855i,-0.00036891-0.001546i,-0.00090077-0.0016784i,-0.0007499-1.9112e-05i,-0.00047512+0.0015653i,1.3546e-05+0.0015936i,0.0009498+0.00037603i,0.0012319-0.00012065i,0.00095853-0.00040905i,0.00062642-0.0011417i,0.000504-0.0014702i,0.00056407-0.0011664i,0.00051832-0.00060973i,0.00047822-0.00015053i,0.00038964-0.00020689i,0.00047122-0.00018936i,0.00072058+0.00045527i,3.4459e-05+0.0011455i,-0.00025947+0.0014089i,-8.7462e-05+0.00099457i,-0.00025926+0.00069665i,-0.00044197+0.00091232i,0.0001217+0.00066161i
-0.00046925+0.00066805i,-2.0834e-05+0.0014026i,0.00032382+0.0012868i,7.1318e-06+0.0014711i,1.0646e-05+0.0019422i,-0.00016296+0.00084915i,0.00026742-0.00093369i,0.00060703-0.00090273i,0.00044127-0.00032043i,0.0010995-0.00076217i,0.0015951-0.00098207i,0.00071803+0.00022434i,3.0035e-06+0.00051773i,0.00047817-0.00062089i,-0.00011786-0.00020442i,5.4667e-05+0.0012795i,0.00077079+0.0012447i,-0.00012488+0.00067977i,-0.0008309+0.00027862i,-0.00031799-4.7761e-05i,0.00084729+0.00046726i,0.0011835+0.0013965i,0.00061415+0.001356i
-3.5909e-05+0.00037693i,-0.00010389+0.00017232i,-1.3942e-05-0.00099455i,-0.00010731-0.0010101i,-0.00049428-0.00074595i,0.00023245-0.00077655i,0.001459-0.00063067i,0.0016266-0.00086706i,0.0007124-0.00082988i,0.00016876-0.0001909i,0.00013159+0.00024986i,1.0134e-05-0.0010011i,0.00054565-0.0013464i,0.0006179-0.00045679i,0.00062895-0.00040379i,0.00089948-0.0008184i,0.00063774-0.00066458i,0.00013852+0.00029052i,-0.00027798+0.00043566i,0.00015158-1.6654e-05i,0.0003464-0.00090831i,-0.00046774-0.00089411i,-0.00084603-6.1766e-05i
0.001015-0.00031479i,0.0017366-0.0019732i,0.0031726-0.0022849i,0.0027404-0.0013247i,0.0007152-0.0011922i,-0.00026701-0.001466i,3.98e-05-0.0015723i,0.00027635-0.0014636i,0.00053597-0.00097886i,0.00063195-0.00024i,-2.6867e-05-0.0010076i,0.00012006-0.0016309i,0.00088563-0.00014164i,0.00016838+0.00070893i,-0.00033834+0.00015468i,0.00043395-0.00038854i,0.0011675-0.00076062i,0.00053903-0.00062357i,2.3582e-05+0.00045288i,-0.00028079+0.00028396i,-0.00038575-0.00017957i,-0.00014782+0.00024945i,-0.00047545+0.00025584i
7.8194e-05+0.0016376i,-0.00050722+0.0022569i,-0.00053469+0.0024386i,0.00042123+0.002191i,0.0014116+0.001228i,0.0016022-0.00011904i,0.0012311-0.00099792i,0.0010337-0.001093i,0.00085822-0.0006057i,0.00053461-5.1239e-05i,0.00040961-4.8152e-05i,0.00048222+3.1599e-05i,0.00010913+8.8844e-05i,-3.6625e-05-0.00043048i,0.00027199-0.00041925i,0.0006779+0.00077491i,0.00077568+0.0012527i,0.00036047+0.00079362i,0.00021941+0.00081312i,0.00091041-7.8402e-06i,0.00085628-0.00044662i,0.00054929+0.00038193i,0.00027331+0.00057232i
0.00035282+0.0020489i,6.7643e-05+0.0013593i,0.0012977+0.0019442i,0.0027238+0.0024376i,0.0030783+0.001417i,0.0027598+3.6204e-05i,0.0014679-0.00069651i,0.0010702-0.00071416i,0.0011975-0.00028003i,0.00072227-0.00027762i,0.00012034-2.508e-05i,3.9511e-05+0.00032928i,0.00040363-0.00017616i,0.00058114-0.00047676i,0.00036997+9.5536e-05i,-0.00013858+0.00026844i,-0.00038017+0.00050294i,-0.00068585+0.00081617i,-0.00063897+8.6865e-05i,7.1654e-05-0.00055984i,3.9492e-05-0.00079081i,-0.00023447-0.00093113i,-0.00034879-0.00081413i
0.0017789+0.00032902i,0.00015104+0.00019393i,-6.778e-05-0.00041701i,0.00080691-0.00058318i,0.0016121+8.4718e-05i,0.0014051+6.1098e-05i,0.0015411-0.00090506i,0.0015798-0.001382i,0.0010486-0.00058619i,0.00098057+2.7451e-05i,0.00065404+0.00011685i,0.00057835+0.00024015i,0.0013851+0.00043998i,0.0009608+0.0004673i,0.00035966+0.00066299i,0.00012324+0.00047209i,-0.000243-0.00019928i,-0.00047084-0.00084781i,0.00011035-0.00011293i,8.1234e-05+0.00044445i,-0.00019499-0.00011862i,0.00026452+0.00013341i,0.00039685+0.00056953i
0.0005781+0.00065363i,0.0015188+0.00089624i,0.0003606+0.00029044i,-0.00098512-0.00098277i,-0.0012165-0.00087912i,-0.00050647+0.00063266i,8.6428e-06+0.0018174i,0.00022662+0.0013416i,0.00034869+0.00010858i,0.00016268-0.0011172i,1.3257e-05-0.0017383i,-0.00033775-0.0013469i,-0.00019181-0.00060773i,0.00021037-0.00030478i,-3.0625e-05-0.00042585i,-0.00020864-0.00010422i,-0.00017799+0.0003698i,-0.00026415+0.00051077i,-0.00033745+0.00081509i,-0.00029215+0.00093278i,-0.00038084+0.00042879i,1.6815e-05+0.0002265i,-0.00010896+0.00011927i
