-0.001954+0.0017859i,-0.0031859+0.0024146i,-0.0032862+0.0028141i,-0.0022847+0.0013951i,-0.0021847+0.001093i,-0.0022251+0.0015992i,-0.0012397+0.0015872i,0.00016276+0.001504i,0.00073512+0.00072103i,0.00085895-0.00010661i,0.00091816-0.00018253i,0.00030794+0.00030508i,0.00066565+5.9944e-05i,0.0010062-7.7662e-06i,-0.00017171+0.00022163i,-0.00072176+0.00027865i,-0.00022817-0.00010134i,0.00022304-0.00058418i,0.00045403+0.00027895i,0.00038977+0.00059244i,0.0005978-0.00016712i,0.00043276+4.791e-05i,-0.00034568+0.00026551i
0.0046649+0.0001632i,0.0043892+0.0009965i,0.0018421+0.00017124i,0.00036936-0.0009414i,0.0007687-0.0012919i,0.00077883-0.001191i,0.00043274-0.00094617i,0.00052953-0.0010895i,-0.00019498-0.00063052i,-0.0012484-0.00052426i,-0.0014743-0.0011396i,-0.0009298-0.00043625i,-0.0005402+0.00049324i,-0.0012325+0.00032679i,-0.0010393+7.1083e-05i,-0.00013103+0.00058481i,0.00021258+0.0006984i,0.00057562+0.00042705i,0.00027063+0.00017353i,-0.00018332-0.000388i,-0.00033419-0.00025895i,-0.00051022-0.00011562i,-0.00024871-0.00035444i
0.00076271+0.00085321i,0.0012745+0.00031001i,0.0016684-0.0015263i,0.00018225-0.0014202i,-0.0014794-0.00068409i,-0.0014441+0.00046353i,-0.00060656+0.00049434i,0.00015841-0.00053903i,5.3928e-05-8.4815e-05i,-0.00060237+0.00069564i,-0.00064758-0.00012889i,0.00032357-0.0010118i,0.00046828-0.0011293i,0.00011662-0.00053317i,-4.5545e-05+0.0004365i,0.00028827+0.000248i,0.00042495+0.00027719i,-0.00042997+0.00010566i,-0.00055667-0.00071764i,0.00044709-0.00047979i,0.00025525+0.00018456i,-0.00010437+7.6785e-05i,-0.00019304+0.00016283i
0.0016614+0.0020293i,0.0011174+0.001539i,0.0011283-0.00010143i,0.00081139-0.0010401i,0.00026623-0.0014863i,-8.7929e-05-0.0010408i,-0.00067842-0.0012017i,-0.00063992-0.0012093i,0.00069293-0.00071328i,0.0012704-0.0008906i,0.00065259-0.00080414i,-0.00024934+6.8612e-05i,-0.001058+0.00017924i,-0.0011604-7.3527e-05i,-0.00097865+0.00019856i,0.00016829+0.00036313i,0.00078972+0.00046023i,0.00028741+0.0011776i,0.00013936+0.0014104i,0.00019207+7.3631e-05i,0.00014362-0.00029277i,0.00013407-5.1003e-05i,0.00021821+0.00014455i
-0.00012344+0.00038861i,0.00092237+0.00049191i,0.0018266+0.00052595i,0.00033191+0.00022518i,-0.00087142-0.0011478i,-0.00011416-0.0015815i,4.6227e-05-0.00038438i,-0.00013621+0.00085614i,-0.00035341+0.00057629i,0.00022021-0.00027343i,0.00063325+0.00016665i,0.00027794+0.0007283i,-0.00036862+0.00027724i,-0.00037918-0.000187i,-6.1152e-05+0.00026625i,0.00062716+0.00037686i,0.0010355+0.00018611i,0.00096328-6.575e-05i,0.00042507+0.00010322i,-0.00012461+0.00081248i,-0.00014831+0.0010519i,-0.0001631+0.0008977i,0.00019227+0.00038396i
0.0016175+0.0025065i,0.00084595+0.0020531i,0.00061391+0.00063544i,-7.8797e-05-0.00016056i,-0.0010705-0.00042736i,-0.0011673-0.00022637i,-0.00071837-6.095e-05i,-0.00072321+4.1523e-05i,-0.00078725-0.00053853i,-0.00051569-0.00080009i,-0.00063867-0.00017935i,-0.00060995-0.00033227i,0.00012921-0.00055617i,0.00030525-0.00016037i,-0.00018846+0.00081069i,-0.00072374+0.00085805i,-0.00059334-0.00016121i,1.6564e-05+1.5434e-05i,0.00025624+0.00040719i,0.00015817-4.086e-05i,0.00050062-0.00065781i,0.00039506-0.0010851i,0.00017809-0.00095117i
-0.00043242+0.0017797i,-0.0010278+0.0020927i,-0.0015232+0.0012327i,-0.001727+0.00039106i,-0.0016551+2.0248e-05i,-0.00058963+0.00012896i,-2.8023e-05+0.0003303i,9.3127e-05+0.00062753i,4.6088e-05-0.00044336i,0.00013479-0.0012536i,0.00026504-0.00036947i,0.0002475+0.00035755i,0.00056304+0.00085694i,0.00031106+0.00078205i,-8.9377e-05+0.00040531i,-0.00031503+0.00034847i,0.00034258-0.00053487i,0.00044445-0.0016654i,1.8452e-05-0.00068575i,-0.00015528-2.8545e-05i,-0.00071121+0.00010207i,-0.00081903+0.00058499i,-0.00059956+0.00044639i
0.00095069-0.00016587i,0.00081787-0.0015402i,0.00058123-0.0030495i,7.931e-05-0.0024545i,-0.00045109-0.00097991i,-0.00065875-0.00078673i,-0.00040029-0.00090693i,-0.00031293-0.00058254i,-0.00026633-0.00032429i,-0.00045182-0.00063407i,-0.0010534-0.00058011i,-0.0010232-0.00024712i,-0.00046252-0.00020213i,-0.00047877-9.0589e-05i,-0.0010236+0.00023438i,-0.00045532+0.00015944i,0.00020986+9.3807e-05i,0.00085659-8.1182e-05i,0.0011829+0.00041872i,0.00082351+0.00040326i,-2.5475e-05-0.00046289i,-0.00035597+0.00020362i,-0.00036287+0.00098594i
0.00057977+0.0024223i,0.0013449+0.0025361i,0.0020195+0.0019581i,0.0010838+0.00047492i,-0.00019031+0.00016375i,-0.00089792+0.00012064i,-0.0011247-0.00048946i,-0.00061932-0.00044708i,-8.3134e-05-5.3378e-06i,0.0004302+0.00027434i,-0.00033574+2.3477e-05i,-0.00086079-0.00037168i,-0.0002976+1.2881e-05i,-0.0001161+0.0005872i,-0.00082892-0.00011087i,-0.0012014-0.0010582i,-0.00026498-0.0012076i,0.0011322-0.00013306i,0.0010725+0.00069309i,-6.1139e-05+0.00059229i,-0.00025506-0.00019216i,0.00020121-0.00040794i,-0.00011269-0.00011935i
-0.00068909+0.00058207i,-0.00095704+0.00063538i,-0.0016935-0.00049726i,-0.002116-0.00096067i,-0.0014628-0.00048923i,-0.00073181-0.00043906i,-0.0012692-0.00010818i,-0.0011623-9.645e-05i,-0.00026705-0.00035798i,5.9502e-05-0.00062207i,0.00014117-0.0001894i,0.00072164+0.00010878i,0.00090865+0.00032044i,0.00054756+0.00093614i,0.00015595+0.00087191i,-0.00015891+0.00040777i,8.7903e-05+0.00046165i,-0.00021417+0.00075132i,-0.00052916+0.00090765i,-0.00034666+0.00081439i,-0.00017564+0.00032482i,0.00096085+0.00073543i,0.00093486+0.00081635i
-0.00099004+0.0021319i,0.00044724+0.0021563i,0.00063115+0.001114i,-0.00085061+0.0011129i,-0.00064915+0.0009633i,0.00070901-0.00027463i,0.00060511-0.0011447i,0.00013306-0.00072778i,-0.00078594+4.0961e-05i,-0.00044286+0.00074183i,0.00054803+0.00095718i,0.0012321+0.00047773i,0.0013856+0.00078111i,0.00050706+0.00081984i,-0.00036088-9.6695e-05i,0.00014116-0.00071878i,0.00067866+9.4307e-05i,-0.00010914+0.00035964i,-0.00089953+0.00025367i,-0.0010049+0.00061412i,-0.00069996+0.00046275i,-0.00056406+0.0004745i,-0.00071408+0.00029329i
