-0.0014667+0.00087205i,-0.00041361+0.00059858i,-5.4546e-05+0.0016496i,-6.1263e-05+0.0029729i,-0.0013266+0.0025275i,-0.0021224+0.001566i,-0.0017496+0.0017693i,-0.0011907+0.002498i,0.00072499+0.0019674i,0.0023645+0.0011551i,0.0020708+0.00055554i,0.0012056-0.00030423i,0.0001713-0.00072i,-0.00074632-0.0013484i,-0.00081121-0.0015595i,-0.0006768-0.00043058i,-0.00095527+0.00042492i,-0.00034766+0.00021378i,-2.8802e-05+8.509e-05i,-0.00015042-0.00037735i,0.00018381-0.00034519i,-0.00045041+0.00040306i,-0.00080416+0.00098809i
1.9393e-05+1.6878e-05i,-0.00036708+2.5079e-05i,-0.0013283-0.0012435i,-0.0021566-0.0016336i,-0.0017851-0.00093072i,-0.00036646-0.00048248i,-5.2124e-05-3.2484e-05i,0.00018696+0.00036691i,0.00081244+0.0013124i,0.00057598+0.00085083i,0.0006-0.00025406i,0.00077638-0.00028687i,0.00068684-0.00020041i,0.00039849+8.4263e-05i,0.00057157+0.0004385i,0.00060397+2.4237e-05i,0.00025459-0.00019993i,0.00039746+0.00055989i,0.00016724+0.0011032i,-0.00015204+0.00078227i,0.00025739+0.00059907i,0.0013+0.00048987i,0.00037906-3.4733e-05i
0.001603-0.0011773i,0.00085481-0.00064598i,0.0015429-0.0015751i,0.00021563-0.0029251i,-0.0015049-0.0023397i,-0.00083483-0.00046244i,0.00018651+0.00058847i,0.0006682+0.00063344i,0.0012981+0.00069336i,0.0012671+2.5289e-05i,0.00081916-0.0005417i,0.00103+0.0002602i,0.0010963+0.00070387i,0.00098428+0.00020888i,0.0010394-0.00063033i,0.0010368-0.00057849i,0.00075437+8.5737e-05i,0.00024997-0.00029041i,0.00039875-0.00039433i,4.1468e-05+8.3248e-05i,-0.00055288-0.0001268i,-9.8673e-05-0.0004182i,0.00022541+3.7706e-05i
-0.0014955-0.00072587i,-0.0012631-0.00021576i,-0.0023023+0.0015254i,-0.0027257+0.0018398i,-0.0016374+0.0011762i,-0.0004688+0.0011099i,0.00034808+0.00068663i,0.00080342+0.00078574i,7.5638e-05+0.0014706i,0.0002152+0.0010618i,0.0014636+0.00043095i,0.0015533+0.00026116i,0.00063044-7.3827e-05i,-0.00048515-2.5749e-05i,-0.00066646-0.00052006i,-0.0004049-0.00085847i,0.00012497-0.00035914i,6.1848e-05-0.00010347i,-0.00017052-0.0006862i,-5.1224e-05-0.00047422i,-0.00039339-0.00012866i,-0.00082883+2.2816e-05i,-0.00059676+0.00038083i
0.00025711-0.0018347i,-0.00045151-0.0023156i,-0.00093136-0.0024195i,-0.00036315-0.0013685i,-0.0006227-0.00065055i,-0.0012133-1.7229e-05i,-0.00089798+0.00047354i,-0.00024314+0.00034295i,-0.00022716+0.00025227i,0.0001369+0.00058298i,0.0010777+0.0014038i,0.00086589+0.0013643i,0.0010473+0.00055624i,0.0010271-6.6555e-05i,0.00098956-0.00058381i,0.00053556-0.00049764i,-5.7808e-06-0.00031693i,0.00044827+0.00017905i,0.0010754+0.00040934i,0.00082061-0.00046505i,0.00069988-0.00061687i,0.00072339-0.00056947i,0.00052168-4.036e-05i
-0.00073782+0.00088605i,-0.0014845+0.00066084i,-0.00075199+0.00079516i,-0.00049169+0.00041997i,-0.0010702-8.6795e-05i,-0.00093091+0.00021873i,5.7203e-05+0.00031741i,0.00073758+0.00027856i,0.00052185+2.869e-05i,0.00016024-0.00067093i,0.00027096-0.00024806i,6.6687e-05+0.00081199i,-5.0265e-05+0.00049939i,-0.0007706-0.00012811i,-0.0016617-0.00017731i,-0.00070947+0.00032131i,-3.9028e-06+0.00074291i,-3.5592e-05+2.6919e-06i,-0.00022474-0.0005346i,0.00020426-0.00023015i,0.00077438+0.00018351i,0.00040226+0.00044449i,-2.8016e-05+0.00073128i
0.00031562+0.00018106i,-0.00063954-0.0010622i,-0.00046072-0.0020293i,-7.3769e-05-0.0025004i,7.2691e-05-0.0021682i,0.00052634-0.0011787i,0.00070324-0.00056151i,0.00073995-0.00012103i,0.00095882+0.00028042i,0.001253+0.00073225i,0.0012167+0.00049032i,0.0006112+0.00029224i,-0.00046253+0.00012073i,-0.0005584-0.00022822i,0.00021162-0.00032261i,-0.00012053-0.00036976i,-0.0007846-0.00061461i,-0.0012112-0.00049641i,-0.0018384-0.00026305i,-0.0015251-0.0010697i,-0.00077736-0.00098632i,-0.0002625-0.00028885i,0.00034138+0.00018662i
0.00011118-0.00027154i,0.00011274-9.0278e-05i,-0.00026261+5.3507e-05i,0.00020942+0.00093744i,0.00043846+0.0017617i,-0.00023534+3.3075e-05i,-0.00011304-0.00021696i,-0.00039515+0.00085166i,-0.00026096+0.00083928i,0.00064612+0.00074813i,0.0010198+0.00056439i,0.00048174+0.00039763i,-0.00025989-0.00036642i,0.00029775-0.00022285i,0.00088775+0.0002061i,0.00087851-0.00028803i,0.00052269-0.00039916i,0.00030191+5.2911e-05i,-0.00019622-7.2148e-05i,-0.00080386-0.00063346i,-0.00015654-0.00010483i,0.00060934+0.00021083i,0.00087186+0.00030724i
-0.00012001-0.0015354i,-0.00020321-0.00066471i,-0.00019578-0.0011746i,-0.00119-0.00068159i,-0.0014448+0.00017432i,-0.00063454+0.00069053i,-0.0003425+0.0006618i,-0.00025714+0.00055284i,0.00058547+0.0010375i,0.0010628+0.00079498i,0.00047282+0.0004735i,-0.00015717+0.00027576i,1.3784e-05-0.00074239i,0.00063191-0.0011514i,0.00083251+0.00012583i,0.00051382-3.4112e-05i,0.00038711-0.0009623i,-9.5187e-05-0.0004873i,-0.00047489-0.00020602i,-8.5287e-05+0.00010185i,0.00026632+0.00086505i,0.00042912+0.00095686i,0.00037828+0.000808i
0.00047662+0.00015623i,-0.00045708-0.0002114i,-0.00028143-0.00075472i,0.00035876-0.00092782i,0.00056651-0.0012809i,0.000511-0.00083493i,-0.00016357+0.00049616i,-0.00052215+0.00072138i,0.00045243+0.00022941i,0.0012025+0.00024088i,0.00099303+0.00029707i,0.00085918+6.6158e-05i,0.00094861+0.00029174i,0.00030645+0.00065464i,-0.00021683+0.00010989i,-0.00045723-0.00041174i,-0.00059822-0.0003734i,0.00055992-0.00067094i,0.0012984-0.00042571i,0.00057305+1.6758e-05i,0.00041137-0.00027498i,0.00053145-0.00063025i,-1.5692e-05-0.00083775i
0.0013386-0.002647i,0.00055947-0.0029805i,-0.0006432-0.0027142i,-0.0014279-0.0016125i,-0.0016364-0.00041802i,-0.0012579+0.00042733i,-0.00076983+0.00088232i,-0.00018741+0.00091473i,0.00057814+0.0010304i,0.00058777+0.00078421i,0.00027927+0.00035566i,0.00056779+0.00016284i,0.00090342-1.8175e-05i,0.00059731-0.00011963i,-0.00027487-2.6398e-05i,-0.00074812+0.0005917i,-0.00059094+0.00067574i,-0.00020316+0.00020599i,0.00037056+4.7772e-05i,0.0010669+0.00049545i,0.0013949-0.0003558i,0.00098729-0.00067088i,-3.909e-05+0.0003904i
-6.1638e-05-0.001004i,0.00063277-0.00079165i,-0.00077147-0.00024822i,-0.00030199+0.00020476i,0.00084123+0.00015459i,0.0006061-0.00014033i,0.00025157-0.00013477i,0.00049707+0.00011326i,0.00075251+0.00061772i,0.00093132+0.00041476i,0.00049601+0.00032007i,0.00038272+0.00011172i,0.00068198-0.00029049i,0.00017948-0.00069328i,-0.00018287-0.00062674i,0.00017198-0.00046055i,0.000251-0.00019098i,-0.00015925-0.0002269i,-0.00023334-0.00037136i,-0.00045467-0.00045842i,-0.00069679-0.00077624i,-0.0002255-0.00025111i,0.00061829+0.00030186i
0.00095919+0.00050153i,0.001301+0.00047379i,0.00055267+0.00019611i,-0.0005111-5.2781e-05i,-0.00019974-2.0261e-05i,0.00091098-0.00055316i,-0.00011796-0.00089863i,-0.001197-0.00080867i,-2.1216e-05+4.5796e-05i,0.0012047+0.00061208i,0.00097809+0.00039096i,-0.00013814+8.4812e-05i,-0.00065369-0.00040611i,-0.00068185-0.00070187i,-0.00073245-0.00039473i,-0.00036251-0.0007762i,0.00029867-0.0007946i,5.014e-05-0.00018471i,-0.00053424-2.1104e-05i,0.00035517+0.00028479i,0.00082986+2.1042e-05i,-2.3091e-05+0.00024076i,-0.00054044+0.00090307i
