-0.0042262+0.0007791i,-0.0033976+0.00050938i,-0.0042868+0.0015571i,-0.0033164+0.0014664i,-0.0017562+0.00098634i,-0.00099108+0.0020644i,-0.00089133+0.0024842i,8.1048e-05+0.0021466i,0.0015088+0.0017678i,0.0017529+0.0014218i,0.0012344+0.00091997i,0.00028632-0.00018033i,-0.00017675-0.00018862i,7.6064e-06-0.00020495i,0.00022982-2.2113e-05i,7.6009e-05+0.00055941i,7.7591e-05+0.00035121i,2.9215e-05-0.00086888i,0.00020099-0.00070772i,0.00030387+0.00061752i,-0.00035164+0.00038074i,-0.00015896-0.00033315i,0.0011825+0.00013545i
-0.00025368-0.00090204i,-0.0012268-0.0008344i,-0.0027541-0.0005667i,-0.0014865+0.00045541i,-0.00019379+0.0011772i,0.00013131+0.0010626i,0.00034775+0.00049025i,0.00032319+0.0006597i,0.0007032+7.1033e-05i,0.00081621-0.00095745i,-7.2912e-05-0.0005674i,-0.00051642+0.00041731i,-0.00019879+0.00076334i,0.00026963+0.00052863i,-0.00025854+6.3867e-05i,-0.0013341+5.7018e-05i,-0.0013183-5.9532e-08i,-0.00036445-2.5791e-05i,0.00011294+0.00039111i,0.00011792+0.00052858i,0.00011465+0.0001802i,-0.00014406-0.00045512i,0.00012591-0.00010645i
0.002775-0.00098281i,0.003753+0.00014222i,0.0036155+0.0012639i,0.0021026+0.001028i,0.00025207+0.00069237i,-0.00063741+0.0009602i,-0.00083993+0.0014687i,-0.00028475+0.0011156i,0.00045893+0.00014713i,0.0004021-0.00025782i,-3.0356e-05-0.0001021i,-0.00048013+6.8373e-05i,-0.0011894-0.0001707i,-0.0015817-0.0007001i,-0.0010664-0.001007i,-0.0010798-0.00060678i,-0.00093805-0.00029229i,4.9344e-05-0.00016643i,-4.6879e-05+0.00066683i,-0.00045888+0.00032379i,-0.00022452-0.00014391i,-0.00025235-0.00060277i,5.8685e-05-0.0012785i
-0.0013304-0.0028754i,-0.0018779-0.0024489i,-0.0023098-0.001049i,-0.0017674-0.00063141i,-0.0012105+1.261e-05i,-0.00048156+0.00088474i,-0.00021253+0.0005862i,-9.1677e-06+0.00067541i,-0.0002516+0.00062587i,-0.00057894+0.00047851i,-0.00011581+0.00044797i,0.00038953+0.00010819i,0.00032004-0.00016442i,7.8838e-05-0.00053847i,-0.0002694-0.00065008i,-0.0008561-0.00042926i,-0.0009085-0.00026211i,-0.00089649-0.00023826i,-0.00081481+0.00026117i,-1.1538e-05+0.00067997i,0.00063852+0.00028547i,0.00057127+1.151e-05i,0.00013161-3.9938e-05i
0.0022415-0.001386i,0.002939-0.0020205i,0.0028645-0.002854i,0.00070813-0.0031222i,-0.00076522-0.0021519i,-0.0014886-0.00098683i,-0.0011031+0.00022135i,4.8976e-05+0.0012659i,-0.00015775+0.001807i,-0.00060135+0.001223i,-0.0003869+0.00092377i,-0.00081948+0.00085193i,-0.00082676+9.7461e-05i,-0.00085404-0.00099895i,-0.00067485-0.0013668i,-0.00039808-0.00090274i,-0.00032589+2.4109e-05i,-0.00041079+0.00086022i,8.8227e-05+0.00091293i,0.0001111+0.00041002i,-0.00061885-0.0007243i,-8.0709e-05-0.00077675i,0.00075514+0.00014374i
-0.0019595-0.0015207i,-0.0018441-0.00093873i,-0.0014312-0.00086189i,-0.00057544-0.00024747i,-0.00044538+0.00059522i,-0.00068236+0.0010136i,-0.00028374+0.00063326i,0.00018592-0.00034115i,0.00085747-0.00079603i,0.001029-0.00020922i,0.00045648+0.00068413i,0.00012584+0.0014675i,-0.00095648+0.0013692i,-0.0010945+0.00058072i,-0.00048498-0.00034566i,-3.9751e-05-0.00061053i,0.00038852-4.451e-05i,0.00016551+0.00063854i,-0.0002437+0.00087661i,-0.00037618+0.00086685i,-0.00020246+0.0010011i,-0.00040471+0.00065967i,-0.00072743-0.00026509i
-0.00039115-0.00067787i,0.00018772+0.00027113i,0.00022767-0.00096593i,3.0376e-05-0.00051553i,-7.0498e-05+0.0014783i,0.00017059+0.0019592i,0.0006608+0.0013998i,-0.00015887+0.00099264i,-0.0012169+0.00091211i,-0.00097886+0.00087805i,-0.0006669+0.00051572i,-0.00058036+9.6426e-05i,-0.00029936+7.7132e-05i,0.00018892+0.0001345i,0.0001781-0.00060902i,-0.00063182-0.00077506i,-0.00064142-0.00013883i,-0.00043619-0.00030247i,-0.00076749+0.00031707i,-0.0006692+0.00092672i,-0.00063019+0.00026547i,-0.00015443+0.00017906i,0.00046819+0.00031556i
-0.0016425+0.00025432i,-0.0013155+0.00040187i,-0.0012903+0.0010916i,-0.0015258+0.0016624i,-0.001333+0.0010995i,-0.00036109+0.00038485i,0.00022364+0.00023489i,-0.00041688+0.0003032i,-0.00027159-7.3241e-05i,-0.00012633-0.00073838i,-0.00076055-0.00035245i,-0.00070536+0.00069966i,0.00014753+0.0011789i,0.00069461+0.0010705i,0.00058863+0.00051211i,0.00036726+0.00072776i,0.00065383+0.00079005i,0.00034734+0.00049897i,-0.00053395+0.00059612i,-0.00096282+7.4652e-05i,-0.00047765-0.00014762i,-0.00096519+5.9571e-05i,-0.00058112+0.00014824i
0.0017907-0.0025575i,0.0011512-0.0030919i,0.001654-0.0029785i,0.0015628-0.0023686i,-2.1611e-05-0.0012481i,-0.00015022+0.00065979i,0.00036655+0.0019333i,-5.7937e-05+0.0016607i,-0.00067982+0.00030244i,-0.00094525-0.00016848i,-0.0011544-0.00023824i,-0.00097307-0.00020231i,-0.00057748+0.00055554i,0.00019474+0.00052568i,0.00021503-0.00054708i,-0.00064442-0.00079718i,-0.00058658-0.00049925i,-0.00045398+0.00025888i,-0.00064953+0.00023471i,-0.00065479+0.00032464i,-0.0010222+0.00036418i,-0.00039513+0.00014333i,0.00075574+0.00032395i
0.00026877+0.00026984i,-2.9948e-05+0.00053137i,-0.00059404+0.00033234i,-0.00044867+0.00039151i,-0.00073839+0.00025218i,-0.00057953+5.2415e-05i,0.00027672+0.00029259i,0.0003846+0.00033146i,0.00053915+0.00061377i,0.0003176+0.00025662i,-0.00037293-0.00016789i,-0.00047152-0.00012777i,-0.00031085-0.00013495i,0.00016434-0.00016071i,0.0002071-0.00084201i,-0.00071392-0.00066616i,-0.00089485-0.00035949i,-0.00027013-0.00032254i,2.7788e-06+0.00022151i,-0.00037874+0.0004024i,0.00018254-0.00020678i,0.0005314+0.00017093i,0.00020583+0.00022144i
-0.0012932-0.0023768i,-0.0019469-0.0027808i,-0.0024228-0.0022241i,-0.0023872-0.00020976i,-0.0015528+0.0015927i,-0.0011515+0.0010325i,-0.00038997-3.5479e-05i,-8.4227e-05+0.00032635i,-0.00035364+0.0011894i,-0.00056355+0.00070106i,-0.00081447+0.0001989i,-0.00035565-0.0005328i,-6.1906e-07-0.00088819i,-1.1649e-05-3.7934e-05i,-0.00062171+0.00031824i,-0.00038328+0.00038338i,0.00023369+2.3127e-05i,0.00014621-8.2778e-05i,-3.1159e-05+0.00025647i,-0.00012438+0.00017066i,-6.9173e-05-0.00033525i,-0.00046371-0.00027154i,-0.00091784-0.00020614i
