0.0010756-0.00043524i,0.00060728-0.00020601i,-0.00087196+0.00053246i,-0.00075884+0.00089681i,0.00022592+0.00055176i,0.00017571+0.00035722i,0.00037371+0.0006903i,0.00023404+0.00072249i,-0.00024712+0.00044239i,0.00064769+0.00021168i,0.00045058-0.00090688i,-0.00079594-0.0016872i,-0.00084328-0.0013633i,-5.0717e-05-0.0011714i,1.5827e-06-0.00059943i,-0.00019209+0.00033213i,-0.00078617+0.0009749i,-0.00062725+0.00095744i,0.00051732+0.00051051i,2.8429e-05-0.00023252i,-0.00049291-0.00032431i,-0.00041126+0.00028875i,-0.00028547+0.0001955i
0.0025731-0.0018132i,0.0019502-0.0023751i,0.00056483-0.0023056i,0.00027556-0.0014877i,0.0013486-0.0003974i,0.0019379-0.00014742i,0.0011414-0.00073629i,0.00030922-0.00050514i,-0.00041759+0.00010312i,-0.00093911+4.0355e-05i,-0.0014747-0.00022056i,-0.0013268-0.00030001i,-0.0004318+0.00015064i,-0.00077143+0.00073327i,-0.0011123+0.00048723i,-0.00033299+0.00061314i,-0.00041035+0.0006205i,-0.00059999-0.00036134i,-9.5913e-05-0.00019021i,0.00032894+0.00043586i,0.0004677+0.00053128i,-5.5078e-05+0.00026642i,-0.00012319-0.00019997i
0.0011193-0.0012089i,0.00023513-0.0022558i,-0.00071041-0.0021995i,-0.0011089-0.00017514i,-0.00036926+0.00051751i,0.00065699+0.00021259i,0.00032472-0.00036228i,-0.00016927-0.00082172i,-3.6092e-05-0.0012545i,0.00010395-0.0012073i,0.00020738-0.00050832i,0.00066903+0.00046892i,0.00088978+0.00059942i,0.00047605+0.00067258i,-2.9257e-05+0.0013112i,0.00010726+0.00097417i,0.00082889+0.00052022i,0.00078306+0.0004887i,0.00025784+0.00030862i,3.1538e-05-0.0002746i,0.00011062-0.00045137i,-2.8404e-05-0.00043077i,-0.0002475-0.00017065i
-0.0016098-0.0019824i,-0.0021013-0.0016549i,-0.003274-0.0011694i,-0.003132-0.00034056i,-0.0013081-0.00014105i,-0.00011541-0.00078838i,-0.0002406-0.00084262i,-0.00091252-0.00011409i,-0.00015652+0.00025922i,0.00072512+0.00028923i,0.0001028+0.00017603i,-0.00082621+0.00016274i,-0.00027921-8.1286e-05i,0.0013051-0.00017246i,0.00098164+0.00015176i,-0.00021092+0.00046187i,-0.00031408+0.00032957i,-0.00032418+0.00026449i,-0.00058758+0.00061569i,-0.00084195+9.8482e-05i,-0.0004411-0.00073612i,0.00018591+6.3987e-05i,0.00020121+0.00086016i
0.0013173+0.00054589i,0.0011066+6.1247e-06i,0.00059182-0.00058483i,0.0012078-0.00017309i,0.0012473+0.0002313i,0.00071196-0.00014294i,0.00063429-0.00023502i,0.0010363-0.00037058i,0.00067214-4.0386e-05i,0.00030088+0.00042429i,0.00038448+0.0001933i,2.1333e-05-0.00048578i,4.3916e-05-0.000558i,0.00085371+2.8498e-05i,0.0010807-8.9264e-05i,0.00055808-0.00037405i,-0.00018118+0.00033792i,-0.00078031+0.0010445i,-0.0013657-0.00017113i,-0.0012063-0.0011897i,-0.00086463-0.00064497i,-0.00030736-0.0001589i,0.00063324+0.00022389i
-0.00027428-0.0011966i,-0.00011311-0.0010647i,-0.00030364-0.00073352i,-0.00078579+5.7064e-05i,-0.00063346-0.00015891i,5.7759e-05-0.00027832i,0.00078426-0.00035925i,0.00046889-0.0005151i,-0.00031574+0.00017209i,0.00015045+0.00040903i,0.00047171+0.00045764i,-0.00012704+0.00087183i,0.00026361+0.00064759i,0.0010023+0.000342i,0.0010782-3.5564e-05i,0.00010832-0.00048846i,-0.00087328-0.00038951i,-0.0010089+7.8753e-05i,-0.00055187+3.7388e-06i,-0.00019478-0.00052297i,0.0008021+0.00021634i,0.0012085+0.00060947i,0.00078055+0.00049457i
-0.0011206-0.00030751i,-0.00010977-5.7533e-05i,-0.00042722-7.1713e-05i,-0.00042256+0.00042531i,0.00011752+0.0013112i,0.00049704+4.1824e-05i,0.00039495-0.0014909i,0.00024394-0.00055699i,-0.00047595+0.00073296i,-0.0011454+0.00094337i,-0.00076849+0.00096905i,0.00027033+0.0013416i,0.00091882+0.00118i,0.00042754+0.00070845i,0.00029518+0.00037765i,6.4694e-05+0.00048826i,-0.00038724+0.00031687i,6.8542e-05-8.9794e-05i,3.5899e-05-0.00027074i,-0.00036957-0.00051083i,0.00020308-0.00018796i,0.00019527+0.00032171i,0.00011382+0.00028642i
-0.0011681+0.00063795i,-0.0017818+0.00053749i,-0.0010886+0.0011815i,0.00056263+0.00061213i,0.0011505-0.0007629i,0.00096677-0.0020205i,0.00022081-0.0020318i,-0.00048295-0.0011638i,-0.00019351-0.0003085i,0.00035645-4.8659e-06i,0.00098783+0.00064932i,0.0011625+0.0009859i,0.00067918+1.0239e-05i,0.00097438-0.0010155i,0.0013747-0.00098187i,0.00025482-2.2003e-05i,-0.00038225+0.00032674i,5.7393e-05+0.00026152i,-0.00015713+1.7909e-05i,-0.0003557-0.00032413i,0.00010581-0.00023104i,0.00029495+0.00023321i,0.00076326+0.00042984i
0.0016086+0.00087653i,0.0014352-0.00016404i,0.0014414-0.0010212i,0.00076269+0.00017031i,0.00094191+0.00024946i,0.0017609-0.00051405i,0.0017167-0.0011888i,0.00072826-0.00096618i,-0.00017247+1.0069e-05i,-0.00021988+0.00076438i,-0.0001654+0.00096859i,-5.3298e-05+0.00021889i,0.00056985-0.00084582i,0.00033861-0.00051793i,-0.0002716+0.00042739i,-0.00042494+0.0013989i,-0.00040569+0.0014575i,8.6371e-05-0.00031115i,0.00053929-0.00084732i,0.00049563-0.0005466i,-2.8185e-05-0.0004866i,-0.00024907-0.00025144i,-0.00035427+0.00022451i
-0.00021688+0.00017998i,0.0011382+8.2348e-05i,0.0010567-0.00035723i,-0.00013026-0.0009803i,-0.00035651-0.0011036i,0.00095409-0.00054553i,0.0012289+6.8688e-05i,0.00042527+4.2202e-05i,-4.8339e-05-0.00014137i,2.7974e-05-0.00030022i,0.00050774-0.00041299i,0.00056722-0.00034028i,0.0010895-0.00058921i,0.0015384-0.00047519i,0.00056889-0.00015476i,6.4716e-05-0.00021993i,0.00014876-0.00023674i,0.00046215+0.00028719i,0.00073615+0.00047532i,0.0010521+0.00036073i,0.0010786+8.0072e-05i,0.00072501-0.00040961i,0.00026527-0.00020144i
0.0025917+0.00095939i,0.0031939+0.0010981i,0.0020619+0.0011623i,0.001131+0.00099433i,0.0010509+0.00058171i,0.0016035-0.00010346i,0.0012985-0.00074372i,0.00073387-0.0013207i,0.00077188-0.00079632i,0.0012306+0.00033684i,0.00085961+0.00066217i,0.00046257+0.00035793i,0.0004118+4.5065e-06i,0.00052161-0.0006599i,0.0005434-0.00096435i,0.00081157-0.00067866i,0.00083674+0.00012633i,-0.00014028+0.00078009i,-0.00033686+0.00074827i,-0.00029456+0.00036465i,-0.00037111+0.00017235i,-2.4857e-06+0.00039864i,0.00054946+0.00053749i
