0.00011079+0.00076654i,0.00046751-0.00048142i,-0.001767-0.00025742i,-0.0031783+0.00095793i,-0.0023219+0.0012914i,-0.00060936+0.0012715i,0.00041274+0.0011783i,0.00085195+0.00043398i,0.0012207-0.00011426i,0.00059772-0.00048372i,-0.0001867-0.0010697i,9.7191e-05-0.0012161i,0.00012336-0.00069379i,0.00024896-0.00085501i,0.00043134-0.0010869i,0.00045469-0.00056353i,0.00072197-0.00030971i,0.00044951-0.00023848i,6.2378e-05+8.9704e-05i,0.00031435+0.00014146i,0.00023935-8.5555e-05i,0.00028277+8.5968e-05i,-2.2526e-05+8.7098e-05i
-5.8933e-05+0.00081798i,0.00041514-4.5626e-05i,0.0011624-0.00096008i,0.0012648-0.00056545i,0.0012762+9.2372e-05i,0.0018747-0.00028862i,0.0018748-0.00051358i,0.00078199-0.00018205i,0.00046852-6.0782e-05i,7.221e-05-0.00027835i,-0.00022752-0.0001732i,0.00017246+0.00053046i,-2.0686e-05+0.0010592i,-0.00058316+0.00060834i,-0.00022941-8.848e-05i,0.00025325-4.0751e-07i,0.00018017-3.2085e-05i,-0.00012729-0.00037529i,7.6716e-06-0.00017762i,0.00036048-0.00024495i,0.00022944-0.00032712i,0.00022295-0.0001415i,-0.00017994+0.00030601i
-0.00055818+0.0010472i,-0.00068886+0.0013669i,-8.1692e-05+0.00081616i,0.00047735+0.00049833i,0.00094766+0.0003038i,0.0011321-0.00054337i,0.00038902-0.00076342i,0.00046163-0.0005508i,0.00080919-2.6077e-05i,0.00025196+0.00021478i,-0.00028952+5.811e-05i,-5.642e-05-0.00023587i,0.00023946-0.00061011i,-0.00013744-9.4554e-05i,-0.00069875+0.00065191i,-0.0002588+0.00074098i,0.00044457+0.00070155i,0.000583+0.00039795i,0.00019978-0.00027528i,-0.00024633-0.00049331i,-0.00071075+0.00013655i,-0.0010813+0.00091099i,-0.0010161+0.00053739i
-0.001335-0.0015797i,-0.0017242-0.00088167i,-0.0034683-0.00044291i,-0.0034091+0.00010656i,-0.0020689+0.0015162i,-0.0013282+0.0017612i,-0.00025965+0.00029419i,0.0007127+0.00012814i,0.00039615+0.00048728i,-6.5526e-05+0.0010478i,0.00020367+0.00079561i,0.00075395+0.00051208i,0.00099299+0.0011673i,0.00085486+0.0010111i,9.8037e-05+5.9165e-05i,-4.1287e-05-0.0012589i,0.00015706-0.0016319i,0.00068461-0.00056357i,0.00068709+0.00021729i,3.2963e-05+0.00073682i,0.00020907+7.5984e-05i,0.00056784+2.4261e-05i,0.00021824+0.00054104i
-0.0025511-0.00040054i,-0.0017757-8.49e-05i,-0.0015752+0.00079446i,-0.001253+0.0011397i,-0.00054385+0.0015103i,1.96e-05+0.0009079i,0.00018613+0.00020863i,0.00035643+0.00044403i,0.00027915+0.00023824i,-3.973e-05+0.00015322i,-0.0005697+0.00051128i,-0.00063902+0.00085489i,-5.4321e-05+0.00060496i,-1.7757e-06-0.00031865i,-0.00041512-0.0010587i,-0.00020893-0.0015281i,-0.00057839-0.0015417i,-0.00049038-0.0010844i,-0.0002312-0.00081388i,-0.00039903-0.00065683i,-4.6194e-05+0.00031482i,0.0001264+0.0011545i,-0.00026587+0.00061007i
0.0022077-0.00019195i,0.0020966+0.00063434i,0.0030393+0.00056111i,0.0020525-0.00014579i,8.3688e-05-0.00042665i,0.00032036-0.00063272i,0.00049944-0.00024391i,0.00015504+0.00033295i,0.00016807+0.00016708i,-0.00026252-0.00029487i,-0.00039527-0.0007218i,0.00028594-0.0012921i,0.00023314-0.00085295i,-0.00031023-0.00024861i,-0.00059512+7.9912e-05i,-0.00016702+0.00056587i,0.00015145+0.0007708i,0.0002311+0.00048095i,0.00037052+0.00028278i,-0.00011112-6.3937e-05i,6.2046e-05-0.00017459i,0.00062437-3.6225e-06i,0.00033013+0.00025754i
-0.0012538+0.00019617i,-4.7604e-05-0.00019329i,-0.00013118+0.00019503i,-0.0002244+0.00098076i,2.894e-05+0.00066375i,0.00073454-0.00024914i,0.0010462-0.0010128i,0.00080082-0.0009287i,0.00078574-7.6932e-05i,0.0007785+0.00016449i,0.00030404+0.00018062i,-0.00032057-6.7664e-06i,4.5663e-05-0.00041349i,0.00037945-0.0009685i,-0.00019279-0.0007414i,-0.00040586-0.00010072i,-6.3224e-06-7.5815e-05i,0.00037313-0.00051846i,0.00057526-0.0011324i,0.00054633-0.0010838i,0.00045882-0.00052632i,0.00044561+0.00012952i,0.00027516+0.00046902i
0.00051541-0.00026199i,0.00036148-0.00024338i,-0.00050873-0.0002748i,-0.00043201+0.00038503i,0.00038662+0.00022504i,0.00086293-0.00010299i,0.00053769-0.00015696i,-0.00036292-0.00050459i,-0.0009318-1.123e-05i,-0.001206-9.6654e-07i,-0.00056301-0.00077244i,0.00014426-0.00064606i,-0.00041817-0.00044107i,-0.00026861-0.00060827i,-0.00021078-0.00060182i,-0.00053208+2.9044e-05i,-0.00029556+0.00023362i,-8.6289e-05+0.00023141i,7.768e-05+0.00060343i,-0.00019714+0.0003395i,-0.00037131-0.00093944i,-0.00068329-0.0012313i,-0.00076756-0.00070658i
-0.00082122-0.0011484i,-0.0013128-0.0010618i,-0.0020119-0.0014223i,-0.0022167-0.00090667i,-0.0011089+2.58e-05i,0.00018609-9.6446e-05i,0.00022109-0.00085715i,-4.203e-05-0.0017193i,-0.0003608-0.0010779i,-0.00067146+0.000396i,-0.00042188+0.00079252i,0.00014246+6.0299e-05i,0.00050495-0.0002801i,0.00061058+0.00016143i,-0.00027918+0.00071047i,-0.00040823-5.7612e-06i,-0.00033513-0.00084993i,-0.00075352-0.00084254i,-0.00099973-0.00056262i,-0.0013733-0.00073347i,-0.0011022-0.0011962i,-0.00093932-0.00081531i,-0.00044992-0.0003566i
0.0019011-7.9156e-05i,0.0020887+0.00015045i,0.0022508-0.001362i,0.00029302-0.0018383i,-0.0011608-0.0010529i,-0.0012796+2.2278e-05i,-0.00076313-5.3421e-05i,0.00022492-0.00063064i,0.000221-0.00042385i,-0.00045491-0.00010497i,-0.00061032+0.00088112i,-0.0002811+0.001199i,0.00029007+0.00044593i,0.0010298-7.5861e-05i,0.00059692+4.8438e-05i,0.00030258+0.00011729i,0.00055614-0.00013344i,0.00035234-0.00030282i,-3.7774e-05-0.00010243i,-0.00036862-0.0001388i,-0.0002218-0.00023977i,-0.00013244+0.00014235i,-7.6474e-05+0.00049677i
-9.4615e-05-0.0011078i,-0.00030375+0.00021465i,-0.00030882+0.00024083i,0.00038296+0.0012331i,0.0014592+0.0019145i,0.001578+0.0013152i,0.00049651+0.00076732i,-0.00017869+0.00046074i,-0.00021954-0.00074595i,-0.00027721-0.00097307i,-0.00049582-0.00022271i,-0.00066387+0.00054084i,-0.00054038+0.00099514i,-0.00026697+0.00062483i,0.00032235-0.00034115i,0.00047277-0.00098279i,0.00013877-0.00086319i,-0.00052714-0.00030358i,-0.0012759-0.0006046i,-0.00099751-0.00077397i,-0.00016126+0.00011197i,0.00029031+0.00050485i,-0.00015425+0.00011589i
0.00098868-3.9926e-06i,0.00010322+0.00034348i,-0.0012007-0.0014581i,-0.0021885-0.0017512i,-0.0018578-0.00063356i,-0.00015459-0.00014297i,0.00074533-0.00027916i,0.00028469-0.00035499i,0.00028381+0.00060233i,-0.00019457+0.0006778i,-0.00091091+1.9435e-06i,-0.00099029-5.4018e-06i,-0.0010094-0.00035395i,-0.00086216-0.00082043i,-0.00036822-0.00086157i,-0.00015352-0.00044246i,-4.6155e-05-0.00030489i,0.00010322-0.00056959i,0.00045275-0.00059818i,0.00047973-0.00042095i,0.00036703-4.4457e-05i,0.00021416-0.00064924i,-0.00010289-0.0016484i
-0.0033683-0.0023056i,-0.0030625-0.0022038i,-0.0032599-0.001177i,-0.0034769+0.0003545i,-0.0030446+0.0010536i,-0.0013861+0.00041829i,-0.00032705-0.00087063i,-0.00013366-0.00086348i,-0.0002084-0.00027578i,-0.00068571+0.00047348i,-0.00038665+0.00041743i,0.00067831+6.5596e-05i,0.00097203-0.00021651i,0.00071756-3.3724e-05i,0.00065+0.0010637i,0.00065155+0.001085i,0.00072965+0.00028052i,-5.7444e-05-6.9881e-05i,-0.0005464+4.405e-05i,-0.00028103-4.3945e-05i,-0.00074765+9.364e-05i,-0.00086306+0.0003715i,-0.00088849+0.00067464i
-0.00067103+0.0013055i,-0.00045905+0.0017654i,0.00068046+0.00077514i,0.00043359-0.00044049i,-0.00014905+0.0006273i,-4.3023e-05+0.0013583i,0.00042257+0.00069819i,0.00045379+0.00021794i,0.00040074+0.00042273i,0.00058271+0.00018573i,0.00066673+0.0002305i,0.00076058+0.00019944i,0.00073766-4.7245e-05i,2.7713e-05-9.4859e-06i,-0.00024056+0.00022713i,-4.3635e-05+0.0006088i,-0.00018748+0.00091267i,-0.0006218+0.00063507i,-9.6946e-05+0.00034051i,0.00024467+0.00058615i,-0.00012308+0.00087758i,-0.00010841+0.00057115i,0.00050154+0.00032489i
-0.00082959+0.0010713i,-0.0010495+0.00094171i,-0.0022541+0.0019166i,-0.0021594+0.0027276i,-0.00058437+0.0017391i,0.00074363+0.00046175i,0.0004625+0.00026626i,6.795e-05+0.00027922i,-0.00028556+0.00050185i,-0.0002694+0.00059964i,0.00045247+0.00048413i,0.00065814+0.00015467i,0.00038711-0.00018461i,0.00027062-0.00062436i,0.00059569-0.00034817i,0.00059818+0.00022306i,0.00057214+0.00039022i,0.00027689+0.00019198i,-0.00041985+0.00046903i,2.9655e-05+0.000867i,6.9474e-06+0.00087134i,-0.00024192+0.0011257i,-0.00011436+0.0007847i
0.0011312-0.0012201i,-0.00052698-0.00023433i,-0.0017102-0.00047682i,-0.0011495-0.00085872i,-0.00025003-0.00011273i,-0.00057625+0.00014791i,-0.00072352+0.00020682i,-0.00015996+0.00017522i,-0.00019869-0.00019766i,-0.00035212+0.00018055i,3.231e-05+0.00078981i,-8.2655e-06+2.9105e-05i,-0.00060689-0.0011249i,-0.0002879-0.00078201i,0.00070011-5.5898e-05i,0.00061032-0.00033201i,-0.00023865-0.00028069i,-0.00032277+3.261e-05i,0.00043146+0.00031255i,0.00040581+1.0669e-05i,-1.5247e-05-0.00076259i,-0.00044861-0.00040773i,-6.426e-05+0.00045814i
-0.00066979-0.0011699i,-9.1879e-05-0.0018227i,4.0948e-05-0.0013816i,-0.00039102-0.00024829i,-0.0011621-0.00012608i,-0.00056225-0.00064425i,0.0003179-0.0012456i,0.00059716-0.0010493i,-0.00023308-0.00056162i,-0.00049798-0.00021761i,0.00051246+0.00011431i,0.00057687+0.00032333i,-4.5216e-05+0.00039566i,-4.247e-05+0.0010096i,0.00053276+0.00086079i,0.0014151+0.00047366i,0.0010576+5.346e-05i,0.00042218-5.8956e-05i,0.00076418+7.4087e-05i,0.00052827-0.00018671i,0.00017563-0.00054007i,2.9041e-05-0.00015246i,-1.7659e-05+0.00068424i
0.001694-0.00019402i,0.0021331+0.00029863i,0.0020783-0.00018695i,0.0016374-0.00065768i,0.0011577-7.3844e-05i,0.0013295+0.00039091i,0.0014621+5.0056e-05i,0.00069368-7.334e-05i,2.8455e-05-0.00024164i,-0.00080307-0.00025493i,-0.00091536+4.1104e-05i,-1.8294e-05-0.00019878i,-6.0823e-05-0.00020858i,-6.6296e-05+0.00030036i,0.00064124-0.00013718i,0.00092646-0.0006717i,0.00074254-0.00057174i,0.00031301-0.0004678i,-2.8157e-05-0.00025583i,-0.00040725+5.9565e-05i,0.0001311+0.00044903i,0.00035269+0.00041444i,-8.9294e-05-0.00033393i
0.0022767+0.0026663i,0.0020388+0.001987i,0.0028867+0.00081817i,0.0024038-0.00053728i,0.0015461-0.0015593i,0.00087596-0.0017214i,0.00059516-0.00082543i,0.00065397+0.00029645i,0.00044463+0.00064242i,0.00097841+9.7266e-05i,0.001099-0.00038886i,0.00060285-0.00055825i,-2.2618e-05-0.00036242i,-0.00069248-3.6606e-05i,-0.00077783+0.0002404i,-0.00019155+0.00064878i,0.00020974-5.0821e-05i,-3.111e-05-0.00068362i,9.0852e-05-0.00052008i,0.00082343-0.00057267i,0.00063686-0.00071959i,0.00054735-9.6911e-05i,0.0014466+0.00045028i
0.00039425+0.0013528i,0.00047075-0.00060289i,-0.00011667-0.0003829i,-0.00051536+0.0019272i,-0.00052226+0.0032807i,-0.00047717+0.0018082i,-3.5505e-05-0.00028535i,7.5305e-05-0.00087234i,-0.00040008-0.00034681i,-0.00030983+0.00029633i,0.00017669+0.00018901i,0.00058589+0.00018496i,0.00047584+0.00024196i,-0.00065296+0.00023735i,-0.00090683-0.00032585i,8.4076e-05-0.0003158i,0.00062099+0.00050005i,0.00074684+0.00076213i,0.00076491+0.00086522i,0.00064731+0.00091993i,0.00070017+0.00052373i,0.00058137+0.00046676i,3.9033e-05+0.00038259i
-0.00032259+0.0016358i,0.00026336+0.0007946i,-2.2331e-05+0.00030523i,0.00052895+0.00067235i,0.0009976+0.0013742i,0.00064032+0.00096957i,0.00012743-0.00011059i,-0.00097544-0.00020099i,-0.0017067-0.00097339i,-0.0011322-0.0009265i,-0.0013083+0.00010363i,-0.0016695+0.00015524i,-0.00090861+0.00029786i,4.2378e-05+0.0010463i,0.00022936+0.0011007i,-0.00012349+0.00043177i,-0.00051574-0.00063446i,-0.00058702-0.00063616i,-0.00012116+0.00042782i,0.00047291+0.00069803i,0.00022244+0.00036256i,-0.00012971+0.00017965i,-0.00037558+0.00025066i
