0.0003612+4.9703e-05i,0.0017351-0.0010557i,0.0018287-0.0017093i,-5.3091e-05-0.0019816i,-0.0018415-0.0011635i,-0.0018839+0.00013164i,-0.00059817+0.0004542i,0.00051083+0.00075608i,0.00086384+0.00081158i,0.00050989-4.7539e-05i,0.00065923+0.00014502i,0.0012057+0.0010287i,0.0013453+0.00055458i,0.00085825-0.00041386i,0.00029172-0.00023612i,0.00017074+0.00038718i,0.00026837+0.00040507i,0.0002881-3.6571e-06i,4.7472e-05+7.8003e-05i,-0.00029891-0.0001609i,-0.00050321+0.00017253i,-0.0011278+0.00050962i,-0.0012288-0.00041749i
-0.00095853-0.00031272i,0.00064723+0.00023528i,0.0016427-0.00016528i,0.00090246-0.00020498i,0.00049175-1.4799e-05i,0.00062516-0.00043413i,0.00019317-0.00084107i,-0.00026351-0.00025926i,0.00049615+0.00019293i,0.00058349+0.00030114i,-0.00029347+0.00028829i,-1.419e-05+0.00033608i,0.00040108-4.0153e-06i,3.527e-05+0.00016646i,-0.00012135+0.00050572i,-0.00038934+0.00034867i,-0.00018888+0.00022889i,0.00025856-0.00047371i,0.00033761-0.0009342i,0.00032058-0.00080797i,0.00048431-0.0010909i,0.00018341-0.00051538i,-8.4501e-05+0.00043325i
-0.00068158+0.00084953i,-0.00044076-0.00037683i,-0.00088561-0.00076553i,-0.00037044+0.00015151i,0.00047241+0.00068374i,0.0011578-0.00021134i,0.0010148-0.0008949i,-0.00037612-0.00085149i,-0.0014683-0.00039703i,-0.00043047+0.00014314i,0.00059085+0.00068008i,0.00031735+0.00088307i,-1.5022e-05+0.00061738i,8.8921e-05+0.00052074i,0.00021092+0.00022997i,0.00044123-6.3351e-05i,0.00027549-0.00038886i,-0.00040435-0.00029457i,-0.00083873-0.00054281i,-0.00033969-0.00082584i,8.428e-06-0.00049806i,-0.00028964-9.3428e-05i,-0.00052088+0.0006612i
-0.0016274+0.00037445i,-0.0016846+0.0011554i,-0.0022896+0.0016409i,-0.00093804+0.00094183i,0.0010634+0.00067524i,0.0010611+0.00048211i,-0.00076679-0.00052352i,-0.0014142-0.00043064i,-0.0010435+0.00040955i,-0.00065199+0.000702i,-0.00048974+0.00056613i,6.0499e-05+0.00060264i,0.00083799+0.00080705i,0.0011515+0.0010992i,0.0014582+0.00061769i,0.0014277+0.00030697i,0.00076622+5.5169e-05i,-0.00016506-0.0012402i,-0.0007677-0.0011912i,-0.00050498-0.0006826i,0.00026124-0.00072684i,0.00023714-0.00017172i,-0.00045534+0.0001333i
-0.0011531-0.00090852i,-0.001019-0.0017001i,-0.002791-0.0011887i,-0.0030528+0.00029306i,-0.00096609+0.0011177i,0.00056678+0.00084269i,0.00049305+2.0931e-05i,-0.00022378-6.1365e-05i,-0.00035696+0.0005868i,0.00013029+0.00033433i,0.00075178+3.0862e-05i,0.00095696+0.00018767i,0.00055073+0.00052528i,0.00026786+0.001262i,0.00092928+0.0019795i,0.00068309+0.0015516i,7.5603e-05+0.00029231i,-0.0003801-1.5809e-06i,-0.00083561-0.00041143i,-0.00043178-0.0012495i,-0.00034101-0.0010793i,-0.00054958-0.00089581i,-0.00068322-0.00081972i
-0.0014691+0.0018201i,-0.00015286+0.00167i,0.0007019+0.001547i,0.0016763+0.00078003i,0.0025364-0.00044425i,0.0017246-0.0007674i,0.00035398-0.00086641i,-0.00082966-0.00075909i,-0.00047346-0.0003029i,0.00057452+0.00012675i,0.00091294+0.00034132i,0.00080168+8.8398e-05i,0.00085951-0.00017635i,0.00056008-0.00020345i,0.00022057+6.4624e-05i,0.00034588+0.00045992i,0.00048605+0.0004395i,0.00023343+0.00060882i,2.8187e-05+0.00031666i,0.00024884-0.00049035i,0.00015602-5.7253e-05i,0.00044651-1.9362e-05i,0.00016202-0.0004956i
-8.075e-05-0.0017768i,-0.00084775-0.0024926i,-0.0012313-0.0017515i,-0.0016721-0.0014264i,-0.0011574-0.00079047i,-0.0006987+0.00070523i,-0.0010849+0.00084825i,-0.00058539-0.00040193i,-0.00024288-0.00076145i,-0.00036953-0.00017032i,-6.8246e-05+0.00075742i,0.00018523+0.0010639i,0.0005143+0.0011455i,0.0001453+0.00073354i,-0.00060853-0.00014497i,-0.00072857-0.00080368i,0.0002879-0.00085008i,0.00075879-0.00060133i,0.00028559-0.00052342i,4.9359e-06-0.00068792i,9.609e-05-0.00044493i,-0.00011848+0.0002704i,-0.0004401-0.00032513i
-0.00011434-0.0010037i,0.00065356-0.0021966i,-0.00067565-0.0023094i,-0.00085931-0.00051183i,-0.0003775+0.00055098i,6.7489e-05-8.2109e-05i,0.00047819-0.0013498i,-0.00012301-0.0013629i,-9.0324e-05-0.00066921i,-0.00039453+0.00036581i,-0.0012384+0.00064496i,-0.00065931+0.00058766i,0.00012146+0.001159i,0.00042258+0.0011533i,0.00071353-0.00028488i,0.00049308-0.0012516i,-0.00023619-0.00060039i,-0.00037489+0.00043298i,-0.00045264+0.00062026i,-0.00095454+0.0001264i,-0.0013306-0.00027366i,-0.00018853-0.00035413i,0.00084364+0.00020113i
0.00020415-0.0016851i,-6.4754e-05-0.0011693i,-0.00050482-0.0012094i,-0.0013642-0.00084058i,-0.0013406-0.0001698i,-0.00092043+0.00032449i,-0.00054835+0.00076311i,-9.6866e-05+0.00051368i,0.00010445+0.00050562i,0.00017981+0.00018654i,0.00034012-9.8851e-05i,0.00024068-0.00022232i,-8.5982e-05-0.00021965i,-7.7597e-05-0.00053731i,5.698e-05-0.00046775i,-0.00078736+7.5359e-05i,-0.00089844-0.00016101i,-0.00095241-0.00075988i,-0.0009033-0.00093453i,-3.1342e-05+2.7769e-05i,-0.00020518+0.00032722i,-0.00025318-0.00041794i,0.0007445-0.00023648i
-0.00084234+0.0015517i,-0.00059286+0.00025924i,0.00061343-0.00013234i,0.00078914+0.00038803i,0.00055944+0.00016128i,0.0006454+0.0001248i,0.00049859-0.00031502i,0.00028742-0.00031753i,-0.00019694-0.00012768i,-0.00052645+6.8986e-05i,-5.1609e-05+0.00044835i,0.00046729+0.00045534i,0.00062488+0.00046477i,4.0569e-05+0.00035513i,-0.00066459-0.00041682i,-0.00037685-0.0001614i,-0.00057364+0.00057285i,-0.00085607+0.0004225i,4.3942e-05+3.2887e-05i,0.00015302-9.5526e-05i,-0.00034768-0.00040898i,-0.00023451-3.824e-05i,-0.00065859+0.0004101i
0.0010764-0.0010173i,0.00099921-0.00023501i,0.00022357-0.0010907i,0.00055377-0.00070796i,-4.2639e-05-0.00040782i,-0.00099664-0.0012442i,-0.00090954-0.0012941i,-0.0007635-0.0012837i,-0.00069498-0.0010488i,-0.00039156-0.00038787i,-0.00011122+0.00040385i,-0.00012849+0.00089227i,-0.00032638+6.2082e-05i,-0.00065015-0.00046371i,-0.00027765-0.00040774i,0.0001297-0.00031467i,-0.0002344-0.00049597i,-0.00012003-2.402e-05i,0.0005245+0.00063384i,0.00093313+0.00024267i,0.0005929-1.0515e-05i,0.0001003+0.00013725i,-3.2817e-05+0.00037091i
