-0.00029196+0.00041752i,-0.00061634+3.1379e-05i,-0.0014895+0.00047592i,-0.0017974+0.00099591i,-0.00236+0.00055966i,-0.0020115+0.00077189i,-0.00047472+0.0010144i,0.00092231+0.00053304i,0.0013241+0.00021753i,0.0013164-0.00010665i,0.00031966+6.3948e-05i,-0.00015631-4.2778e-05i,-0.00014232-0.00038594i,-0.00016692-0.0004069i,0.00016478-0.00087393i,-0.00020277-0.00098857i,-5.2963e-05-0.00075468i,0.00029861-0.00082843i,-0.00016716-0.00014424i,0.00019973-8.7683e-05i,0.00083852+0.00039293i,0.00020946+0.00084819i,-0.00045453+0.00026246i
-0.00088942+0.00088695i,-0.00030355+0.0010287i,0.00032094+0.00073988i,0.0010641+0.00037553i,0.00037237+0.00020971i,-2.7914e-05+0.00058228i,0.00038618+0.00053237i,0.0010337-7.3934e-06i,0.00072922-0.0010022i,-0.00043816-0.0012017i,-0.0002308-0.00038731i,6.2647e-05+0.0003763i,9.146e-05+0.0001796i,0.0004858-0.00023483i,0.00081608-0.00044406i,0.00061863-0.00034988i,0.00013083-9.4513e-05i,-0.00051534-0.00011768i,-0.00065335-0.00012015i,5.0649e-05+0.00036905i,0.00036773+0.0012854i,6.3142e-05+0.0012187i,-3.1471e-05+0.0007161i
0.00012231+0.0010432i,-9.289e-05+0.0013314i,-0.00056097+0.0017026i,-0.00070789+0.0019018i,-0.00079173+0.0013666i,4.1092e-06+0.0010465i,0.00069334+0.00054965i,0.00051318-0.00036318i,0.0004282-0.00072591i,0.00070341-0.0011806i,0.00067743-0.00092433i,0.00019383+5.6568e-05i,0.00037248+0.00035185i,0.0010194+0.0004368i,0.00054581+0.00023025i,-0.00050414-0.00062899i,-0.00059246-0.0014452i,-0.00071451-0.0011198i,-0.00070887-8.4321e-05i,9.256e-06+0.00033786i,-0.00039974+0.00062107i,-0.0011533+0.00088226i,-0.000537+9.4246e-05i
-0.0022244+0.0010362i,-0.0021813+0.0012477i,-0.00049049+0.0015507i,0.00048683+0.0013592i,0.00058644+0.0014952i,0.00039523+0.0013931i,5.9519e-05+0.00088711i,-3.1244e-05+0.00040821i,5.5199e-05+0.00031474i,0.0009244-0.00054011i,0.00095435-0.00091093i,-0.00026547-9.032e-05i,-0.0012779+0.00086571i,-0.0012814+0.0011375i,0.00020753-0.00013003i,0.0013354-0.00021208i,0.00079112+0.00069138i,-6.9374e-05+0.0004533i,-0.00058069+0.00010974i,-0.00062964+0.00054128i,-0.00083419+0.00058408i,-2.2931e-05-0.00022283i,0.00061961-0.00075472i
-0.00015284-0.00098129i,-7.2089e-05-0.00017179i,0.00019636+0.00093685i,-0.00013339+0.0016179i,-0.00052645+0.0019457i,-0.00039627+0.001536i,0.00044321+0.00026542i,0.0004202-0.0010472i,-7.9738e-05-0.0006934i,-0.00037474-3.0537e-05i,-0.00052185+0.00024617i,0.00024607+0.00051526i,0.00093301+0.00025586i,0.00079481-0.00014996i,0.00070688+0.00029057i,0.00079894+0.00078344i,-0.00011789+0.00071228i,-0.0012091+0.00031155i,-0.00092321-0.00026179i,-7.8269e-05-5.881e-05i,0.0003191+0.00046541i,0.001105+0.00081325i,0.001549+0.0011005i
0.0016322-0.0013703i,0.001645-0.0016926i,0.00073625-0.0025238i,0.00033422-0.0013588i,-4.8819e-06+0.00036508i,-0.0004376+0.00040587i,0.00017962+0.00037833i,0.0005201+0.00037882i,0.00069762-1.4933e-05i,0.00034462-0.00048954i,7.6021e-05-0.00085346i,0.0006368+2.1108e-05i,0.00019051+0.00095247i,-0.00076375+0.00037746i,-0.00044876-0.00060968i,0.00010228-0.001193i,0.00026617-0.00082409i,-0.00025919-0.00095708i,-0.00085149-0.0013599i,-0.00080553-0.00042378i,-0.00054316+0.00012311i,0.00024465+2.2841e-05i,0.0001256+0.00045388i
-0.0012416+0.0024114i,-0.0011888+0.0018561i,-0.00049541+0.0023898i,-0.0007485+0.0017015i,-0.0013907+0.0005256i,-0.00062799+0.00026069i,0.00026678+0.00037005i,0.00065191+0.00012343i,0.00046367-0.00018292i,0.00028942-0.00030535i,0.00057626-0.0002708i,0.0003694+0.00018861i,9.8994e-05+0.00066669i,0.00061722+0.00090263i,0.0010417+0.00033677i,0.0012291-0.00010839i,0.00098638-4.9877e-05i,0.00023408+0.00012498i,0.00013674+0.00011369i,0.00087301+3.6411e-05i,0.00064534+0.00054039i,0.00058418+0.00079828i,0.00050582+0.00062569i
0.00091307-0.00099995i,0.00040716-0.0021535i,-9.5105e-05-0.003038i,-0.00061718-0.001493i,-0.00071416+0.00029004i,0.00058482-0.00020273i,0.0016403-0.00049288i,0.001524-0.0006037i,0.00090345-0.00064435i,0.00035247-0.00071885i,0.00038895-0.0010888i,0.00012435-0.00081688i,-0.00049346-9.6688e-05i,-0.00047539+0.00035683i,-0.00034976+0.00011004i,-8.7356e-05-0.00021093i,2.0239e-05+2.7714e-05i,-0.00018189-0.0001397i,-0.00013763-0.00011047i,-0.00014113+0.00069314i,0.00010986+0.00073874i,0.00011323+0.00070378i,0.0003236+0.00090127i
-0.00016364-0.00038797i,-0.00091857+8.8977e-06i,-0.00093629+0.00044694i,-0.00014203+0.0004681i,0.00021842+0.00085799i,0.00025315+0.0011325i,0.0011961+0.00064936i,0.0015096+0.0004058i,0.00027622-0.00011299i,-0.0005248-0.00010931i,-0.00028893+0.00047032i,-0.00017507+0.00048201i,-0.00039065+0.00027475i,-0.00078872-0.0002764i,-0.00099802-0.00068819i,-0.001001-9.9696e-05i,-0.0013746+0.00078357i,-0.0013298+0.00041935i,-0.00033232+0.00033515i,-0.00013239+0.00084536i,-0.00070261+0.00057445i,0.000189+9.3286e-05i,0.00088164-5.9346e-06i
-0.00078916+0.00081576i,-0.0010198+0.0010587i,-0.00060642+0.0016282i,-0.0010169+0.0012381i,-0.0010258+0.00041258i,-0.00025818-0.00043946i,0.00071242-0.00081949i,0.00087488-0.00031316i,0.00070413+0.00055458i,-6.4339e-05+0.0010075i,-0.00052838+0.00043833i,1.0689e-06+0.0001345i,0.00024504+0.00037917i,0.00033523+0.0004139i,0.00081068+8.5801e-06i,0.0013138-0.00018568i,0.0003559+5.3138e-05i,-0.00050425+0.00082237i,-0.00066159+0.0011111i,-0.00059918+0.00017198i,-0.00012474+0.0003468i,0.00032937+0.0002318i,0.00037943-0.00037302i
-0.00067145-0.00048117i,-0.00078332-0.00040466i,-0.0016101-0.0010506i,-0.00094182-6.466e-05i,0.00021013+0.0015568i,0.0012599+0.0018436i,0.0011329+0.0010787i,0.00082398+0.00042359i,0.0007042-0.00028017i,0.00094133+4.2031e-05i,0.001065+0.0012169i,0.00078664+0.0017477i,0.00034828+0.000731i,5.8986e-05-0.00011115i,0.00055854-3.313e-06i,0.00084771-0.00034532i,0.00011758-0.00077148i,-0.00062301-0.0005522i,-0.0006167-0.00065082i,-0.0005477+4.755e-05i,-0.00071077+0.00083645i,-0.00049978+0.00024116i,9.2184e-05-8.7095e-05i
-0.00082349-0.00059877i,-0.00071049-0.0012245i,-0.00062143-0.00092401i,-0.00088978+0.0001622i,-0.0010913+0.0008641i,-0.00015089+0.00034851i,0.0012647-0.00084929i,0.0017621-0.00097777i,0.0015886-0.0012542i,0.0010913-0.00074874i,0.00035215-5.5654e-06i,-0.0003667+7.3902e-05i,-0.00058577-0.00035878i,-0.00061888-0.00059003i,-0.00082706-0.00037393i,-0.00067659-0.00034815i,-0.00055251-0.00083887i,-0.00063871-0.00094127i,-0.00049449-0.0002645i,-6.555e-05+0.00060638i,0.00015808+0.00068659i,-0.00057244+0.00017003i,-0.00097185-0.00049033i
0.0010024-0.0015854i,-5.0534e-05-0.0022179i,-0.001124-0.0027906i,-0.00092994-0.0025203i,-0.00070678-0.0018901i,-0.0011504-0.00064924i,-0.00044027+0.00057199i,0.00016345+0.00026578i,8.159e-05-0.0006426i,9.949e-05-0.00084331i,0.00029304-0.00036555i,0.00035317-0.00019132i,-0.00032392-0.00051547i,-0.0011275-0.00030184i,-0.00086567+5.7726e-05i,-0.00046416-0.0001806i,-0.00075741-0.00030231i,-0.0015861-0.00057864i,-0.0019611-0.00056907i,-0.0010903+1.1381e-05i,-0.00036073+0.00086043i,6.7051e-05+0.00066007i,-0.0010684-0.00066355i
-0.0012079+0.0011698i,-0.00043666+0.00065379i,-0.00045486+0.00064549i,-0.00038364+0.0004995i,-0.00041399+0.00044656i,-0.00010129+0.00081303i,9.3425e-05+0.0010446i,0.00015961-9.2798e-05i,0.00021897-0.00023838i,0.00013366-0.00011211i,-1.8099e-05-0.00021211i,-0.00021234-0.00018196i,-0.00023199-0.00015939i,0.00023936+0.00077714i,0.00060466+0.0012269i,0.00027846+0.00056425i,0.00072496-0.00074899i,0.0011342-0.0011393i,0.00039906-0.00015485i,-8.4122e-05+0.00077136i,-0.00019393+0.00067464i,-7.601e-05+0.00019473i,0.00039122-0.00041392i
-0.0013866-0.00021617i,-0.0013452-0.00076244i,-0.0025048-0.00095455i,-0.0015964-1.9926e-06i,0.00016872+0.0010511i,0.0011799+0.0016621i,0.0018461+0.00087124i,0.001302+0.00010229i,-0.00025899-0.00062492i,-0.00088601-0.00043572i,-0.000444+0.00064727i,-0.00018734+0.00065586i,-0.00076512+0.0002708i,-0.00031293-0.0001804i,0.00030005-0.00079485i,0.00028998-0.00093267i,5.5652e-06-0.00074385i,-0.00051601-0.00074205i,4.5837e-05-0.00039046i,0.00016667+0.0007427i,3.2203e-06+0.0011215i,-0.0001174+0.00026805i,-3.639e-05-0.00052911i
-0.00043388-0.00011875i,-0.00095617-0.00014552i,-0.0019619+0.0002168i,-0.0017673+0.00091546i,-0.0011613+0.001159i,6.1981e-05+0.0010866i,0.00055364+0.00044451i,0.00050196+0.00022925i,0.00077167-0.00050919i,0.0010228-0.00061982i,0.00080726+0.00021333i,9.8595e-05+0.00046011i,-0.00034767+0.00064832i,-0.0006181+0.0007937i,-0.00034991+0.00044038i,-0.00026255+0.00011768i,-3.1101e-05-0.00022841i,-6.627e-05-0.0010297i,-0.00058932-0.0017578i,-0.00072053-0.00081888i,-0.00068742+0.00060032i,0.00050252+0.00057587i,0.00043971+0.00010341i
-0.0026288+0.00073934i,-0.0035757+0.00053554i,-0.0033342+0.00020072i,-0.0024225-0.00024798i,-0.0010679-0.00034194i,6.7278e-06+0.00019651i,0.0001199-8.2619e-05i,-0.00014159-0.0009963i,-0.00024158-0.00076659i,-0.00035462-0.00011557i,0.00020565-0.0010851i,-2.3457e-05-0.0009726i,-0.0003821+0.00024242i,0.00066872+0.00045673i,0.0015747+0.0002037i,0.0013295+0.0001125i,0.00031256+0.00056522i,-0.00025627+0.00028687i,-0.00044418-0.00054836i,-0.00072256+0.00015563i,-0.00061274+0.00013483i,-0.00020672-0.00042352i,0.00062114-0.00060106i
-7.4146e-05+0.00078873i,6.8593e-05+0.00058968i,0.00094295+0.00077948i,0.00051277+0.0015678i,0.00025565+0.0017342i,0.00070942+0.00090725i,0.00083856+0.00023043i,0.00032898-0.00076034i,6.0842e-05-0.0017692i,0.00047289-0.001527i,0.00063187-0.000897i,0.00063367-0.00049704i,-0.00011536-0.00044992i,-0.00018556-0.00011739i,0.00033804+0.00017345i,-5.6312e-05-0.00014163i,-0.00034724-7.1752e-06i,-0.00038416+0.00010961i,-0.00046203+0.00019286i,-0.00039082+0.00053809i,-0.00028801+0.00040358i,0.00011485+0.0004392i,-5.9242e-05-2.6505e-05i
0.0024074-0.0015695i,0.0019572-0.0012736i,0.0013868-0.0010932i,0.001322-0.00056328i,0.00023914-0.00015503i,-0.00072248+0.00028887i,-3.2457e-05+0.00014415i,0.0011217-0.00090012i,0.0015314-0.0015445i,0.00058243-0.0014001i,-0.00042772-0.00077591i,-0.00057941-0.00017175i,-0.0006534-0.00015744i,-0.00035504-0.00029448i,0.00076072-0.00089103i,0.0012239-0.0012418i,0.00072783-0.00076568i,-0.00042174-0.00017981i,-0.0012412-0.00035174i,-0.0011113-0.00020355i,-0.00042867+0.00050646i,-1.2236e-05+4.2293e-05i,-1.1801e-05-0.00018231i
0.00010477-0.001348i,-0.0013845-0.0015033i,-0.0021035-0.0011996i,-0.0015776-0.00037246i,-0.0012496+0.00040399i,-0.00077792+0.0007496i,0.00068807+0.00069971i,0.0014994+0.00023113i,0.00075603-0.00043577i,-9.2377e-05-0.00049227i,-0.00049993-0.00034398i,-0.0008092-0.00076044i,-0.00077941-0.001036i,-5.8061e-06-0.00050587i,-0.00011995-0.00044496i,-0.00058508-0.00084978i,-0.00073848-0.0010829i,-0.00026867-0.00081722i,-0.00031321+9.2932e-05i,-0.00077772+0.0006145i,-0.00025147+0.00064079i,5.829e-06+1.4191e-05i,-0.00039248-0.00017519i
0.0012814+0.001924i,0.0014594+0.0015249i,0.0016492+0.00034921i,0.00092223-5.9236e-05i,-0.00029996+0.00055901i,-0.0010293+0.00039354i,-0.00073398+0.0001837i,3.9032e-05-0.00030596i,0.00053586-0.00080971i,-0.00012471+0.00023775i,-0.0001091+0.00046963i,0.0003695-0.00063854i,-6.8437e-05-0.00030076i,-0.00020807+0.00068589i,0.00039528+0.00043785i,0.00072949-0.00058904i,0.00086204-0.0013781i,0.0004705-0.00094805i,0.00021968+0.00019867i,0.00025292+0.0014119i,-0.00042295+7.1008e-05i,-0.00010125-0.0014618i,0.00049467-0.0012617i
-0.00061954-0.0011635i,-0.0006133-0.0014644i,-0.00033879-0.00049684i,-5.8935e-05+0.00015156i,2.197e-05+0.00032733i,-4.7442e-05+0.00033335i,0.00076607+3.4924e-05i,0.0010811-0.0011181i,0.00019574-0.0015698i,-0.0003919-0.00052444i,-0.00020577-0.0001379i,-0.00023729+0.00029738i,-0.00081831+0.00021727i,-0.00076695-0.00092203i,-0.00022254-0.00086027i,0.00018091-0.00037445i,0.00045831-0.00089585i,0.00049277-0.00053481i,0.00027229+0.00068625i,0.00064799+0.00083659i,0.00088778+0.00073629i,-0.00027081+0.00087945i,-0.00055344+1.5715e-05i
