-0.00029196+0.00041752i,-0.00061634+3.1379e-05i,-0.0014895+0.00047592i,-0.0017974+0.00099591i,-0.00236+0.00055966i,-0.0020115+0.00077189i,-0.00047472+0.0010144i,0.00092231+0.00053304i,0.0013241+0.00021753i,0.0013164-0.00010665i,0.00031966+6.3948e-05i,-0.00015631-4.2778e-05i,-0.00014232-0.00038594i,-0.00016692-0.0004069i,0.00016478-0.00087393i,-0.00020277-0.00098857i,-5.2963e-05-0.00075468i,0.00029861-0.00082843i,-0.00016716-0.00014424i,0.00019973-8.7683e-05i,0.00083852+0.00039293i,0.00020946+0.00084819i,-0.00045453+0.00026246i
0.0022941-0.00011649i,0.0015936-3.3603e-06i,0.0017382-0.0001285i,0.00056176-0.00067623i,-0.00060392-0.0012105i,-0.00043607-0.00041548i,-4.3619e-05-0.00047668i,0.00020172-0.0016902i,0.0005293-0.0014146i,-2.5322e-05-0.00089919i,-0.00061883-0.0010667i,-0.00052495-0.00083811i,-0.00037589-0.00048979i,-0.00025892-0.00022047i,6.725e-05-0.00038147i,0.00045512-0.00065916i,0.00036896-0.00059745i,2.4088e-05+0.00029481i,-0.00038513+0.0016998i,-0.00015559+0.0015679i,0.00023696-2.0575e-05i,-1.4637e-05-0.00021967i,-7.5959e-05+0.0005133i
-0.0015762+0.00092838i,-0.0013733+0.0022088i,-0.0014964+0.0017976i,-0.0010403+0.00083103i,-0.00069882+0.0018991i,1.1348e-05+0.0017298i,0.00067948+0.00063886i,0.00056771+0.0002591i,-0.00027837+0.00015671i,-0.00079272-2.6594e-05i,-0.00069443-0.00030572i,-0.00041631+6.4803e-05i,0.00047119+0.00018518i,0.00071614+0.00020005i,0.00059387+0.00058128i,-0.00039113+0.00038405i,-0.0015439-0.00038215i,-0.00095201-0.00068103i,-0.0011768-0.00034541i,-0.001773+6.3889e-05i,-0.00043106+0.00041169i,0.00083638+0.00077494i,0.00029401+0.00045783i
0.00081589-0.0018472i,0.0010026-0.0024512i,0.0012969-0.0018692i,0.00057627-0.00046366i,-0.00030605-0.00040327i,-6.1573e-05-0.00063691i,0.00064428-0.00050856i,0.001133-0.00086235i,0.00087704-0.00098523i,0.00058428-0.0010584i,0.00017303-0.0010734i,-0.0004814-0.00057763i,-0.0005056-0.00032209i,4.9515e-05-0.00073889i,0.00020234-0.00070678i,0.00018075-0.00078144i,0.00015502-0.00029809i,-0.00040176-0.00036353i,-0.00055855-0.00061291i,-9.373e-05-0.00013755i,0.00032564+0.00054496i,0.00017644+0.00079737i,-6.8241e-05+0.00065113i
0.0017189-0.0018022i,0.0010568-0.0010288i,0.00069093-0.001355i,0.00048389-0.0006276i,0.00029085+0.000657i,1.2848e-06+0.0011343i,0.00089275+0.00012235i,0.0015199-0.00036336i,0.001018-0.00060727i,0.00053174-0.00172i,0.00027174-0.0019356i,-0.00030641-0.00043352i,-0.0011289-4.4345e-05i,-0.0012022-0.00049553i,-0.00060105-0.00062374i,-0.00038973-0.00080236i,-0.0003781-0.00087751i,-0.00076661-0.00099439i,-0.00078512-0.00083406i,-0.00078327-0.00061041i,-0.00095833-0.0009748i,-0.00058947-0.00074815i,-0.00038735-0.00066724i
-0.00081844-0.0017808i,-0.0016273-0.0014795i,-0.0021334-0.0012015i,-0.002459-0.00034021i,-0.0016636+0.0003016i,-0.00084441+0.00068421i,0.00012785+0.00087198i,0.00099084-6.2437e-06i,0.00075328-0.00046868i,0.00014726-0.00051468i,-0.00014158-0.001133i,-7.0126e-07-0.00089861i,0.00019936+0.00025157i,0.00043479+0.0010118i,-0.00019839+0.00038421i,-0.00040694-0.0004028i,-0.00017929-0.00031577i,-0.00048917+0.00047142i,-0.0012626+0.00097405i,-0.00084996+0.00056899i,0.00034408+0.00087878i,0.00061974+0.00059561i,0.0004265+0.00029534i
0.0015483-1.4482e-05i,0.0022415-0.00051047i,0.0019897+0.00020582i,0.00053688-0.00011132i,-0.00068543-0.00015955i,-0.00056542+0.00011797i,0.00010906+0.00067809i,0.0011652+0.00075553i,0.0010696+0.00041792i,0.00032818-0.00021452i,0.00010398-0.00060961i,0.00061283+9.305e-06i,0.00068049+9.4912e-06i,-0.00045647-0.00052875i,-0.00048585-0.00076699i,0.00056531-0.00052727i,0.00027802-0.00050527i,-0.00080646-0.0011487i,-0.0016672-0.0011913i,-0.0016657-0.00015592i,-0.00077884+0.00070061i,0.00016185+0.00062206i,4.7838e-05-6.8281e-05i
0.001869-7.8585e-07i,0.0012842-0.00039323i,0.0012365-0.0012869i,0.00043429-0.0011604i,-0.00098555-0.00058942i,-0.00079877+0.00071312i,0.00021713+0.00040964i,-5.4902e-06-0.00099014i,-0.00076543-0.00097456i,-0.0011247-0.00048471i,-0.00080166-0.00064771i,-0.00021294-0.00048227i,-0.0004226-0.00025473i,0.00023522-5.756e-05i,0.00051972+0.00013745i,-0.00016457-0.000549i,0.00021811-0.00059855i,0.00068135-0.00043997i,3.775e-05-0.00066077i,-0.00056957-0.00038696i,-0.00070177-0.00034731i,-0.00020697-0.00018973i,-3.0069e-05+4.9493e-05i
0.00043431+0.00036279i,0.00072044+0.00019024i,0.00034136-0.0014125i,0.00019589-0.00095079i,0.00068276+0.00059657i,0.00070101+0.0014071i,0.00036593+0.0006538i,0.00057683-0.00031159i,0.00028504-0.00071584i,-3.7228e-05-0.0011898i,-6.491e-05-0.00054367i,6.9731e-05-4.9815e-05i,0.00055184-0.00039374i,0.00048858-0.00035174i,1.4391e-05+0.00050962i,0.00015055+0.00057932i,-5.0429e-06+0.00042634i,-0.00099565+0.00027456i,-0.0012752-6.5595e-05i,-0.00046931-0.00040889i,-0.00037159-0.00050113i,-0.00044118+0.00038886i,4.3681e-06+0.00066236i
0.0016788+0.00052295i,0.0020789+0.0011881i,0.0022878+0.001035i,0.0015854+0.00069843i,0.00078397+0.0007373i,0.00010363+0.00027749i,0.00036951-0.0008904i,0.00089295-0.0013774i,0.00086133-0.0012584i,0.00028938-0.00043767i,-7.2858e-05+0.00050781i,-0.00035907+0.00041745i,-0.00042612+0.00028116i,-9.8835e-05+0.00017859i,-0.00012081-0.00069309i,0.00049118-0.00078406i,0.00034623-6.82e-06i,-0.00047516+0.00054078i,-0.00086156+0.00033213i,-0.0013441-0.00044044i,-0.0010014-0.00067712i,-0.00026854+0.00017478i,0.00020104+0.00089553i
-0.00073132-0.00069961i,-0.00012531-0.0009995i,0.00038042-0.00085151i,0.00028226-8.4503e-05i,-6.8102e-05+0.00020094i,-0.00032251+0.00056538i,0.00027982+0.00098293i,0.00080221+0.00036445i,0.00026857-0.00060835i,-5.1051e-05-0.0005712i,-0.00015638+6.4683e-05i,-0.00056263+6.5567e-05i,-0.00070869-0.00011926i,-0.00043029-1.4224e-05i,0.00017941+0.00060877i,0.00061754+0.0016558i,0.00042269+0.0018139i,-0.00012264+0.00082194i,-0.00075309+0.00036905i,-0.0011548+0.00014619i,-0.0007107-0.00041383i,-0.00034693-0.00027876i,0.0006157+0.00013069i
-0.00041559+0.0011856i,-2.0022e-05+0.00084182i,-0.00076965-0.00016604i,-0.0011746+0.00027554i,-0.0014679+0.0010337i,-0.00088202+0.00095972i,0.00069079+0.00045387i,0.0020308-7.1606e-05i,0.0020163-0.00086092i,0.0006409-0.0010216i,0.00050028-0.00041498i,0.00021384-3.1331e-05i,-0.00020786-0.00016695i,-0.00034996-0.00033738i,-0.00032634-0.00026672i,-1.7508e-05-1.7802e-05i,-7.9018e-05-9.93e-05i,-0.00050516-0.00093032i,-0.0010269-0.00079036i,-0.0014109-7.7161e-05i,-0.00053562+0.00037188i,0.00066531+0.00078711i,0.00061173+4.9438e-05i
-0.0014229-0.0020551i,-0.0024349-0.0018934i,-0.00266-0.0016984i,-0.0019595-0.0010369i,-0.0016184-0.00023533i,-0.0016376+0.00032357i,-0.00087261-0.00013684i,0.00013448+3.3537e-05i,-0.00048185+0.00016146i,-0.0007841-0.0006343i,-0.00034023-0.00037604i,-0.00096107-8.6576e-06i,-0.0011194+0.00013347i,-0.00058493-0.00012848i,-0.00056652-0.00051739i,-0.00039753+1.0656e-05i,0.00059199+0.00049263i,0.00037433+9.3307e-05i,-0.00019727-0.00041871i,-7.4899e-05+2.0875e-05i,-0.00019142+0.00038993i,0.00012159+0.00029991i,-0.00029462+0.00014755i
0.0009045+0.00076567i,0.0003826+0.00053916i,0.0004405-0.00033737i,0.00045362-0.00054995i,0.00077679-0.00053074i,0.0012857-0.00067889i,0.0012678-0.00031856i,0.0016512-0.00029617i,0.0015975-0.00039358i,0.0011242-0.00064395i,0.0001986-0.0013673i,-0.00050934-0.0015651i,-0.00037397-0.00055921i,0.00029847-0.00037262i,0.00029112-0.00049885i,4.2298e-05-0.00027665i,0.00016288-0.00065496i,-0.00046177-0.0004468i,-0.00058999-0.00018415i,-0.00038-7.7393e-05i,-0.00045357+0.00092888i,-2.4196e-05+0.0012071i,0.00070638+0.00054137i
0.0021954+4.6021e-05i,0.0020355+0.00053672i,0.0020004+0.0010091i,0.0012652+0.00094451i,4.399e-05+0.00027827i,-0.0004651+0.0002818i,-0.00031077+0.00037882i,0.00024377-9.2234e-05i,0.00054505-0.00061913i,0.00010519-0.00029459i,2.9795e-05+0.00018599i,-0.00017811-1.6817e-05i,-0.00021362-0.00017129i,0.00037611-0.0002943i,0.00011755-0.00016566i,-0.00045309-0.00026477i,0.00030946-0.00017705i,0.00024389+0.00011724i,-0.00026638+0.0001397i,-0.00031535+0.00039892i,-0.0003205+0.00057554i,0.00024187+0.00012135i,0.00028273-0.00030608i
0.00016353+0.00066834i,-0.001172+0.00064821i,-0.0024345+0.0010405i,-0.0015893+0.00061705i,-0.00020219-0.00055786i,0.00059095-0.00025885i,0.00055453+0.000623i,5.8765e-05+0.00045059i,-0.0002433-0.00010047i,0.00012351-0.00047746i,0.00070638+5.7907e-05i,0.0011098-8.7003e-05i,0.00078584-0.00020305i,0.00010373-7.6593e-05i,0.00040757-5.3753e-06i,0.00038206+0.00031475i,9.9042e-05+0.00022523i,0.00028749+4.6804e-05i,-0.00065699-0.00043711i,-0.0010913-0.00042337i,-0.00034065+9.2033e-05i,0.0005562-0.00018425i,0.00093645+0.00012998i
-0.0017256+0.00085856i,-0.00076351+0.00093718i,-0.00031882+0.00068291i,0.00015283+0.00096644i,-5.7301e-05+0.0010043i,-0.00022064+7.0212e-05i,5.0163e-05-0.00030243i,0.00033888-0.00021897i,-5.7066e-05-0.00045805i,-0.0010242-0.00094717i,-0.00077657-0.0010702i,0.00063563+0.00019076i,0.0004577+0.00071832i,-0.0006697+0.00049025i,-6.6478e-05+0.00016889i,0.0013703-3.75e-05i,0.00037941-2.2982e-06i,-0.0011073-4.2229e-05i,-0.00039662-0.00044733i,-0.00016375-4.0358e-05i,-0.00027605+0.00055445i,-0.00056747+0.00082469i,-0.00053121+0.0007216i
-0.00015921-0.00069995i,-0.00050657-0.0012185i,-0.0015343-0.0017385i,-0.0017491-0.0011004i,-0.0013045+6.5064e-05i,-0.00023953+5.2224e-05i,-0.00017709-0.00066299i,-0.00048875-0.00077598i,-0.00030488-0.00054153i,-0.00019566-0.00067879i,4.3082e-06-0.0010846i,-0.00029643-0.0009285i,-0.0004803+0.00010025i,-0.00035826+0.00051889i,-0.00035679+0.00019618i,-6.6305e-05-0.0001465i,0.00051551-0.00043288i,0.00082183-0.00017459i,0.00045798-0.0004021i,-0.00045082-0.00049948i,-0.00054148-7.1961e-05i,-3.7394e-05-0.00074276i,0.00026461-0.00053918i
0.0013788+0.00051758i,0.0018264+0.0012252i,0.0010647+0.00049512i,0.00060086+0.00036647i,0.00040028+0.00084498i,0.00028066+0.00071962i,0.00064538+0.00010569i,0.00059672-0.00038909i,-9.7216e-05-0.00074128i,-0.0002521-0.00058188i,-0.00037637+0.00013719i,-0.00069467-0.00026916i,-0.00036693-0.0012099i,7.8386e-05-0.0016782i,-0.00024965-0.0018405i,-0.00023152-0.0018787i,6.2611e-05-0.0013744i,0.00020451-0.00018575i,-5.9734e-05+9.9356e-05i,-0.00011754+1.3163e-05i,0.00017838+0.0010283i,-4.8275e-05+0.0012612i,0.00037395+0.0003807i
-0.00023771-0.0016477i,-0.0003669-0.00043024i,-0.0014642-0.00041962i,-0.002093-0.00058983i,-0.00018509-0.00028233i,0.00097103+0.00054063i,0.00061791+0.00018645i,0.00054071-0.00088609i,0.00012824-0.00052273i,-0.00037569+6.7726e-05i,-0.00045408+0.00011003i,-0.0001307-0.00012823i,-0.00025129-0.00027457i,-0.00015364-0.00021186i,0.00034807+0.00058276i,0.00012849+0.00074195i,0.00015393+0.00042389i,-6.4605e-07+0.00065335i,-0.00068097+0.00032336i,-0.00083224+0.00030564i,-0.00061318+0.00063672i,-1.1231e-05+0.00075318i,0.00066314+0.00070419i
0.00012564-0.0013943i,-0.00081525-0.0013484i,-0.00076064-0.0012055i,4.461e-05+6.847e-05i,8.7512e-05+0.0011779i,0.00033077+0.0013887i,0.00039475+0.00038524i,0.00047601-0.00059251i,0.00046841-0.00061557i,0.00069688+0.00011007i,0.00071203+2.7426e-05i,0.00023662-6.6477e-05i,-0.00029706-0.00070284i,-0.00040811-0.00083059i,0.00011906-0.00027717i,0.00046405-6.2266e-05i,-0.00011357-8.8032e-06i,-0.00074028+1.6491e-05i,-0.00061215+0.00085958i,-0.00036577+0.00091805i,-0.00037083+3.5818e-05i,-0.00054785-0.00027735i,-0.00058234-2.4055e-05i
