-0.0014159-0.001413i,-0.00059352-0.0023187i,-0.0019463-0.0020589i,-0.0021628-0.00078168i,-0.0015109+0.0011144i,-0.00022091+0.0017408i,0.00040952+0.0011123i,0.00058912+0.00033694i,0.00062497+0.00071081i,0.00023502+0.0010798i,0.00055337+0.00058717i,0.00057872-0.00041669i,7.3296e-05-0.0010165i,-2.8975e-05-0.0012398i,0.00040909-0.00093369i,0.00051769-0.00017692i,0.00040481-0.00023499i,-0.00010651-0.00058013i,-0.00035325-0.00030338i,-0.00057584-0.00055819i,-0.00045933-0.00022689i,0.00017853+0.00054827i,0.00024958+0.00060503i
-0.00059897+0.0023509i,-0.00039426+0.0015118i,0.0011151+0.0013124i,0.002171+0.0017107i,0.0028907+0.00095749i,0.003585+9.9686e-05i,0.0021953-0.00015265i,0.00082293-0.0012252i,0.00035563-0.0016377i,0.0012944-0.0011354i,0.0012739-0.0013234i,-0.00031887-0.0018756i,-0.0013682-0.0018682i,-0.0011972-0.0014113i,-0.00053766-0.00073161i,-0.00014211-3.9995e-05i,-4.8285e-05-0.00042662i,0.00016804-0.00083599i,0.00032294+2.3385e-06i,0.00017192+0.00045622i,0.00031795+0.00013115i,-7.1332e-05-7.2689e-05i,-0.00045312+9.9698e-05i
0.00050583+0.0010905i,-0.00064587+0.00080932i,-0.00080691+0.00072028i,0.0011228-0.00016449i,0.003153-0.00057979i,0.0025061+4.2234e-05i,0.00096514+0.00084398i,-0.00052757+0.00062035i,-0.00076573-0.00012007i,0.00034584-0.00067718i,0.00082025-0.00098507i,0.0007844-0.00071512i,0.0010521+0.00021339i,0.00086193+0.00036152i,0.00065771-3.9538e-06i,0.00026509+0.00022773i,-0.00020574+0.00023599i,-0.00038899-9.4632e-05i,-0.00051345-0.00045427i,0.00010944+0.00018714i,0.00014472+0.0013275i,-0.001+0.00078358i,-0.0011601+7.8427e-06i
-0.0010657-0.0011486i,-0.0026988-0.00087806i,-0.0025649+0.00016348i,-0.0015484-2.9135e-05i,-0.0010995+0.00048269i,-0.00081883+0.0016613i,-0.0009221+0.0015493i,-0.0012103+0.00074862i,-0.00081184-9.4703e-05i,-0.00027928-0.00020381i,-2.5674e-05+0.00012864i,-0.00031346+0.00019019i,-0.00016926+0.00010455i,0.00044797-0.00051725i,0.00058747-0.0016177i,0.0003597-0.0016603i,0.00036033-0.0010666i,0.00059913-0.0001417i,-3.2298e-07+0.0010647i,-0.00029683+0.00065142i,0.00053317+0.00042884i,0.00042184+0.00020941i,-0.00058365-0.0003905i
-0.000856-0.0018895i,-0.0023442-0.0020502i,-0.0030475-0.0018923i,-0.0023936-0.0011868i,-0.0011153+1.6652e-06i,0.0007642+0.00073625i,0.0010751+0.00064825i,-0.00050019+4.1826e-05i,-0.00051914-0.0005784i,-8.6326e-05-0.00096323i,0.0005111-0.0011368i,0.0010487-0.00061757i,9.2492e-05+2.3234e-05i,0.0002458+0.00048175i,0.00069139+0.00037138i,0.00016245-0.00046625i,0.0001264-0.00077935i,-0.0002365-0.00026421i,-0.0011056+0.00059413i,-0.00093777+0.00040767i,-4.6879e-05-0.00016187i,0.00052854+0.00022129i,0.00064421+5.1495e-05i
0.00066341-0.001544i,-0.00068371-0.0015903i,-0.0023139-0.0019077i,-0.0030621-0.0019856i,-0.0023309-0.00068923i,-0.00087046+0.00068621i,-0.00016095+0.00042172i,-0.00060235-0.00065858i,-0.0011421-0.00090663i,-0.0013834-0.00031058i,-0.0010633-0.00053377i,-0.00048908-0.0010333i,7.2413e-05-0.00064685i,0.00085176-0.00029615i,0.0013237-0.0011411i,0.00060345-0.0010344i,-0.00065103-0.00092736i,-0.00062524-0.0013168i,3.2398e-05-0.00085715i,0.00052754-0.00055424i,-5.2512e-05-0.0003869i,-0.00050827+0.00014175i,-0.00014498+0.00037172i
0.002265-0.00083491i,0.0018981-0.0018047i,0.0016636-0.0022883i,0.00039554-0.001709i,-0.00094505-0.0013789i,-0.0010778-0.0013152i,-0.00066687-0.0011432i,-0.00052787-0.0011653i,-0.0013478-0.0009881i,-0.0011647-0.00066307i,-0.00040515-0.00056065i,-0.00021077-0.00060717i,-2.8809e-06-2.2408e-05i,0.00058259+0.00015723i,0.0013155+0.00013397i,0.0010649-0.00038932i,0.00032829-0.0007818i,0.00022187-0.00014732i,-6.4576e-05+0.00037254i,-0.00076257+7.6725e-05i,-0.00080596+0.00028018i,-4.688e-05+0.00011544i,0.00090429-5.877e-05i
0.0016485+0.00027511i,0.0022006-0.00075982i,0.0020554-0.0022322i,0.0012379-0.0019575i,0.0017911-0.00062653i,0.0019595-0.00059931i,0.00057572-0.00072961i,-0.00062196-0.00066042i,-0.00096121-0.00055084i,-0.00063877-0.00055091i,-0.0002075-0.0012813i,-1.0184e-05-0.00077078i,-0.00023401+0.00048486i,-0.00088681+0.00027753i,-0.0003122-0.00064506i,0.0002358-0.00154i,-8.1669e-05-0.0013595i,-0.0001092-0.00058841i,0.00035296+9.8739e-05i,0.00055116+0.00028769i,0.00015665+0.0001566i,0.00018782-3.2018e-05i,-3.18e-05-4.4691e-05i
0.00014679-0.0013549i,-0.0017736-0.0026766i,-0.001685-0.002476i,-0.00074637-0.00079635i,-0.00017049-0.00027123i,-7.4261e-06+0.0006109i,0.00022795+0.00083671i,-0.00055389+0.0003923i,-0.0015247-0.00051305i,-0.00041883-0.00087972i,0.00043374-0.00015009i,0.00040643+0.00019489i,0.00044121+6.0053e-05i,0.00022688+8.3349e-05i,0.00024139-5.4613e-05i,9.1554e-05-0.00044123i,-5.9897e-06-0.0010373i,0.00010043-0.0013949i,-5.3986e-05-0.00044234i,-0.00034557+0.00065199i,-0.00020562+0.00048924i,0.00015424+0.00030364i,3.8493e-05+0.00028557i
-1.6497e-05-0.0020498i,-0.0014367-0.00056144i,-0.0030581+0.00055721i,-0.001995+0.00051646i,0.0006419+0.00049344i,0.0017665+0.0012961i,0.0011588+0.00087462i,-0.00014782+7.8399e-05i,-0.0013001+0.00042731i,-0.0015536+0.00025634i,-0.00094765-0.0006686i,4.9111e-05-0.00092625i,0.00054855-0.0002634i,0.00075011+0.00046968i,0.0001173-0.00025973i,-0.00030675-0.00090893i,-0.00056112-0.00056523i,-0.00069516+0.00047071i,-0.00012617+0.0010104i,-1.9104e-05+0.00038412i,-0.00021604+0.00017982i,5.6218e-05-7.8674e-05i,0.00022517+0.00025276i
-0.00038045-0.00022972i,-0.0015431+0.00011531i,-0.0020481+0.0012473i,-0.0024018+0.00088308i,-0.0021062+0.00042442i,-0.00050545+0.0015407i,0.00072784+0.0013494i,0.00010087-4.4832e-06i,-0.0011654-0.00057194i,-0.0012553-0.00082406i,-0.00051059-0.0013315i,-0.00011527-0.0011769i,-0.00014533-0.00053871i,0.00018552-6.4812e-06i,0.00044989-0.00024749i,0.00040088-0.00068957i,-0.00010258-0.00080512i,-0.00030043-0.00088378i,-0.0002873-0.00018941i,0.00015861+0.00011121i,0.00055317-0.00018323i,0.00047471-0.00029764i,0.00064398-0.00048618i
-0.0014198+0.00068669i,-0.0022928-4.2015e-05i,-0.0023459+0.00037124i,-0.001196+0.0012433i,0.00023916+0.0010929i,0.00055478+0.00033939i,0.00022773-0.00090667i,0.00033679-0.0009266i,0.00040243-0.00041765i,-0.00056181-0.00058027i,-0.0016893-0.00051777i,-0.0018504-0.00051095i,-0.0010585+0.00019189i,-0.00011096+0.00058702i,0.00026251+1.1649e-05i,2.43e-05-0.00026258i,-0.0003349-7.1947e-05i,-0.00038042+0.00024946i,-0.00057851-3.9371e-05i,-0.00061211-0.00057219i,0.00014835-0.00043027i,0.00060694+0.0004379i,0.00071877+0.00089553i
0.0014945-0.00049904i,0.00019945-0.0011899i,0.00012289-0.0014898i,-5.054e-05-0.0015538i,0.00054433-0.0021099i,0.0010624-0.0012521i,-0.0003361-0.00053464i,-0.00149-0.00043852i,-0.0013783-0.00040247i,-0.00063952-0.00077426i,9.2459e-06-0.00038513i,-0.00036983-0.00034415i,-0.000635-0.00014197i,1.2704e-05+0.00048181i,0.00050109+0.00041874i,0.00037664-4.7279e-05i,0.00046762-0.00047419i,0.00038764-0.00038313i,-0.00019463-4.0433e-05i,-0.00055589+0.00027234i,-0.00064481+0.00034614i,-0.00051267+0.00059392i,-0.00022455-0.00015613i
-0.00098153-0.00072772i,-0.0020011-0.00042744i,-0.0019835-0.00016266i,-0.0012216+0.0002032i,-0.00052606+0.00085002i,0.00038252+0.00056804i,0.00024579-0.00020999i,-0.0010674-0.00051455i,-0.0017399-2.4821e-05i,-0.00055585+0.00055408i,6.9657e-05-0.00017596i,-0.00069129-0.0010008i,-0.0010198-0.0011899i,-0.00057027-0.00076027i,-9.5148e-05-0.0005508i,-1.3747e-05-0.00046557i,-0.00052789-7.2173e-05i,-0.00092483+0.00028982i,-0.00058448+3.1126e-05i,-6.1803e-05-0.00025389i,-0.00027026+5.563e-05i,-0.0007293+0.00056059i,-0.00014344+0.00069274i
-0.002643-0.00059349i,-0.0024642-0.00075107i,-0.0023882-0.00029953i,-0.0004073+0.00061072i,0.0014467+0.0014813i,0.0016735+0.0014195i,0.00073679+0.00080749i,-0.00085452+0.00045114i,-0.0015159+0.00045421i,-0.00088979+0.00057532i,9.0066e-05+0.00040372i,0.00054783-0.00015579i,0.00079041-0.00045937i,0.00026291-0.00063693i,0.00056281-0.0011458i,0.00094922-0.0013262i,-2.1145e-05-0.0005563i,-0.00098054+9.2304e-05i,-0.0007782-0.00014751i,-0.00028962-0.00029215i,-1.5391e-05+0.00014078i,0.00013521+0.00071984i,-0.00016831+0.00080314i
-0.00032472-0.00086544i,-0.0010539-0.0016631i,-0.0014094-0.0020141i,-0.00074493-0.0015078i,0.00060532-0.00096981i,0.0017412-2.1307e-05i,0.002819-0.00037349i,0.001745-0.0010975i,-0.00051368-0.0010826i,-0.0011521-0.0015479i,-0.00032787-0.0012574i,0.00029824-0.00081364i,0.0005952-0.00046895i,0.0010754-0.00044674i,0.00079602-0.00089112i,6.3051e-06-0.0011423i,-0.00041487-0.0015862i,-3.8192e-05-0.00099119i,0.00016992+0.00065201i,0.00037486+0.00091366i,6.585e-05+0.0010635i,-0.00042132+0.0012295i,-0.00044621+0.00011293i
0.00057106-0.00075499i,-0.00019924-0.0019802i,0.00020681-0.0018251i,0.00050835-0.0016438i,-9.7484e-05-0.001172i,-0.00068623+0.00019496i,-0.00055154+0.00048122i,-0.00011186-0.00040337i,-0.00030217-0.00058221i,-0.00029192-0.00059107i,0.00016531-0.00025481i,0.00031128-0.00017971i,8.6852e-05+0.00031529i,0.00044922+0.00058985i,0.0016083-0.0002575i,0.0021143-0.0014551i,0.0015256-0.0020597i,0.00062596-0.0010814i,0.00062719-0.00013602i,0.00037994+7.1336e-05i,-0.00038035+0.00026933i,-0.00069068+7.7742e-05i,-0.00094097+0.00029605i
0.00075764-0.001186i,-0.00028998-0.0016445i,-0.00044983-0.00097795i,-0.0007422+0.00077871i,-0.00044701+0.0014646i,0.00023686+0.0012645i,0.00042615+0.00066824i,0.00022095-0.00018097i,-0.00039333-0.00081983i,-0.00037934-0.0010395i,-9.11e-05-0.0012731i,-0.00074571-0.0012567i,-0.00098683-0.00055323i,-4.9834e-05+0.00023636i,0.00078363+0.00058646i,4.6311e-05+0.00083542i,-9.5997e-05+0.00090951i,2.2544e-05+0.00033846i,-0.00025064-0.00049977i,-1.3048e-05+6.5165e-05i,8.7575e-05-6.7679e-06i,-0.00039353-0.00065116i,-0.00057534-0.00033492i
-0.0004854+6.9905e-06i,-0.00097398+0.00021655i,-0.0014277+0.00097336i,-0.0015189+0.00081257i,-0.0013079+0.00039014i,-0.00017408+0.00090892i,0.00013444+0.00080939i,-0.0014021+0.00011681i,-0.0016847-0.00078105i,-0.0015731-0.00098613i,-0.0010252-0.00057479i,0.00044024-0.00040777i,0.0011558-0.00034384i,0.0012417-0.00028545i,0.0009952-0.00044273i,0.00069652-0.00063798i,0.00032485-0.00059053i,-0.00034892-0.00012578i,-0.0011083-0.00025355i,0.00020086-0.00015684i,0.001502+0.00025442i,0.001067-0.00014973i,-3.4302e-06-0.00062571i
-0.00040946-0.00084727i,-0.002204-0.00047927i,-0.003436+4.577e-06i,-0.0025328+0.00021519i,-0.00032812+0.00079011i,0.0013359+0.00096218i,0.00088342+0.0012822i,-0.0013286+0.00079482i,-0.0021292-2.7051e-05i,-0.0012902-0.00014012i,-7.6774e-05-9.5965e-05i,0.000742-0.00043633i,0.00032506-0.00090805i,-0.0004765-0.00080737i,-0.00014775-0.0011494i,0.00021665-0.0017304i,-0.00033975-0.0013873i,-0.0007972-4.7213e-05i,-0.00024179+0.00038189i,-7.4167e-05+0.00040013i,-0.00057812-0.00025015i,-0.00061882-0.00087674i,-9.8893e-06-0.00057079i
-0.0011658-0.0001347i,-0.0018706-0.0011477i,-0.0026476-0.0016953i,-0.00072785-0.0013001i,0.00061064-2.1819e-05i,0.0011645+0.00043788i,0.0019222+8.1217e-05i,0.00055294-9.5695e-05i,-0.0011275+0.0002009i,-0.00069597+0.0011704i,4.0837e-05+0.00089083i,0.00043525+0.00036122i,0.0001491-9.297e-06i,-0.00017125-0.00089942i,3.8973e-05-0.0014938i,0.00022994-0.0014811i,0.00013096-0.00059414i,-0.00056857+0.00025681i,-0.00057041+0.00061525i,-0.00026907+0.00049725i,0.00018431+0.00020617i,0.00022951-0.00032621i,0.00049252-7.3412e-05i
