0.0021822-0.0019393i,0.0014508-0.0011823i,-0.00018973-0.00013562i,-0.001074+4.511e-05i,-0.0016373+0.00052339i,-0.002005+0.00085295i,-0.0021907-0.00038207i,-0.0012825+1.0979e-05i,-0.00067753+0.0015981i,-0.0010994+0.0017282i,-0.0012734+0.00090868i,-0.00077356+0.00027952i,0.00045064+0.0006918i,0.0009042+0.00048263i,0.00023137+0.00033547i,-0.00012816+0.00089407i,0.00050056+0.00036193i,0.00083423-0.00023607i,0.0007815-0.00055266i,0.00060113-0.00048218i,0.00021938+0.00021299i,9.8986e-05-0.00013271i,0.00072922-0.00066554i
-0.00035245+0.0011489i,-0.0010045-4.1012e-05i,-0.0014377-0.00026168i,-0.0009325+2.2821e-05i,-0.00065803-0.00036352i,-0.00087347-0.00058899i,-0.0011827-0.00066585i,-0.0016346-0.00083406i,-0.0017999-0.00020981i,-0.0015783+0.00070683i,-0.001336+0.00058259i,-0.0013106+0.00046758i,-0.0014862+0.00036214i,-0.00084909-0.00024417i,0.001043-0.00052942i,0.0017108-0.00022445i,0.0011879+0.00034277i,0.00075811+0.00017579i,-4.7097e-05-0.00028587i,-0.00064674-0.00031664i,-0.0010242-0.00018363i,-0.0013101+0.00016395i,-0.00080116-0.00032324i
0.00075819-0.00022401i,0.0014121-0.00038632i,0.00082141-0.00016688i,-0.00064511-0.00031465i,-0.0012805-0.00079722i,-0.0010823-0.0011276i,-0.0013756-0.00051897i,-0.00052201+0.00029992i,0.0002434-0.00036626i,-0.00014278-0.00082543i,-0.00064123+0.0002473i,-0.0014268+0.00039707i,-0.0013903-0.0005679i,-0.00070035-0.00088126i,-0.00062529-0.00090881i,-0.00010823-0.00050277i,0.00020984-0.00015005i,0.00022499+0.00015789i,0.00098068+6.2142e-05i,0.0015029+0.00024475i,0.00085369-0.00049183i,0.00042317-0.0010441i,0.00047239-0.00025171i
-0.00057379-0.00037174i,0.00057251-0.00058683i,-0.00024814-0.00043977i,-0.0010992-0.00024125i,-0.00090437-0.00032302i,-0.00058947-0.00075393i,-0.00048661-0.00083928i,-0.00097359-0.00020517i,-0.00037788-0.00022096i,-0.00032791+4.185e-05i,-0.00059607+0.00059676i,-0.00010013+0.00039412i,0.00065798-0.00025873i,0.00079138-0.00039148i,-9.5775e-05-0.00036342i,-0.00067525-0.0010204i,-0.00063263-0.0018823i,0.00052394-0.0014204i,0.0016055-0.00053875i,0.0014531-0.00052506i,0.00064799-0.00033282i,0.00026001-0.00014689i,0.00056314-0.00079482i
-5.6391e-05+0.0022472i,-0.00039771+0.0027466i,-0.0010522+0.0018528i,-0.0011546+0.0008246i,-0.00012664+0.00014004i,0.00025321-0.0011523i,-4.5906e-05-0.0014458i,-9.8601e-06-0.00068335i,-7.2377e-05-0.00024071i,-0.00034949+0.00025698i,-0.00055186+0.0010902i,-0.00029391+0.0010549i,-0.0002355+0.00019074i,-0.00034703+0.00015054i,-0.00017424+0.00040544i,8.2294e-05+0.00026055i,0.00057223-0.00065174i,0.00087098-0.00098031i,0.00071453-0.00068918i,0.00019685-0.00080113i,0.00035948-0.00069206i,0.00071428-0.0006543i,0.00076883-0.00064894i
-0.0026264-0.0016065i,-0.0017449-0.00091486i,-0.0021397+0.00018833i,-0.0024203+0.00045452i,-0.0012229+0.00072399i,-0.00053713+0.0006371i,-0.0006025-0.00010885i,-0.00054469-0.00030831i,-0.00080612-7.0694e-05i,-0.00086226-0.00044695i,-0.00056737-0.0010987i,-0.00051232-0.00053167i,-0.00034311+0.00026725i,0.00015303+7.0365e-05i,0.00016084-0.00043205i,0.00031828-0.00049422i,0.00087206-0.00030571i,0.00091223-0.00057726i,0.0004045-0.00046157i,-6.4002e-05-0.00011816i,-0.00036639+4.9452e-05i,-0.00045991+0.00056328i,-0.00078541+0.00049885i
0.00029415-0.0025775i,-1.6479e-05-0.0022035i,-0.0017362-0.00017384i,-0.0021312+0.00046708i,-0.0011547-0.00019496i,0.00010855-0.0011065i,0.00060821-0.0014293i,-0.00010995-0.00064192i,-0.00010672-0.00024091i,1.0781e-05+1.8483e-05i,0.00050274+0.00031005i,0.001143+0.00015744i,0.0010131+0.00037065i,0.00020559+0.00089864i,-0.00018301+0.0014464i,0.00037961+0.0012011i,0.00055924+0.00024042i,2.3147e-06+0.00057109i,0.00032036+0.00099497i,0.00096771+0.00071609i,0.00031975+0.00044686i,-8.8087e-05+0.00020494i,0.00040581+0.00045431i
6.0398e-05+0.00098593i,-0.00093083-0.00035177i,-0.0016568-0.0017269i,-0.001204-0.00092702i,-0.0008307-0.00076335i,-0.0013709-0.0011755i,-0.0013007-0.0012268i,-0.0010595-0.00061441i,-0.0012561-7.7892e-05i,-0.001074-0.00060232i,-0.00038409-0.00088553i,-0.00028714-0.0011295i,-0.00018752-0.0006976i,0.00048217+2.2058e-05i,0.00054637+0.00038206i,-0.00012634+0.00037346i,-0.00032215-7.7223e-05i,0.00011686-0.00024572i,-0.00015998+8.358e-05i,-0.00053354+0.00014549i,-0.00024221+0.00014033i,-7.2978e-05+0.00062851i,-0.00039159+0.00034161i
-0.00050904-0.0020183i,-0.00043939-0.0022887i,-0.00011846-0.0017896i,-0.00038803-0.00090866i,-0.00061839+0.00092447i,-0.0010168+0.0012814i,-0.0010117-0.00035751i,-0.00081107-0.0012028i,-0.00072461-0.00090825i,-0.00041717-0.0010252i,-0.00056784-0.00089632i,-0.00060713-0.00024144i,-5.7193e-07+0.00021077i,0.00039531-6.7367e-05i,0.00048944-0.00047529i,0.00040791-0.00035185i,0.00028011-0.00020466i,0.00032038-0.00012705i,-0.00015825-0.00070319i,-0.00035385-0.00097569i,-0.00012373-0.00018076i,-0.00015421+4.7448e-05i,0.00013619-0.0003778i
0.00028347+0.00066084i,-0.001018+0.001818i,-0.0018961+0.0013783i,-0.0011921+0.00078345i,-2.6622e-05+0.00060616i,0.00096846-0.00054957i,0.00022712-0.00098002i,-0.00046762-0.0011346i,-0.00065429-0.00074096i,-0.00084898+0.00013518i,-0.00080761+0.00046159i,-0.00067876+0.00065868i,-0.00081526+0.00022465i,-2.0732e-05-0.00058947i,0.001149-0.00036385i,0.0011387-1.6711e-05i,0.00050571-0.00041196i,0.00054224-0.00095818i,0.00039437-0.0004997i,-0.00055991-0.00023252i,-0.00090096-0.0004792i,-0.00052365-0.00038721i,7.1268e-05-0.00012856i
-0.0014255+0.0016858i,5.7835e-05+0.0010894i,0.0018365+0.000963i,0.0007465+0.00063926i,-0.00053997-0.00033368i,-0.0010191-0.00063755i,-0.0014225-0.00032543i,-0.0010858+0.00083512i,-0.00085108+0.0011457i,-0.00041244+0.00074157i,-0.00028021+6.9378e-05i,-0.00075479+2.4004e-05i,-0.00080795+0.00025016i,-0.00075828-0.00075587i,-0.00083696-0.0012256i,0.00015167-0.00071197i,0.0005424+0.00029557i,5.3542e-05+0.00089373i,7.5827e-05+0.00081902i,-0.00037109+0.00034166i,-0.00034311+0.00032415i,0.00015413+0.0001658i,-0.00052161-0.00023914i
-0.00063463-0.00034041i,-0.00011076-0.00036033i,-0.00017708-0.00052267i,-0.00035026-0.00089339i,0.00073271-0.00063764i,0.00086046-8.0496e-05i,-0.00051521-0.00089669i,-0.00047366-0.0010506i,0.00022438+9.4762e-05i,0.0003654+0.00016275i,-4.1013e-05-0.0002019i,-4.2003e-05-0.00040796i,0.00091289-0.0003406i,0.00087838-4.639e-05i,0.00060052-0.00033703i,0.00034646-0.00054026i,0.00011878-0.00037263i,0.00067812-0.00044707i,0.00078719-0.00033048i,0.0009486+0.0001782i,0.00053968+0.00025593i,0.00026966-0.00018368i,2.7212e-05-8.9391e-05i
0.00043426-0.0013568i,-4.4457e-05-0.0019686i,-0.00069093-0.0018091i,-0.0010515-0.0019512i,-0.00079223-0.0018989i,-0.00064658-0.0011559i,-0.00048886-0.00065229i,-0.00055378-0.00032602i,-0.00059308-0.00028717i,-0.00078332-0.00087192i,-0.00028517-0.00047569i,-0.00047306+0.00017952i,-0.00083745-0.00034829i,-0.0011954-0.00044777i,-0.0018871-0.00036604i,-0.0015233+0.00038937i,-0.00089886+0.00079135i,-0.00077673+0.00013711i,-0.0010557-0.00082525i,-0.0011562-0.0013079i,-0.0002146-0.0010796i,0.00048412-0.00077193i,0.00036586-0.00037298i
0.0013828+0.0026703i,0.00096535+0.001955i,0.0012872+0.0013235i,0.00023109+0.00078108i,-0.00031523-0.00031336i,1.9002e-05-0.0013361i,-0.00019848-0.0012996i,-0.00027791-0.00012644i,-0.00042481-2.6748e-05i,0.00024198-0.00054472i,0.0002253+0.00035797i,-0.00066012+0.00014415i,0.00020293-0.00060228i,0.00019559-0.00057114i,-0.00047527-0.00015414i,-0.00032879-5.2688e-05i,-0.00017567-3.0368e-05i,0.00019269+8.4043e-06i,0.00046164+0.00037338i,-0.00043038+0.0005807i,-0.00099359+5.4228e-05i,-0.00038017+5.7694e-05i,0.00014935+0.00037398i
0.0015715-0.0007383i,-0.00010303+6.47e-06i,-0.00075044-0.00055909i,-0.0010936-0.00035901i,-0.00088333+0.00053191i,-0.00082262+0.00073882i,-0.00055906+0.00011047i,0.00010756-0.00037707i,-5.1821e-05-0.00037622i,-0.00094862-0.00032604i,-0.0013636+0.00012893i,-0.0014086+0.00013422i,-0.0010349-8.5639e-05i,-0.00037037+0.00070282i,0.00010031+0.00093264i,0.00057448+0.0003794i,0.00093424-7.67e-05i,0.00069674-0.00021824i,0.00029655-8.2117e-06i,-0.00014502-0.00033558i,-0.00061963-0.00057112i,-0.00054513+0.00011218i,6.3468e-05+0.00086022i
-0.00066236+0.00031179i,-0.00079449+0.00088136i,-0.00098087+0.00088155i,0.00010047+0.0010424i,0.00083627+0.00076386i,0.00030578-0.001045i,-0.00051164-0.001524i,-0.00078517-0.0010157i,-0.00066966-0.00085814i,-0.00065858-0.00069273i,-0.00041611-0.00044326i,-0.00066039-0.00022687i,-0.0001758-5.1643e-05i,0.00053222-0.00059277i,0.0011123-0.00024211i,0.00098859+0.00012075i,-0.0002837+0.00032155i,-0.00079395+0.00029216i,-0.0005642+3.892e-05i,-0.00087061-9.5786e-05i,-0.00080634-0.00037292i,0.00039974-0.00022428i,0.000282-0.00025976i
0.0014121-0.0015155i,0.0011387-0.00074003i,-0.00059139-0.00038817i,-0.0014952+0.00030354i,-0.0012243+0.00013093i,-0.00084777+0.00033894i,-0.00078397+0.00081111i,-0.001112+0.00074767i,-0.0011522+0.00065798i,-0.0011198+0.0002695i,-0.0011807+9.6968e-05i,-0.00053835+0.00072425i,5.8042e-05+0.001157i,-2.3454e-05+0.00096713i,-0.00039851+0.00020616i,-0.00015352-0.00069174i,-0.00034267-0.00057529i,-0.0010263-1.2666e-05i,-0.001021+0.00057886i,-1.2588e-05+0.00047865i,0.00083195-0.00045573i,0.00060973-0.00044305i,-0.0002781+0.00026196i
-0.0014483+0.00097936i,-0.0016086+0.0006462i,-0.0012671+0.00047949i,-0.00066377+0.00063755i,-0.00051091+0.00012852i,0.00027201-0.0010112i,0.00032682-0.0013051i,2.4311e-05-0.00083426i,0.0001885+1.696e-05i,-0.0003643+3.9051e-05i,-0.00051998-0.00018529i,-1.3525e-05+0.00032936i,0.0010084+0.00019532i,0.0013653-0.00011393i,0.0011476+0.00031813i,0.0014307+0.00064445i,0.0016348-0.0001206i,0.0012104-0.00087566i,-3.6352e-05-0.00057139i,-0.00098607-5.642e-05i,-0.0010591+7.3234e-05i,-0.00080259+8.7583e-05i,-0.0003378+7.8036e-05i
1.0455e-05-0.00065241i,-0.00117-0.0010682i,-0.0019656-0.00072797i,-0.00213+0.00025614i,-0.0023904-0.00014135i,-0.0014459-0.0014177i,-0.00057543-0.0024761i,-0.0006486-0.0021394i,-0.0005265-0.00093567i,-0.00098738-0.00047643i,-0.001482-0.00028773i,-0.0010221-0.00026996i,0.00019617-0.00068545i,0.00065332-0.00034093i,-0.00020559-8.8294e-05i,-0.00018265+0.00020491i,0.00050074+0.00045356i,0.0003925+0.0006466i,0.00045314+0.00036179i,0.00099984-0.00015509i,0.0011756-0.00012285i,0.000493+0.00023468i,0.00019374+0.00043392i
-0.0021301+0.00054139i,-0.0016586+0.0011775i,-0.00019489+0.0012434i,-0.00067923+0.0013578i,-0.00079288+0.0012292i,1.084e-05-0.00014876i,8.9089e-05-0.0012685i,-0.00080916-0.00072478i,-0.0011849-0.00073181i,-0.00030374-0.00098979i,5.2438e-05-0.0010186i,-0.00033115-0.00054151i,0.00020245-0.00016977i,0.00049205+0.00036562i,0.0005499+0.0003014i,0.00040145+0.00015305i,0.00051596-3.2506e-05i,0.0004952+1.0012e-06i,-0.00027062-0.00036769i,-0.0002389-0.0010329i,0.00012744-0.00072062i,0.00028745-0.00021668i,0.00087386+0.0002671i
-8.5178e-05+0.00033658i,-0.00077992-5.298e-05i,-0.001177-0.00021522i,-0.0010227-0.00017997i,-0.00092382-0.00012111i,-0.0012684-0.00045526i,-0.0013813-0.00082364i,-0.0010959-0.00047177i,-0.0015398-0.00032692i,-0.0014128-0.00097725i,-0.00078636-0.00051917i,-0.00036302+4.8629e-05i,0.00012826-0.00013619i,-2.1221e-05-0.00029907i,-0.00019237-0.00060314i,-0.00017063-0.00059892i,0.00020175-6.1491e-05i,0.00075714+0.00055306i,0.00015069+0.0001964i,0.000302-0.00027244i,0.00032292+0.00011923i,-0.00010257+0.00058839i,-0.00040185+0.00016014i
-0.0012359-0.00050293i,-0.00058342-0.00016903i,-0.0016062+0.00044879i,-0.0018264+0.00025542i,-0.00085685+0.00081439i,-0.00026489+0.0012456i,-0.0012752+3.5186e-05i,-0.0018922-0.00050417i,-0.0011087-0.00022467i,-0.00072523-6.4049e-05i,-0.0012024+0.00029893i,-0.00067642+0.00023911i,0.00014913-0.00077749i,0.00071536-0.00083781i,0.00070578-5.0031e-06i,0.00086348+0.00016099i,0.00068079+0.00073581i,-0.00039911+0.00099053i,-0.00062744+0.00014363i,-0.00010965-6.5226e-05i,0.00040887+0.00016704i,0.00022477+0.00028472i,-0.00065321+0.00059533i
-0.00013697-0.00034205i,0.0012528-0.0004394i,0.001534-8.1221e-05i,1.3858e-05-0.00052503i,-0.00085519-0.0013719i,-0.00078656-0.0017427i,-0.00082855-0.0014883i,-0.0010983-0.00097458i,-0.0010915-0.0012821i,-0.00098284-0.0007604i,-0.0010682+5.1631e-05i,-0.0007501+7.4809e-05i,-0.00051194-0.00099208i,-0.00035048-0.0013923i,-6.9449e-05-0.0008521i,0.00033342-0.00070878i,0.00085446-0.00016523i,0.00069662+0.00055363i,0.00074151+0.00045372i,0.00017075+0.0003214i,-0.00045265+0.00010446i,-0.0004755+0.00027304i,0.00017047+0.001023i
-0.00031974+0.00079316i,-0.00035531-3.4472e-05i,-0.00071897-0.0012218i,-0.0010891-0.00077059i,-0.0016831-0.00040549i,-0.0014665-0.00072695i,-0.00062658-0.00087463i,-0.0010037-6.4828e-05i,-0.0014466-0.00064379i,-0.0013326-0.0014287i,-0.00047751-0.00072755i,0.0002007-0.00059832i,0.00040859-0.00083277i,0.00079223-0.00052837i,0.001433-0.00042329i,0.0020433-0.00029022i,0.00075025+0.00034214i,-0.00049599+0.0010569i,-0.0006772+0.0011173i,-0.00012105-0.00030011i,0.00085429-0.00069806i,0.00034373-3.5311e-05i,-0.00025282+0.0001289i
0.00067905-0.00012105i,0.00083548-0.00035068i,-0.00076809-0.0002694i,-0.0011525-0.00024182i,-0.00068091-0.00064677i,-0.00010925-0.0016391i,-0.00030004-0.0015444i,-0.00040274-0.0010343i,-1.1877e-05-0.0013124i,0.00021287-0.0011592i,0.00054561-0.00050905i,0.00024113+4.3788e-05i,-0.00016363+0.00033391i,-1.3546e-05-0.00025468i,0.0004213-0.00031798i,0.00063686-0.00021082i,0.0006035-0.00027453i,0.00098467-0.00041454i,0.00088663-0.000537i,0.00062786-0.00043536i,0.00018129-0.00052794i,-0.0001088-0.00047619i,0.00063301-8.6323e-05i
0.00024484-3.2573e-05i,0.0012061+0.00075048i,0.00061754+0.00059502i,-0.00079439+0.0011535i,-0.0012121+0.0011095i,-0.0012723-0.00021971i,-0.00069587-0.00091706i,-0.0010046-0.00064246i,-0.0013047-0.00071459i,-0.00072175-0.00050408i,-0.00064494-3.0829e-05i,-1.9235e-05-0.00032132i,0.00013982+0.00014152i,0.00021665+0.00091302i,0.0009717+0.00066746i,0.00092912-0.00034773i,0.0010831-0.0006897i,0.0011574-0.00088406i,0.00077935-0.00074083i,0.00051533-3.296e-05i,0.00046111-8.5023e-05i,0.0005694+0.00047578i,-4.6335e-05+0.00032325i
-0.00067495+0.0021304i,-0.00036357+0.0018605i,-0.00064792+0.0014054i,-0.00056026+0.00029272i,-8.3623e-06+4.1383e-05i,8.9236e-05+0.0005687i,-0.00037219+0.00031346i,-0.00068179+2.5031e-05i,-0.0012573+3.0057e-06i,-0.0010456-0.00039219i,-0.00019862-0.001006i,0.0003112-0.00062343i,0.00038058-0.00035611i,0.00031399-0.0011332i,0.00026649-0.0010469i,0.00032192-0.0007143i,0.00027818-0.00079168i,-0.00075631-0.00018114i,-0.0011372+0.00033064i,-0.00030007-0.00010862i,6.2063e-05-6.4041e-05i,-0.00029319+0.00037044i,-0.00011278-0.00010742i
0.00085311+0.00035883i,0.00044548+0.00050522i,-0.00025441-0.00026074i,-0.001261-0.00097662i,-0.0015602-0.00077432i,-0.0008806+4.3217e-05i,-0.00051711-2.2513e-05i,-0.00052435-0.0001098i,-5.9222e-05-0.00023663i,8.7765e-05-0.00023382i,-0.00039235+4.2859e-05i,-0.00082286+0.00037325i,-0.00070266+0.00060475i,-3.1267e-05+0.00067052i,-9.2515e-05+0.00058849i,-0.0003111+0.00059682i,-0.00059222+0.00059283i,-0.00076286+0.00038156i,-0.00029709+0.00041206i,-0.00019825+0.00054782i,-0.00048367+9.6921e-05i,-4.5643e-05-0.00011533i,-0.00020867-0.00027822i
