-0.0023814+0.00099187i,-0.00059252-0.00060574i,-0.0016505-0.00010777i,-0.0027679+0.0015512i,-0.0025374+0.0029717i,-0.0025246+0.0027111i,-0.0019363+0.0016289i,-0.00068449+0.0018822i,0.0003323+0.0018285i,0.00042149+0.0011047i,0.00054377+0.00060309i,0.00086138-6.4879e-05i,0.0005701-0.00014885i,0.00024675-0.00056809i,3.8349e-05-0.00060502i,-0.00019142+0.00013313i,-0.00051716+0.0003091i,-0.00081243+0.00030274i,-0.00061005+0.00090555i,0.0001478+0.00050695i,0.00044674-0.00040205i,-5.6208e-05-0.00052316i,7.634e-05-0.00021454i
0.0017337-0.00027947i,0.00016883-4.1671e-05i,-0.001199-0.00069277i,-1.5399e-05-0.00069452i,0.00077268+0.00068231i,0.0001275+0.00056127i,-9.2616e-05-0.00038677i,-0.00046261+0.00011371i,0.00022684+0.00041949i,0.00023038+0.00021557i,-0.00018685+0.00019975i,0.00066222-0.00025789i,0.0011324-0.0014987i,0.00046898-0.0016244i,-0.00021149-0.00054084i,-5.731e-05+0.00039316i,0.00050224+5.5718e-05i,0.00034856-0.00023604i,-0.00060085-7.0183e-05i,-0.00078502+2.1338e-05i,-0.00049506+0.00033937i,-0.0007915-0.00014535i,-4.2592e-05-0.00068104i
0.00010703-0.0013486i,-0.00016711-0.0015304i,-0.00087409-0.0027373i,-0.0015504-0.0033518i,-0.001882-0.0015824i,-0.00061988-0.00033896i,-0.00035377-0.00023735i,-0.00075426+0.00012387i,-0.00056583-1.8485e-05i,0.00011808+0.00020557i,0.00076366+0.00042792i,0.00045349+0.00029831i,-0.00044858-0.00041743i,-0.00034795-0.0010519i,-1.2783e-05-0.00035608i,0.00050376+1.1924e-06i,0.00064304-0.0003755i,0.00061498-0.00031469i,0.00054881+0.00010596i,0.00014857+6.9941e-05i,-0.00027542+0.00016799i,-0.00043671+0.0002092i,-0.00035785+0.00014001i
0.00063818-0.00010375i,0.00063064+2.5593e-05i,0.0009246-0.00033714i,0.00088562-0.00064343i,0.00054379-0.00056592i,0.00017108-3.1597e-05i,-0.00028903+0.00031326i,-0.00038554-0.00012551i,4.5078e-05-0.00076536i,-0.00028547-0.0008458i,-0.00066683-0.00063882i,0.00016451-0.00048499i,0.00079624-0.00057792i,0.00033012-0.00015723i,4.9552e-05+6.539e-05i,0.00043847-0.00075082i,0.00040914-0.001341i,0.00038404-0.0006328i,-0.00029182+0.00027148i,-0.00025635+0.00021484i,0.00013974+0.0002837i,-7.3897e-05+0.00085078i,-0.00063644+0.00040477i
-0.002276+0.0030177i,-0.0015333+0.0026415i,-0.0010241+0.0037331i,0.00056581+0.0026355i,0.0016284+0.00027327i,0.0008582-0.0014033i,-8.6635e-05-0.00087805i,-0.00046142+0.0012598i,-0.00026958+0.0016651i,0.0004748+0.00042478i,0.00092732-0.00071573i,0.0003684-0.0010864i,-0.00057874-0.00076226i,-0.0018197-0.00031304i,-0.0018125+0.00016858i,-0.00060842+0.00024518i,-0.00057917+0.00021467i,-0.00096599-0.00074779i,-0.00063418-0.0011838i,-0.00034366-0.0005971i,0.00033051-0.0010699i,0.00092263-0.0011419i,0.0004192-0.00045271i
-0.00030569-0.002361i,-0.0009541-0.0018202i,-0.00096584-0.0013696i,-3.0724e-05+9.5332e-05i,0.00084927+0.0011662i,0.00058601+0.0014393i,-0.00049342+0.0013866i,-0.0008962+0.0008987i,-0.00063318+0.00099487i,-7.0954e-05+0.0012149i,0.00051162+0.00057021i,0.00044489-0.00032868i,0.00016259-0.00041049i,-0.00020195+0.00024198i,-0.0011956+0.00071892i,-0.00076316+0.00076687i,-1.3513e-05+0.00015621i,-6.1577e-05-0.00021351i,0.00056467+0.00054457i,7.2823e-05+0.00045137i,-0.00073984-0.00026071i,-0.00064625+2.8796e-05i,-0.00044832+0.00076224i
0.00095534+0.00050655i,0.00074584+0.0010198i,0.00011281+0.00018852i,-0.00057859+8.6444e-05i,-0.00073838+0.0003439i,-0.00027728+0.00048219i,-0.0008293+0.00021799i,-0.0012563-0.00034041i,-0.00042049-0.0007387i,0.00035493-0.00047626i,0.0010733+0.0005011i,0.00060352+0.0007095i,0.00061666+0.00042722i,0.0014842+0.00069435i,0.0012175+0.0010077i,0.00056871+0.0010331i,0.00021056+0.00026916i,-3.2895e-05+0.00024233i,-0.00032448+0.00071638i,-0.00015935+0.00048179i,-0.00017569-0.00045698i,-0.00031557-3.2965e-06i,-0.00042067+9.7056e-05i
0.00045783+0.00063237i,-0.0011007+0.00025028i,-0.0011108-0.00053795i,-0.00089149-0.00069839i,-0.00041057-0.00070871i,0.0001607-0.00069402i,-0.00024669-9.6441e-05i,-0.0010751+0.00029967i,-0.00060184+0.00018389i,0.00049412+0.00024461i,0.000469+7.2329e-05i,-5.6697e-05-0.000478i,-0.0002426+0.00024154i,-0.00057476+0.00096968i,-0.000474+0.00049512i,-0.00068906-0.00029426i,-0.00047063-0.00045791i,-7.5964e-05-0.00018041i,-0.00061031+1.8127e-05i,-0.0010495-0.00018002i,-0.00082063-0.00050079i,-0.00010183+3.296e-05i,0.00050293+0.00083029i
0.00101-0.0011301i,0.00053102-0.0015211i,-0.00012473-0.0016917i,-0.00075031-0.0011376i,-0.00065775-0.00069141i,-0.0001493-0.00023549i,-0.00026342+5.2789e-05i,-0.00048289+0.00023204i,-0.00063541+9.2335e-05i,-0.00060523+0.0001336i,0.00012621-0.00042631i,0.0005154-0.00093072i,0.0002667-0.00044612i,-0.00019072-0.00070716i,0.00019483-0.00058933i,0.00024534-0.0002469i,-0.00045019-2.0193e-05i,-0.00088356+0.00041669i,-0.0010176+0.00030287i,-0.00082116-2.6235e-05i,-8.6666e-05-0.0001939i,0.00092276-0.00015796i,0.00064133-7.3807e-06i
-0.0001013+0.00026104i,0.00022536+0.00093106i,-0.00035773+0.00091932i,-0.00049177+0.0003528i,0.00019356-0.00055726i,0.00053384-0.00014004i,-0.00022854+0.00061343i,-0.0012181+0.0010022i,-0.0013297+0.0009936i,-0.00064466+0.00060007i,0.00023176-0.00024217i,0.00068553-0.00011281i,0.00067239+0.00056943i,0.00038818+0.00021492i,0.00025349+2.6046e-05i,-6.7872e-05+0.00053299i,-0.00055587+8.8889e-05i,-0.00050233-0.00057206i,-4.6229e-05-0.00015202i,3.0405e-05+0.00017695i,-5.4038e-05+0.00022229i,-3.0727e-05-4.4593e-05i,-9.0408e-05-0.00066266i
-0.00133-0.0011817i,-0.0016007-0.0010418i,-0.0014003-0.00043343i,-0.00044106+0.0010268i,6.5506e-05+0.0012078i,0.00078805+0.00052508i,0.00086174-0.00026063i,-0.00033424+6.9507e-05i,-0.00082697+0.0010476i,-2.8163e-05+0.0018535i,0.00062648+0.0014504i,0.00043843-0.00011584i,0.00051254-0.00035845i,-0.00026126-0.00028732i,-0.00065825-0.00026447i,0.00046618-0.0002037i,9.8177e-06-0.00040184i,-0.00062388-0.00035843i,-0.0010852-7.3007e-05i,-0.0011463+0.00013486i,-0.00050608+6.2595e-05i,-0.00014176-9.7012e-05i,0.00029814-7.3734e-05i
