-0.0026545+0.00037581i,-0.0021076-0.00067214i,-0.002728-0.00089494i,-0.0032763-0.00024087i,-0.0026271+0.00011717i,-0.0011973+0.00089839i,-0.00035317+0.0016162i,0.00018378+0.0012149i,0.00093868+0.00022405i,0.0009788-0.00020818i,0.00035458-0.0007116i,0.00029285-0.00052016i,0.00047072-2.3536e-05i,-2.7791e-05-0.00021235i,-0.00027632-0.00064011i,-0.00036323-0.00013569i,-6.4174e-05+1.4853e-05i,0.00076504+7.6008e-05i,0.001002+0.0004979i,0.00075057+0.00030109i,0.00058946+0.00053158i,9.9584e-05+0.00067434i,-0.00069544+0.00054549i
-0.0028533-0.0017003i,-0.0028593-0.0003033i,-0.002739+0.0019792i,-0.0018676+0.0028917i,-0.00050555+0.003037i,0.00056885+0.0017387i,1.4507e-06+0.00034062i,-0.00013514-0.00045452i,0.0001929-0.00030201i,-3.7953e-05+0.00042414i,-0.00022329+0.00022216i,6.0803e-05-0.00041143i,0.00011867-0.00051492i,0.0001951-0.00029224i,-9.2437e-05+5.8133e-05i,-0.00038649+0.00078028i,-0.00038557+0.0020082i,-0.00064978+0.0017595i,-0.00066373+0.00034277i,-0.00010582-0.00023054i,0.00051189+8.6787e-05i,0.00061289+0.00025457i,0.00052271-0.00019819i
0.0017916-0.00067461i,0.0015632-0.001205i,0.00067849-0.0015976i,0.00053908-0.0018216i,-0.00038906-0.001692i,-0.00059795-0.00075278i,0.00074008-0.00010304i,0.0014778+0.00014023i,0.0015661+8.3688e-05i,0.00064299-0.00040088i,-0.00077249-0.0011942i,-0.0006047-0.00092226i,-0.00034808-0.00038455i,-0.00046179+0.00034161i,-0.00026676+0.00096645i,-0.00036831+0.00083482i,-4.2423e-05+0.00088097i,0.0003777+0.0012103i,0.00019857+0.0015573i,5.5934e-05+0.0014135i,-0.00032929+0.00083081i,-0.00015334+5.0132e-05i,0.00019341-0.00022662i
-0.0013836-0.0001703i,-0.0012194+0.00012123i,-0.00029558+0.0010326i,0.0003108+0.00068634i,0.00043576+0.00028526i,0.000649+0.00020995i,0.0013835+0.00019687i,0.0016629+5.8877e-05i,0.00058298+0.00025045i,0.0001703+0.00071804i,0.00059843+8.927e-05i,0.00033255-0.00028051i,0.00023267+0.00021107i,0.00035837-0.00010623i,0.00063515-0.0011351i,0.00067001-0.0015379i,5.6921e-06-0.00034929i,-0.0010721+0.00019902i,-0.0011363-0.0007651i,-0.00051335-0.00093144i,-0.00020646-0.0010417i,-0.00026464-0.0011617i,-0.00022713-0.00013905i
0.00023385+0.0008402i,-0.00027887+0.0010555i,-0.00063017+0.00084483i,-0.0008617-0.00041541i,0.00022748-0.00088363i,0.0010233-0.00081377i,0.0001573-0.00085942i,-0.00029339-0.0002586i,0.00017975+9.8307e-05i,0.00027313-0.00053627i,0.00067925-0.00070062i,0.00062838-0.00030256i,0.00024815-6.1447e-05i,0.00078734+0.00010808i,0.00069504-8.3671e-05i,0.00050486-0.00035146i,0.0008831-0.00016001i,0.00029922-0.00033733i,-0.00013545-0.0012453i,0.00062987-0.0011789i,0.0002681-0.00019541i,-0.00059011+0.00034612i,-0.00050013-4.0359e-05i
0.0019144-0.001191i,0.0022248-0.0014165i,0.0015915-0.0022693i,0.00068888-0.0024005i,0.00032324-0.0015177i,0.00048519-9.3773e-05i,0.00064202+0.00085536i,9.9059e-05+0.00024872i,-0.00040172-0.00030978i,-0.00048379-0.0002456i,-0.00045945-0.00043873i,-0.00055375-0.00070332i,-0.00039947+0.00023547i,-0.00020271+0.00055854i,-4.7673e-05-0.00037272i,0.00027302-0.00067574i,0.00034465+0.0001344i,0.00011058+0.00037848i,0.00015709+0.00043916i,5.1872e-05+0.0007643i,-0.00031598+0.00066403i,-0.00064215-0.00010672i,-0.00029782-0.00064221i
0.0011942+0.001968i,0.0011497+0.0026733i,0.0010132+0.0021065i,-0.00035362+0.0010673i,-0.00074409-2.9547e-05i,-0.00050753-0.00011612i,-0.00033532-0.00019335i,0.00032193-0.00033062i,0.00043979-0.00018438i,-0.00053978-0.00035429i,-0.00095411-0.00014001i,-0.00036247+4.6557e-05i,0.00056322-0.00022074i,0.00054026-0.00061044i,-0.00062623-0.00025579i,-0.00098946+0.0001393i,-0.00046144+0.00051531i,-0.00010447+0.00078088i,-0.00030732+0.00092986i,-0.00032169+0.00024746i,4.7769e-05+0.00042148i,6.5605e-05+0.00091256i,-0.00012822+0.00039271i
0.00034752+0.00075702i,0.0015067+0.0003522i,0.0012697+0.00019073i,0.0004835-0.00023942i,0.00061898-0.00048566i,0.00040009+0.00061443i,0.00020565+0.0011388i,-0.00014363+0.00064163i,-1.4415e-06+0.00031649i,-8.3043e-05+0.00016904i,-0.00048798-0.00012921i,-0.00038544-8.3586e-05i,-0.0002497+7.595e-05i,-0.00020079-0.00035069i,-0.00043815+0.00010797i,-0.0010053+0.00098603i,-0.00091064+0.00083573i,-8.1218e-05+0.00069968i,0.00042586+0.00068713i,7.993e-05+0.00036696i,-0.00029768+8.2509e-05i,-1.1971e-05+7.5241e-05i,0.00017984+0.00041289i
0.0014146-0.0015419i,0.00027484-0.00131i,-9.9031e-05-0.00071232i,-0.00015515-0.00022981i,-0.00049847+0.00032159i,-0.0002383+0.00060667i,0.00011214+0.00048358i,0.00081481+0.00018181i,0.0010176-0.00041342i,0.00063816-3.6195e-05i,0.0003449-3.9192e-05i,0.00027763-0.00023902i,-0.00013614-0.00011175i,-0.000539-0.0002014i,-0.00074853-0.00016761i,-0.00060967+0.00050465i,6.2537e-05+0.00039081i,0.00078222+0.00028168i,0.00084636+0.0013624i,0.0004739+0.0013355i,0.00020735+0.00033777i,3.6429e-06+0.00020253i,9.7806e-05-0.00017699i
-0.0022006-0.0024091i,-0.0024382-0.0027245i,-0.0030743-0.001958i,-0.0036705-0.00072507i,-0.0029239+0.00025862i,-0.0016413+0.00011534i,-7.7078e-05-0.00068561i,0.00084945-0.0003717i,-0.00010236+0.00015589i,-0.0014442+5.3665e-05i,-0.0017006-0.00037718i,-0.0012146-0.0007188i,-0.00083644-0.00061005i,-0.00047654-1.7034e-05i,-0.00058998+0.00043075i,-0.00079491+0.00062112i,-0.00021434+0.00031966i,0.00029818-0.00035805i,1.375e-05-2.4423e-05i,-0.00049134+0.0004593i,-0.00046372+0.0004443i,-0.00016575+0.00037423i,-0.00069543+0.00037221i
0.00075902+0.00099165i,0.002068+0.00012999i,0.0022636-0.0001623i,0.0018714-0.00035961i,0.00086162-0.00097668i,-0.00017298-0.0011381i,-0.00030664-0.00073521i,-0.00052677-8.9121e-05i,-0.00017566+0.00066175i,0.00030735+0.00056024i,-0.00017877-0.0001829i,-0.00055363-6.1428e-05i,0.00025694+0.00096241i,0.0010945+0.0011033i,0.00092225+0.00077576i,7.8305e-05-0.00014701i,-0.00044997-0.0006771i,-5.7741e-05-0.00031852i,0.00032229+0.00050815i,-1.692e-05+0.00058551i,-9.121e-05+0.00035834i,-0.00040517-0.00016576i,-0.00093563-0.00035671i
-0.00024872-0.001112i,-0.00052951-0.00072339i,-0.0016125-0.00084264i,-0.0011294-0.00095225i,-0.00012381-0.00014378i,0.0003204+0.00019744i,0.00072794-0.00040661i,0.00070195-7.2552e-05i,7.8536e-05+0.00014245i,-0.00048446+4.6119e-05i,-0.00019214-0.00050568i,-0.0004196-0.00063354i,-0.00086352+7.3816e-06i,-0.00029759+0.00054972i,-0.00032534+0.00086885i,2.4748e-05-7.2226e-05i,0.00045062-0.00011703i,-6.2741e-05+0.0007678i,-0.00022439+0.0008474i,0.00019336+0.00058452i,0.00058213+0.00020239i,0.00065534-0.00027578i,0.00076523+0.00019297i
-0.00065612+0.0016349i,-0.001066+0.0021237i,-0.0011567+0.0018763i,-0.00026104+0.0011056i,-7.91e-05+0.0010655i,-0.00050973+0.00073908i,-0.00025192+0.00048512i,0.00036173-2.7008e-06i,0.00048556-0.00057346i,4.3055e-05-0.00070038i,0.00040531-0.00070965i,0.00059757+0.00022903i,-0.00072167+0.001085i,-0.0011591+0.0013165i,-4.699e-05+0.00080581i,8.7341e-05+0.00038222i,2.5103e-05+0.00022675i,0.00041133-0.00034251i,0.00069639-0.00049203i,0.00079191+0.00021902i,0.00011594+0.00046312i,-0.00030674+0.00054008i,-1.8087e-05+0.00025883i
0.0010878-0.00050084i,0.0026001-0.00035721i,0.0023945-0.00022876i,0.0019002-0.00070279i,0.0014895-0.00079627i,0.00013921+1.2886e-05i,-0.000506+0.0010214i,-0.00031613+0.0010077i,-0.00044406+0.00062955i,-0.00094269+1.6187e-05i,-0.00086721-0.00089094i,-0.00070304-0.00058225i,-0.00070001+0.00052648i,-0.00083079+0.00058432i,-0.001079+0.00025187i,-0.00096535+0.00016349i,-0.00049934-2.4112e-06i,0.0003627+0.00031084i,0.00081484+0.00042099i,0.00053166+8.0739e-05i,0.00029162+0.0005807i,0.00044626+1.6309e-05i,0.00044548-0.00095489i
-0.00040633-0.00070863i,0.00027715-0.0011937i,-0.00024551-0.0022492i,-0.00038042-0.0022238i,0.00055005-0.0011257i,0.0011121+7.5758e-05i,0.00081857+0.00096745i,0.00033555+0.00063291i,0.00035431-0.00045838i,0.00089892-3.0768e-05i,0.00060026+0.00049325i,-0.00015295-0.00041695i,-0.0006115-0.00066004i,-0.00038294-0.00071424i,-0.00033865-0.00068006i,-0.00094124+7.0375e-05i,-0.00029632+0.00069132i,6.2721e-05+0.00015897i,-2.1596e-05-0.00080302i,0.00045106-0.00069608i,0.00079371-0.00058875i,0.00030108-0.00036139i,-0.00046307+0.00018712i
-0.00065581-0.0010074i,-0.0015987-0.00061722i,-0.0018685-0.00023849i,-0.0018093+0.00043403i,-0.00093243+0.00074645i,0.00029728+0.00047749i,0.00048409-0.00041218i,0.00045955-0.00065594i,0.00046264+0.00014901i,-1.5519e-05+0.00042431i,-0.00016545-6.6965e-05i,-0.00016022-0.00045457i,0.00026088-0.00028352i,-0.00021642+0.00033037i,-0.0009449+0.00055244i,-0.000165+0.00035004i,0.00020269+0.00058289i,9.2051e-05+0.00039103i,-4.6094e-05+0.00036621i,-0.00021702+0.00065127i,9.1343e-05+0.00084782i,0.00078687+0.0008213i,0.0011606+0.00029456i
