-0.0015948+0.00058078i,-0.000138+0.00028556i,-0.00038327-0.0010268i,-8.4359e-05-0.0020727i,0.00042351-0.00082586i,0.00063159+0.0011138i,0.00030296+0.002244i,0.00066515+0.0025896i,0.0012796+0.0017119i,0.0011902+0.00014859i,0.00010831+7.6936e-05i,-0.00022783+0.0007902i,-0.000239+0.00081925i,-7.6116e-05-0.0002038i,0.00015886-0.00078239i,-0.00033367-0.00076656i,-0.00021106-0.00072509i,0.00044234-0.00040947i,0.0004537+0.00018724i,6.9026e-05-3.1634e-05i,-0.0002673-0.00021322i,-5.226e-06-0.00040932i,0.00043588-0.00080725i
0.0011299+0.00067145i,0.0023907-0.00035271i,0.0021553-0.0010519i,0.0010489-0.00054841i,2.1969e-05-0.00061375i,-0.00091124-0.00096748i,-0.0014937-0.00036032i,-0.00097795-0.00012095i,0.00024682-0.00021032i,0.00028809-0.00024609i,-0.00049177-0.00048256i,-0.0013488+0.00029711i,-0.0015991+0.0013572i,-0.00048794+0.00082845i,0.00070563+0.00033322i,0.0011076+0.00024314i,0.00086274+0.00028671i,0.0001694+0.00053474i,-0.00011765+0.00053504i,-0.00051109-0.00029529i,-0.0005149-0.00063463i,2.8383e-06+0.00047222i,-0.00053619+0.00060562i
-0.00028864-6.8071e-05i,-0.0011714+0.00039658i,-0.0015188+0.00011864i,-0.00096844-0.00013431i,-0.00069224-0.00051351i,-8.5719e-05-0.000933i,0.00029659+0.00022086i,-0.00027008+0.00060374i,-0.00012667-0.00046916i,0.00021969-0.00052028i,-2.0827e-05-0.00032424i,-6.7639e-05-0.00022879i,0.00038483-0.00047325i,0.00069267-0.00062843i,5.7987e-05-0.00054968i,-0.00019114-7.526e-05i,-0.00011527+0.00049371i,-0.00013101+0.00017587i,-6.7436e-05-0.00075958i,-1.4252e-05-0.00095917i,-8.777e-05-0.00013349i,0.00011673-3.3386e-05i,0.00028099-0.00030553i
-0.0012258-0.000703i,-0.00058234+0.00019972i,-0.00093778+0.0018136i,-0.0010355+0.0016427i,-0.00023626+0.00040504i,-0.00050853-0.00021955i,-0.0011142-1.2336e-05i,-0.00051646-0.00026398i,-0.00015784-0.00029042i,-6.4726e-05+0.00011997i,0.00050133+7.6902e-05i,0.00016596-0.0003711i,-0.00026174+0.00037067i,0.00010978+0.0011247i,8.2605e-05+0.00013479i,0.00027713-0.00047882i,0.00012045-0.00048035i,2.8509e-05-0.00080883i,0.00036446-0.00054616i,0.00016171-0.00059877i,-0.00041424-0.00141i,-7.4798e-05-0.0011038i,3.1319e-05-0.0004357i
-0.00064959+0.00021421i,-0.00023105+0.00023741i,0.00024482+0.00088667i,0.0011919+0.00076227i,0.0018272+0.00012957i,0.0015789-7.713e-05i,0.0003828+0.00045837i,0.00028585+0.00022544i,0.00077085-0.00072693i,0.00074473-0.00012097i,0.00058604+0.000525i,-0.00016491+0.00020389i,-0.0012228-0.00049784i,-0.0013704-0.00018124i,-0.00020383+0.00062777i,0.00048153+0.00044161i,-8.9645e-05+0.00038807i,-0.0001315+0.00024117i,-1.9537e-05+0.00027853i,-0.00019022+0.00029089i,6.6008e-05+0.00052721i,0.00017552+0.00025094i,0.00025428-0.0010647i
-0.00053406-0.0012195i,-0.0012766-0.0010913i,-0.0012117-0.0008363i,-0.0012088-0.00085003i,-0.0010327-0.00092541i,-0.00084234-0.00071583i,-0.00024598-0.00014403i,0.00076965-0.00054652i,0.0012933-0.0012135i,0.00070241-0.00038227i,-0.00011004+0.00029474i,-0.00044163+0.00070296i,0.00011646+0.00096272i,0.00082051+0.00077632i,0.0009516-0.00013852i,0.00054902-0.0014367i,-0.00032437-0.0010115i,-0.0003482+0.00046726i,0.0001157+0.00044408i,0.00055776-0.0002867i,0.0008991+4.9397e-05i,0.00070697-0.00031758i,0.00028155-0.0010048i
-0.0014343-0.00082556i,-0.0006432+4.2202e-06i,-0.00024674+0.00055668i,9.6124e-05+0.0012123i,-0.00029814+0.00062443i,-0.00044711+0.00017312i,-1.1336e-05+0.00074852i,0.00026738+0.00063389i,7.1085e-06-2.3428e-05i,-0.00062007+0.00043684i,-0.00080671+0.00080319i,-0.00049666+0.00089608i,0.00013808+0.00078704i,1.9512e-05+0.00062476i,-3.7442e-05-1.234e-05i,0.00012713-7.2479e-05i,-0.00018688-0.00015796i,-0.00016026-0.00033127i,0.00043255+0.00035579i,0.0012462+0.00080858i,0.0011038+0.00046631i,0.00054712+0.00030841i,0.00025269+0.0001412i
-0.0014061+0.00023824i,-0.0012769+0.0012501i,-0.00083955+0.0020437i,-0.00039594+0.0013698i,-6.1724e-05+0.00050862i,-0.00070716+6.5267e-05i,-0.00081072-0.00059127i,-0.00018636-0.0004426i,0.00039635-1.4293e-05i,0.00040371-0.00048169i,-0.00062243-0.00030481i,-0.00086767-0.0002555i,-0.00050929-0.00018833i,-0.00038994-0.00016568i,4.2048e-05-0.00068139i,0.0007164-7.5986e-05i,-1.9233e-05+0.00062801i,-0.00091993+0.00037386i,-0.0006515-0.00038872i,-0.00017194-0.00032386i,-0.00022215+0.00068545i,-2.2287e-05+0.0007955i,0.00026579+0.00042852i
-0.00047616-0.00083276i,1.5734e-05-0.0011687i,9.5259e-05-0.0013805i,0.00072973-0.0011822i,0.00039901-0.00063349i,-0.00048287-0.00091889i,-0.00015872-0.00087694i,0.00046442-0.00021785i,-0.00016336-0.00023282i,-0.0017496-0.00040324i,-0.0022937-0.0005163i,-0.0016462+0.00019168i,-0.00067406+0.0010592i,0.00041835+0.00020972i,0.00060297-0.00018621i,-2.6917e-05-0.00033512i,0.00018986-0.00014417i,0.00042043+4.9155e-05i,0.0004848-0.00012907i,0.00046808-0.0002124i,-8.73e-05-1.9553e-05i,-0.00027195+0.00023708i,-2.1514e-05-5.419e-05i
0.0008213-0.0025765i,-0.0004028-0.0022608i,-0.0015879-0.0020348i,-0.0018824-0.00104i,-0.001184-0.00028365i,-0.00052548+0.00051196i,0.0003712+0.00059624i,0.00087133+0.00027492i,0.00046675-0.00044497i,-0.00028677-0.00081288i,-0.0006522-6.0531e-05i,-0.00074815+0.00063993i,-0.00047519+0.001073i,0.00017542+0.00059689i,0.00084781-0.00024968i,0.00057155+0.00010159i,9.2997e-06+0.0010162i,0.00053804+0.00044168i,0.0010425-0.00011699i,0.00079273-0.000161i,0.000496-0.00073046i,0.00034923-0.0010766i,-0.00018189-0.00071954i
-0.00056243+0.00045232i,-0.00067282+0.0015921i,-0.00063882+0.0017672i,0.00018501+0.00086i,0.00045576+0.00019115i,0.00040047-0.00014211i,0.00011192-6.4674e-05i,0.00028767-0.00062582i,4.793e-05-0.00067122i,-0.00082686-0.00084694i,-0.0014986-0.0009182i,-0.0010501-0.00067818i,-0.00060007-0.00032065i,-0.00032189-0.00063908i,0.00025039-0.0014196i,0.00024554-0.001378i,0.00036989-0.00092291i,0.00066516-9.4348e-06i,0.00059439+0.00021487i,0.00032197-0.00023663i,0.00012919-0.00040559i,0.00040316-0.0004053i,0.00045755-0.0003529i
