-0.00080733+0.00080142i,-0.0006417+0.0019291i,0.00033624+0.0023594i,0.0003713+0.0011347i,0.00019927-0.00016582i,-6.1622e-05-0.0005474i,0.00021005-0.00060992i,0.00058669-0.00044683i,0.00044623-0.00053306i,0.00021533-0.0010462i,0.00031059-0.00083717i,0.00051027-0.00011942i,0.00038614+0.00030228i,8.5954e-05+0.00011463i,0.00041576-0.00077772i,0.00084499-0.00058541i,0.00023871-0.00021004i,-0.00042749-0.00015392i,-2.8266e-05+0.00019103i,0.00025855-0.00023141i,-9.3121e-05-0.00063443i,-0.00046474-0.00011526i,-0.00073504-4.1974e-05i
-0.0013182+0.00061792i,-7.7833e-05+0.00073077i,0.00039439+0.0011589i,6.4881e-05+0.00026533i,-0.00053861-0.0001494i,-0.00072587+0.00011891i,-0.00026056+0.00019926i,0.00049804+1.9532e-05i,3.6747e-05-0.00016224i,-0.00051242+4.5616e-05i,-0.0001596+0.00020448i,0.0010611-0.00036719i,0.0016503-0.00028952i,0.0002101-0.00048159i,-0.00059708-0.00095075i,-0.00038968-0.00021432i,0.00015146+0.00042878i,0.00022225+0.00027548i,-0.00043957-0.00027939i,-0.00031747-0.00055243i,-0.00037837-0.00049395i,0.00026519-0.00036697i,0.00083764-0.00032703i
-0.00026584+0.00039752i,0.0013906+0.0012818i,0.0023306+0.0019705i,0.0019008+0.0012623i,0.00087124+0.00015781i,-0.00078361-0.0010098i,-0.0018439-0.00089735i,-0.0011849-8.4636e-05i,-0.00069423+6.6108e-06i,-0.00012262+6.6843e-05i,0.00042463-6.574e-05i,0.00042206-0.00044672i,0.00018033-0.00026334i,-0.00011292-0.00031207i,-8.894e-05+8.291e-05i,-5.5362e-05+0.00085266i,0.00033172+0.001117i,0.00078041+0.00106i,0.00093294+0.00050667i,2.7758e-05+0.00015073i,-0.00018075+0.00042848i,5.8333e-05+0.00038666i,0.00014045-0.00022897i
0.00053042+0.0027109i,0.0016906+0.002293i,0.001829+0.0023936i,0.0012943+0.0020094i,0.00045388+0.00035347i,-0.00065405+4.5926e-05i,-0.0013722+0.00086398i,-0.0008507+0.00054527i,-0.00012804-0.00022643i,0.00011059-0.00090059i,0.00063369-0.0010795i,0.00097286-0.00068093i,0.00045392-7.0662e-05i,-0.00031835-5.8834e-05i,-0.00010686-0.000222i,-0.00014102-0.00061407i,-0.00065081-0.0013476i,-0.00070242-0.0010237i,-0.00082098-0.00016802i,-0.00043139+0.00011354i,-0.00010802-0.00016239i,8.9492e-05-0.00024747i,0.00015585-0.00040315i
-0.0018621+0.0015107i,-0.0010324+0.0022663i,-0.00033911+0.0022279i,0.00020527+0.0015842i,-0.00032388+0.00062649i,-0.00089801-0.0005614i,-0.00075022-0.0010025i,-0.0011571-0.00043841i,-0.00071338+0.00028105i,0.00021145+0.00064817i,-8.6425e-06+3.2489e-05i,0.00013427-0.00041934i,0.00027617-0.00042699i,-0.00019329-0.001i,0.00025925-0.0012929i,0.0010186-0.00046535i,0.00050135+0.00031988i,-0.00019282+7.5817e-05i,-0.00080872-0.00071399i,-0.0012043-0.0010743i,-0.00092768-0.00079292i,-0.0006104-0.00089938i,0.00016395-0.001239i
0.000781-0.00092993i,0.00062838-0.0010423i,0.001142+0.00039345i,0.00073137+6.6447e-05i,-0.00068968-0.0009275i,-0.0011582-0.0011447i,-0.00049659-8.8307e-05i,-0.00028944+0.00082888i,-0.00069135+0.0005595i,-0.0010155-4.6581e-05i,-0.00097609-0.00030278i,-0.0012348-0.00033252i,-0.0013369-0.00049135i,-0.00070927-0.0001495i,-0.00033376+0.00048357i,-0.0003828+0.00045123i,-0.00024785+0.00011836i,-3.8511e-05-0.00063633i,-0.00032768-0.00058023i,-0.001246+7.8277e-05i,-0.0012392+0.00015638i,-0.00067368-0.00038204i,-0.00029471-0.0004548i
-0.00017671+0.0010386i,0.00068929+0.0018897i,-0.00021323+0.00071484i,-0.0007221-0.0001892i,-0.0010923-6.8476e-06i,-0.0011484+0.0011668i,-0.000594+0.0013988i,7.2407e-05+0.0013638i,0.00019385+0.0011869i,0.00066569+0.00043877i,0.00057954+0.00019603i,0.00031747+0.00020331i,0.00051145+3.368e-05i,3.1945e-05+0.00053187i,-0.00055298+0.00054652i,-0.00052119-0.00023399i,-0.0005427-0.00053838i,0.00013343-0.00034122i,0.00094147-0.00071148i,0.00072163-0.0014326i,0.00082193-0.00085514i,0.00087877+7.0373e-06i,-0.00012667-3.3228e-05i
-7.6132e-05+0.00019562i,-0.00066585-0.00039825i,-0.0011552-0.00070681i,-0.0018348+9.2938e-05i,-0.0018098-0.00021191i,-0.0012548-0.00070131i,-0.00083721-0.00038083i,-0.00071527-0.00074625i,-0.0008851-0.001319i,-0.00068461-0.00079501i,-0.00054609-0.00013817i,4.0891e-07+0.00040164i,0.00035278+0.0010897i,0.00021799+0.0011059i,0.00026762+0.00077025i,-7.6796e-05+0.00030292i,4.0913e-05+0.00024739i,0.00010018+0.00078944i,-0.00016929+0.00080356i,0.00038439+0.00058889i,0.00012706+0.00016176i,-0.00036518-0.00061244i,-0.0010755-0.0005776i
-0.00089547-0.0014042i,-0.00038624-0.00075311i,0.0003335-0.00013595i,0.000808+7.0651e-05i,0.00032291+0.00098541i,-0.00099938+0.0010127i,-0.0019093+0.00018112i,-0.00091982-3.5759e-05i,0.00038554-0.00035372i,0.00034111-0.00075896i,-0.00088167-0.0005021i,-0.0013101-0.00063658i,-0.00076578-0.00073593i,-0.00055118-0.0009457i,6.9561e-05-0.00067884i,0.00037268-4.5132e-05i,0.00015831+0.00022601i,-7.1686e-05+0.00014803i,-0.00048917-0.00070429i,-0.00019305-0.00083858i,9.6336e-05-0.00075478i,-0.00040943-0.00044111i,-0.00053746+0.00058116i
-0.0014112+0.001288i,-0.00085683+0.0020814i,-0.00059999+0.0019867i,-0.00087398+0.0011895i,-0.00087707+0.0011506i,-0.0009583+0.00070765i,-0.00096186-8.1671e-05i,-0.00035463+0.00013042i,0.00054342+6.5592e-05i,0.00054729+6.8754e-05i,0.00039781+0.00070318i,0.00035864+0.0002493i,0.00058617-0.00095636i,0.00062006-0.0010455i,0.00076566-0.0011287i,0.00078728-0.0010551i,0.00065651-0.00072748i,0.00087745-4.6089e-05i,0.00073965-2.663e-05i,0.00050807-0.00048072i,-0.00062295+2.1393e-05i,-0.0010942+0.00030235i,-1.5711e-05-0.00010992i
-0.00084262-0.0010886i,-0.00059633-0.0013307i,-8.4069e-05-6.9284e-06i,4.612e-05+0.00090663i,0.00039181-0.000245i,0.00015945-5.8724e-05i,-9.1415e-05+0.00090924i,-0.00040007+0.0005652i,-0.00066783-0.00042952i,-0.00063731-0.00037833i,-0.00080858-0.00019251i,-0.00098865-0.00096545i,9.3971e-05-0.0011637i,0.00083241-0.00027889i,0.0007102-0.0002242i,0.00088439-0.00070499i,0.0012194-0.00083838i,0.0010035-0.000382i,0.00050761+9.9205e-05i,0.00037424+0.00018162i,9.5949e-05-0.00027432i,0.00043566-0.00043195i,-1.5918e-05+0.00027276i
0.00017302+0.00016286i,0.00013853+0.00041735i,-0.00039474+0.001302i,-0.00018316+0.002042i,-0.00020209+0.00073259i,-0.0011366-0.0001611i,-0.0010141+0.001339i,-0.00059823+0.0022102i,-0.00080384+0.00095158i,-0.00051154-0.00023263i,-1.8964e-05+0.00023754i,0.00053382+0.00069449i,0.0004769+0.00053838i,-7.1112e-05+0.00024041i,0.00010574-0.00088963i,0.00024606-0.001364i,8.3532e-05-0.00059919i,4.7747e-05-0.00084442i,-0.00019428-0.00096453i,-0.00014359-0.00028807i,0.00057982+7.604e-05i,-1.8954e-05+0.00051823i,-0.00023237+0.00037223i
0.0005826-0.00015982i,-5.9743e-05+0.0002067i,-0.0011701+0.0010872i,-0.001181+0.0013422i,-0.0010023+0.00090571i,-0.00078949+0.00013033i,4.2183e-05+6.7845e-05i,0.0008344+0.00015347i,0.00095018-0.00012328i,-6.6387e-05-0.00017858i,-0.00048283+2.2152e-05i,-0.00021321+0.00058571i,-0.0002839+0.00098552i,9.8187e-05+0.00093171i,0.00092887+0.00035656i,0.0012748+3.7471e-06i,0.0011634+0.00022653i,0.00065043-0.00025605i,0.00010576-0.00016618i,-5.1299e-05+0.0002841i,4.6721e-05+0.00011245i,-3.1825e-05+5.9877e-05i,-0.00023421+0.00014808i
0.00041628-0.00066613i,0.0013865-0.00012812i,0.0019111+0.00060935i,0.0014141-0.00033292i,0.00013983-0.00064877i,-0.0010147-0.00023132i,-0.0014064+0.00024044i,-0.0014597+0.00036504i,-0.00066367-5.9906e-05i,-0.00032738-0.00015408i,-0.00036811-0.0006883i,-0.00096845-0.00054459i,-0.0014938-0.00054272i,-0.00048019-0.00095066i,0.0005118-0.00040634i,-0.00013949+0.00011406i,-0.00048546+3.7299e-05i,-0.00014392-7.0826e-05i,0.00033259-9.1732e-05i,5.1424e-05+0.00034329i,-6.5309e-05-0.00011246i,-2.0149e-05-0.00086303i,-0.00047308-0.00014366i
0.00015007-0.00044733i,-0.00010202-0.00080013i,-0.00042377-0.00068834i,-0.00043473-0.00034164i,-0.00056322-0.00031303i,-0.00083558+0.00038157i,-0.00084432+0.00062567i,-0.00092417+0.00020903i,-0.0011058-0.00010854i,-0.0010572-0.0004443i,-0.00038991-0.00015199i,-0.00018722+0.00075582i,8.6518e-05+0.0011688i,-5.7132e-05+0.001054i,0.00015138+0.00099782i,0.00021739+0.00066i,-1.1032e-05-0.00040346i,7.1987e-05-0.00076284i,0.00057527+0.0001537i,0.0014452+0.00021156i,0.0015258+8.7198e-05i,0.0012305+0.00037324i,0.00056727-0.00052428i
-0.00084526+0.0032222i,0.00031792+0.0035517i,0.0019175+0.0028421i,0.0016252+0.00072371i,0.00054758-0.0012978i,-0.00095964-0.001049i,-0.0014699-5.5818e-05i,-0.0014317+0.00046708i,-0.0010243+0.0005149i,-0.00014448+0.00032617i,0.0005281-0.00032781i,0.00043235-0.00041749i,-0.00059703-0.00018654i,-0.00074313-0.00021849i,-0.00050252+7.0279e-05i,-0.0005124+9.851e-06i,-0.00057415-0.00029352i,-0.00073401-0.00049073i,-0.00055398-0.00047473i,-0.00079206-0.00023501i,-0.00065332+5.5865e-05i,0.00034714-0.00011547i,0.00075339+0.00015213i
-0.0001854-0.00066396i,-0.00028813-0.00031705i,-0.00071367+0.000125i,-0.0014531+0.0011931i,-0.0022059+0.0006083i,-0.0013547-0.00020942i,0.00011884+0.00034823i,0.00096179+0.00064847i,0.00070717+9.3675e-05i,0.00030682-0.00029285i,0.00056457-0.00018204i,0.00079879-0.00014878i,0.00037816+0.00020052i,0.00037007+0.00068959i,0.00037947+0.00067937i,6.4449e-05+0.00081678i,-0.00044246+0.00075227i,0.00017967+5.9391e-06i,0.00092915-3.9918e-05i,0.00060676-8.6929e-05i,0.00011976+0.00021873i,-0.00016519+0.00043969i,-0.00021962-1.4428e-05i
0.00097988+0.00094498i,0.0010739+0.00025128i,0.00065116-6.8439e-05i,-2.9053e-05+6.2027e-06i,-0.00027793-0.00082759i,-0.00077716-0.0016445i,-0.00083899-0.0016482i,0.00022113-0.00077029i,0.0003043-0.00037114i,-0.00096173-0.00059127i,-0.001482-0.00059647i,-0.00067077-0.0001971i,-0.0003331+0.00049914i,-0.00012382+0.0002494i,2.1671e-05-4.0489e-05i,-0.00010622+0.00055119i,-0.0004167+0.00070593i,-0.00050569+4.9774e-05i,-0.00085764-7.6245e-06i,-0.00039247+2.3187e-05i,0.00075966-0.00012042i,0.00083446-0.00031941i,0.00041415-0.00055487i
