0.0002389-0.0002106i,0.00072717-0.00079255i,0.0014256-0.0011266i,0.0011428-0.00067995i,-0.00078511+0.00035698i,-0.0023259+0.0013272i,-0.0020986+0.0014453i,-0.00073301+0.0015893i,0.00097325+0.0012889i,0.0018498+0.00013292i,0.00090316-0.0011566i,0.00032257-0.00107i,0.00067407+0.00025394i,0.00024141+6.7857e-05i,-0.00015726-0.00092884i,-0.00058755-0.0013161i,0.00015274-0.00061151i,0.00096872+0.00019111i,9.5144e-05+0.00022566i,-0.00099203+0.00033232i,-0.0011322+3.7766e-06i,-0.00044066-1.3763e-05i,-0.00034552+8.2005e-05i
0.0013161-0.00084756i,0.00050033-0.0011391i,0.00022131-0.0013524i,0.00049226-0.0014688i,-0.00030968-0.0014413i,-0.0014736-0.0010483i,-0.0017328-0.00046621i,-0.0013879-3.2841e-06i,-0.00068971-0.00069057i,0.00032397-0.00092488i,0.00034192-0.00044081i,-0.00048762+4.6508e-05i,-0.00031271+0.00026854i,0.00021194+0.00019077i,0.00013395+0.00016681i,-0.00033152+0.00065486i,-7.1163e-05+0.0010722i,0.0001999+0.00056413i,0.00015046+0.00031693i,0.00015763+0.00028502i,-0.00018261-0.0002012i,0.00011171-0.00027753i,0.0001984-0.00022333i
0.0010327-7.3544e-05i,0.00054005-0.00024431i,-0.00032777-0.00017823i,-0.00031566-0.0003888i,-5.1281e-05-0.00074003i,-0.0012062-0.0012916i,-0.0018138-0.0013622i,-0.0014716-0.0004005i,-0.00072672-0.00021087i,-7.5228e-06-0.00080273i,0.00022715-0.00085689i,-0.00011634-0.00075344i,-0.00086979-0.00051586i,-0.00091875-0.00034718i,-0.00035313-0.00053579i,-5.1744e-06-0.00028023i,0.00029258+0.00025614i,0.00062662+2.9841e-05i,0.00028314+0.00025642i,-0.00017177+0.00054546i,-3.1362e-05-4.6385e-05i,0.00020946-9.4771e-05i,0.0002809-0.00014623i
-0.0034326-0.0013414i,-0.0035102-0.0012975i,-0.0042721-0.0010337i,-0.0022187+7.5486e-05i,-0.00058789+0.00095606i,-0.00040127+0.00065033i,-0.0004356-0.00014918i,-0.00015557+0.00047085i,-9.0058e-05+0.0012747i,-0.0004396+0.0010262i,-6.1426e-05+0.00035522i,0.0004099-0.00034864i,0.00060171-0.00026161i,0.00032292+0.0003075i,7.539e-05+0.00023398i,0.00041717+0.00088589i,0.00068058+0.0010765i,-2.5647e-05+0.00052422i,2.1535e-05-0.00031658i,0.00060241-0.00035863i,0.00023626-3.4362e-05i,-0.00020555+0.00041569i,-0.00030316+0.00055866i
-0.0014703+0.000417i,-0.0014405+0.00013108i,-0.00084275+8.629e-05i,0.00017598+0.00041452i,0.00060874+0.00045777i,-0.00067245+0.00023387i,-0.0015529-0.00021645i,-0.00084547-0.0005359i,8.6862e-05-0.00090933i,0.00024765-0.000662i,0.00013638+0.00043973i,5.8053e-05+0.00087473i,4.7413e-05+0.00021387i,0.00065944-0.00060144i,0.00050458-0.0008364i,-0.00034087-0.0002317i,-0.00061947+0.00090588i,-0.00056293+0.0010248i,-6.4783e-05+0.0010382i,0.00069869+0.00081276i,0.00096751+0.00011932i,-0.00010135+9.0561e-05i,-0.001016+5.4798e-05i
-0.00038382+0.00097319i,-0.00065599+0.00055361i,-0.00049928+0.00092935i,-0.00052373+0.00072593i,-0.00085792-3.7487e-05i,-0.001864-0.0013497i,-0.002627-0.001234i,-0.001838-0.00024303i,7.8207e-05+0.00014091i,0.0013862+0.00019043i,0.0014905+2.6606e-05i,0.0014481-0.00040297i,0.00055208-0.00051471i,-0.00046443-4.2896e-05i,-0.00035541+0.00042367i,0.00049448+0.00045954i,-0.00026326+0.00080501i,-0.0014036+0.00049888i,-0.00098252-0.00023957i,0.00019824+0.00037274i,0.00066115+0.00092028i,0.00014992+0.00059696i,-0.00010329+0.00012679i
-0.0012877-0.00065664i,-0.0021374-0.00046684i,-0.0022267-0.00056632i,-0.0013726-0.0007079i,-0.0011733-0.0011265i,-0.00091041-0.00048991i,-0.0012677-8.5858e-05i,-0.0013575+0.0004266i,-0.0012023+0.00085288i,-0.00073738+0.00036011i,-0.00029466+0.00020453i,-0.00041596-0.00040206i,1.0644e-05-0.00013782i,0.00026475+0.00027418i,3.8681e-05-0.00025496i,0.00013491-0.0009334i,0.00021294-0.0010102i,0.00015551-0.00027784i,-6.5033e-05+9.977e-05i,-0.00040983-6.3097e-05i,-8.8774e-05-9.1282e-05i,0.0004891+0.00043244i,0.00043653+0.00066704i
0.0015838-0.0010181i,0.0022355-0.0014008i,0.0028533-0.0015625i,0.0018948-0.0011245i,0.00043952-0.0013356i,-0.00066966-0.0013551i,-0.0013636-0.00053739i,-0.0013831+5.1747e-05i,-0.0004989+6.752e-05i,-0.00014923-0.00054244i,-0.00084416-0.00097121i,-0.0010075-0.00052974i,-0.0013037+0.00026218i,-0.0012325+0.00035305i,-0.00098466+0.00017819i,-0.00045172+0.00011646i,0.00029976-8.4797e-05i,-0.00019249-0.00030344i,-0.0011297-0.00063204i,-0.00069004-0.00014445i,0.00022778-3.5455e-05i,0.00042404-0.00070614i,-1.2326e-05-0.00056993i
0.0010445-0.00039298i,0.0011958-0.00027915i,0.002005+0.0010527i,0.0022673+0.0012558i,0.0012358-0.00063197i,0.00029157-0.00091583i,-9.5321e-05+0.00024603i,-0.00017343+0.00044981i,7.2007e-05+0.00016361i,-0.00010119+6.0253e-05i,-0.0001996+7.0298e-05i,3.7886e-05+2.2688e-05i,-0.000432-0.00041086i,-0.00011045-0.0004425i,0.00045926-0.00013971i,0.00037983+0.00029774i,0.0005197+0.00016471i,0.00061094-0.00026171i,-0.00020139-0.00012065i,-0.00038168-0.00023432i,9.7534e-05-0.00014894i,-0.00054536+0.00020945i,-0.00094487+0.00012763i
0.0012966-0.0012397i,0.0013244-0.0019247i,0.00082605-0.00038564i,4.8554e-05+0.00016224i,-0.00073453-0.00046541i,-0.0017613-0.00089624i,-0.0017141-0.00020807i,-0.00054669+0.0010549i,0.00077744+0.0014408i,0.00097557+0.000432i,0.00022196-0.00024469i,-0.0002268-0.0003786i,-0.00015588-0.00082613i,0.00033031-0.00042054i,9.1051e-05+0.00010199i,-0.00060947-0.00020847i,-0.00042063-5.3451e-05i,-0.0006818+0.00078034i,-0.00056819+0.0007i,-0.00048229+0.00014111i,-0.00035745+2.4563e-05i,6.8131e-05+0.00041658i,-0.00028987+0.00047095i
-0.00036385-0.0010573i,-7.1993e-05-0.001029i,0.0012414-0.0017135i,0.0011237-0.0019202i,6.9094e-06-0.0010345i,-0.00030187+2.3689e-05i,-0.00082523+0.00048162i,-0.0012621+0.0004601i,-0.00093236-0.00059504i,-0.00085535-0.0016036i,-0.0010059-0.00087517i,-0.00059002+0.00041068i,7.0474e-05+0.00048577i,-7.1661e-06+0.00018907i,-0.00011583+5.3709e-05i,-0.00015718-0.00028871i,-0.00013267+9.8853e-05i,-0.00015229+0.00050315i,0.00015885+0.00018597i,0.00033529-9.6097e-05i,-0.00021779+0.00022696i,-0.00043172+0.00039856i,0.00054969+0.00071696i
