0.0008624-0.00023659i,0.0014539-0.00076098i,-0.00038657-0.0010092i,-0.0011893-0.00047306i,-0.0014459+0.00021538i,-0.0012648-0.00045012i,0.00013126-0.0013569i,0.00061801-0.0012485i,0.00059683-0.00071018i,0.00089937-0.0010146i,0.00089829-0.0015719i,0.00050953-0.0015569i,-6.7656e-07-0.001043i,-0.00063121+3.9546e-05i,-0.00097076+0.00017954i,-0.00063127-0.00019275i,0.00015256-0.00029258i,0.00095654-0.00036543i,0.00064163-0.00029446i,6.1394e-05-0.00026973i,-9.2936e-05+1.9255e-05i,-0.00014283-0.0002731i,-0.00016376-0.00082004i
-0.0016699+0.00068645i,-0.00073965+0.0012264i,-0.00069442+0.0015554i,-0.00059702+0.001036i,-0.00030262+0.00013827i,0.0004208-0.00046152i,0.00045377-0.00059866i,-0.00060831-3.4334e-05i,-0.0012533-0.00012918i,-0.00023493-0.00025192i,0.0009481+0.00012776i,0.0010367-9.6253e-05i,0.00093355-0.00082718i,0.00037844-0.00048351i,0.00057819+0.00012926i,0.00060454+6.6939e-05i,0.00056881-0.00074277i,0.00072134-0.001011i,0.00050922-0.00064817i,-8.6825e-05-0.00034378i,-0.0010315-0.00040855i,-0.00054757-0.00019148i,0.00059105+0.00051889i
-0.0004349-0.0021638i,0.0007314-0.0028975i,0.00023094-0.0029682i,-0.00069304-0.0024618i,-0.00043932-0.0017374i,6.5449e-05-0.001322i,-8.5094e-05-0.0011374i,-0.00078325-0.00081481i,-0.00067334-0.00062967i,-2.5914e-05-0.00033487i,0.0007246-0.00043176i,0.0012679-0.00078538i,0.0003348-0.00055627i,-0.0005151+0.00029181i,-0.0004237-0.00013484i,-0.00015669-0.00033165i,3.0506e-05+0.00034757i,-0.00010458+0.00024299i,0.00063083+0.00040555i,0.00093076+0.0010258i,0.0001669+0.0011631i,-0.00014321+0.0010171i,-0.00017249+0.00075938i
-0.00025035+0.0019024i,-0.00039442+0.001951i,-0.00019839+0.0016979i,0.0010047+0.00058506i,0.0020212-0.00087881i,0.0019637-0.001295i,0.00078789-0.0010715i,-0.00049832-0.0010879i,-0.00093652-0.00089974i,-0.0007565-0.00067736i,-0.00065915-0.00078811i,-0.00029509-0.00043844i,6.3362e-05+0.00072276i,0.00012463+0.00082571i,-0.00053817+0.00041031i,-0.00071105+0.00083952i,0.00029415+0.00089103i,0.00017142+0.00030146i,-0.00028136-0.00045124i,-0.00013089-0.00029559i,-0.00020779-0.0004714i,-0.00028599-0.00059243i,-0.00023059-0.0002205i
0.00111-0.0012089i,0.001113-0.0010841i,0.0010778-0.00057207i,-8.0079e-05-0.001344i,-0.00096027-0.0024725i,-0.00013114-0.0020072i,0.00028755-0.001291i,-0.00045761-0.0017509i,-0.00025224-0.0021004i,-4.2164e-05-0.0012641i,2.6307e-05-0.00011992i,8.8908e-05+0.00016366i,-0.00018839-0.00028171i,-0.00059494-0.00050253i,-0.0010556-0.0004661i,-0.0011522+0.00022424i,-0.00060549+0.0011824i,-0.00010209+0.00079639i,-7.7341e-05+8.9592e-05i,-0.00039495-0.00044677i,-0.00047882-0.0007725i,-0.0004779-0.00056144i,-0.00055024-8.1557e-05i
0.000262-0.00020799i,0.00028995-0.00092063i,0.00083842-0.0018834i,0.00094123-0.0021838i,0.00081362-0.0022302i,0.0006486-0.0021229i,-1.368e-05-0.0020628i,-0.00019851-0.0016026i,0.00020011-0.0005686i,-1.7748e-05-0.00012573i,1.8695e-05-0.00069229i,0.00044874-0.00082094i,0.00068519-0.00038887i,0.00046501-0.00048873i,-0.00068942-0.00059126i,-0.00083443-4.3048e-05i,-0.00016215+0.00045439i,0.00030438+0.00014416i,0.00026532-0.0001475i,0.00016639-0.00024243i,0.00059509-0.00067726i,0.00060349-0.00067707i,-0.00013887-0.00022454i
-0.00065059+0.0014589i,-0.0017203+0.0015228i,-0.0017396+0.0022948i,0.0001069+0.0012782i,0.0017444-6.9212e-05i,0.002007-0.0009904i,0.00031741-0.0013646i,-0.0015919-0.00065805i,-0.0015492-0.00030039i,0.0001241-6.7563e-05i,0.0015973+0.00040745i,0.0014131+1.371e-05i,-0.00019323-0.00092054i,-0.00086853-0.00023337i,-0.00013561+0.00066333i,-0.00014626-0.00017926i,-0.0005713-0.00054012i,-0.00055051+7.0927e-05i,-0.00019141+0.00024276i,-6.7789e-05-0.00022917i,5.5836e-05-0.00081635i,0.00043768-1.5004e-05i,9.6894e-05+0.0012654i
-0.0017912+4.6506e-05i,-0.0015968-0.00035792i,-0.0019503+0.00025934i,-0.0014292+0.00048053i,-0.00055129-0.00024416i,-0.00015213-0.00091291i,-0.00099519-0.0015168i,-0.0017336-0.0011709i,-0.0010591-0.00035794i,4.6139e-05+0.00013531i,0.00056031+0.00080951i,0.00016992+0.00038158i,0.00015682-0.00058738i,-0.00018157-0.0004171i,-0.00051346+0.00020893i,8.0539e-05+0.00047393i,0.00077246+0.00059398i,0.00047225+0.00028199i,-0.00044705-0.00015521i,-0.0005417-0.00034466i,-0.00068989+0.00030861i,-0.00082866+0.00047113i,-0.0005126-0.00029354i
0.00065111+0.00063981i,0.001178+0.00054983i,0.0018833-0.00056634i,0.0016797-0.0013369i,0.0011364-0.0012536i,0.00055049-0.0010375i,-0.00013936-0.00072058i,-0.00067137-0.00094076i,-0.0010505-0.00093914i,-0.00060066-0.00051049i,0.00083521-0.00086864i,0.0010744-0.0012005i,-0.00037805-0.0010344i,-0.0012606-0.00050375i,-0.0010728-7.4512e-05i,-0.00020076+0.00013622i,-0.00031912+0.00028696i,-0.00079366-0.00017931i,2.8989e-05+0.00024641i,0.00013909+6.8673e-05i,-0.0001745-3.0083e-05i,-7.8786e-05-6.7766e-05i,-0.00052174-0.0010347i
-0.0015698+0.0012134i,-0.0010337+0.0015338i,0.0001678+0.001764i,0.0002054+0.00088296i,-0.00089825-0.00030565i,-0.00068741-0.0012003i,-0.00040408-0.0012859i,-0.0011507-0.00082698i,-0.0012389-0.00036346i,-0.00024311+0.00055383i,0.00086769+0.0011685i,0.0010587+0.00083527i,0.00058644-0.00036709i,0.00075448-0.00067838i,0.0011733-0.00028353i,0.0012361+0.0002781i,0.00058152+0.00025947i,5.7399e-05-0.00017141i,-0.00036549-0.00062801i,-0.00027074-0.00095726i,0.00016259-0.00093439i,0.00017146-0.00042208i,0.00027624+0.00066143i
-2.7808e-06+0.00099598i,-8.8923e-05+0.00085853i,-0.00051449+0.0013826i,-0.00020592+0.0013224i,0.001-0.00036455i,0.0016897-0.0013644i,0.00062743-0.0014217i,-0.00073244-0.0011723i,-0.00062349-0.00063757i,7.9263e-05+6.1408e-05i,0.00034182+0.00016777i,0.00060771-0.00031769i,0.00046349-0.00024864i,3.1418e-05-0.00030987i,-0.00039787-0.00071969i,-5.1854e-06-0.00024868i,0.00094028+0.00010752i,0.00083072+0.00051594i,-0.00059081+0.00077043i,-0.0010053+0.00032444i,-0.00063904+0.00046678i,-0.00068312+0.00087463i,-0.00082145+0.00080092i
0.0018077+0.00073168i,0.0017209+0.00037379i,0.0019381+0.0003413i,0.0016116+8.7032e-05i,0.0012944+6.9994e-05i,0.00062496-0.00073531i,-0.00028808-0.0017189i,-0.0006754-0.0015557i,-0.00088785-0.00046936i,-0.00046892-0.00015894i,0.00028429-0.0010345i,0.00084899-0.0010495i,0.00044153-1.6067e-05i,1.5088e-05-7.8249e-05i,0.00040852-7.4946e-05i,-4.8161e-05+0.00079604i,-0.00066283+0.0009438i,0.00011664+0.00037633i,0.0011224+0.00027114i,0.0014521+0.00088616i,0.00045105+0.0009086i,-0.00030792+0.00023461i,-5.7919e-05+6.8814e-05i
-0.0003274-0.00038533i,0.00028231-0.00022072i,0.00065417-0.00032667i,0.0010189-0.00033807i,0.0010603-0.00058065i,0.00072064-0.0015139i,0.00064487-0.0021399i,0.00029805-0.0018502i,-0.00049749-0.00083809i,-0.00061356+0.00011856i,0.00023209+0.00026697i,0.00090529-0.00037847i,0.00097346-0.00089107i,0.00049231-0.00081866i,0.00049308-0.00042297i,0.0004064-0.00063377i,0.00018331-0.00097221i,0.00047808-0.00079713i,-1.2231e-05+0.00030254i,-0.00088152+0.00055009i,-0.0011294-0.00023203i,-0.00080874-0.00069925i,-0.00047593-0.0010585i
-0.00099423-0.0021294i,-0.0012753-0.0019652i,-0.0022689-0.0016425i,-0.0017979-0.00067574i,-0.00072-0.00089465i,-0.00048311-0.0015932i,-0.00072583-0.0021184i,-0.00076183-0.0010826i,-0.00069776-0.00012139i,-0.00082938-0.00049306i,-0.00073009-0.0011103i,-0.00026263-0.0012383i,0.00031966-0.00045271i,0.00034074+0.00067432i,-4.69e-05+0.0020179i,-0.00010512+0.0014541i,0.00014218-0.00019868i,0.00060003-0.00077487i,0.00073588-0.00040952i,0.00073094-0.00055073i,0.00045285-0.00046145i,-0.00014516-0.00029813i,-0.00014836-0.00013984i
-0.0014263+0.001811i,-0.00019826+0.0025466i,0.00065049+0.0017541i,0.00079546+3.5158e-05i,0.000442-0.00013752i,0.00072607+9.1758e-05i,0.0009847-0.00020004i,0.00063642-0.00037601i,-0.00047306-0.00064001i,-0.0004287-0.00016009i,0.00093268+3.2295e-05i,0.0010093-0.00037081i,0.00012294-0.00015866i,0.00045598+0.00034933i,0.0011674+0.00066395i,0.0001521+0.00028686i,-0.00060621-0.00049141i,-0.00032931-0.00036177i,0.00033383-0.00020854i,0.00047693-0.00028993i,0.00030283+9.4183e-05i,7.4375e-05+8.0952e-05i,-0.00052516-5.6571e-05i
