-0.000584+8.7232e-05i,-8.2641e-05-0.0018019i,-0.0019849-0.0017409i,-0.0025928-0.0011401i,-0.0022166-0.00024341i,-0.0021293+0.00083918i,-0.0017477+0.00090522i,-0.0011794+0.00071524i,-0.00024777+0.00069443i,0.00091679+0.00057119i,0.0010127-0.00024687i,0.00038112-0.00074198i,0.00010739-0.0012001i,-0.00014437-0.0014121i,-0.00021352-0.0010322i,-0.00013844-0.00037102i,-0.00058886+0.00022962i,-0.00017712-0.00019797i,0.00045825-0.00088534i,0.00027894-0.0014137i,8.4026e-05-0.00076495i,-0.00038561+0.00026871i,2.7419e-05+0.0003916i
0.00039621+0.001872i,0.00013881+0.0019793i,9.088e-05+0.0019183i,0.00036938+0.00086274i,0.00027908-0.0003426i,-0.00045408-0.00066185i,-0.00068452-1.3781e-05i,-0.0011811+0.00057877i,-0.0008176+0.00051407i,0.00025051+0.00021615i,0.00029888+7.3068e-05i,-5.3404e-05-0.00055472i,-0.00021931-0.00092798i,-0.00080965-0.00056315i,-0.0011644-0.0006528i,-0.0006018-0.00087165i,0.00015832-0.00063669i,0.0004554+0.00016438i,0.00029843+0.0011586i,0.00014963+0.0012889i,-0.00016275+0.0006796i,-0.00024369+0.0006216i,0.00063102+6.8067e-05i
0.00088141+0.00050885i,0.00029565-0.0012442i,0.00019056-0.00073461i,0.00075532-0.00024407i,0.00098975-0.00035505i,0.00024466-0.00025104i,-0.00089846-0.00017099i,-0.0011891-0.00052829i,-0.00016991-0.00098087i,0.00068303-0.0010072i,0.00020113-0.00033101i,-0.00057045+0.00034944i,-0.00080363-0.00042426i,-0.00040075-0.00098744i,-0.00043575-0.0011634i,-0.00083306-0.00082467i,-0.00036325+0.00024541i,-7.9734e-05+0.00035974i,0.00012024-6.2311e-05i,0.00055903-8.3149e-05i,0.00035345+0.00030463i,0.00024641+0.00022017i,0.00046107+0.0001596i
0.00040592-0.00037521i,-4.1778e-05-0.00046453i,-0.00082342-0.00044198i,-0.0016215+0.00022489i,-0.0021056-0.00012624i,-0.0021332-0.00078095i,-0.0022052-0.00020826i,-0.0026082+0.00059362i,-0.0019749+0.00034101i,-0.00085905-0.00049886i,-0.0010007-0.00078683i,4.7896e-05-3.8658e-05i,0.0015562+0.00033863i,0.00081255-0.0003946i,-0.00037731-0.00060962i,-0.00068628-7.1758e-05i,-0.00071076+0.00018012i,-5.249e-05+0.00032106i,0.000169-0.00022354i,-0.00019559-0.00049133i,-0.00023675+2.5564e-05i,0.00032981+0.0004528i,0.00095062+0.00013131i
0.00047545-0.0012493i,-0.00044738-0.001842i,-0.00086862-0.00031288i,-0.00062003+0.0011036i,-0.00059886+0.0018203i,-0.0017542+0.0013853i,-0.0021581+0.00054262i,-0.0010887+0.00041153i,2.6949e-05+0.00052482i,-0.00015013+0.00029756i,-0.00044897+0.00046212i,-0.00013806+0.00038542i,-0.00060813+1.9962e-05i,-0.0010892-0.00020462i,-0.0010498-0.00051954i,-0.000819-0.00066814i,-0.00011776+0.00013472i,0.00065336+0.00052253i,0.00054673+0.00078639i,7.8899e-05+0.0011229i,0.0002777+5.8806e-05i,0.0001432-0.00029704i,-0.00033097-0.00049414i
0.0007667-0.0013212i,0.00014547-0.0025844i,-0.0010807-0.0025917i,-0.0010922-0.00071059i,-0.00036894+3.4204e-05i,-0.00057166-0.00036236i,-0.0013893-0.00097333i,-0.00075931-0.00087647i,0.00033487-2.767e-05i,0.0004664+0.00062371i,0.00042029+0.0010437i,0.00058885+0.0015648i,0.00080421+0.00096422i,0.00075944-0.00045399i,8.5738e-05-0.00063126i,-0.00030942-0.00026511i,0.00016445+0.00031592i,0.00042361+0.00077061i,0.00014375-5.6864e-05i,-0.00034994-0.00021953i,-0.00026962+0.00023936i,0.00017549+0.00028479i,-0.00046306+0.00053774i
-0.0014198+0.00084023i,-0.001948-0.00038745i,-0.0016996-0.00076314i,-0.00096382-0.00075742i,-0.00012277+0.0001714i,-2.9549e-05+0.00098392i,-0.0012991+0.00048284i,-0.0018117+0.0001984i,-1.505e-06+0.00038776i,0.00082595+0.00083752i,0.00023071+0.00069501i,-4.8662e-05-0.00019484i,0.00039081-0.00043262i,0.00074652-0.00043404i,0.00033154-0.00018773i,0.00027667-0.00033353i,0.00015332-0.00036596i,0.00014933-2.0002e-05i,0.00061796+0.00014695i,0.00088555+0.0010095i,0.0012155+0.00076615i,0.0010203+0.00013206i,0.00019119+0.00044489i
0.0013192-0.00091039i,0.00088742-0.0012268i,0.0010032-0.0013748i,-0.00021406-0.0011159i,-0.00079139-0.0006246i,-0.00061786-0.00015653i,-0.00098306+0.00035147i,-0.00053967+0.00069435i,-8.9695e-05+0.00024075i,-0.00014885-0.00046643i,0.00024075+0.00032715i,0.00042699+0.00099364i,-0.00022807+0.00053382i,-0.00016886-3.634e-05i,2.351e-05+7.2742e-05i,-0.0001799+0.00019597i,-0.00043773+0.00015353i,0.00019398+0.00033203i,0.00082423+0.0001088i,0.00084052-0.00012106i,0.0010696-0.00012457i,0.00090007-2.2798e-05i,0.00040719+0.00017029i
0.0024894+0.000139i,0.00084644-0.0004391i,0.0005013-0.0015414i,0.00016796-0.0018607i,-0.0006794-0.00064816i,-0.0017055-0.00020437i,-0.0023326-0.00096168i,-0.0017742-0.00095894i,-0.00056221+0.00012983i,-8.669e-05+0.00032882i,5.317e-05-0.00043762i,0.0003558-0.00025615i,0.00022935-0.00050331i,-0.00021985-0.00054891i,-0.0010867+0.00024741i,-0.0013099+0.00030188i,-0.00025216-0.0010045i,3.6195e-05-0.0011573i,1.1059e-06-5.1417e-05i,0.00070269-0.00034841i,0.00077726-0.00087933i,0.00059788-0.00023632i,0.0013169+6.0572e-05i
-0.00035005-4.3132e-05i,-7.4258e-05+0.00033422i,-0.00029431+0.00059607i,7.2233e-05+0.00025554i,0.00044044+0.00031746i,-2.5933e-05-0.00019797i,-0.00061314-0.0006524i,-0.00090617-0.00049148i,-0.0010378+0.00041332i,-0.0013226+0.0010122i,-0.00067215+0.00039759i,0.00078599+0.00021495i,0.0012902+0.00043054i,0.00045977+0.00055588i,-0.00061166+0.00058169i,-0.001011+0.00072316i,-0.0010499+0.00047837i,-0.00074549-0.00034168i,0.00016456-0.00097999i,0.00073033-0.00041816i,0.00076003+0.00051288i,0.00041355+0.00032804i,-0.00018231-9.4975e-05i
0.0016319+0.00055277i,0.001737-0.00019013i,0.0012532-0.0010198i,0.00014704-0.0011536i,-0.00084008-0.0011558i,-0.0011533+0.00028622i,-0.0018458+0.0016653i,-0.0013978+0.0018308i,0.00017938+0.0010566i,0.00019774+0.00018438i,-0.00085151-0.00047681i,-0.00076745-0.00089281i,-0.00028515-0.00065491i,-0.0010905-0.00040768i,-0.0013587-6.1265e-05i,-0.00067233+0.00033298i,-0.00019569+0.00038155i,0.00019332+0.0004861i,-0.00011263+0.00081965i,-8.0372e-05+0.00060346i,0.00038366-1.6667e-05i,0.00052353-0.00031171i,9.3423e-05-0.00082571i
