0.00035059-0.0005771i,0.0012341-0.0021122i,0.00062504-0.0043699i,-0.000835-0.0037004i,-0.0022367-0.0017367i,-0.0030589+0.001291i,-0.0016322+0.0024652i,-8.1035e-05+0.0017206i,0.00048413+0.0014362i,0.00056295+0.00088689i,0.00065604+5.4478e-05i,0.00046292-0.00021453i,-0.00054991+8.5383e-05i,-0.000942+5.4227e-05i,-0.00024902-0.00022114i,-0.00022142+0.00039823i,-0.00047033+0.00057708i,-0.00033984-0.00056349i,0.00013851-0.0005048i,-0.00018701+0.00072246i,-0.00063394+0.0009291i,-0.00048462+5.275e-05i,-0.00064084-0.00010307i
0.00040906-0.00027895i,0.00080941-0.00047581i,-0.00034486-0.00045752i,-0.00033468-0.0010527i,6.3013e-05-0.0001544i,-1.5109e-06+0.00029175i,-0.00021114+0.00021197i,0.00026541+0.00047874i,0.0002174+9.5381e-05i,-0.00013724-0.00016339i,-7.6955e-05+1.9054e-06i,-5.1913e-05+0.00031605i,-0.00027676+6.9447e-05i,9.9682e-06-0.00018591i,0.00032895-0.00060525i,0.0002212-0.00096883i,0.0004497-0.00053307i,-5.1903e-06+0.00037422i,-0.0010384+0.00035986i,-0.00066939-0.00036759i,-0.00017756-0.0004135i,0.00018712-0.00047771i,0.00031873-0.00047523i
-0.00032589-0.0012291i,-0.0010827-0.0028184i,-0.00057197-0.0030126i,-0.00020927-0.0029726i,-0.00073542-0.0033476i,-0.00086281-0.001712i,7.4056e-06+0.00051123i,0.00069239+0.00048129i,0.00092278-0.00025461i,0.00059584-0.00081179i,-0.00018648-0.00067627i,-0.00088748+2.8764e-05i,-0.00056118+0.00034167i,-0.00032359+0.00045898i,-0.00090807-7.5952e-05i,-0.00062192-0.0005248i,0.0001991+0.00022377i,0.00016386+0.00065653i,-9.7699e-05-0.00050909i,0.00031153-0.00081485i,0.00035544-0.00025435i,-0.00050783-3.5147e-05i,-0.00070306-0.00016564i
0.0025218+0.00078473i,0.0015449+0.0011637i,0.0021045-0.00011914i,0.0017005-0.0015872i,0.00038225-0.001875i,-0.00088846-0.00083031i,-8.3005e-05+0.00040647i,0.00068548+0.0010697i,9.5795e-05+0.00066271i,-8.6262e-05-0.00060154i,2.5452e-05-0.0015352i,0.0002038-0.00076804i,0.00037356+0.0003282i,0.00013668+5.1084e-05i,-0.00026572-0.00027328i,0.00019001-0.00011574i,0.00016569-0.00011726i,0.00036079-0.0004982i,0.00096805-0.0013112i,2.324e-05-0.0014768i,-0.00052185-0.00078044i,-0.00039278-0.00063933i,6.8259e-05-0.0011065i
0.0014086+0.00079037i,0.0025972-0.0011232i,0.0021821-0.0018319i,0.00094371-0.0021878i,0.00034138-0.0019158i,-4.641e-05-0.00081092i,0.00024031+0.00028323i,-5.9244e-05+0.0010691i,-0.00017648+0.00062851i,0.00047209-9.1717e-05i,0.00045762+0.00010511i,-0.00022775+6.9839e-05i,-0.001105+0.00033369i,-0.0016272+0.00036985i,-0.001172-8.8303e-05i,-0.00066938-0.00011103i,-0.00076557-0.00020355i,-0.00016972-0.000808i,4.6281e-05-0.0013325i,-0.00092429-0.0007069i,-0.0010429-0.00029546i,-0.0007076-0.00061416i,-0.00054383-0.0004387i
0.00095453-0.0018212i,-0.00023052-0.0023721i,-0.00048432-0.0026546i,-0.0012904-0.0023968i,-0.0025953-0.0013892i,-0.0024718-0.0011234i,-0.00035206-0.0012398i,0.00096831-0.00049619i,0.00074519-0.00062736i,0.00074801-0.00057685i,9.2083e-05+0.00047193i,-0.00086247+0.001078i,-0.00059713+0.0014111i,-0.00083657+0.00082623i,-0.00091347+0.00011106i,-0.00041138+0.00027893i,-0.0002388+0.0002607i,-0.00052413-0.00011554i,-0.0002353-7.4371e-05i,-0.00031531-5.5592e-05i,-0.00093212-0.00041584i,-0.00050608-0.00046916i,-0.00038012+0.00066316i
-0.0025332+0.0016128i,-0.0023846+0.00067445i,-0.001056+0.00095111i,0.0004653+0.0015918i,0.0012841+0.0015911i,0.0010088+0.00048194i,0.00014105-0.00025865i,0.00058909+0.0003214i,0.000515-4.7121e-05i,0.00075418-0.00063482i,0.0013329-0.00077285i,0.00072979-0.00073023i,0.00051928-0.00054692i,0.00017379+0.00026306i,-0.00078885+0.00058889i,-0.0010324+0.00019621i,-0.00027625-2.5315e-05i,0.00046973+0.0003204i,-8.8945e-06+0.00048459i,-0.00065327+0.00056642i,-0.00062313+0.00032791i,-0.00040368+8.2162e-05i,-0.00041863+0.00092342i
-0.0020419+0.0012289i,-0.00070867+0.0018501i,0.0014345+0.0016204i,0.0015801-2.3071e-05i,0.00066585-0.0022065i,0.0002954-0.0023062i,0.000406-0.0006526i,0.00052174+0.00051256i,0.00081115+0.00082407i,0.0014591+0.00047757i,0.0016428+0.00012347i,0.00078957-9.7556e-05i,0.00032876-0.00014297i,0.00033165-6.8223e-05i,8.5842e-06-0.00039284i,-0.00011835-0.00029537i,3.5459e-05+0.00015572i,-5.4649e-05+0.00021022i,0.00019702-0.00013726i,0.00054543-0.00033876i,0.00021684-5.7292e-05i,0.00023918+0.0004985i,0.00031619+0.00039028i
0.0018604+0.00017785i,0.0010744-0.0011465i,0.00069527-0.002636i,-0.00056712-0.0025155i,-0.0011528-0.0020277i,-0.00096556-0.00085443i,-0.00081604+0.00061399i,-0.00015753+0.0011863i,0.00082156+0.0010817i,0.0011391+0.0007862i,0.00064992+0.00032276i,-8.9758e-05+0.00030063i,-0.0013703+0.00072561i,-0.0012339+0.00068585i,-0.00032708+3.9149e-06i,0.0003222-0.00053213i,0.00067844-0.00041193i,0.00034074-0.0007456i,3.7783e-05-0.00055698i,0.00029404-0.00015127i,0.00062734-3.6642e-05i,0.00046501+0.00074941i,0.00027594+0.0012097i
-0.002204-0.0016038i,-0.0015362-0.00030538i,-0.0034406+0.00038817i,-0.0033069+0.00033298i,-0.001485+0.0003126i,-0.00081617+0.00057521i,-0.00044946+0.00051625i,0.00024213-8.2893e-05i,0.00062338-0.00031344i,0.00040243+0.00028857i,-5.4529e-05+0.00052134i,-0.00045818+0.00075077i,-2.9978e-05+0.00044394i,0.00054437-0.00065981i,6.8119e-05-0.0014555i,-6.0085e-05-0.0006682i,-0.00018496+0.0012877i,-0.00022232+0.0011529i,-0.00033065-2.3413e-05i,-0.00039471-0.00028478i,3.5701e-06+0.00032856i,0.00010978+0.00062575i,0.00029749+0.00016212i
0.0016575-0.00076174i,0.0005162-0.0014506i,0.00092814-0.0014746i,0.00076221-0.0015503i,-0.00019375-0.0021202i,-0.0006814-0.0019873i,-0.00054111-0.00013574i,0.00026848+0.00072672i,0.00096124-4.8927e-05i,0.0012385-0.00020688i,0.00060482+0.00051494i,-0.00046645+0.0011925i,-0.00047007+0.00086325i,2.546e-05+0.00058955i,0.00014228+3.2538e-05i,-0.00026045-0.0002395i,-9.7509e-05-0.00019566i,0.0010303-0.00069831i,0.00105-0.00082863i,0.00074253-0.00077996i,0.00070208+0.00010611i,-0.00022698+0.00047682i,-0.00040648+5.8363e-05i
