-0.00073381+0.00075874i,5.4744e-06-0.00069627i,-0.00048881-0.00040435i,-0.000368+5.3757e-05i,-0.00027751+0.0011865i,-0.00051336+0.00075009i,-0.0012964-0.00025117i,-0.00088731+0.00043939i,0.00045891+0.0009142i,0.0012475+0.00067201i,0.00060015+0.00018739i,0.00043557-0.0012459i,0.00042592-0.0016063i,-0.00027241-0.00096135i,-2.508e-05+4.5571e-05i,0.00096462+0.0007075i,0.0012186+0.00019751i,0.00097773-0.00031653i,0.00073834-0.0003915i,0.0002099-2.8111e-05i,-0.00023308-0.00013336i,0.00014424-0.00040007i,0.0011887-9.1646e-05i
-0.00062819+0.00074711i,-0.00028088+0.00061826i,0.00018599+0.0010122i,0.00086417+0.001879i,0.0011169+0.00098784i,-0.00094379-0.00025904i,-0.0018049+2.8159e-05i,-0.00083852+0.0006424i,-5.7989e-05+0.0011194i,0.00027587+0.0010229i,0.00085574+0.00017271i,0.00092257+0.00012889i,0.0005685-0.0007268i,0.0003539-0.001026i,-0.00015125-0.00034946i,-0.00040258+0.00011054i,-0.00013939+0.00048269i,0.00013779-3.9472e-05i,-3.7548e-06+1.2915e-05i,0.0001677+0.0007541i,1.8941e-05+0.00084712i,-0.00059538+0.00037943i,-0.00094881+0.0010633i
-0.00025082-0.0011674i,2.5077e-05-0.00057786i,-0.00051705+0.00035966i,-0.00064538+0.00072858i,-0.0011725+0.00083881i,-0.0022299+0.0012298i,-0.0024064+0.00068428i,-0.0013064+0.0004734i,-0.00056784+0.0010938i,-0.00032424+0.0011025i,1.4367e-05+0.00093785i,0.0002318+0.00053618i,-4.2406e-05-0.00036989i,-0.00021472-0.0013437i,0.00016073-0.0013927i,-0.00035491-0.00062039i,-0.00019678+7.3693e-06i,0.00065506+0.00055166i,0.00042369+0.00022631i,0.00065168+0.00024425i,0.00092789+0.00031245i,0.00062086-1.6025e-05i,0.00028674-4.1337e-05i
0.0021929-0.0005399i,0.0017294-0.00082981i,0.00088382-0.0018932i,-0.00075302-0.0013938i,-0.0024418+0.00019306i,-0.0030942+0.00038519i,-0.0022547+0.00042788i,-0.00066958+0.0012635i,0.00071676+0.0011984i,0.00073063+0.00033597i,0.00014768+0.00022163i,0.00048175+0.00054552i,0.00076214+0.00031603i,7.9185e-05+8.2057e-06i,0.00042633+0.00031579i,0.00053697-7.1195e-06i,-0.00051385-0.00090992i,-0.0010504-0.0012977i,-0.0004979-0.00048965i,-0.00076137+0.00019475i,-0.00088358-6.9009e-05i,-0.00038867-0.00016841i,7.941e-05-0.00030478i
-0.0012992+0.00051495i,-0.00065108+0.00070816i,-0.00046826+0.001505i,-9.1918e-05+0.0013494i,-0.00048038-2.1795e-06i,-0.0013071-0.00040383i,-0.0013607+0.00048552i,-0.00064119+0.0016432i,0.00019026+0.0019883i,0.00015407+0.001825i,-0.00028479+0.0013916i,-0.00028527+0.00052428i,-0.00029709-0.00013639i,0.0002683-0.00064628i,0.00076434-0.00077753i,0.00013318-0.00014074i,-0.0003581+0.00056958i,0.00014369+0.00057893i,0.00072094-5.0308e-05i,0.00081255-0.00021347i,0.00023106+4.6954e-05i,-2.1645e-06-0.00054218i,-0.00033702-0.00078583i
0.00012612-0.00073573i,0.0004041+7.9538e-05i,0.00023809+0.00046867i,-0.00012911+0.00069477i,-0.00075911+0.0012895i,-0.00054756+0.0014716i,-0.00011027+0.00077391i,-0.00044813+0.00046916i,-0.00024544+0.00037852i,6.3719e-05+0.0003473i,-0.00026052+0.00074047i,-0.00034215+0.0010329i,-0.00022495+0.00072126i,0.00019267+0.00062275i,0.00060754+0.00019178i,-0.00021392+0.00019503i,-0.00084921+0.00028019i,-0.00066926+0.00034035i,-0.00054798+0.0010903i,0.00032761+0.001047i,0.00084456-0.00010876i,0.00066397+0.00037168i,-0.00018601+0.0013528i
0.00096054-0.001136i,0.00061243-0.0017129i,6.8121e-05-0.0013194i,-7.8164e-05+0.00055833i,-0.00067116+0.0012676i,-0.00057915+0.00062024i,-0.00034563+9.4806e-05i,-0.00062247-9.4822e-06i,-0.00079067+0.0005109i,-0.00064213+0.0010513i,0.00035358+0.0004759i,0.0010628-0.00030604i,0.00067874-0.00020549i,-0.00035746+4.2379e-05i,-0.00056798+0.00013498i,0.00013223+0.00052628i,2.005e-05+0.00059209i,0.00027659+0.00040007i,0.00037273+0.0003912i,1.9836e-05+0.00024827i,-0.0006094+0.00026965i,-0.00052625+0.0011265i,0.0003856+0.00184i
7.2928e-05-0.00022734i,-0.0005636+1.8038e-05i,-0.0014923+0.00038388i,-0.0016288+0.00045104i,-0.0010939+0.00045981i,-0.00081725+0.00016331i,-0.0013873-0.00038766i,-0.0012594+5.4581e-05i,-1.7136e-05-0.00034857i,0.00094024-0.00050723i,0.00069282+0.00034338i,0.0005413+0.00034688i,0.00015161-0.00029952i,0.00021875-0.00015101i,0.00032884+0.00046749i,-0.00040048+0.00034764i,-0.00047744-0.00066719i,-7.931e-06-0.00094351i,1.1978e-05-0.00061306i,-0.00049839-0.00058501i,-0.00091842-0.0001437i,-0.0011038-5.0458e-05i,-0.00028011-0.00081056i
0.00057275+0.00098835i,-0.00043058+0.0005791i,-0.00027081+0.00021744i,-0.0003953-0.0006413i,-0.0012536-0.00083465i,-0.002013+0.00018172i,-0.0016097+0.00059702i,-0.00082099+0.00044311i,0.00035897+0.00086441i,0.00085993+0.00083244i,0.00025823+0.00020782i,-0.00073821-0.00055006i,-0.00078182-0.0010201i,0.00033896-0.00035601i,0.00047407+0.00026118i,-2.9657e-05-0.00016633i,-0.00014471-0.00044347i,-1.9322e-05-0.00036555i,-4.4636e-05+4.6114e-05i,-0.00032437-2.393e-05i,-0.0003076+0.00026513i,-0.00015031+0.00078028i,-0.00066051+0.00037815i
0.00075836+0.00038596i,0.0013517-0.00036171i,0.0014049-0.00068481i,0.0011544-0.00066346i,0.0010163-0.00029148i,-0.00061553-0.00038972i,-0.0013341-0.00052939i,-0.00048327-0.00019874i,-0.0001673-0.00026721i,-0.00027935-0.00032684i,9.7531e-05+0.0004359i,0.00048667+0.00064929i,0.00037919+0.00032677i,-0.00057361+0.0003383i,-0.00057754-1.0894e-05i,0.0001609-0.00071653i,-0.00011166-0.00016235i,-8.3837e-05-0.0001512i,9.2192e-06-0.00069648i,-0.00048794-0.0004273i,-0.00034883-0.00043587i,-4.4589e-05-2.1125e-06i,-0.00015612+0.00015966i
-0.0011726+0.00053892i,-0.00025915-0.00031467i,0.00043289-0.00049384i,0.00091628-0.00067292i,-0.00017304-0.00031796i,0.00012597-0.00013162i,0.00054144-0.0011317i,-0.00068462-0.0011735i,-0.00074731-0.0004312i,-0.00023743-0.00047966i,0.00065105+0.00016381i,0.00086366+0.00042172i,0.00040262-0.00050617i,0.00027159-0.000882i,4.0289e-06-0.00025383i,2.4799e-06-0.00021521i,0.00048209-0.00072359i,0.0005589-0.00093879i,0.0006754-0.0010587i,0.0011925-0.00071345i,0.00084248-1.5919e-05i,-3.2368e-05+0.00030069i,-0.00012874+0.000585i
