-0.0043827+0.00092128i,-0.0035805+0.00065346i,-0.0035127+0.001154i,-0.0024019+0.0020508i,-0.00089425+0.0028724i,0.00017019+0.0027246i,-0.00031594+0.0024156i,-0.0012258+0.0023925i,-0.0009772+0.0022798i,-0.00010623+0.0015609i,0.00076983-1.6263e-05i,0.0010028-0.0011027i,0.0004152-0.0010343i,-0.00017315-0.00092852i,-0.00056224-0.0004037i,-0.00095733+0.00060123i,-0.001364+0.00070555i,-0.00097688+0.00010247i,0.00011075+6.6713e-05i,0.00065064+0.00019652i,0.00029612-0.00014513i,-0.0002772-0.00026261i,-0.0001747+0.00011877i
-0.00021454-0.0028275i,0.00040935-0.0026214i,-0.00044798-0.0030342i,-0.0010836-0.0019879i,-0.0011557-0.00038591i,-0.00043726-0.00067733i,0.0005153-0.0011776i,-0.00014085-0.0011105i,-0.001428-0.0014437i,-0.001788-0.0018726i,-0.0010494-0.0012218i,-0.00068721+7.1752e-05i,8.9671e-05+8.4369e-05i,0.00063965-0.00035199i,0.00087914+0.00015163i,0.00094998+0.00031947i,0.0003337-0.00057562i,0.00044375-0.00037275i,0.00073428+0.00018176i,5.6568e-05+0.00023402i,-0.00066505+0.00018071i,-0.00079529+9.4758e-05i,-0.00057639-0.00019527i
-0.00032032-0.00018446i,-0.00045809-0.00048217i,0.00044829-0.00096234i,0.0016717-0.0010727i,0.00086498-0.00020507i,-0.00030132+0.00053088i,-0.00066575+0.00024837i,-0.00078614+0.00032622i,-0.0001476+0.0007054i,0.00055674+0.00027966i,9.5261e-05-0.00012075i,0.00014788+0.00051214i,0.0007461+0.00027613i,0.00033359+2.9994e-05i,-0.00010319+7.9169e-06i,0.00028994-0.00066158i,0.00014252-0.0012473i,-0.00024744-0.00098663i,0.00047289-1.6546e-06i,0.00066441+0.00048367i,0.00020705-0.00022963i,0.00054585-0.00068435i,0.00064337-0.00054084i
-0.00022186-0.0016033i,-1.4632e-05-0.0010416i,-0.0010365-0.00088118i,-0.0014476+6.2415e-05i,0.00026755+0.00093063i,0.0015967+0.0005262i,0.00094178+2.2555e-05i,0.00012405-0.00019697i,-0.00033695+9.3513e-05i,2.7396e-05-0.00028362i,-3.798e-05-0.00054246i,-0.00030243+0.00035204i,5.5916e-05+0.0010235i,0.00025714+0.00056409i,0.00048557+0.00011158i,0.00051349+0.00081077i,0.0003633+0.00093405i,0.00038836+0.00052964i,0.00076025+0.0015496i,0.00074288+0.001638i,0.00016089+0.00092791i,3.3943e-05+0.00087263i,0.00010211+0.00043275i
0.00090347+5.7105e-05i,-0.000505-0.00043455i,-0.0015843+0.00042273i,-0.0018652-0.00035851i,-0.0018233-0.00059659i,-0.0017929+0.00052524i,-0.0011449+0.00070097i,-0.00025772+0.0007862i,-0.00049371+0.00084818i,-0.00068827+0.00050709i,0.0002777+0.00032412i,8.7066e-05+0.00058674i,-0.0006289+0.00029331i,-0.00067837+1.6221e-05i,3.5972e-05+0.00013541i,4.6127e-05+0.00037259i,-0.00069687+0.0010836i,-0.00051814+0.0013586i,-0.00017619+0.0011733i,-0.00042318+0.00071963i,-0.000241+0.00015435i,8.9617e-05-0.00069971i,-0.00026057-0.00034586i
0.00046512-0.00072623i,-0.00088396-0.0010336i,-0.00099296-0.0018105i,-0.00066967-0.001996i,-0.00064168-0.00068913i,-0.00050827+0.0007599i,-0.00078176+0.00094865i,-0.0013803+0.0011754i,-0.0013905+0.00029945i,-0.00072907-0.00070009i,-9.1481e-05-0.00037925i,6.1339e-05+0.00049325i,0.00065664+0.00086847i,0.0013217+7.9905e-05i,0.0013257-0.00022049i,0.00083644+0.00046366i,1.7991e-05+0.00030976i,-0.00055248-0.00032778i,-0.00062935-0.00046087i,-0.00028865+0.00022101i,-0.00034241+0.00011175i,-0.0005414+7.2072e-06i,-0.00018364+9.335e-05i
0.0009361-0.0016757i,-0.00078016-0.00065025i,-0.00052458-0.00087184i,-0.00029099-0.0018848i,-0.00087488-0.002074i,-0.00059583-0.0014181i,-0.00028728-0.00080492i,-0.00053839+5.6217e-05i,-0.000577+3.8319e-05i,-0.00089032-0.00016982i,-0.0008098+6.7042e-06i,-0.00077336+4.5697e-05i,-0.0010353+0.00087151i,-0.0010298+0.001809i,-0.00042053+0.001306i,0.0001274+9.3434e-05i,0.00020368-0.00027712i,0.00016747+0.00056933i,0.00017021+0.00032309i,0.00025915-0.00076039i,0.00020081-0.0009255i,0.00024103-0.00087118i,0.00046866-0.00018471i
-0.00097804+0.0019631i,-0.00041624+0.0029072i,5.4256e-05+0.0034191i,0.00039618+0.002443i,0.00059183+0.0018316i,0.00060042+0.0017413i,-0.00018525+0.00086675i,-0.00082974-2.1317e-05i,-0.0011589+0.00025188i,-0.00072738+0.00058463i,-4.8637e-05+0.00083069i,0.00014925+0.0008468i,0.00011507+0.00038332i,0.00037124+4.1291e-05i,0.00043461+0.00013753i,-0.00017609+0.00027848i,1.1759e-07+0.0010774i,0.00027688+0.0013535i,-0.00012838+0.00047129i,-0.0004062-4.3332e-06i,-0.00012383-0.00040458i,0.00024186-0.00090196i,0.00050447-0.00049072i
-0.00066408-0.00050111i,-0.00079082-0.00076184i,-0.00063299-0.0015883i,-0.00031212-0.00148i,-0.0009256-0.00092296i,-0.00037623-0.0004656i,-0.00039543-0.0003832i,-0.0012335-0.00091956i,-0.0010031-0.00075326i,-0.00091206-0.0005914i,-0.00041217-0.00058493i,0.00045751-0.00044508i,0.00075704+7.1369e-05i,0.00063647+0.00044704i,-9.498e-06+0.00015961i,-0.00033584+0.00036591i,-0.00052828+0.00078958i,-0.00022847+0.00079076i,0.00041209+8.5701e-05i,0.0002658-0.00043215i,-0.00031041-3.6936e-05i,-5.1361e-05-0.00031782i,0.00099139-0.00092809i
0.0003972-0.0016449i,-0.00034156-0.0018265i,-0.00075997-0.0019814i,-0.0020684-0.0010131i,-0.0031068-0.00035996i,-0.0023106+5.7174e-05i,-0.00097681+0.00015237i,-0.00029892-0.00049889i,-7.4364e-06-0.0012294i,-5.3542e-05-0.0015346i,-0.00046151-0.00077582i,-0.0005628+0.00039618i,-0.0002955-0.00010295i,-0.00021532-0.00017556i,7.1076e-05+0.00043086i,0.00063412+0.00037837i,0.00072778+4.6512e-05i,0.00070418+0.00023762i,0.0003896+0.00076997i,0.0004609+0.00081524i,2.3135e-05+0.00050864i,5.5404e-05+0.00037843i,0.00044816+0.0013083i
-1.9727e-05-0.00065175i,0.00062978-0.00066603i,0.0010095+0.0001927i,0.00026354+0.00058472i,-0.00035211+0.00018802i,-0.00036426+0.00012571i,2.3692e-05+4.5243e-06i,-6.8176e-05-0.00062069i,-0.00027431-0.00092882i,-0.00045845-0.0011933i,-0.00025833-0.0015202i,-0.00014716-0.0010188i,-0.00038382-1.8323e-05i,-0.00070894+0.00070025i,-0.00038205+0.00042566i,0.00025537+0.000277i,-0.00037566+6.8147e-05i,-0.00015057+0.0001701i,0.00060123+0.00026293i,0.0015271+0.00053476i,0.0013762+0.00046172i,0.00070794-0.00057955i,0.00052328-0.00066434i
