-0.001587+0.00095115i,-0.00046857+0.00017638i,-0.00010329+0.00011302i,0.0007936-7.6362e-05i,0.00042827+0.00062063i,-0.00057701+0.0014797i,-0.00023335+0.0018593i,0.0010659+0.0016916i,0.0017233+0.00069857i,0.0010815-0.00079508i,8.5016e-07-0.0010061i,-0.0010522-0.00043011i,-0.0015842+4.005e-05i,-0.0011615-0.00044191i,-0.00032208-0.0012089i,-1.339e-05-0.0010299i,0.00074293-0.00060497i,0.0013519+5.6926e-05i,0.00064624+0.0011163i,3.605e-05+0.0012952i,-0.00026671+0.00023031i,-0.00075697-0.00030483i,-0.00070256+7.7857e-05i
-0.00040641+0.0012286i,-0.0011577+0.00090563i,-0.00020888+0.00083825i,0.0009151+2.9135e-05i,0.00092452-0.00082491i,0.00014461-0.00079906i,4.1129e-05-0.00023227i,0.00082999-0.00061752i,0.00052582-0.0010998i,-0.00052507-0.00099643i,-0.00036929-0.00028246i,-0.0004325+0.00034175i,-0.00053669+0.0001865i,-0.0003952+0.00031821i,-0.00030925+0.00048552i,-0.00026455+0.0007092i,0.00024466+0.00022779i,0.00056801-2.4372e-06i,-0.00015751+0.00029155i,6.6985e-06-0.00029135i,4.7937e-05-0.00038633i,-0.00048795-0.00023715i,-9.2072e-05-0.00012498i
0.00024726+0.0010098i,0.00034333-0.00043095i,-2.2433e-05-0.0024343i,0.00035612-0.0024769i,0.00047654-0.0015567i,8.0527e-05-0.00078528i,0.00070093+0.00033454i,0.00073844+0.00054874i,-7.4409e-05-1.4429e-05i,-2.4175e-05-0.00067194i,0.00049591-0.0007257i,9.8108e-05-8.797e-05i,-0.00062131+0.00032721i,-0.00096182+0.00024156i,-0.0010715+0.00018647i,-4.539e-05+0.00041283i,3.3489e-05+0.00015028i,-0.00042444+0.00014962i,-0.00014838+0.00054481i,-6.6057e-05+0.00018635i,0.0002584+0.00020981i,0.00082479+0.00089353i,0.00032874+0.000733i
0.00086591-0.00058087i,0.00038445-0.00074208i,-0.00019828+0.0003327i,-0.00026141+0.00017038i,-0.00013216-0.00022035i,-0.00033029+0.0002921i,0.00017671+0.0011693i,0.00054033+0.0019851i,-0.00016467+0.0010856i,-0.0010874+0.00040918i,-0.00061931-0.0003839i,9.3521e-05-0.00083886i,-0.00048161-0.00034899i,-0.0010341+0.0007283i,-0.00013676+0.00049317i,0.0009331-0.0005949i,0.00066436-0.00081919i,0.00033975-0.00051533i,0.00013927-0.00038229i,0.00028851-0.00053196i,0.00055295+5.1808e-05i,0.00034623+0.00068828i,-0.00038129+0.00061572i
0.0012175-0.0017332i,0.00042928-0.0011966i,-0.0002594-0.0016713i,-0.0006104-0.001409i,-0.00063793-0.0013849i,-0.00062959-0.00073773i,-0.00047059+0.00059319i,-0.00032217+0.0014533i,-0.000538+0.0011064i,-0.00051807+0.00028648i,-0.00018825-9.1487e-06i,-0.00015351+0.00042609i,-0.000562+0.00027593i,-0.00066792-0.0002987i,-0.00039656-0.00020158i,0.00019804-0.00028304i,0.00071023-0.00091317i,0.0005161-0.0010423i,-7.5432e-05-0.0009287i,2.9766e-05-0.00079229i,0.00014827+0.00015301i,-1.5309e-05-0.00015635i,0.00045712-0.00071576i
8.4958e-05-0.0014814i,-0.00043542-0.0012754i,-0.0019391-0.0021433i,-0.0021528-0.0012392i,-0.0022154-0.00012661i,-0.0016166+0.0008878i,-0.0005396+0.00096592i,0.00066751+0.00052105i,0.00043437-0.0001676i,-0.00047854-0.00062145i,-0.00037271-0.00036529i,-0.00031711-0.00023083i,1.2273e-05-0.00020326i,-5.6223e-05-0.00048717i,0.00030786-0.00029315i,0.00046876+0.00056767i,7.2054e-05+3.9381e-05i,0.00036502-0.00049942i,-9.2731e-05-0.0001084i,-0.00022804-0.00022823i,-0.00022661-0.00014506i,-0.00033924+6.9914e-05i,-0.00060241-9.7439e-05i
-0.0014459-0.0005348i,-0.001771+0.00035692i,-0.0014536-6.2368e-05i,-0.00045606+0.00010979i,8.8315e-05-0.00031735i,0.00088862-3.1327e-05i,0.00066912+0.00071813i,-0.00022937+0.00057537i,-0.00049688+7.8792e-05i,-0.0010528-0.00017987i,-0.00065265-0.00022961i,-0.00039154-0.00020884i,-0.00085944-0.00068869i,-0.00013824-0.0010559i,-0.00011259-0.00090818i,-0.0002588-0.00022313i,-0.00038343-0.00016039i,-0.00037014-0.00065546i,-0.00010848-0.00024457i,8.3263e-06-0.00034927i,0.00046143-0.00027952i,0.00085196-0.00048293i,0.00064743-0.00065948i
-0.0012561+0.00093747i,-0.00056637+0.00058208i,0.00012469+0.00082955i,0.0012261+0.00087995i,0.0014374-0.00025846i,0.0012618-0.0011625i,0.0018792-0.00055628i,0.0022687+0.0006918i,0.0013726+0.00035665i,0.00060472-0.00050575i,0.00026943-0.00033987i,-0.0008036+0.00010139i,-0.0017177-0.0005769i,-0.0012372-0.00048189i,-3.3019e-05+6.7575e-05i,-0.00030242-0.00019293i,-0.0014593-0.0002626i,-0.00085876+0.00047363i,-0.00010309+0.00065032i,-1.5082e-05+0.00070767i,3.9269e-06+0.00050675i,9.5858e-05-0.00052197i,0.00031211-0.00078819i
0.00076566-0.00065574i,0.00065113-0.00091663i,0.00041186-0.00022212i,4.5015e-05+0.00055708i,-0.00014384-6.5808e-05i,-0.00055534-0.0010407i,-0.00049387-0.00026825i,-8.4113e-05+0.0002512i,0.0002906-0.00014563i,-0.00019996-0.00020729i,-0.00082298+0.0002953i,-0.00084021+0.00041799i,-0.00010634-0.00022027i,0.00071142-0.00076386i,0.00034583-0.00024488i,-1.8002e-05-3.249e-05i,0.0003693-0.00035861i,0.00063077-0.00026947i,0.00028372-0.00029903i,-0.00028167+0.00033704i,-0.0005423+0.00047497i,-0.00049097+1.421e-05i,-0.00074321+9.9996e-05i
-0.0021262+0.0011001i,-0.0012807+0.0014445i,-0.00059672+0.0024678i,-0.00014824+0.0018256i,-2.4369e-05+0.0011908i,0.00029579+0.00074472i,1.6429e-05+0.00071232i,5.1774e-05+8.2433e-05i,0.00032582-0.00069258i,0.00028972-0.00062534i,-4.3684e-05-0.0005359i,0.00023595-0.000411i,-0.0001954-0.00041061i,-0.00066619-0.0002499i,-0.0002003+2.7395e-05i,7.8107e-05+0.00046903i,0.00099415+0.00067087i,0.001412+0.00054655i,0.00059476+0.00044785i,1.4596e-05+0.00020611i,-0.00054111+0.00025564i,-0.00070385+0.00091018i,0.00012224+0.00060143i
0.00063035-0.00089917i,0.00024035-0.00096445i,-0.00022978-0.0016689i,0.0005607-0.0014003i,0.00085333-0.00025482i,0.00096334+0.00065278i,0.0012911+0.00080088i,0.00092668+0.00014264i,0.00026338-0.00053904i,-0.00018552-4.9384e-05i,-0.00096133-0.00017595i,-0.0013815-0.0012472i,-0.00079754-0.0017134i,3.4728e-05-0.0009216i,0.00039543-0.00010235i,0.00097125-0.0008347i,0.00035852-0.0010134i,8.0801e-05-0.00055001i,-1.2198e-05-0.00073486i,-0.00048336-0.00045245i,0.00012611+0.00018048i,0.00070888+0.00020216i,0.0010123-0.00021632i
-0.0011318-0.0020893i,-0.00074642-0.0025643i,-0.00041437-0.0021514i,-0.00030112-0.0010877i,0.00021474-0.0007323i,0.00022945-0.00073994i,0.00056478+0.00041927i,-3.316e-05+0.00099504i,-0.0012337+0.00037147i,-0.001272-0.00014471i,-0.00072472+0.0001453i,7.461e-05-0.00025798i,-0.0005006-0.00069154i,-0.00032843-0.00039581i,8.6793e-05-0.00071226i,-0.00061222-0.00085722i,-0.00042455-0.00087001i,4.0974e-06-0.00062406i,0.00024701-0.00028302i,-0.00016802-0.00050173i,-0.00076938-0.00083093i,-0.00030475-0.00023742i,0.00031726-0.00014888i
0.00074848-0.00070812i,0.0001108+0.00024538i,-0.00095202+0.00048827i,-0.001009+0.00080038i,-0.00066006+0.00047929i,0.00012565+0.00059278i,0.00027042+0.001524i,-0.00053453+0.0012885i,-0.0016335-0.0001626i,-0.0016142-0.00068272i,-0.00037505-0.00021754i,-0.0002233-0.00016587i,-0.00024156-6.2644e-05i,-0.00017977-0.00011383i,-0.00029303-3.1641e-05i,0.00020136+0.00053872i,-0.00034146+0.00055462i,-0.00077017-4.2567e-05i,4.7426e-05-0.00019608i,0.00021468+0.00021787i,0.00037321+0.00055631i,0.00034224-0.00014405i,0.00030243-0.00044393i
0.00031059+0.0012202i,0.0002319+0.00078992i,0.00064361+0.00039815i,0.0016885+0.00082321i,0.00091484+0.00069714i,0.00016652+0.00014296i,2.8195e-05+0.0002264i,0.00016147+0.00077388i,5.3188e-05+0.00038258i,-0.000334-0.0010334i,-0.00041265-0.0015204i,-0.00069435-0.00094436i,-0.0012734-0.001155i,-0.0010708-0.001713i,-0.00039788-0.001338i,0.00019293-0.00055735i,0.00043923-0.00032832i,0.00064222-4.3969e-05i,0.00035906+0.00013062i,0.00046271-0.00024778i,0.00090003-0.00050313i,0.00089775-0.00067545i,0.00074314-0.00094181i
0.0018927-1.2495e-05i,0.0014323-0.00020699i,0.0013752-0.0009285i,0.0012001-0.0014039i,0.00011606-0.0012874i,-0.00083986-0.0010363i,-0.00093352-0.0014747i,-0.00043314-0.0009658i,-5.0055e-05-0.00077784i,9.9738e-06-0.00054128i,-0.00014337-0.00031867i,-5.1277e-05-0.00053104i,8.1168e-07+0.00010189i,-0.00011317+0.00029965i,4.7433e-06-0.00022348i,0.00025107-0.00015989i,5.5229e-05-0.00043508i,0.0010126-0.00061702i,0.00094836+0.0004956i,0.00011626+0.0007826i,2.0387e-05+0.0003259i,0.00023109+0.00022162i,0.00082455+0.00024386i
0.0009202-0.00071234i,0.0012148-0.00042829i,0.00066428-0.0008209i,0.00031508-0.00048989i,8.5154e-06-0.00016806i,0.00069768-4.2869e-05i,0.00057571+0.00044005i,0.00036175+0.00039952i,0.00034999-0.00070305i,-0.00027348-0.00056755i,-0.00084058+0.0002514i,-0.00061768+0.0010249i,-0.0008593+0.00082174i,-0.00125+9.0579e-05i,-0.00017063-0.00036697i,0.00030234-0.00012199i,-0.00016538+0.00056291i,-0.00027194+0.00021921i,-0.00072633-0.00061492i,-0.00046717-0.00064199i,0.00039389-9.617e-05i,0.00041492+9.2516e-05i,0.0001646+0.00045066i
-0.00064773+0.00027532i,-0.00045358+6.1347e-05i,-0.00020902-0.00026878i,0.00023803-0.0010541i,0.00096672-0.0010466i,0.00097932-0.00038235i,0.00035519-1.6729e-05i,0.00022779+0.00016871i,8.6844e-05-0.00079954i,-0.00013243-0.0016333i,-3.1309e-05-0.001819i,-0.00017566-0.001215i,-0.00040428-0.00063574i,0.00011151-0.00048051i,0.00031211-6.6314e-05i,-1.1826e-05-3.296e-05i,1.0118e-06+4.4486e-05i,-0.00011076+7.5568e-06i,-6.1512e-05+2.094e-05i,-0.00024454-9.4757e-06i,-0.00049514-0.00035283i,-0.00041752-0.00034065i,-0.00033918-0.00072888i
