-3.7009e-05+0.00080734i,0.00010924+0.00044882i,-0.00058126-0.00062746i,-0.00091835-0.0013911i,-0.0020551+0.00026325i,-0.0024428+0.0023083i,-0.00052873+0.003224i,0.0011484+0.0025639i,0.0017278+0.0010733i,0.0016551-0.00039368i,0.0010815-0.0013791i,0.00063461-0.0019947i,0.00023587-0.0016189i,-0.00011768-0.00051057i,-0.00077742-3.5449e-05i,-0.0014584-1.4747e-05i,-0.0013693+0.00030705i,-0.0013167+0.00052871i,-0.001066+5.7712e-06i,-0.0010635-0.00043542i,-0.0011082+0.00034451i,-0.00073283+0.00086165i,6.4147e-05+0.00073431i
-0.000742-5.1507e-05i,-0.00062024-0.00067677i,-4.3374e-05-0.0014655i,-0.00070633-0.0015436i,-0.00069232-0.00049059i,0.0005921+0.00069198i,0.0014808+0.0013353i,0.0014066+0.00067628i,0.00084143+0.00015307i,0.00072096+1.2303e-05i,0.00091375+3.3589e-05i,0.00034487-0.00038379i,-0.00024799-0.00080479i,-2.8414e-07-4.8452e-05i,0.00025642+3.9908e-05i,0.00020775-0.00057437i,7.4877e-05-0.00051509i,0.00011581+0.00026908i,0.00015696+0.00039852i,-0.00032172+7.3673e-05i,-0.00083213+0.00033275i,-0.00031662+0.00069061i,9.4594e-05+0.0015429i
0.000453-0.0018967i,-0.00030482-0.0017546i,-0.0015711-0.0017016i,-0.0021384-0.0010666i,-0.0015239-0.00013759i,-0.00066169+0.00064456i,0.00029649+0.00073581i,0.00079176+0.00042069i,0.00069813+0.00024768i,0.00094199-0.00012583i,0.0012944-0.0003892i,0.00078798+0.00028515i,0.00052815+0.00087517i,0.00050768+0.00080543i,-0.00025621+0.00030013i,-0.00030191-0.0003836i,-0.00026723-0.00051437i,-0.00014687+4.2297e-05i,0.0011633+0.0002849i,0.00084443+0.0011208i,0.00075585+0.0017772i,0.0013194+0.0012764i,0.00071233+0.00029205i
-0.00010586+0.0007383i,-0.00022316+0.0023231i,-0.00080549+0.0025067i,-0.00069987+0.0024181i,0.00011243+0.0026403i,0.0011345+0.0021913i,0.0015128+0.0015706i,0.00097624+0.00079573i,0.0001949+0.00025636i,-0.00051796+0.00026179i,-0.00092166+0.0001218i,-0.00062352-8.2319e-05i,-0.00039954-0.00072585i,0.00018365-0.00035383i,0.00054986+0.00027719i,0.00034303+0.00024115i,-1.5502e-05+0.00028492i,-0.00031941+4.1187e-05i,-0.00029631+0.00013813i,-0.00028532-7.4151e-05i,7.0856e-05-0.00045791i,0.00043062-0.00049051i,0.00014156-0.00063404i
0.0016157+0.0011142i,0.0019524+0.00012292i,0.0019093-0.00087413i,0.00067897-0.0017284i,-0.0014977-0.00056698i,-0.0012452+0.0018339i,-0.00024843+0.0023073i,0.00016488+0.0017343i,0.00059654+0.0013138i,5.4758e-06+0.00055721i,-0.0011176+0.00036498i,-0.0020027+0.00079272i,-0.002202+0.001078i,-0.0018233+0.00083744i,-0.001243+0.00011846i,-0.00040918-0.00021853i,0.00054145+0.00028357i,0.00073803+0.0007079i,0.00022795+0.00025386i,5.1622e-05-6.7081e-05i,0.0013321-0.00025513i,0.0013764-0.00053735i,0.00015153-0.00077795i
0.00089747+0.00041911i,0.0013192-7.3033e-05i,0.0026664-0.00043054i,0.0019608-0.00028806i,0.00055573-0.00069014i,-0.00032369-0.00010437i,-0.00071407+0.0015323i,-0.00016853+0.0017933i,0.00037919+0.00091851i,0.00069562-0.00028984i,0.00072368-0.00055917i,4.832e-05-0.00029594i,-0.0003755-0.00093863i,-0.00073097-0.0013925i,-0.00050148-0.00057055i,0.00036306+0.00037764i,0.00048153+3.922e-05i,0.00038676+0.00010231i,-2.7356e-05+0.00069271i,1.17e-05+0.00077997i,0.00036091+0.00062776i,0.00049798-8.3459e-05i,9.1806e-05-3.4553e-05i
0.00024337+0.00076272i,0.00023823+0.00095303i,0.00019087+0.00035712i,0.0003086-0.00026633i,0.00092246+0.00024197i,0.00098774+0.00032534i,0.00043011+0.00030008i,0.00014931+0.00066158i,0.00014078+0.00082714i,0.00010536+0.00026437i,-6.0692e-05-0.00027873i,-0.00028015+1.1398e-05i,-0.00075131+0.0001948i,-0.0011177-0.00010197i,-0.0014155-0.00056379i,-0.0018119-0.00086706i,-0.0014387-0.00027667i,-0.00018624+0.0002046i,0.00028092+0.00024097i,9.4088e-05+0.00053236i,5.3094e-05+0.00050401i,-9.1473e-05-7.3357e-05i,-0.00032276+6.2192e-05i
-0.00020192-0.001767i,-0.0013025-0.0014837i,-0.0022485-0.0004239i,-0.0027056+0.00077128i,-0.00282+0.00090952i,-0.001337+0.0014873i,0.00061438+0.0020072i,0.001343+0.00099156i,0.0008095+0.00057727i,-0.00045948+0.00017832i,-0.00063505+0.0002377i,-0.00013842+0.00071441i,3.627e-05+9.3897e-05i,0.00011653+8.84e-05i,7.1359e-06+0.00064096i,0.00032516+0.0011763i,0.0006432+0.0007203i,0.00081742+6.0265e-05i,0.0010605+0.00048646i,0.00086648+0.00041135i,0.00075688-0.00012283i,0.00041273-0.00032019i,-0.00049816-0.0004879i
-0.00128-0.00050369i,-0.0011265+0.00049542i,-0.001384+0.001281i,-0.00083309+0.0013465i,-7.4776e-05+0.0013974i,0.00016038+0.0017028i,0.00062724+0.0016323i,0.00098647+0.0013067i,0.00041905+0.00074382i,-0.00029003+0.00066585i,-0.0008446+0.00082476i,-0.000521+0.00054325i,0.00043283-2.1778e-06i,0.0010424-0.00069035i,0.00069872-0.00049508i,-0.00039849-0.0003166i,-0.0004378-0.00060124i,0.00017258-2.6829e-05i,-0.00046326+9.3718e-05i,-0.00071866-0.00041524i,-0.00027355-0.00050791i,0.00026504-9.0661e-05i,0.00051316+0.00063032i
-0.0010128+0.0016301i,7.3358e-06+0.0024297i,0.0007665+0.0028477i,0.00046673+0.0019184i,0.0005474+0.00055894i,0.00072714-0.00030922i,0.00012018-0.00059465i,0.0004428-0.00019687i,0.00067624-0.00019484i,-0.00024126-0.00027294i,5.2194e-05-0.00029016i,0.00097088-0.00098734i,0.0010396-0.001569i,0.00062807-0.0012765i,0.00050806-0.00087816i,0.00049422-0.00055149i,3.5906e-06-0.00078653i,0.00028671-0.0003211i,8.2996e-05+0.00025626i,-0.00072224-0.00054333i,-0.00070743-0.00043562i,0.00013124+0.00049168i,0.00056912-0.00015611i
0.00022973+0.0020736i,0.00036982+0.0018961i,0.00048704+0.0017647i,-0.000198+0.00098396i,-0.00019309+0.00065465i,-0.000245+0.0021729i,0.00020798+0.002286i,0.00043185+0.0014107i,-0.00010063+0.00096282i,0.00030578+0.00030106i,0.00063608-0.00052858i,0.00020957-0.00030557i,0.00021166+6.4394e-05i,-7.6005e-05-7.68e-05i,-0.00091654-6.9748e-05i,-0.0004579-7.3946e-05i,0.00081356+5.0501e-05i,0.00074042+0.00012565i,0.00030544+0.00026361i,-0.00017915+0.00087862i,-0.00045673+0.00021327i,-0.00018745-0.00058184i,-0.00019455-0.00034686i
