-0.0017607+0.00059019i,-0.0001784-0.00077423i,0.0012421-0.0028261i,0.002626-0.004173i,0.0021698-0.0045852i,0.00027892-0.0025846i,-0.00029994+0.00025185i,0.00030155+0.00085986i,0.00046505+0.00018405i,0.00046947-0.0001776i,7.4172e-05-0.00068281i,-0.00060406-0.00085606i,-0.001085-0.0009199i,-0.0013808-0.00063096i,-0.0011318-0.00017495i,-0.00047815+0.00045945i,-9.8055e-05+0.00066051i,-0.00032784+8.38e-05i,0.00016893+7.0716e-05i,0.00056013+0.00046591i,0.00043384+0.00076326i,0.00060422+0.00015381i,0.00041848-0.00082936i
0.00032506+0.0010025i,0.00019363+0.0005289i,0.002571-0.00053571i,0.0049016-0.0024184i,0.0045629-0.0031314i,0.0027681-0.0016063i,0.00082005+0.00019497i,-0.00017885+0.00077562i,0.00039245+0.0003007i,0.0010385+0.00041202i,0.00066338+0.00022698i,9.5939e-05-0.0006372i,-0.00029504-0.00051013i,-0.00032857-0.0005198i,0.00024069-0.00075326i,0.00058681+0.00015044i,0.00040853+0.00043544i,0.00064611+0.00072636i,0.00090724+0.00092564i,0.0012538+0.00061871i,0.0016328+0.00059506i,0.00092499+0.00071443i,0.00011225+0.00026674i
0.000108-0.00010524i,0.0024845+0.00026674i,0.0053306-0.00069824i,0.0066295-0.0031156i,0.0048412-0.0039084i,0.0021489-0.0023034i,0.00090765-0.00050642i,0.00030216-0.00083353i,-0.00027188-0.00041405i,0.00020184+0.0005354i,0.00046384-5.5947e-05i,-6.8311e-06-0.00031508i,-0.0001859+0.00027656i,-0.0003394+0.0007246i,-0.00046724+0.00069824i,-0.00041426+0.00049899i,-0.00040128+0.00036686i,5.6699e-05+0.00014643i,0.00021076+0.00013374i,0.00028305+0.00047992i,0.00090204+0.0009503i,0.00059073+0.00075744i,-0.00051613+0.00018655i
-0.00012661+0.0024876i,0.0015676+0.0020934i,0.0042736+0.0012962i,0.0057872-0.00086628i,0.0044766-0.0020161i,0.0018104-0.0015968i,0.00010835-0.0005115i,-0.00031082+0.0001451i,6.8503e-05+0.00035958i,0.00086558-3.8061e-05i,0.00089384-0.00062454i,0.00019564+5.6497e-05i,-0.00063726+0.00065889i,-0.0015945+0.00047489i,-0.0015817+0.00026273i,-0.00099837+0.00058931i,-0.00037419+0.0012803i,0.00023652+0.0007346i,-1.8124e-07-0.00035749i,-0.00024243-0.00031427i,0.00026011+0.00052135i,0.00049454+0.00058421i,-5.8266e-05-0.00010416i
-0.00034956+0.0014481i,0.00071546-0.00031938i,0.0030488-0.0018834i,0.0047024-0.0043732i,0.0038601-0.0049759i,0.0011954-0.0033768i,-0.00084811-0.00098687i,-0.0010916-2.5571e-05i,-0.0001102+0.00011049i,0.00026513+0.00028307i,-0.00055228-0.0002148i,-0.000745+4.8334e-05i,-0.00012486+0.00071849i,9.2681e-05+0.00026954i,0.00031847+3.2072e-05i,-0.00025828-0.00033454i,-0.00072321-0.00022598i,-0.00046154+0.00081383i,0.00024876+0.0011196i,0.00026343+0.00034025i,-0.00033771+0.00042458i,4.2639e-06+0.00074984i,0.00057842+0.00070646i
-0.0010945+0.00012509i,0.00060251+0.0007228i,0.0028823-1.3025e-05i,0.0045165-0.0018416i,0.0034075-0.0023771i,0.0004231-0.0010056i,-0.00043355+0.00032824i,0.00018979+0.00014082i,0.00042602-0.00011045i,-9.7722e-05+0.00038578i,-0.0002448+0.00029131i,0.00043715+0.00034597i,0.00025183+0.00046822i,-0.00063836+0.00049132i,-0.00078608+0.0010706i,-0.00024041+0.0015887i,-0.00060913+0.0015326i,-0.0010051+0.00096851i,-0.00082252+0.00048525i,-0.0014282+0.00045181i,-0.0014766+0.00090967i,-0.00038735+0.00063713i,0.0010556+3.5926e-05i
0.0012805+0.0014679i,0.0011888+0.00055368i,0.0028317-0.0021943i,0.0056493-0.0040676i,0.0046071-0.0038952i,0.0015044-0.0021128i,-3.5058e-05-0.00069641i,-0.00034233-0.00055612i,0.00034006+0.00029516i,0.00035566+0.00073617i,-0.00046125-0.00075679i,-0.00023704-0.000834i,9.0039e-05-0.00024384i,0.00060784+0.00038552i,0.00024331+0.00097489i,-0.00038911+4.5557e-05i,-0.00018667-0.00036993i,-7.8339e-05+0.00038651i,2.5488e-05+0.0010619i,0.00017532+0.001076i,-4.8335e-06+0.00064535i,0.00025356-9.2854e-05i,0.00078601-0.00076752i
-0.00046295+0.00072746i,0.00087432+4.8021e-05i,0.0037636-0.0010383i,0.0050517-0.0025452i,0.0042265-0.0029532i,0.0021905-0.0021862i,-1.8988e-05-0.0011706i,-0.00036498-0.00057079i,-4.4045e-05+1.1457e-05i,0.00033312+0.00031131i,0.00091839-0.00029636i,0.00056387-0.00058327i,0.00046879-8.6495e-05i,-7.628e-05+0.0003097i,-0.00076619+0.00071333i,-0.00070059+0.00123i,-0.0011467+0.0014112i,-0.00098429+0.00079263i,-3.4028e-05-0.00018267i,0.00022054-0.00050483i,-0.00031551+8.4189e-06i,-0.00051078-0.00048682i,0.0001033-0.00043799i
0.00075339+0.00056432i,0.0030178+0.00022421i,0.0056215-0.00030584i,0.0069427-0.0014934i,0.004968-0.0021388i,0.0016556-0.00095168i,-0.00037205+0.00050285i,-0.00010519+0.00018025i,0.00076618-0.00017236i,0.00050628-0.00048559i,-0.00026851-0.00085986i,-0.00028491-0.00049442i,0.0003351-0.00030676i,0.00043542-8.8552e-05i,-0.00032679+0.0010343i,-0.00056158+0.0010108i,-0.00029426+0.00017119i,-1.9131e-05+0.00017614i,-0.00018763+0.00038372i,-0.00088684+0.0004943i,-0.00023141+0.00029971i,0.00023839-1.1393e-05i,-0.00026739-1.3304e-05i
-0.00024769+4.9634e-05i,0.0011823+0.00095645i,0.0030843+0.00021402i,0.0049691-0.0012873i,0.0042555-0.0015978i,0.0017929-0.0015666i,0.00032315-0.0010401i,0.00044175-0.00036257i,0.0010235+0.00043679i,0.00091641-0.00020364i,0.00059347-0.00095445i,0.0004958-0.00046427i,0.00028697-0.00011934i,-6.4038e-05+0.00014181i,-0.00068865+0.000602i,6.2759e-05+0.00089771i,0.00055036+0.0010148i,-0.00019747+0.00081089i,-0.00048214+0.00055142i,-0.00039914+0.00035743i,-0.00010342-0.00065388i,0.00044342-0.0012487i,0.00029844-0.00092107i
0.00041445+0.00058422i,0.0011195+0.00074229i,0.0035819-0.00033844i,0.0051681-0.0022971i,0.0036035-0.0033548i,0.000776-0.0021371i,0.00026732+0.00011286i,0.00026921+0.00022475i,-7.9718e-06-0.00071124i,7.2804e-05-0.0004346i,-0.00025671+0.00022745i,-0.0008683+0.00045349i,-0.00092815+0.00077589i,-0.0005412+0.00044788i,0.00019773-0.0001192i,0.00047624-4.413e-05i,0.0001016+0.00021757i,6.5305e-05+1.6424e-05i,-0.00024405-0.0005033i,-0.00043073-6.4615e-05i,-0.00036504+0.00082722i,-0.00016858+0.00094488i,4.9363e-05+0.00046847i
