0.00029116+0.00014099i,-0.00011679-0.00076526i,0.00054933-0.0024682i,-0.00017667-0.0025054i,-0.0011571-0.0011436i,-0.00097237+0.00037032i,8.9319e-05+0.0018948i,0.00045889+0.0023682i,0.00060135+0.0012352i,0.00085443-0.00040767i,0.0010164-0.00095562i,7.3841e-05-0.00071084i,-0.00068402-8.7909e-05i,0.00016916+0.00021672i,-0.00031295+0.00051473i,-0.001171+0.00063937i,-0.0012142+0.00016781i,-0.00091714-0.00067212i,-9.7125e-05-0.00059205i,-0.00016594+0.00092253i,-0.0012603+0.0012811i,-0.0018163+3.6834e-05i,-0.0011726-0.00043142i
-0.00047135+0.00025743i,0.00039754+0.00049738i,-0.00032957+0.00055508i,-0.00043649+0.0013548i,3.0379e-05+0.0017142i,7.0665e-05+0.00081569i,0.00010269-0.00070238i,0.0003053-0.0014069i,-0.00010899-0.00067707i,-0.00079406-0.00010237i,-0.00071811+0.00041416i,-0.00012064+0.00074021i,0.00034561+0.0002992i,0.00072822+0.00033187i,0.00088537+0.00044179i,0.00085155+0.0002599i,0.00027688+0.00054935i,-0.0006833+0.0006968i,-0.00072398+2.744e-05i,0.00013394-0.00041285i,0.0010124-0.00031555i,0.00052703+0.00010635i,0.0005666+0.00057206i
0.0013777-0.0014071i,0.0027611+9.372e-05i,0.0028178+0.00047623i,0.0016848+0.00025564i,0.00098615+0.00040355i,0.001761+0.00071097i,0.0015951+0.00049223i,0.00028466+0.00039301i,-0.00057902+0.00071751i,9.8851e-05+0.00072832i,0.00060761+0.00060604i,9.166e-05+0.00020062i,-0.0006391-1.7632e-05i,-0.00036595+0.00037027i,0.00026915+0.00071225i,0.00028524-6.2556e-06i,0.00023235-0.00078616i,-0.00032324-0.00058613i,-0.0011758+0.0005435i,-0.00091411+0.00045997i,0.00016605+5.3633e-05i,0.00081818+0.00055643i,0.0010086+0.00033809i
-0.0016834-0.0011126i,-0.0022515+0.0011618i,-0.0030497+0.0019142i,-0.0026225+0.0018752i,-0.00093564+0.0015344i,0.00062126+0.0005655i,0.00069201-0.00059008i,-8.7262e-05-0.00041895i,-0.0010415+0.0005824i,-0.0013216+0.001049i,-0.00088895+0.00053518i,0.0003944+0.00041003i,0.00075072+0.00026866i,4.4022e-05-8.1568e-05i,-0.00014869+0.00025433i,-0.00023367+0.0004872i,-0.00017232+0.00022211i,0.00014556+0.00083457i,-2.2422e-05+0.00097109i,0.00059148+1.0084e-06i,0.00099302-0.00052921i,0.00016297+6.9621e-05i,0.00029457+0.00047693i
-0.0030576-0.0014946i,-0.0032697-0.00078001i,-0.0016635+0.0010147i,0.00036943+0.0017984i,0.0016078+0.00084646i,0.0020107+0.00014212i,0.0016242-0.0011382i,0.00095635-0.0016806i,0.00049997-0.00027546i,0.0013158+0.00055572i,0.0014377+0.00086747i,0.00087686+0.00068744i,0.00040144-0.00023879i,0.00060799-0.00059427i,0.0013039-0.00017463i,0.00029613+0.0002314i,-0.00037633+5.5052e-05i,-0.00016861+0.00063865i,-0.00069932+0.0008151i,-0.00085301+0.00057683i,-0.00065428+0.00033474i,-0.00010466-0.00019431i,0.00018335-0.00019164i
-0.0003415+0.0020331i,0.0013003+0.0021319i,0.0021699+0.0015022i,0.0020128+0.00086245i,0.002105+0.0011957i,0.0021128+0.0013083i,0.0011802-7.9198e-05i,-0.00018883-0.00058798i,-0.0010474+0.0004273i,-0.00084723+0.00077909i,0.00044996+0.00048467i,0.00097924+0.00043788i,0.0003585-0.00022571i,-0.00035344-0.00048968i,-0.0011893-0.00021484i,-0.00087172+8.6781e-05i,6.8684e-05+7.2698e-06i,-0.00013425-0.00057222i,-0.00047972-0.0010691i,1.2608e-05-0.0010686i,-0.00015835-0.00032962i,-8.1709e-05+6.4832e-05i,0.00085809-0.00045278i
-0.00017543+0.00018091i,-0.0012306+0.0001166i,-0.00083644+7.1208e-05i,0.0002892+0.00043173i,0.0013363+0.0013657i,0.0015464+0.0013042i,0.0010388+0.00032473i,-1.5988e-05+0.00027121i,-0.00025998+0.00059838i,-0.00010349+0.0009253i,-0.00021795+0.00040952i,0.00036086+0.00023111i,-0.00020735+5.335e-05i,-0.00062522-0.0005655i,-0.00010374-0.00070326i,-0.00067046-6.3399e-05i,-0.00067015+0.00011256i,-9.4182e-05+7.7641e-05i,0.00011476+0.00014352i,-3.6205e-05+0.00017341i,-0.00021649+0.00031056i,-0.00057674-3.8893e-05i,-0.0003968-0.00027761i
0.00095168+0.00055764i,0.00053772+0.0019563i,0.0013932+0.0024791i,0.0013925+0.0021843i,0.0011248+0.00075496i,0.0012371-0.0013334i,0.0013219-0.0012901i,0.00099384-0.00058058i,0.00028877+1.9081e-05i,-0.00037941+0.00056206i,-0.00082023+0.00048727i,-0.00018624-0.00040959i,0.00027533-0.00082948i,-0.0006096-0.0004641i,-0.0007804+2.2803e-05i,-0.0003265-1.4564e-05i,0.00022312-0.00044525i,0.00028209-0.00071674i,0.00018429-0.00031705i,-0.00012364+0.00013685i,-0.00040366-0.00036487i,-0.00034637-0.00027111i,-0.00043455-9.1586e-05i
0.0014226-0.0010004i,0.0013165+0.00013488i,9.0127e-05-7.1008e-05i,-0.00032935-0.00025987i,0.000514+0.00040112i,0.0019204+0.001098i,0.0020284+0.00088548i,0.00022087+0.00010831i,-0.00071545-0.00060265i,-0.00083396-0.00042733i,-0.00074203+0.00016046i,-0.00032834+0.00044605i,-0.00044808+0.00075446i,-0.00076416+0.00055022i,-0.00082284-0.00044596i,-0.00021413-0.0012112i,-0.0001146-0.00083286i,-0.00038272-0.00038961i,-0.0006175-0.00010028i,-0.00021517-7.1654e-05i,0.00046712+0.00021074i,0.00062723+0.00061696i,0.0006949+0.00077365i
-0.00018993+0.0013742i,0.00040372+0.00096186i,0.00033391+0.00060777i,7.8984e-05-0.00059684i,0.0010146-0.0011797i,0.0017314-0.00079677i,0.0013845-0.0004068i,0.00057254-0.00041908i,0.00025975+5.6341e-05i,-0.00064971+0.00090444i,-0.0013736+0.00023788i,-0.0011516-0.00061182i,-0.00065411-0.00076069i,-0.00071704-0.00064138i,-0.0011643-0.0003683i,-0.0008358-6.5629e-05i,-0.00053081-0.00034566i,-0.00053575-0.00081502i,-0.00040565-0.00028384i,-0.00019952+0.00019745i,-0.00060042+0.00068389i,-0.00036809+0.00045107i,-7.3419e-05+8.0823e-05i
0.001643-3.8775e-06i,0.0017426+0.0003992i,0.0021899-0.00025299i,0.0021268-0.0011663i,0.001029-0.00089083i,-7.4319e-05+6.8299e-05i,-0.00064738+0.00035682i,-0.00095653+0.00028599i,-0.00084886+0.00022425i,5.3765e-05-0.0004891i,0.00024384-0.0006056i,0.00044594+0.00015639i,0.0002055+0.00065698i,-0.00053288+0.0009512i,-0.00076791+0.00035468i,-0.00081764-5.5491e-05i,0.00013966-0.00051078i,0.00060363-0.00021419i,-0.00025231+0.00083193i,-0.00068948+0.00058374i,-0.00068984+0.00022913i,-0.00016126+0.00053366i,-0.00029353-5.3166e-05i
