-0.0037507+2.829e-05i,-0.0014182-0.0029056i,-0.0017335-0.0013655i,-0.00087533+0.0015792i,-0.00011614+0.0031822i,0.00058034+0.0017902i,0.0010082+0.00071712i,0.0001447+0.000578i,-0.00070601+0.00043637i,0.00013172+1.4666e-05i,0.00075273-0.00044271i,0.00045763-0.00031371i,0.0002354+0.000154i,2.9507e-05+0.00027397i,-0.00079629-5.4746e-05i,-0.0013089-8.1566e-05i,-0.00038783-8.1686e-05i,0.00059286-0.00030296i,0.0010039-9.9332e-05i,0.0011763+0.00017845i,0.0010794-0.00062039i,0.00076882-0.0006056i,-0.00022677+1.9813e-05i
0.00061991-0.00035417i,0.00032794+0.00051467i,0.00070601+0.00047699i,0.0002115+4.5742e-05i,-0.0006033+0.00076155i,-0.00033229+0.0016918i,-0.00035923+0.0013941i,-0.00036341+0.00029981i,0.00035655-0.00055749i,0.00011426-0.00078604i,-0.00075014-0.00053707i,-0.00063566-6.4463e-05i,-0.00023713+0.00078459i,-8.5513e-05+0.0012693i,3.5221e-07-0.00017949i,0.00023796-0.00098644i,0.00049872-0.00026203i,0.00048446+9.7288e-05i,0.00012167+1.643e-05i,0.00065954-0.00020344i,0.0010669-0.00059585i,0.00042636-0.00037396i,0.00039128+0.00033486i
-3.6865e-05+0.00080854i,0.00040713+7.0236e-05i,0.0015577-0.00017399i,0.0019316-0.00074912i,0.00092944-0.00084308i,-0.00068398-0.00020236i,-0.00094839-0.00017799i,-0.00096077+3.8518e-05i,-0.0012589-0.00020672i,-0.00057151-0.0010636i,5.975e-05-0.0012031i,-0.00041526-0.00029136i,-0.0011816+0.0013609i,-0.0012421+0.0016361i,-0.00024025+0.00087486i,0.0006123+0.00022959i,0.00074503+0.00029009i,0.00037809+0.0001423i,-0.00024991-0.00027074i,-0.00016672-8.9837e-05i,-0.00047174-2.9453e-05i,-0.00072976-0.0009528i,-0.00035405-0.0010564i
-3.7121e-05+0.00047881i,0.00036579-4.1064e-05i,0.0010655-0.00017359i,0.00094423-1.5678e-05i,3.531e-05+0.00031894i,-0.00017178+0.0016921i,-0.00013267+0.0019424i,-0.00019187+0.00088936i,-0.00064274+0.0006285i,-0.000202+0.00041408i,0.00098152-0.00026983i,0.00048275-0.00013642i,-0.00094943+0.00080432i,-0.0012824+0.00087406i,-0.0012388+0.00030019i,-0.00088223+0.00034311i,0.00055534+8.9715e-05i,0.001421-0.00052395i,0.0011533-0.00033272i,0.0010519+0.00039734i,0.00055845+0.00050376i,-2.0582e-06+0.00026839i,-0.00025808-0.00061292i
-0.0012827+0.00067447i,-0.00077302+0.00072376i,0.0007122+0.00087279i,0.0013373+0.00018733i,7.4194e-05-0.00057092i,-0.0011699-0.00077065i,-0.00032349-0.00069068i,0.00041591-0.0006453i,0.00049372-0.00030157i,0.00016488+0.00012838i,-0.00024976-1.827e-05i,-0.00049568+8.7693e-05i,-0.00041327+0.00021701i,-0.00080959+0.00019793i,-0.00060642+0.00029228i,0.00040445+1.4518e-05i,0.00051946+8.8301e-05i,-1.9064e-05+0.00027717i,0.00012779-8.2411e-05i,0.00020813+0.00010328i,0.00068864+0.00038115i,0.0010888+1.7148e-05i,0.00022028+3.4636e-05i
-0.00032188+0.000616i,-0.00073615+0.0001288i,-0.0011342-0.00047866i,-0.00076948-0.0011147i,-0.0010877-0.00040276i,-0.0027732+0.00096556i,-0.0022305+0.0013439i,-0.00086694+0.00091987i,-3.3122e-05+0.00049839i,0.00041673+0.0005979i,0.00065067+0.00085414i,0.00023384+0.00090518i,-0.00020113+0.00062698i,8.6226e-05+4.6777e-05i,0.00072814-0.00049975i,0.00059792-0.00045857i,0.0004209-0.00028594i,0.00060926-0.00033193i,0.0010187-0.00041114i,0.00119+3.1794e-05i,0.00094127+0.00056853i,0.00017617+0.00049524i,0.00020968-0.00060911i
-0.00059387-0.00010892i,-0.00022011+0.00054453i,0.00089184+0.0011873i,0.00093583+0.00033919i,0.001161-9.4624e-05i,0.0016801+0.00069786i,0.00072723+0.0014596i,-0.00051346+0.0006225i,-0.00061313-8.6075e-05i,-0.0003072+0.00038273i,-2.72e-05+0.00069785i,1.6961e-08+0.00099291i,-8.8247e-06+0.00069049i,0.00014725+0.00071875i,-0.00035686+0.001601i,-0.00072663+0.00089317i,-0.00050084-0.00068282i,-0.00013922-0.0011328i,0.00011974-0.0010288i,0.00090972-0.0012592i,0.0013392-0.00077823i,0.00079312-9.6475e-05i,8.5827e-06-0.00019583i
0.0019548-0.0019885i,0.0017051-0.0018955i,0.0026598-0.0033373i,0.0022398-0.0036953i,-0.00027416-0.0031636i,-0.0010105-0.001615i,-0.00034951-1.5962e-05i,-0.00034677+8.4874e-05i,-0.00020893-0.00061902i,8.4181e-05-0.00035578i,-0.0005259+0.0004943i,-0.00068425+0.00082033i,-0.00014236+0.00023385i,0.00028119+0.00029175i,0.00052864+0.00029718i,0.001026+0.00042093i,0.00026826+0.00092519i,-0.00073096+0.0010439i,-0.00072544+0.00051517i,-0.00057293+0.00045204i,-0.00035109+0.0007863i,-0.00036561+0.0005829i,-0.00030615+8.6715e-05i
-0.0009189+0.00022746i,-0.00098224+0.0013212i,-0.00071847+0.001033i,0.00037484+0.00086334i,0.00057567+0.0012358i,-0.00037482+0.0020255i,0.00054144+0.0013977i,0.00071145+0.00071397i,-0.00050253+0.00035532i,0.00028304+0.0001611i,0.0013401+0.00095724i,0.00086603+0.0012787i,0.00049227+0.00091867i,0.0011184+0.000742i,0.00097423+0.00099636i,0.0001722+0.00054882i,-0.0003643-0.0005566i,-0.0006657-0.00089061i,-0.00060469-0.00037812i,-0.00026275-0.0004475i,-0.0004217-0.00012136i,-0.0004382+0.00053884i,0.0007752+0.00059577i
-0.00092193+0.0011572i,-0.0014255-0.0002293i,-0.000209+2.1737e-05i,0.00065797+4.9404e-05i,0.00015451-0.00035283i,0.00022743-0.00049153i,0.0004123+7.1305e-05i,-0.00021106+0.00016743i,-5.9929e-05-0.00038062i,0.00019286-0.00061168i,0.00050195-0.00081866i,0.0005585-2.2443e-05i,0.00056077+0.00036886i,0.00011848+7.3537e-05i,-0.00036532+0.0002784i,1.3839e-05+0.00044867i,0.00021166+0.00054932i,0.00010628+0.00077756i,0.0001959+0.00030603i,0.00047332+1.2907e-05i,0.00055196+6.7349e-05i,0.00062894-0.00042088i,0.00010881-0.0006i
-0.00040698-0.00078019i,0.0004607-0.0010937i,8.1793e-05-0.0010135i,0.00019191-0.00083386i,0.00075388-0.00011562i,0.00037784+0.00078669i,-0.00061767+0.0016682i,-0.00090386+0.0015165i,-0.00066054+0.00046856i,-1.9156e-05-1.4116e-06i,0.00024171-0.00030388i,2.6525e-05-0.00016112i,-0.0005057-0.00035195i,-0.00075399-0.00083383i,-0.00046519-0.00018642i,-7.2334e-05+0.00056673i,0.00016333+0.00028819i,0.00039702+0.00066009i,0.00060454+0.00079037i,-0.00015507+0.00070275i,-0.00036795+0.00023006i,0.00054482-7.9754e-05i,0.00074159-6.1986e-06i
