-0.00091284+0.00055157i,-1.7949e-05-9.2672e-05i,-0.0010238-0.00023928i,-0.0018311+0.0006809i,-0.0025506+0.002016i,-0.0022717+0.0017257i,-0.0017555+0.00083183i,-0.00082638+0.0011048i,0.0002086+0.001131i,0.00083146-0.00011452i,0.00076606-0.0012243i,0.00025742-0.0015774i,0.00016247-0.00062384i,0.00042116+0.00057885i,0.00026429+0.00078968i,-0.00010835+0.000298i,-0.00091351+3.2951e-05i,-0.0009885+0.00055215i,-0.00063774+0.00063785i,-0.00057583-0.00037448i,-0.00049553-0.00077519i,-0.00010165-0.00019743i,0.0004165+0.00061386i
-0.00027564+0.0012736i,0.00082429+0.00016481i,0.0015697-0.00043836i,0.0013719-0.00029953i,0.000273-0.00056142i,-0.00072004-0.001338i,-0.00060122-0.00058574i,-0.00041223+0.00049906i,0.00011896+0.0011573i,0.00037091+0.0013648i,-8.166e-05+0.00056261i,-0.00060882+0.00020623i,-0.00065755-0.00012523i,5.9872e-05-0.00060892i,-0.0001611-0.0003006i,-0.00052893+0.0001957i,1.1212e-05+0.00047422i,-6.4231e-05-2.7503e-05i,1.5629e-05-0.00044654i,0.00072061+0.00029352i,0.00074464+0.00079386i,0.00029302+0.00022736i,-0.0001587-0.0001195i
-0.00050812-0.0013443i,-0.00064576-0.0012943i,-0.00048335-0.0015598i,-0.00088709-0.0018664i,-0.00057149-0.00061317i,0.00014742+0.00089993i,-2.1565e-05+0.00079573i,0.00059201-0.001022i,0.0015944-0.0013062i,0.00025559-0.00052188i,-0.00058497-1.698e-05i,0.00061922+0.00043374i,0.00057694+5.8921e-07i,-0.00047634+0.00021478i,-0.00063029+0.0004782i,-0.00022078+0.00019374i,-0.00058638-0.00019139i,-0.00031487-7.8368e-05i,4.581e-06+0.00041379i,-0.00059356-5.1536e-05i,-0.00080058-0.00099724i,-8.6568e-05-0.0010514i,0.00035713-0.00024034i
-0.0011973+7.6868e-05i,-0.0021357+0.00019046i,-0.002903+2.2479e-05i,-0.0026489-0.00059035i,-0.0016646-8.1672e-05i,-0.0013335+0.0008217i,-0.0015658+0.00062459i,-0.0011096+0.00081536i,-0.00030309+0.0012399i,0.00054373+0.0011407i,0.00027558+0.0008793i,-0.00044236+0.0010364i,-0.00058426+0.00086994i,-0.00047115+0.00052201i,-0.00049271+0.00034864i,-0.00044814-0.00033026i,0.00047471-0.00093514i,0.0016285-0.00045766i,0.0012249+0.00010524i,0.00010704+0.00023406i,-0.0010069+9.6642e-05i,-0.001409-0.00028819i,-0.00045936-0.0011083i
-0.00049354-0.00078061i,-0.0016422+6.8823e-06i,-0.0019984+0.00018659i,-0.0016621+0.00041021i,-0.0013482+0.00079516i,-0.0009038+0.00089002i,-0.00051488+0.0011628i,-0.00033328+0.00027946i,-2.2467e-05-0.00099592i,-2.3436e-05-0.00065725i,0.00019009-0.0010353i,0.00050905-0.00093395i,0.00061167-0.00031308i,0.0004287-0.00059254i,-3.6388e-05-0.00031763i,-0.00040322+0.00049859i,-0.00024974-1.4213e-05i,0.00023796-0.00034324i,0.00014239-0.00031807i,-1.0077e-05-0.00015614i,-0.00019662-1.0715e-05i,-0.00052848-0.00048895i,-0.00016052-0.00095807i
-0.001671+6.0136e-05i,-0.0021879+3.8809e-05i,-0.0026595-0.00021299i,-0.0022057+0.00055811i,-0.0010284+0.0017953i,3.778e-05+0.0019008i,0.00029968+0.0008173i,-9.6395e-05+0.00010276i,0.00052118+0.00013814i,0.0003854+9.9322e-05i,-0.00016752-2.1824e-05i,0.00027634+0.00029476i,0.0010305+0.00015584i,0.00089031-9.5763e-06i,0.00033644-0.00010362i,0.00089916-0.00049382i,0.00070012-0.00037994i,-0.00072311-2.4901e-05i,-0.00077978-0.0001702i,-0.00045257+0.00013699i,-0.0005019+0.00022395i,-0.00069494-0.00035272i,-0.0002045-0.00039121i
0.0011636+0.001153i,0.0018453+0.00072831i,0.0016385+0.0010667i,0.00082988+0.00049957i,0.00060059-0.00052779i,-0.00014067-0.00070017i,-0.00094494-0.00033879i,-0.00057672+0.00064797i,7.7922e-05+0.0013011i,-0.00016246+0.0005305i,6.1165e-05-0.00019549i,0.00040143-2.6903e-05i,-0.0001248+0.0002757i,-0.0010716+0.00045515i,-0.00097019+0.00050112i,-0.00052129-3.7334e-05i,-0.00052303-0.00050031i,-0.00070319-0.00079211i,-0.00082161-0.00086034i,-0.00098239+0.00034076i,-0.00049188+0.0019017i,0.00017412+0.0012486i,0.00059522-0.00061935i
0.00089708-0.00030648i,0.0021399-0.00096025i,0.0024311-0.00078353i,0.00031326-0.00053736i,-0.001209-0.00093675i,-0.0014881-0.0012958i,-0.0015244-0.00056754i,-0.00061793+0.00039494i,0.00021734+0.000587i,-0.00024749+3.8523e-05i,-0.00048431-5.6817e-05i,-0.00022885+0.00012128i,-0.00035093+0.00016656i,-0.00025534+0.00047735i,-0.00019457+0.00044694i,0.00017676+0.00064939i,0.00035084+0.0011155i,-0.00045352+0.00096369i,-0.000876+0.00035796i,-0.00012588-0.00029799i,-6.0265e-06+0.00021048i,0.00016767+0.00071571i,0.00033669+0.00023596i
0.00049898-0.00079195i,0.00017054-0.0017254i,0.00062409-0.0021615i,0.00026769-0.0015011i,0.00029824-0.00096828i,-0.00021724-0.00034714i,-0.0009674-0.00013407i,-0.00046054+0.00021446i,0.00025998+0.00075802i,0.00042037+0.00035477i,5.627e-05-0.00021531i,0.00074515-0.00057322i,0.0013279-0.00077019i,0.00084061-0.00085643i,0.00021132-0.00082818i,-0.00027094-0.00034044i,-0.0006014+4.4363e-05i,2.2357e-05-0.00046406i,0.00044252-0.0010508i,-0.00020653-0.00067765i,-0.00028963+0.00020087i,-0.00049464+0.00055904i,-0.00080347+0.0010818i
-0.00013234+3.5615e-05i,0.0012248+0.00070051i,0.00083725+0.00066279i,2.3437e-05-1.5513e-05i,0.00029609-0.00037045i,0.00023392-0.00066063i,-0.000574+2.1341e-05i,-0.0010933+0.0004824i,-0.00087312+0.00059964i,4.276e-05+0.00025918i,0.00031932-0.00015597i,3.5308e-05+7.55e-05i,-0.00015167+0.0010083i,0.00011432+0.0013833i,0.00015525+0.00060888i,0.00015279-9.5883e-06i,0.00011742-2.9537e-05i,-0.00016331+5.7266e-05i,5.9e-06+6.3773e-05i,0.00055843-0.00014107i,0.00040598-0.00044703i,0.00013718-0.00032994i,-0.00037063+0.00031244i
0.0012651+0.000782i,0.00072561+0.00064749i,0.00052807+0.00068877i,0.00019803+0.00032636i,-0.00073559-0.00033409i,-0.0012035-0.00042129i,-0.0013571-0.00031123i,-0.0011276+0.00012082i,-0.00053447+0.00091907i,-0.00031699+0.0010858i,-3.9882e-05+0.00015989i,0.00045659-6.8026e-05i,0.00047318+0.00025596i,0.00031617-0.00026626i,0.00038581-0.00024616i,0.00010454+1.3028e-05i,0.00024941-0.00051204i,0.00063918-0.00050031i,0.00079443-0.00023074i,0.0006143+9.2858e-05i,0.00014113+9.0193e-05i,-2.0401e-05-0.00028425i,-0.00018954-0.00059511i
