6.6125e-05-0.0023272i,-0.00031957-0.0021132i,-0.0011839-0.0012816i,-0.00071805+0.00039256i,0.00073324+0.0019151i,0.0010801+0.0021184i,0.00018085+0.0016673i,-0.00053674+0.0015359i,-3.372e-05+0.0012782i,0.0002142+0.00060574i,-0.00019956+0.00070075i,-0.00037326+0.0009707i,-0.00023028+0.00071782i,0.00034578+8.6441e-05i,0.0008467+6.0487e-05i,0.00054953+0.00037656i,0.00033739-1.808e-05i,0.00056798+0.00022017i,0.00025831+0.00086913i,-0.00035977+0.0004611i,0.00011884-0.00023881i,0.00054625+0.00035291i,-0.00016322+0.00095339i
-0.0013382-6.0019e-05i,-0.00061421+0.0010525i,-0.00084153+0.0013968i,-0.00035806+0.0011571i,0.00098248+0.0012007i,0.0015855+0.0013708i,0.0011914+0.00057106i,0.0006478+0.0001891i,0.00081847+0.00076731i,0.00076061+0.00014289i,0.0007801-0.00078808i,0.00064039-0.00090186i,0.00023007-0.00053586i,-8.351e-05-0.00041823i,0.00010896-3.4337e-05i,0.00040303+3.9981e-05i,0.00018917-0.00014498i,-0.0004472-0.00025835i,-0.00029314+2.518e-05i,0.00034415+8.1665e-05i,0.00045487+0.00016873i,0.00023907+0.00044842i,-0.00026239+9.8481e-05i
-0.0026065+0.0010479i,-0.0027813+0.00068507i,-0.0011299+0.0010972i,0.0011654+0.0019867i,0.0018285+0.002422i,0.0010889+0.0014054i,-0.0002543+0.00057619i,-0.00050703+0.00052396i,-1.8561e-05+0.00067825i,-0.00042163-0.00014725i,-0.00068693-0.0011761i,-6.7393e-05-0.00056066i,0.00088497-6.4804e-05i,0.0012719-0.00073494i,0.00027421-0.0012023i,-0.00057722-0.0008997i,-0.00076379+0.00011178i,-0.00088231+0.00011502i,-0.00068548-0.00026402i,-0.00062706+6.0406e-05i,-0.00040597+0.00061203i,-0.00053693+0.00053348i,-0.00068523+6.1515e-05i
-0.0024988-0.00036606i,-0.002936+0.00031019i,-0.0020435+0.0012341i,-0.00031407+0.0013972i,0.00034193+0.001729i,0.0010909+0.0016441i,0.001578+0.00063477i,0.00016187-0.00024855i,-0.0010963-0.00054247i,-0.0010535-0.00010022i,-0.00053608+0.00022376i,-0.00043894-0.00014474i,-0.00084966-0.00019623i,-0.00049101-0.00063351i,-0.00023114-0.0004918i,-0.00013156+0.00038161i,-0.00017987+0.00060709i,-0.00033593+9.9771e-05i,0.00029319-0.00031269i,0.00086341+0.00023198i,0.00029695+0.0007126i,-0.00064448-1.8318e-05i,0.00011946-0.00018083i
-0.00050435-0.00039597i,0.00071725+0.00012927i,0.00078952+0.00078766i,0.00064968+0.0017918i,0.00055726+0.0025324i,0.00058495+0.0018004i,0.0006216+0.00054964i,0.00068211-0.00025774i,0.00071673-4.6439e-05i,0.00028016-0.00024584i,0.00019483-0.00092095i,0.00012408-0.00026834i,-0.00056832+0.00061903i,-0.00065193+0.0010367i,-7.6786e-05+0.00067217i,0.0005503+0.00030832i,0.00034006+0.00048681i,-0.00063624-0.00020506i,-0.0013581-0.00076416i,-0.0010672-0.00014749i,-5.869e-07-6.1028e-05i,0.0010045-6.2199e-05i,0.00042057+0.00023823i
-0.0032722+0.0018431i,-0.0022031+0.0018012i,0.00094034+0.0019651i,0.002423+0.0018016i,0.0025101+0.0023398i,0.0020679+0.0019667i,0.0012955+0.00069841i,0.0011616+0.00022121i,0.0015087+0.00040716i,0.0010398+0.00048351i,0.00056878+0.00051832i,0.00072869-0.00032381i,0.0001699-0.0013495i,-0.00056981-0.001514i,-0.0010201-0.001544i,-0.00042784-0.00056712i,0.00036911+0.00096692i,-0.00021074+0.0010282i,-0.00067248-0.00021925i,-0.00083421-0.00079136i,-0.00096565-0.00038165i,5.9087e-05-0.00040528i,0.00070618-0.00017892i
0.0014648-0.0011125i,0.0019806-0.0014287i,0.00078952-0.0022182i,-0.00043415-0.0019113i,-0.00074935-1.7306e-05i,-0.00011203+0.0011855i,0.00045816+0.00082171i,-4.7322e-05+0.00053012i,-0.00017092+0.00053357i,-0.00038325-0.0001202i,-0.00076249-0.000643i,-0.000349-0.00016886i,9.1728e-05-0.00032689i,0.00019763-0.00034199i,-0.00023023+0.00023415i,-0.0011937-0.00017522i,-0.00080255-0.00098705i,4.7348e-05-0.00075644i,5.8176e-05-0.00029834i,-2.1265e-08-3.8481e-05i,-0.00048668+0.00028048i,-0.00020392-4.8637e-06i,0.00020904-0.00048476i
0.0011127-3.9774e-05i,0.0013375+9.0606e-05i,0.00081595-6.0471e-05i,-9.1454e-05-0.00045148i,0.00028755+0.00070613i,0.0013727+0.0013958i,0.00090255+7.8779e-05i,0.00045272-0.00062349i,0.0011808-0.00033705i,0.00091069+0.00010348i,0.00016732+0.00036672i,-0.00016961-2.5465e-05i,0.00018288-0.00013919i,0.00038063+0.00033647i,8.7437e-06+0.00037079i,-0.00012116-0.00026545i,0.00031045-0.00063444i,0.00031885-0.00039813i,0.00011389+3.6376e-05i,0.00018346-6.8189e-05i,0.00035077-0.00069722i,0.00029246-0.00030407i,-0.00046229-0.00021784i
0.0018135-0.00071621i,0.0028876-0.00092202i,0.0022549-0.0010257i,0.0012436-0.0009242i,0.00062286+0.00048103i,0.00019321+0.00078427i,0.0001153-0.00027753i,-0.00028685+0.0003003i,-0.00023309+0.00045928i,-0.00032712-0.0006865i,-0.00019186-0.00086031i,0.00046682-0.0005027i,-0.00018912-0.00048832i,-0.00072377+1.2307e-05i,-0.00033221+0.00052837i,-0.00024332+0.00032885i,-0.00060012+0.00033289i,-0.00087787-0.00020168i,-0.00068029-0.0002261i,-3.123e-05+0.00073496i,0.00036089+0.00069085i,0.00063562+7.3215e-05i,0.00095413+3.9628e-05i
-0.0016325+0.00046403i,-0.0018802-0.00087174i,-0.00074186-0.00081471i,0.0014335+0.0012322i,0.0020927+0.0024954i,0.0011962+0.0020919i,0.00053367+0.0021941i,0.00030579+0.0017337i,0.00041968+8.4431e-05i,0.00050665-0.00022329i,-9.3849e-05+0.00010691i,-0.00039663-0.00033104i,9.1258e-05+1.3126e-05i,0.00018389-0.00022411i,-6.8418e-05-0.0013565i,1.5848e-05-0.0011192i,0.00012321-0.00022782i,-0.0001389-4.3034e-05i,-0.00087677-7.0502e-05i,-0.0010362-0.00040066i,-0.00074424-0.00034743i,-0.00072559+0.00015299i,0.00011823+0.00011631i
-0.0015807-0.0012243i,0.00092897-0.0026451i,0.0016443-0.00063518i,0.0019887+0.0017302i,0.0019202+0.0020016i,0.0015007+0.00084588i,0.00092923-0.00021032i,0.00020367-6.5199e-05i,-1.8485e-05+0.00050188i,0.00034582+0.00011188i,0.00063201+0.00023676i,-1.4572e-05+0.00028904i,-0.00027513-0.00045492i,0.00019552-0.00064259i,0.00034437-5.9863e-05i,-3.8979e-05-0.00020252i,0.00056274-0.00082193i,0.00099126-0.0013371i,-0.00017362-0.0010616i,-0.00059845-0.00033195i,-0.00020648+4.3469e-05i,-9.3918e-05+0.00016538i,9.7682e-05-0.00019703i
