-0.0026099+0.0011001i,-0.0011436-0.0013677i,-0.0025915-0.0021024i,-0.0022352-0.00035285i,-0.00023577+0.0019965i,0.0017627+0.0019378i,0.0015496+0.0010077i,0.00024668+0.00080581i,0.00083702+0.00086799i,0.0015106-6.7192e-05i,0.00065462-0.0011236i,-0.00029776-0.0011889i,-0.00071564-0.0010598i,-0.00057688-0.0011608i,2.508e-05-0.000339i,0.00030549+0.00046151i,0.00064998+0.00037057i,0.0001707-0.00044534i,-0.0004253-0.0012245i,-0.00023034-0.0010751i,0.00013878-0.00038922i,0.00036593+2.1834e-05i,0.00029931+0.00023725i
-0.00070917-0.00022281i,-0.00059481+0.00053863i,-0.0017484+0.0010718i,-0.0022868+0.0023162i,-0.0010193+0.0034925i,0.0012494+0.0036928i,0.0016257+0.0025032i,0.00044232+0.00072115i,-0.00057986+0.00029212i,-0.00088441+0.00088685i,-0.00040188+0.00072092i,-0.0002655+0.00033149i,-0.00088107-0.00015862i,-0.00097326-0.00047311i,-0.00034417-6.7338e-05i,0.00077302+0.00068373i,0.0013221+0.00068646i,0.00061202+2.5545e-05i,-0.00027571+9.6756e-05i,-0.00025486+0.0005539i,-1.1744e-05+0.00011044i,-0.00023626-0.00086542i,-0.00015099-0.00054993i
0.0023481+0.00051676i,0.0019168+0.00037878i,0.00142-0.00062471i,0.00028974-0.00093717i,-0.00046053-0.00046579i,-0.00060249-6.6317e-06i,-0.00092607-0.00030288i,-0.0014858-0.00043411i,-0.0013997-0.00010238i,-0.00045112-1.9599e-05i,-0.00020758+8.7352e-05i,-0.00032863+0.00014362i,-9.7294e-05+0.00078601i,-0.00035187+0.0014016i,-0.00011431+0.0016646i,0.00066391+0.0018149i,0.00031372+0.00083721i,-0.00035213+0.00016597i,-0.00029719+5.7851e-05i,-0.00012823+8.5663e-05i,-0.00060203+1.7558e-05i,-0.00099764-0.00018476i,-0.00060803-0.00056307i
0.0008599-0.0012776i,0.0010222-0.00029632i,0.0011137-0.00015534i,0.0016192-0.00049078i,0.0011339-0.00019151i,0.0012982+0.00082333i,0.00087187+0.001304i,-0.00061194+0.00026468i,-0.0010384-0.00040122i,-0.00076012-0.00062972i,-0.0010128-0.00056987i,-0.00082013+2.9416e-05i,0.00032886+0.0003338i,0.00075886+0.00041506i,0.00034007+0.0010186i,6.2824e-05+0.00088343i,-0.00026184+0.0001622i,-0.00035735+7.1121e-05i,0.00010924-0.00027213i,0.00042741-0.00078396i,0.00072665-0.00062198i,0.0011963+0.00016151i,0.001087+0.00049489i
-0.0006099+0.0012419i,-0.00083801-4.7183e-05i,-0.00030866-0.00054851i,0.00064817-0.00015822i,0.0011555-0.0002901i,0.0010568-4.8769e-05i,0.00018065+0.00065651i,-0.00049597+0.00031566i,0.00021859+0.00053689i,0.0011335+0.0006013i,0.00011733+6.759e-05i,-0.001067+0.00029427i,-0.0010923+0.0008868i,-0.00074712+0.00094046i,-0.00043875+0.00081609i,-0.00044574+0.00046091i,-0.00041562+0.0003042i,-0.00049795+0.00040228i,-0.00010495+0.00041426i,0.00072166-9.1515e-05i,0.0002285-0.0011169i,3.7947e-05-0.0014115i,0.00083148-8.6334e-05i
-0.00027528+0.00015185i,-1.9408e-05+0.00082437i,-7.3997e-05+0.001375i,-0.00093131+0.00082622i,-0.00080061+0.00089876i,-0.00016198+0.0014745i,4.7242e-05+0.0012118i,-0.00044597+0.001199i,-0.00023521+0.00082812i,0.00057783+0.00055696i,-8.603e-05+0.00044555i,-0.00034045-0.00035741i,0.00071766-0.00018177i,0.00068502+0.00055959i,0.0003593+0.00063219i,0.00026563+0.00071091i,-0.0003924+0.00088818i,-0.0011172+0.0013015i,-0.0011821+0.00078723i,-0.00092829+0.00016098i,-0.00056383+0.00071186i,-0.00056212+0.00063492i,-0.0013589+2.9043e-05i
0.00052126-0.00067613i,0.00021714-0.00080308i,-0.00027502-0.0027611i,-0.00045847-0.0031856i,-0.00093385-0.00096998i,-0.00099737+0.00098501i,-0.00021048+0.0013537i,9.1371e-05+0.0013614i,-8.6728e-05+0.00095451i,-0.0003724-4.4398e-05i,-0.00034344+1.4812e-05i,-0.00048149+0.0007595i,-0.00024064+0.0013477i,0.00071745+0.0013196i,0.0010189+0.0011539i,0.00028971+0.0005856i,0.00022453-0.00010696i,0.0010822+0.00040435i,0.00098075+0.0012341i,-6.1554e-05+0.00094142i,-6.7316e-07+0.00027158i,0.0006762+0.00031552i,0.00070325+0.00044846i
-0.00050427-0.00042686i,-0.00071583-0.0013835i,-0.00094885-0.0016221i,-0.00056839-0.00040934i,0.00037356+0.00054209i,0.0013639+0.00069353i,0.0011413+0.00056285i,0.00046975+0.00056932i,-4.023e-05+0.00094574i,-0.00045904+0.0013683i,-0.0001511+0.00068058i,-0.00012549+6.1746e-05i,-0.00053873-0.0003751i,3.5526e-05-0.00035573i,-0.00046927+0.00071726i,-0.0012753+0.0013003i,-0.00070528+0.00057231i,-8.4663e-05+5.5506e-05i,-0.00014077-0.00013827i,-2.7422e-05-0.00012767i,0.0006867+0.00033504i,0.00053889+0.00071396i,0.00012256+0.00017427i
-0.0013379+0.0017431i,-0.0013657+0.0021002i,-0.0010092+0.0034736i,0.0001123+0.0025486i,0.0010761+0.0011104i,0.00013555-0.00015139i,-0.0013563-0.00025321i,-0.0016946+0.00039725i,-0.0013384+0.00094099i,-0.00063519+0.0004703i,-0.00062017+4.5547e-06i,-0.00079921-0.00039538i,-0.00055496-0.00034602i,-0.00010134-0.00021936i,-0.00027718-0.00017285i,-0.0012951+0.00057867i,-0.0012893+0.00072441i,-0.0002184+2.3354e-05i,0.00034991-0.00019671i,-0.00033183-0.0001488i,-0.00075379-0.0010366i,-0.00012124-0.00091948i,-0.0007121-0.00043178i
0.00021923-0.00056452i,0.00017394-0.001228i,0.0015432-0.00090636i,0.0018063-0.00078968i,0.0015856-0.00079643i,0.0018605+0.001327i,0.00073562+0.0013835i,-8.5815e-05+0.00068047i,-0.00044214+0.0012452i,-0.00058185+0.00084606i,-0.00012075+0.00059598i,-4.3345e-05+0.00068099i,-0.00051591+0.00019793i,-9.0712e-05+0.00016641i,0.00051444+2.4572e-06i,0.00037217-2.6357e-05i,0.00010558-7.0475e-05i,-0.00026719-0.00044769i,-0.00050013-0.00062863i,-0.0009501-0.00048017i,-0.00087285-0.00034217i,-5.2301e-05+0.00011702i,0.00043931+0.00043168i
0.00021652-0.0025319i,0.00014304-0.0013541i,-0.0014758-0.0011749i,-0.0025323-0.0013663i,-0.001176-3.8591e-05i,0.00022547+0.0015314i,0.00098263+0.0019078i,8.904e-05+0.0010769i,-0.0010783+0.00017125i,-0.00049112+0.00021198i,0.00030759+0.00054405i,7.7477e-05+0.00056773i,-0.00025424-0.00015573i,5.3525e-05-0.00034765i,0.00064081-0.00037962i,0.00081316-0.00013866i,0.0004465-0.00017768i,-0.0002731-0.00060513i,-0.00034562-0.00065269i,-7.6594e-05-0.00061649i,0.00047947-0.00055085i,0.0010359-0.00032684i,0.00066705-0.00030847i
0.00052442-7.0177e-06i,-0.00059345+0.001139i,-0.0010431+0.0010055i,-0.00040768+0.0011291i,0.00041556+0.00084872i,0.00061769+0.00061629i,0.00014876+0.00044734i,-0.00084787+0.00011545i,-0.0010457-0.00060615i,-0.00056259-0.001134i,-0.00049978-0.00087003i,-0.00072396-0.0007178i,-0.00034158-0.00011702i,-0.00083703+0.000396i,-0.00048735+9.521e-05i,0.00021224-6.2111e-05i,-0.00032516-1.1561e-05i,-0.00020188+7.8908e-05i,-0.0002559-0.00013765i,-0.0009544-8.7087e-05i,-0.0005468-0.00030493i,0.00018575-0.000419i,0.00059496-0.00014624i
0.00082622-0.00018927i,0.0009483+0.00044354i,0.00033551-0.00029146i,-0.00049117-0.00050956i,-4.5674e-06+8.7139e-05i,0.00055189+0.00052278i,-6.7567e-05+0.00071771i,-0.00093975+0.00055005i,-0.001408-1.7363e-05i,-0.0010965+0.00026366i,-0.00028538+0.00053009i,8.077e-05-0.00010341i,-3.515e-05+0.00014582i,-0.00026027-0.00011552i,0.00073765-0.00029457i,0.001035+0.00011668i,0.00029451-0.00049937i,6.3358e-05-0.0011067i,0.00010351-0.00083932i,-0.00049943+0.00019089i,0.00041295+0.00065532i,0.001465+0.00033267i,0.00098864+0.00012821i
-5.1319e-05-0.00087832i,0.00020518-0.0010263i,-0.00035649-0.00098859i,0.001082-0.00066735i,0.002831+0.00041047i,0.0025792+0.0018309i,0.00062244+0.0017794i,-0.00076141+0.00128i,-0.00087775+0.00086794i,-0.00019634+6.4289e-05i,0.00013061+3.3376e-05i,-0.00050478-0.00036045i,-0.00021215-0.00045801i,0.00040157+0.00015715i,0.00016461-0.00058723i,-0.00020117-0.0012592i,0.0001914-0.00067371i,0.0014615-0.00016018i,0.0013636+0.0010538i,0.00020661+0.0010508i,-0.00018043+0.00043484i,-0.00030165-5.0278e-05i,7.7578e-05-0.00030945i
0.00092312+0.0020054i,0.00029604+0.0018828i,-0.00040319+0.0017025i,-0.00096906+0.001362i,-3.2149e-05+0.0002538i,-6.4935e-05+8.895e-06i,-0.0010735+0.0012985i,-0.0011827+0.00098419i,-0.00085979-0.00017525i,-0.00030376-6.8119e-05i,-0.00043404+0.00027974i,-0.001085+0.00096252i,-0.0011354+0.00087049i,-8.5554e-05+0.00098766i,0.00062163+0.0013479i,0.00034656+0.00087295i,-7.8326e-05+0.0002129i,0.00014475-0.00074065i,0.00037123-0.00086809i,0.00033199-0.00019206i,0.00019186-0.00047493i,0.00052796-0.00091912i,0.00070066-0.00021628i
-0.00038207-0.0010738i,0.0004228-0.00021672i,0.00076279+0.00023398i,-0.00043898+0.00028808i,-0.00040655+0.0014453i,0.00070108+0.0019278i,0.00054958+0.00057401i,0.00014545-0.00018985i,0.0001796-0.00060789i,0.00057446-0.00038914i,-0.00017717+0.00036558i,-0.0011385+0.00030922i,-0.00050369-0.00016289i,0.00081766-1.2412e-05i,0.0010355+0.0004154i,0.0010877+0.00031725i,0.0011356-5.3346e-05i,0.0006461-0.00040266i,-0.00018909-0.0004034i,-0.00049852-0.0004246i,0.00084867-0.001084i,0.0010663-0.00051273i,5.2819e-05-6.1634e-05i
0.0012039+0.00058107i,0.00030387+0.00011707i,-0.00029254-0.0014296i,-0.00086875-0.0024951i,-0.00026132-0.0022543i,0.00010438-0.001524i,-0.00031533-0.00031112i,-0.00051925+0.0008784i,3.8841e-05+0.0010706i,5.8482e-05+0.00022151i,-0.00076481-0.00081691i,-0.00052536-0.00026102i,-0.00069252+0.0011162i,-0.00076074+0.0012787i,-1.5641e-05+0.00059904i,-4.2003e-05-0.00014597i,0.00018871+0.00017612i,-0.0001073+0.0010708i,-0.00043256+0.00029258i,-0.0006129-0.00069522i,-0.00060874-0.00083684i,-0.00017701-0.00055098i,0.00032804-0.00021506i
-0.00048443-0.00036527i,-0.0007499-1.2558e-05i,-0.00074759-0.00079257i,5.1667e-06-0.0012053i,-3.3355e-05-0.00023776i,-0.00061687+0.00087077i,-0.0003348+0.0010181i,-0.00036813+0.0002281i,-0.0010759-0.00025715i,-0.00083167-0.00069172i,-0.00035239-0.00064511i,-0.00021276+0.0001638i,-0.00035308+0.00032624i,-0.00085416+0.00015322i,-0.00073921+0.00076653i,-0.00022557+0.00067901i,-0.00051445+0.00018927i,-0.00075867+0.00037016i,-0.00062232+0.00096551i,-0.00048025+0.0011026i,5.2076e-05+0.00016897i,0.00062758-3.2549e-05i,0.00069844-6.5738e-05i
-0.00045925-0.00072515i,-0.00022728-0.0012116i,0.0011697+1.0133e-05i,0.0019497+0.0008655i,0.0016283+0.0010262i,0.00086347+0.0013142i,-0.00012998+0.0015991i,-0.0012957+0.0011542i,-0.0018636+0.00080807i,-0.0010414+0.00099778i,-0.00026879+0.00091141i,-0.00021929+0.00068731i,-0.0007842+0.00052116i,-0.0011827+0.00017806i,-0.0013398+0.00042473i,-0.0015106+0.00048519i,-0.00096721-0.0001535i,-0.00028671-0.00043951i,0.00027748+0.00025925i,0.0006885+0.00079921i,0.00029777+0.00021586i,0.00026016-9.7387e-05i,0.00023154+4.0286e-05i
0.0003622+0.00097322i,-0.00067643+0.00058572i,-0.00044376+0.00056934i,0.00032117+0.00029233i,-0.00040968+0.00011793i,-0.00013002+0.00050211i,9.6078e-05+0.0011704i,-0.00038149+0.0015274i,-0.00077764+0.0014181i,-0.00069529+0.001056i,-0.00033525+0.00080206i,-0.00014128+0.00025424i,0.00025126+0.00031071i,0.00027007+0.00084006i,-0.00039511+0.00071612i,-0.00068168+0.00066505i,1.9954e-05+0.00041263i,0.00079189-7.348e-05i,0.00088973-0.00042737i,0.00046536-0.00039769i,-0.00013959-0.0002697i,-0.00065881-0.00042733i,-0.00024059-0.00015961i
-0.00051345-0.00036664i,-0.00085476-0.0010256i,-0.0022096-0.0015619i,-0.0021059-0.00047377i,-0.0016826+0.0011628i,-0.0010587+0.001643i,-0.00038757+0.0013463i,-0.00044476+0.00082584i,-0.00049076+0.00072131i,-0.00013275+0.0011241i,0.00030357+0.00084582i,-2.567e-05+0.00044135i,-0.00079348-3.3669e-05i,-9.0153e-05-0.00058293i,-4.5007e-05-0.00033299i,-0.00069626-0.00044711i,-0.00071429-0.0002804i,-0.00078519+0.00056349i,-0.00096084+0.00041828i,-0.00024909-0.00049666i,0.00050293-0.00064135i,0.00038621-4.9059e-05i,0.00040192+0.00023151i
0.0015563-0.00026779i,0.0026721-0.00066554i,0.0013866+0.00045432i,-4.3472e-05+0.00111i,0.00030205+0.00046484i,0.00065601+0.00038759i,-0.00045837+0.00020333i,-0.0012312+3.8224e-05i,-0.00081938+0.00011708i,-3.3304e-05+0.00031229i,0.00038383+0.0001109i,0.00052316-0.00030601i,-0.00010692-0.00022153i,-0.00048055+9.6096e-05i,1.4479e-05+0.00093014i,0.00015378+0.0011412i,-0.00011771+0.0005925i,-0.00052874+0.0002914i,2.7981e-05+0.00032709i,0.00043462-0.00018961i,0.00019988+0.00027893i,-0.00039689+0.00071147i,-0.00012718+0.00030869i
-0.0012384-0.00065291i,-0.00048154-0.00020596i,-0.00026478+0.00043409i,-0.00031299+0.0013278i,-9.7626e-05+0.0025946i,0.0004418+0.002064i,0.00063822+0.0011029i,-0.00027615+0.00054687i,-0.001258+0.00031994i,-0.0014892-2.9379e-05i,-0.001205-0.00034954i,0.00025763-2.6966e-05i,0.00077783+0.00070905i,0.00051628+0.00026569i,-0.000261+4.0822e-05i,-0.00044161+0.00059044i,-4.513e-05+0.00060966i,0.00036751-2.8658e-05i,0.00048178-0.00040048i,-0.00024654+0.00049153i,0.00010078+0.00086586i,0.0010302-0.00024841i,0.00080909-0.00049236i
-0.0010884-0.00046041i,-0.00099951-0.001663i,-0.0010443-0.0021439i,-0.0016083-0.0016871i,-0.0015426-0.0008178i,-0.00040483+0.001065i,0.00019021+0.0018175i,-0.00032693+0.0010716i,-0.00037567+0.0013351i,-7.8799e-05+0.0013503i,-0.00061541+0.00077144i,-0.00036824+0.00046904i,0.00093703-0.00017444i,0.0016278-0.00040185i,0.0013211+0.00019857i,0.00020801+0.00052489i,-0.00012823+0.00059235i,0.00018424+0.00022064i,-1.29e-05-8.2454e-05i,0.00014271-0.00027823i,0.00056611+0.00019931i,0.00036556+0.00081184i,0.00018417+0.00077111i
0.0010476+0.0015726i,0.001405+0.0018498i,0.00013225+0.00073976i,-0.0009068+0.00080545i,-0.00084155+0.0006158i,-0.00058062+0.00042155i,0.00036432+0.00085696i,0.00068235+0.00073406i,0.00070463+0.00058238i,-0.00011118+0.00025894i,-0.00034293+4.2523e-06i,-8.9508e-05-0.00042867i,-0.00040545-0.00040902i,-0.00059894+0.00022042i,-0.00014014+0.00067558i,-0.00023126+0.0013506i,-0.00066481+0.0013053i,-0.00062216+0.00081308i,-0.00081453+0.00065786i,-0.00096276+0.00014579i,-0.00043183-0.00032614i,0.00054846+0.00024636i,0.00073434+0.00038861i
0.00016408+0.0015691i,-0.00074672+0.0010542i,0.0007306+3.7444e-05i,0.00062084-0.00020783i,-0.00012099+0.00060568i,0.00048666+0.0014395i,0.00091856+0.00083482i,0.00094053+0.00044268i,0.00036867-0.00034422i,-8.913e-05-0.00073998i,-0.00063756+3.6752e-05i,-0.0012254+0.00044141i,-0.0012732+0.00063819i,-0.0010322+0.0009902i,-0.00059002+0.00067756i,0.00050249-0.0002012i,0.0008198-3.4591e-05i,0.00096048-0.00015678i,0.001127-0.00077034i,0.00060776-0.00094752i,0.000142-0.0004399i,0.00018544+2.9203e-05i,-0.00033823-2.6504e-05i
-0.00028624-0.0010969i,-0.00032751-0.0019899i,-0.0010937-0.0016418i,-0.00091932-4.1658e-06i,-0.00046102+0.0015181i,0.00063954+0.0021841i,0.00036425+0.001678i,-0.00036584+0.00072052i,0.00020588+0.0003524i,-0.00011633+0.0011569i,-0.00081511+0.0012409i,-0.00061325+0.00035671i,-0.00031901-2.4817e-06i,-0.00051863+1.999e-05i,-0.00049764+0.00097056i,-0.00023201+0.00058477i,-5.3809e-05-0.00013677i,-9.3792e-05-0.00015264i,-7.1807e-05-0.00020218i,0.0002688-5.0638e-05i,0.00078873-4.0204e-05i,0.0009504+3.41e-05i,0.00080563-5.7573e-06i
0.0014743+0.00087217i,0.00094202+0.0019973i,0.00052175+0.0021654i,-0.00015017+0.00071692i,-0.0002812-0.00012629i,-0.00060343+0.00096644i,-0.00064421+0.0011046i,-0.00030708+0.00063936i,-0.00023966+0.00058189i,0.00024687+3.38e-05i,0.00015649-0.00031358i,-0.00014353-8.6655e-05i,-0.00087416+5.343e-05i,-0.0011047-0.00014349i,0.00032939-4.6629e-05i,0.0007022-0.0001038i,0.00016393-7.664e-05i,0.00040855-0.00054026i,0.00062434-0.00042083i,-0.00043984-0.00016315i,-0.0013838-0.00090906i,-0.0011583-0.0011733i,-0.00036668-0.00054122i
-0.00080363+0.00057651i,-0.0011247+0.00025439i,-0.00051329+0.00056288i,0.00091099+0.00036754i,0.0016579-3.4327e-05i,0.0014337-0.0001628i,0.00067962-0.00054946i,-0.00065799-0.00022722i,-0.0008053+0.00089968i,-0.00049374+0.0010292i,-0.00056831+0.00011536i,-0.00081726-0.00010795i,-0.00098499+0.00019765i,-0.00089165+0.00039795i,-0.00061983+0.00052634i,-0.00049748+0.00021741i,-0.00064912+0.00014484i,-0.00077213+0.00037945i,-0.00045756+0.00032864i,0.00055405+0.00027439i,0.0011379+0.00023196i,0.00051828+0.00072758i,-4.6393e-05+0.0008028i
0.0014835-0.0011802i,0.0015539-0.00096139i,0.00037025-0.0012461i,-0.00058141+6.513e-05i,-0.00039557+0.00069521i,0.0011617+0.0015254i,0.0006229+0.0018438i,-0.0012529+0.0014501i,-0.0015753+0.0013623i,-0.00075302+0.00038612i,-0.0009069+5.2384e-05i,-0.0010376-9.1122e-05i,0.0002757-0.000393i,0.0010308+0.0004792i,0.00078128+0.00077361i,0.0004446+0.00043906i,0.00028589+0.00015099i,-0.00017801-0.00045909i,-0.00033907-0.00062086i,-6.0238e-05-0.00011918i,-0.00021285+0.0001385i,0.0003016-0.00029127i,0.00086596-0.00030907i
