-0.0026099+0.0011001i,-0.0011436-0.0013677i,-0.0025915-0.0021024i,-0.0022352-0.00035285i,-0.00023577+0.0019965i,0.0017627+0.0019378i,0.0015496+0.0010077i,0.00024668+0.00080581i,0.00083702+0.00086799i,0.0015106-6.7192e-05i,0.00065462-0.0011236i,-0.00029776-0.0011889i,-0.00071564-0.0010598i,-0.00057688-0.0011608i,2.508e-05-0.000339i,0.00030549+0.00046151i,0.00064998+0.00037057i,0.0001707-0.00044534i,-0.0004253-0.0012245i,-0.00023034-0.0010751i,0.00013878-0.00038922i,0.00036593+2.1834e-05i,0.00029931+0.00023725i
0.00099099-0.00016855i,0.00097035+0.00096719i,0.0018228+0.0019559i,0.0013771+0.0016273i,0.0010624+0.00075122i,0.0011811+0.0011047i,0.0014039+0.0015187i,0.00049732+0.0010228i,-0.00030576+0.0002022i,-3.6315e-05-0.00039779i,-3.4925e-07-0.00050168i,0.00020922+2.4748e-05i,0.00049793+0.00080484i,0.00028628+0.0010177i,-0.0002992+0.00088586i,-0.00027005+0.0005801i,0.0003124+0.0002514i,0.001002+0.00050885i,0.00052726+0.00040762i,-0.00049657-0.00030831i,-0.00049424-0.000757i,0.0001828-0.0010918i,0.00013441-0.0014366i
0.0019199+0.0012023i,0.00043159+0.00035622i,-3.2939e-06-0.00072298i,-0.00035297-0.0014229i,-0.00080313-0.00080332i,-0.0010858+0.00095516i,-0.00074086+0.0017213i,0.00010558+0.0016945i,0.00054322+0.00063569i,0.00058059-5.617e-05i,0.00061858+9.1962e-05i,0.00021238+0.00046595i,-0.00037776+0.00070399i,6.7909e-05+0.00051277i,0.0012983+0.00050277i,0.001344+0.00042497i,0.0010838+0.00020744i,0.00071448-0.00038208i,-0.00030971-9.8989e-05i,-0.00054313-0.00014436i,-3.4325e-05-0.001i,0.00020702-0.00041229i,0.00044404+0.00029035i
-0.0012686-0.0010806i,-0.0012118-0.00092234i,-0.0021557-0.0012666i,-0.0025178-0.0013425i,-0.001445-0.00057203i,0.00055433+0.0002402i,0.00088395-0.00027417i,0.00017394-0.00066871i,-0.00045421-0.00058834i,-0.00097475-0.0007015i,-0.00047158-0.00018592i,-0.00027479+0.00081834i,-0.0012077+0.0012932i,-0.0013274+0.00083237i,-0.00089596+0.00080391i,-0.00087523+0.00093265i,-0.0006647+0.00020432i,1.1972e-05+0.00035159i,7.2664e-05+0.00035321i,-0.00026142+8.8747e-05i,0.00011512-0.00025355i,-3.3124e-05-0.0003362i,0.00027136-0.00025248i
0.00026256+0.00098662i,0.00083884+0.0013129i,0.00084385+0.0027059i,0.00093909+0.0021663i,0.0018272-4.7271e-05i,0.001238-0.00071884i,0.00022548+0.00013975i,-0.00022462-0.00022417i,-0.00033121-0.00096259i,0.00039504-0.0008977i,5.0617e-05-0.00017085i,-0.00073433+0.00028945i,-0.0011698+0.00036856i,-0.00098719+3.6936e-05i,-0.00026876-1.8059e-05i,-0.00028775+0.00053118i,-0.00053387+0.0015664i,-0.00028495+0.0011177i,0.0003709-0.00023204i,0.00089855-0.00032769i,0.0010403-0.00026991i,0.00086663+0.00025668i,0.0003902+0.0011941i
0.00019849-0.00069232i,0.00061647-6.1816e-05i,0.00029031-0.00065462i,-6.5067e-05-0.00011003i,-0.0003327+0.0011159i,0.00014217+0.0020656i,0.00068148+0.0016474i,0.00089895+0.00048777i,0.00048799+8.6748e-05i,-0.00044951-3.3027e-05i,-0.00064038+0.00072479i,-0.00036409+0.00098993i,0.00028286+0.00046846i,0.0003079+0.00079006i,2.7297e-05+0.00077267i,0.00014869+0.00029173i,-0.00029226-7.4177e-06i,-0.00053408-0.00069374i,-0.00030315-0.00087128i,0.00042817-0.00027114i,0.00078068-1.6616e-06i,0.000623-0.000694i,0.00074078-0.00047564i
0.00056329+0.00042175i,-0.0002593-0.00037041i,0.00037701-0.0016478i,0.00079178-0.00093754i,0.000269+0.00069518i,0.00053536+0.0017649i,-0.00021752+0.001887i,-0.0012849+0.00082239i,-0.0010195+0.00078837i,3.5289e-07+0.0010651i,0.00029375+0.00014857i,-0.00015208-0.00037816i,2.3048e-05+0.00010358i,1.8852e-05+0.0005024i,-0.00028752+0.00031233i,-1.9358e-05+0.0002405i,0.00031332+0.00054272i,-0.00021891+0.0001751i,-0.00053069+4.47e-05i,0.000359+0.00039821i,0.00047378+0.00012243i,0.00026596-0.00027818i,0.00012729-0.00027092i
0.001662+0.00092798i,0.00082836+0.001159i,-0.00012364+0.0014767i,-0.00069648+0.0018686i,-0.00077918+0.0017297i,-0.0010068+0.0017145i,-0.00023111+0.0019174i,0.00048154+0.00121i,-0.00040184-0.00020517i,-0.00093836-0.0009426i,-3.4325e-05-0.00055373i,0.00016893-0.00043212i,-0.00034093-0.00074705i,-0.00082087-0.00031683i,-0.00066194+5.4957e-05i,2.9753e-05+0.00031006i,0.00039116+0.00058794i,0.00035442+0.00058168i,0.00021199+0.00070508i,-0.00059466+0.00082761i,-0.0011407+0.00050184i,-0.00097109-0.0001343i,-0.00042802-0.00081014i
-0.00018749-0.0019562i,-0.00018054-0.0016041i,-0.00053606-0.00046654i,-0.0015275+0.0014887i,-0.0015145+0.0021403i,-0.00030663+0.0011193i,-9.5373e-06+0.00068591i,-0.00095826+0.00064605i,-0.000402+0.00059402i,0.00023525+0.00080718i,-0.00032196+0.00038919i,-0.00059004-0.0002575i,-0.00026807-0.0010855i,0.00025866-0.00053227i,0.00038492+0.00044362i,0.0013009+0.00019615i,0.0013915-0.00060429i,4.5693e-05-0.0013387i,-0.00092604-0.00084682i,-0.00063969+6.1322e-05i,-0.00015769+0.00013459i,-0.00051286+0.0003624i,-0.00077391+0.00055447i
0.00058219+0.00039751i,0.00051165-0.00039149i,0.00066807-0.0013284i,0.0013316-0.002149i,0.0019034-0.0014457i,0.00083298+0.00045501i,1.1202e-05+0.0016926i,-0.00059337+0.0010232i,-0.00075761+0.00042765i,-0.00016007+0.00045642i,0.00028515+0.00041072i,-0.00011073+0.00028944i,-0.001101+0.00015644i,-0.001475+0.00038687i,-0.0010678+0.0014207i,-0.00042847+0.0017464i,-5.2097e-05+0.00076639i,-0.00013526+0.00039771i,-0.00055065+9.4774e-05i,-0.00054644-0.00012827i,-0.00031108-0.00023214i,6.0761e-05-0.0013105i,0.00040091-0.0010411i
-0.00064429+0.0010405i,-0.0011852+0.001258i,-0.0020544+0.0018713i,-0.0026355+0.0020117i,-0.0017058+0.0023202i,-0.00013472+0.0023198i,0.00014169+0.0012478i,-0.00024312+0.00064293i,-7.5046e-05+0.000882i,0.00038327+0.00029102i,0.00069-0.00048405i,0.00026594-0.00029358i,-0.00034028-3.2673e-05i,-0.00022289-0.000154i,-0.00021773-1.4251e-05i,0.00041723+0.0001628i,0.00020616+4.6688e-05i,-0.00059861-0.00021832i,-0.00030599-6.8553e-05i,-0.00011668+4.2786e-05i,-0.00019846-0.00018923i,0.00038018+4.8071e-05i,0.00052217+0.00028154i
0.00037475-0.00037727i,0.00011749-0.00075032i,0.00029623+0.00052397i,0.0014234+0.00070411i,0.0017915+0.00078351i,0.0016576+0.0010153i,0.0012752+0.00037228i,0.00038646+0.00050156i,-0.00036935+0.00077775i,-0.00012583+0.00015166i,0.00086942-0.00049904i,0.00080038-0.00021775i,0.00041929+0.00069258i,0.00012751+0.00055586i,3.2386e-05+4.5747e-05i,2.6653e-06-0.00015965i,-0.00072261-0.00013738i,-0.0013504-0.00030412i,-0.00084192-0.00024009i,0.00028668-0.00025297i,0.00093478-0.00063334i,0.00051474-2.508e-05i,0.00039753+0.00054153i
0.0019645+0.000411i,0.0016341+0.00046895i,0.0022852-0.00060782i,0.001091-0.002169i,-0.00073128-0.0019739i,-0.0016184+0.00026431i,-0.0018726+0.0009342i,-0.0020582+0.00096343i,-0.0016673+0.00098339i,-0.00077134-6.8597e-05i,-0.00067369-0.00058388i,-0.00071948-3.0968e-05i,-0.00027011+0.00060952i,5.6165e-05+0.00068224i,0.00054888+0.00028047i,0.0013249-0.00012171i,0.0013464+0.00019113i,0.00093347+0.00053659i,-0.00039593-0.00036688i,-0.0010113-0.00065826i,6.8309e-05-3.608e-05i,0.00078419+6.2421e-05i,0.00063955+3.8571e-05i
