-0.001223-0.00031605i,0.00029728-0.0013666i,0.00070859-0.00028537i,0.001096+0.0015366i,0.0011808+0.002714i,0.00090916+0.0022318i,0.0010709+0.0014324i,0.0008631+0.0012789i,0.00058865+0.0012709i,0.00060668+0.00079512i,0.00018154+0.00018045i,0.00072738-0.00021525i,0.00097333-0.00027548i,0.00053142+0.00016805i,0.0002828+0.00087474i,-6.5981e-05+0.0011715i,-9.0702e-05+0.0007094i,0.00011046-0.00013449i,0.00033064-0.00047223i,0.00049505-0.00039116i,-0.00034244-0.0004204i,-0.00074025-0.00098377i,0.00011595-0.0012392i
0.00051604-0.00031303i,3.974e-05+0.0011561i,0.00051249+0.00155i,0.0016993+0.0013431i,0.0016479+0.0019641i,0.00050561+0.0019668i,0.00040953+0.00022907i,0.0012731+0.00021984i,0.0005176+0.00018435i,-0.00083446-0.0001127i,-0.0012645+0.00024086i,-0.001064-0.00054618i,-0.00048199-0.0010519i,0.0008499-0.00087499i,0.00087661-0.0007417i,0.00013453-0.00090782i,0.00017963-0.0012977i,-0.00025842-0.0012187i,-0.00022466+5.7019e-05i,0.00024597+0.00016929i,0.00013086-0.00050781i,0.00029001-0.00039823i,0.00042012+0.00022223i
0.0018058+0.0018351i,0.0019827+0.0021998i,0.002059+0.0020202i,0.0025662+0.0011308i,0.0029356-0.00010918i,0.0022808-0.00067218i,0.00093299-0.00051764i,-4.8649e-05+0.0010103i,0.00049808+0.0018518i,0.0013839+0.001319i,0.00092038+0.00042522i,0.00016819-0.00014747i,0.00019734-0.00050713i,0.00040858-0.00054102i,1.731e-05-0.00030824i,-0.00045282-7.6339e-05i,-0.00061812+0.0003402i,-0.00047674+9.0081e-05i,-0.00077896+0.00021468i,-0.0012527-7.9257e-06i,-0.0015793-0.00016007i,-0.0011677+1.2561e-05i,0.00018899-0.00040442i
0.00126+0.00077095i,0.0023121+0.00070161i,0.0024575+0.00072165i,0.0030346-3.8381e-05i,0.0033564-0.001067i,0.0023787-0.0015178i,0.00098759-0.00045414i,0.00055558-2.9436e-05i,0.00024466+9.8485e-05i,-0.00040036+0.00063206i,-0.00063519+0.00056868i,-0.00066514+0.00061663i,-0.00034818+0.00055361i,-7.1981e-05+7.4875e-05i,0.00063732-0.00053337i,0.00094491-0.0007437i,-1.7246e-05-0.00049255i,-0.00056431-0.00040235i,8.9342e-05-0.00028116i,0.00040612+0.00032639i,0.00048739+0.00058402i,0.00086673+0.00030678i,0.00070129-0.00016611i
0.0010879+5.3692e-05i,0.0007385-0.00049105i,0.00065636-0.00017666i,0.00093173-0.00048489i,0.00054211-0.00027013i,0.00046481-0.00010968i,0.0003708-2.133e-05i,-0.00028815+0.00043653i,-0.00035631+0.00032475i,0.00039021+0.00054102i,0.00040825+0.00058735i,8.6638e-05-0.00021603i,0.00036389+0.00014435i,0.00028602+0.00081563i,0.000173+0.00033607i,-8.3784e-05+0.00020313i,-0.00075929+7.903e-05i,-0.00062287-0.00017993i,-0.0007646+8.9039e-05i,-0.0012479+0.0010148i,-0.00042746+0.0011537i,6.8186e-05+0.00025942i,-0.00040277-4.4979e-05i
0.00043285-0.00034721i,3.8817e-05-3.8595e-05i,0.000874+0.00012436i,0.0013655+0.00021173i,0.0014741+5.5454e-05i,0.0017361+0.00013395i,0.0011235+0.00082338i,0.00027906+0.0011961i,8.1001e-06+0.00097973i,0.00010918+0.00040237i,-0.0001617-7.0053e-05i,-0.00026673+0.00055739i,-0.00026909+0.00047311i,-0.00038385-0.00014741i,-0.00028761-5.5682e-06i,-0.00032596+0.00013819i,-0.00024919-0.00047733i,-0.00014607-0.0008713i,0.00024309+0.00020158i,0.00028407+0.0011333i,-2.5237e-05+0.0010164i,0.00039313+0.00049203i,0.00074819-9.2575e-05i
0.00018052+0.00065293i,0.00090436+0.0011369i,0.0012594+0.0023784i,0.0021653+0.0024857i,0.0030538+0.0013426i,0.0027301-0.00021643i,0.00070868-0.0010908i,-0.00049009-0.00045163i,-0.00070186+5.8909e-05i,-0.00055812+0.00033953i,-0.00054546+0.00083041i,-0.00088622+0.00067176i,-0.00028194+0.00016465i,0.00077849+0.00011282i,0.0010266+0.00023101i,3.1209e-05+0.00021569i,-0.00075343-0.00033289i,-0.00025881-0.00068051i,0.00015669+0.00022868i,0.00023776+0.00083678i,8.6268e-05+0.00084662i,-0.00059552+0.00085412i,0.0003597+0.00059704i
-0.00047582-0.00033199i,-0.0001623+0.0016359i,0.00096243+0.0025274i,0.0018772+0.0021747i,0.0014248+0.00052412i,0.0010438-0.00010428i,0.00068719+0.00021002i,0.0004916+7.5767e-05i,0.00034043+9.6021e-05i,-9.5705e-05-9.0321e-05i,0.00032191-0.00017021i,-0.00029825+7.7292e-06i,-0.0013545+0.00015566i,-0.00056101+0.00036318i,0.0002276+0.00077816i,0.00050098+0.00041189i,0.00039489+0.00031943i,-0.00047353+0.00035118i,-0.00070187-0.00014857i,-0.00076683-0.0011452i,-0.00048484-0.0010785i,0.00015346-0.00081871i,0.00030015-0.0012566i
0.00085826+0.00045467i,0.00039536+0.00026741i,0.00043103+0.00037098i,0.0007339+0.00044626i,0.0013501+0.00038321i,0.0015812+0.00061002i,0.00073929-0.00017653i,0.00032991-0.00017833i,-0.00037456+0.00025276i,-0.0011066-6.9629e-05i,-0.00068016-0.0001648i,-0.00043372-4.5385e-05i,-0.00034579-0.00089272i,0.00051702-0.0014691i,0.0010693-0.00063229i,0.00094348+3.1921e-05i,0.00047407-7.331e-05i,-3.8648e-05-0.00055854i,-0.00046631-0.00078553i,-6.0066e-05-0.00037402i,0.00018644-0.00060534i,-0.00012388-0.00052217i,-0.00049277-0.00060598i
0.00042931+0.00090294i,6.0733e-05+0.0018568i,0.00030345+0.0020729i,0.0011814+0.0019014i,0.0015506+0.0014195i,0.0009928+9.2844e-05i,0.00028421-0.00059457i,0.00013892-0.00062316i,0.00031391-0.00036259i,0.00027579+2.434e-05i,0.00029407-1.1817e-05i,4.3346e-05-0.00049195i,0.00086975-0.00047107i,0.00079648+0.0002063i,0.00041209+0.00012991i,0.00078217-0.0002182i,0.00073871-0.00028593i,-0.00027113+0.00031377i,-0.00094206+0.00085747i,-0.0013543+0.00035964i,-0.0013269-0.00036989i,-0.00021338-0.00094002i,-0.00010508-0.0007273i
-0.0025163+0.00032307i,-0.0024359+0.0023027i,-0.000754+0.0032881i,0.0017115+0.0033768i,0.0025632+0.0029413i,0.0023323+0.000725i,0.0010777-0.001337i,-0.00016027-0.0014081i,-0.00082726-0.00044423i,-0.0010278+6.8944e-05i,-0.00087054-0.00027269i,-0.0011193-0.00077518i,3.3598e-05-0.00053028i,0.00058173-0.00021243i,-0.00025107-0.00020423i,-0.00047285-0.00011319i,-0.00047282+0.00013114i,-0.00014582+0.00027066i,5.7374e-05+0.00027733i,-7.4261e-06+0.00014694i,-0.00041203+0.00031355i,-0.00023241+0.00053557i,0.00038981+0.00040013i
