-0.0062052-0.00031538i,-0.0060062+0.00046225i,-0.005736+0.0029342i,-0.0040465+0.0036076i,-0.00047195+0.0033802i,0.0014098+0.0023375i,0.00015311+0.0020423i,-0.00024555+0.0021163i,0.00085643+0.0020247i,0.0017345+0.0013691i,0.0021802+0.0007714i,0.0015418-0.00050425i,0.0011055-0.0018971i,0.0011961-0.0016583i,0.00075653-0.00094045i,-0.00038088+6.0251e-05i,-0.00048853+0.00097002i,0.00026342+0.0014736i,0.00033275+0.00094743i,0.00046045-9.5781e-05i,-0.00010476-0.000278i,-0.0013324+0.00019954i,-0.0018746+0.00054022i
-5.6335e-06-0.00023677i,0.0010065-0.00016151i,0.0010872+0.00010848i,0.00083025-5.3251e-05i,0.00038155-0.00051006i,-0.00066679-0.00089443i,-0.00076527-0.0012497i,-0.00027314-0.00077924i,-0.00026694+0.00021006i,-4.9458e-05-0.00014421i,-0.00075396-0.00078299i,-0.0018644-0.00056071i,-0.0010353-0.00072008i,-7.9587e-05-0.00045781i,-0.00032185-5.9519e-05i,-0.00080487-2.8211e-05i,-0.00058809-0.00017539i,1.4113e-05-0.00074549i,0.00021094-0.00086835i,-9.9502e-05-0.00042431i,-0.0003354-0.00040876i,0.00019374-0.00055868i,-0.00021316-0.00086126i
0.00064065+0.0011006i,0.0010918-6.6745e-06i,0.002153-0.00045095i,0.0023544-0.0015246i,-0.00023165-0.0027379i,-0.0020761-0.002247i,-0.0015189-0.0011013i,-0.0010454-0.00087581i,-0.0010005-0.0012502i,-0.00035109-0.0014367i,0.00022781-0.0010133i,0.00075079+0.00015112i,0.00043756+0.00084929i,-0.00064112+0.00106i,-0.0011459+0.00056739i,-0.0002955-0.00033444i,0.00034918-0.00080394i,-2.6016e-05-0.00084896i,-0.00011121-0.0002599i,-0.00013595+0.00019419i,-0.00039484-5.2704e-05i,8.862e-05-0.00060614i,8.3034e-06-0.00020442i
0.0013478+0.00087262i,0.0002698+3.7239e-05i,-0.00016726-0.0010089i,-0.00075604-0.0012586i,-0.0010513-0.0016576i,-0.0015254-0.0021054i,-0.0014067-0.0016044i,-0.00095169-0.00078084i,-0.0010603-0.00058845i,-0.00056078-0.00094646i,0.00028445-0.0011448i,0.00042542-0.00032519i,0.00039517+0.00022175i,0.00050261+0.0010121i,-0.00028871+0.0011416i,-0.00039549-1.1569e-05i,0.00052119-0.00057105i,0.00044698-0.000689i,7.6748e-06-0.00038206i,0.00045031-0.00015656i,0.0010548+3.0708e-06i,0.00043208+3.9708e-05i,-0.0003068-0.00020697i
0.00015848+0.0029879i,0.0011169+0.0038067i,0.0030508+0.003561i,0.0033143+0.001906i,0.0017836+0.00067832i,-8.5798e-05+0.00028062i,-0.00089581+4.7247e-05i,-1.0856e-05+0.0001918i,0.00037631+0.00042678i,0.00053042+0.00017547i,7.9375e-05+7.3535e-05i,-0.00095428-0.00012138i,-0.00093401-0.00092799i,-0.00049146-0.0009003i,-0.00056531-0.00027111i,-0.0012236-0.00053836i,-0.00057952-0.00047306i,0.00044462+0.00060126i,4.7059e-05+0.00035767i,-0.00032616-0.00023961i,1.8926e-05-0.0001171i,0.00016054+0.00056994i,0.00013601+0.00049559i
-6.7888e-05+0.00032434i,-0.00017287+7.1107e-05i,0.00063137-0.00011979i,0.0010982-7.9824e-05i,0.0011511+4.888e-06i,0.00063807+7.7791e-05i,-0.00030698+0.00018498i,-0.00065865-9.4965e-05i,-0.00013633-0.00037884i,0.00033216-0.00042364i,0.00032575-0.0003657i,-0.0001594+0.00024489i,-0.00039205+0.0003839i,-0.00012839-0.00031055i,0.00013478-0.00081569i,0.00020119+9.6625e-05i,0.00028584+0.00046318i,3.7343e-05+3.0687e-05i,-0.00062378-0.00013264i,-0.00040514-0.00012578i,0.00033868+8.8303e-05i,-8.3848e-05+0.00039634i,-0.00062755+0.00046582i
7.2762e-06+0.00069342i,-0.00039147+0.00063755i,0.00033822+0.00070104i,0.0010334+0.00070415i,0.00017875-0.00023954i,-0.00059551-0.00060208i,0.00013573-0.00015928i,0.00093327+0.00030486i,0.00087886+0.00014746i,-1.6228e-05-0.00052545i,-0.00027856-0.00032297i,0.00042792-0.00032568i,0.00075913-0.0010307i,0.00067096-0.0010016i,0.00043756-0.00097341i,-1.3248e-05-0.000926i,0.00011701+0.00011303i,0.00010756+0.00073047i,6.3807e-05+0.0007112i,0.00037596+0.00066015i,0.00027498+0.00060249i,-0.00071895+0.0007849i,-0.00076624+0.00052825i
-0.0020601+0.0012587i,-0.0017167+0.0025801i,-0.00036207+0.0020783i,0.00035932+0.00025428i,0.00064313-0.0015382i,0.00079778-0.0021388i,0.00038122-0.0015974i,-4.4674e-05-0.0006761i,-6.6494e-05-0.00012098i,0.00024287-0.00075031i,0.00065853-0.0015563i,0.0003277-0.0011243i,-0.00022605-0.00056365i,-0.00015897-0.00090439i,-0.000518-0.0011922i,-0.00075878-0.00050844i,-0.00055315+0.0001975i,-0.000177-0.00029639i,0.00087964-0.0010055i,0.00085126-0.00082907i,0.00021624+0.0003365i,0.00046357+0.00060869i,-0.00011366-3.9139e-05i
0.0012167-0.0021695i,0.0016177-0.0012426i,0.001039-0.001342i,-0.0001377-0.0011428i,-0.0011237+0.00038254i,-0.00086948+0.0011599i,-0.00084317+0.00014402i,-0.00073447-0.00033302i,6.2733e-05-0.00014742i,2.559e-06+0.0002144i,-0.00020564+0.00045222i,0.00042439+0.00012255i,0.00041128+0.0004516i,0.0003012+0.00067587i,0.00059441+0.00068254i,0.00012845+0.00010185i,-0.00015574-0.00011596i,-0.00076779+0.00047162i,-0.0011669+0.00010365i,-0.00020699-0.0010525i,0.00060323-0.0010416i,0.00037315-0.00020588i,0.00043356+0.00060064i
0.00011327+0.0012616i,-8.0953e-05+0.00079561i,0.00023118-0.00049059i,0.00041155-0.00057749i,-1.2992e-05-0.00033181i,-0.00092544-0.00071161i,-0.0013206-0.00067724i,-0.00064543-0.00078644i,-7.6371e-05-0.0010741i,0.00029623-0.00018611i,-5.8552e-05+0.00016834i,-0.00035298-0.00057962i,-0.00030248-0.00052875i,-0.00033657-0.00017064i,0.00019601-0.00034675i,5.8871e-05-0.00038422i,-0.00059447-0.00044478i,-0.00098834-0.00033427i,-0.0011019-0.00054106i,-0.00016421-0.00035469i,0.00073864-0.00073118i,6.3379e-05-0.00078227i,-0.00080253+0.00010624i
0.00080066+0.00031286i,0.0014362+0.000309i,0.0014785+0.00021323i,-7.9942e-05-0.00060146i,-0.0014531-0.00064396i,-0.002137+0.00015852i,-0.00094907+0.00052861i,0.00024228+0.00010749i,0.0001062+0.0001523i,0.00042179+0.00018441i,7.9816e-06-0.00036992i,-0.00090661+6.7581e-05i,-0.00094071+1.436e-05i,-0.00065241-6.4929e-05i,-0.0009982+0.00075954i,-0.00066828+0.00057904i,8.3621e-05-0.00011606i,-0.00045446-0.00030834i,-0.0010272-0.00012149i,-0.00063787+0.00043287i,0.00011595+0.00049193i,-1.6703e-05+0.00064712i,-0.00078366+0.00074169i
