-0.0020509-0.0013548i,-0.0014161-0.0018294i,-0.0032248-0.001044i,-0.003533-0.00051674i,-0.0023223+0.00088332i,-0.0017406+0.0027216i,-0.0018632+0.0027731i,-0.0013773+0.0020717i,-0.00014062+0.0022164i,0.00054134+0.0017764i,0.00060449+0.00017764i,0.00031107-0.00069284i,-0.00069778-0.00010099i,-0.0016346+0.00028939i,-0.0015935-0.0001762i,-0.0011252+3.5903e-05i,8.8215e-05+8.9518e-05i,0.0011414+0.00031326i,0.00066241+0.00067055i,0.00012643+0.00097452i,8.0636e-05+0.00057582i,0.00010706-0.0004673i,0.00041289+3.2911e-05i
0.0019951+0.00056713i,0.00080329+0.00015807i,0.0010745+0.0001334i,0.001197+0.00037173i,-9.0846e-05-0.00059956i,-0.00065011-0.0016022i,-0.0003402-0.00086118i,-5.6775e-05+0.00018486i,-0.00010991+2.4834e-05i,-0.0002848-0.00040686i,-0.00022737-0.00068391i,-0.00021092-0.00042363i,0.00010876+0.00016792i,0.00071172+0.00023025i,0.00020805-6.5797e-05i,-0.00029974-0.0001027i,-0.00036488-0.0006515i,4.2797e-05-0.00079992i,0.00028777-0.00069551i,-0.00034585-0.0007849i,-0.00034193-0.00063574i,0.00034006-0.0006938i,0.0006212-0.00045703i
0.00083143+0.0012486i,0.0018175+0.0011179i,0.0018844+0.00086093i,0.0017921+0.00083112i,0.00083101+0.0010209i,-0.0010333+0.00091292i,-0.0012371+0.00086114i,7.6996e-06+0.00081928i,0.00017859+0.00037779i,-0.00026093-0.00032571i,-0.00094104-0.00063955i,-0.0015776-0.0005382i,-0.00063151-0.00030584i,0.00029605-0.0010071i,0.00059294-0.001071i,0.0011288+0.0001382i,0.00049335+0.00076382i,-0.00071148+0.00027799i,-0.00027537-0.00033029i,4.3548e-05-0.00038935i,0.00012156-8.9791e-05i,0.00066801-0.00011296i,0.00062497+0.0001655i
-0.00093914+0.0016771i,-0.00073778+0.001918i,-0.0015529+0.0021507i,-0.0013961+0.001577i,-0.00061304+0.0010895i,-0.00040493+0.00088035i,-0.00090984+0.00066026i,-0.0012341+0.00047405i,-0.00081303+0.00012143i,0.0001424+0.00014273i,-0.00021742+0.00045018i,-0.00068095-0.000442i,-0.00030488-0.0007212i,-0.00016712+0.00030132i,2.9867e-05+0.0002458i,-0.00034132-0.00016919i,-0.00057554-0.00036833i,-0.00017229-7.2803e-05i,-4.6078e-05+0.00024071i,-0.00016096-7.5212e-05i,-0.00015752+0.00022598i,1.3361e-05+0.00047357i,0.00033559+0.00051346i
0.00040635-0.00033446i,-0.00036643-0.00079585i,-0.00039986-0.0008462i,-0.0002857-0.00019225i,-0.0013905+0.00067695i,-0.0014419+0.0010355i,-5.9765e-05+0.00078153i,0.00047793+0.0005885i,-0.00022282+0.00046264i,-0.00052642-0.00038722i,0.00014139-0.00099294i,0.0001292-0.00047967i,0.00013866-0.0003938i,8.5296e-05-0.00049323i,-0.00018953-0.00016393i,0.000194+0.00029411i,-8.6048e-05+0.00019126i,-0.00028377-0.00027183i,-0.00016403-0.0011034i,-0.0005858-0.0015896i,-0.00033516-0.00061591i,9.6461e-05-0.0001697i,0.00021717-0.00041457i
0.00066721+0.0011099i,0.0014652+0.0014396i,0.0017864-7.8065e-05i,0.00082761-1.7166e-05i,-0.00010397+0.00067253i,0.00010551+0.00060167i,-7.5662e-05+0.00046419i,-0.00028691+0.00028944i,-0.00025385-0.00070469i,4.8565e-05-0.0013957i,-0.00011256-0.0011599i,0.00015991-0.00091908i,0.00061182-0.00077122i,0.00052425-0.00011339i,6.8766e-05-0.00015519i,-0.00072043-0.00043928i,-0.0011195-0.00037699i,-0.0007921-0.00039996i,-2.5336e-05-0.00019793i,-0.00030308+0.00025579i,-0.00029177+0.00068856i,0.00027329+0.00053734i,0.00023209+0.00048443i
0.00018584+0.00086104i,-0.00030841+0.0012113i,0.00032604+0.001866i,0.00049728+0.0022697i,-0.00061408+0.0019128i,-0.001217+0.0013867i,-0.00089448+0.0013543i,-5.6464e-05+0.0012152i,0.00022485+0.00058572i,-0.0001485-0.00017979i,-0.00038442-0.00057941i,-0.00051553-0.00042527i,-0.00036688-0.000737i,0.00037677-0.00080003i,0.00026795-0.00050302i,-0.00062708-0.00036152i,-0.00092078-0.00060229i,-0.0010099-0.00059717i,-0.00087109+0.0001214i,1.1186e-05+2.3034e-05i,-8.4386e-05-0.0004283i,-0.00059625-0.00013966i,-0.00062812+0.00056915i
0.001546-0.00087571i,0.00082669+8.9023e-05i,-5.2895e-05-0.00076687i,-0.0003898-0.0014542i,-0.00070287-0.0003141i,-0.00071421+0.00030877i,-3.669e-05-0.00023062i,-0.00010606-0.00015568i,-0.0002563+0.00014716i,7.8716e-05+0.00024285i,-0.00060471-0.00068047i,-0.0012701-0.0013766i,-0.00079298-0.00034578i,-8.7693e-05+0.00016206i,-0.00029618-0.00050754i,-0.00054645-0.0007826i,-0.00015739+0.00021468i,0.00049457+0.00056584i,0.00018112+0.00017823i,-0.00045871+0.00050695i,-0.00084501+0.00076025i,-0.00033989+0.00052317i,0.00027041-0.00012576i
0.0023119-0.00081917i,0.0026858-0.00020976i,0.0029164-0.00017893i,0.0016133-0.0009516i,5.1673e-06-0.00079441i,-0.001209-0.00027762i,-0.0018099+6.5556e-05i,-0.00092799+0.00021685i,5.588e-05+0.00025302i,0.00016307+0.00044938i,7.1031e-05+0.00035804i,-0.00022729-0.00013682i,-0.00016986-0.00073104i,0.00014427-0.00074763i,0.00012601+0.00013906i,0.00046394+0.0005495i,0.0004913+0.00027425i,0.00022833+0.00014982i,0.00024556+0.00033699i,-0.00026158+5.0315e-05i,-0.00037307-0.00020574i,-0.00054627+0.0003991i,-0.00088505+0.00043355i
0.0011441+0.0014351i,0.0014585+0.0011337i,0.0022097+0.0023189i,0.0017513+0.0014922i,0.00058401+8.6284e-05i,-0.00050899+0.00072498i,-0.0011039+0.00096943i,-2.546e-05+0.0005846i,0.000511+0.00044108i,0.00052017-0.00042037i,0.00057968-0.0013501i,0.00076774-0.0013252i,0.00097005-0.00086873i,0.00047581+0.00018978i,0.00044713+0.00074964i,0.0007268-1.7584e-05i,0.00047992-2.0587e-05i,4.4319e-05+0.00061432i,0.00032042-4.269e-05i,0.00052695-0.0010278i,1.3083e-05-0.0009909i,-0.00067412+6.4576e-05i,-0.0012776+0.00031019i
-0.00069239+0.0015584i,-0.0011666+0.00082999i,-0.00080402+0.0016971i,-8.188e-05+0.0022145i,0.00034492+0.0013876i,-0.00054829+0.00057646i,-0.00070524+0.00031696i,4.9639e-05+0.00020514i,0.00075476-4.8868e-06i,0.00060011+0.00013705i,-0.00023125+0.00011826i,-0.00039204+0.00028174i,-0.00031998-0.00026119i,0.00020757-0.00092989i,0.0003889-0.00092243i,0.00029625-0.0011748i,0.0005222-0.0011195i,0.00058891-0.00058658i,7.3885e-05-7.0084e-06i,-0.00025909+0.00021035i,-0.00043828+0.0001568i,-0.00097956-0.0002417i,-0.00065504-0.0002244i
0.0007723-0.00058573i,0.0010877-0.0012619i,0.00092072-0.00086022i,-0.0015618+0.00011555i,-0.0018582+0.00067273i,-0.00058342+0.00087019i,-0.00065019+0.00059344i,-0.00072834+0.00064877i,-0.00053915+0.00045486i,-0.00031645-0.00014732i,-6.4871e-05-0.00074579i,-0.00020861-0.0011379i,-0.00052525-0.00057632i,-0.00013101-0.00057346i,0.00060082-0.0010672i,-1.1266e-06-0.00025035i,-0.00098681+0.00073298i,-0.0009965+0.0007831i,-0.0010144+0.00053561i,-0.0010486+0.00046325i,-0.00036168+0.00041618i,0.00049175-0.00011269i,4.6288e-05+4.4194e-05i
0.00018298+0.00019266i,0.00013626+0.00081023i,0.0020367+0.0007316i,0.001674+0.00078617i,-0.0003365+0.00044876i,-0.0010397-0.00015638i,-0.0012583-0.0010104i,-0.00084711-0.0013562i,6.6738e-06-0.00044304i,-0.00042986+0.00026939i,-0.00076595-0.00022614i,-0.0013894-0.00088348i,-0.0017047-0.0011221i,-0.00089156-0.001344i,-0.00021005-0.00091961i,-5.2146e-05+0.00019742i,-0.00061298+0.00038713i,-0.00078765-0.00014942i,-0.00071661-0.00035497i,-0.00054931-0.00019928i,-0.00062126+0.00034174i,-0.00073613-0.00010685i,-0.00075546-0.00094434i
