-0.0062073+0.00042392i,-0.0046252-6.4503e-05i,-0.0061267+0.0010748i,-0.0049961+0.0019824i,-0.0028162+0.0027924i,-0.0018136+0.0025691i,0.00023785+0.0018288i,0.00047436+0.00098873i,0.00033779+4.2898e-05i,0.0011236-0.00033096i,0.0012893-0.00039069i,0.0010633+0.00025131i,0.00038684+0.00037067i,-0.00058676-0.00097063i,-0.00116-0.0013431i,-0.00057983-0.000228i,-1.2354e-05-0.00016499i,-0.00078867-0.00088509i,-0.001113-0.0012673i,-0.00011413-0.00056126i,6.7311e-05+0.00046645i,-0.00023123+0.00014453i,-4.3735e-05+0.00022433i
-0.0026147+4.7947e-05i,-0.0037974+0.00035798i,-0.0047686+0.00016467i,-0.0037642+0.00067775i,-0.0014901+0.00059117i,-0.00057389-0.00023814i,-0.0010229-0.0002616i,-0.0012772-0.00059972i,-0.0015596-0.0015557i,-0.0012176-0.0017292i,-0.00056347-0.00068713i,-5.7809e-05+0.00050389i,-7.28e-05+0.00097319i,-0.00074852+0.00018349i,-0.00073702-0.0007641i,-0.00012392-0.00074882i,5.7648e-05-0.00052618i,-0.00030205-0.00055874i,-0.00080533+5.7925e-05i,-0.00026357+0.00034679i,0.00021651+2.564e-05i,8.3205e-05+0.00046816i,-0.00016544+0.0007513i
0.0032496-0.00029137i,0.0029527-0.0010711i,0.0014453-0.0032148i,-0.0010186-0.0038359i,-0.0033868-0.0022925i,-0.0033509-0.0013786i,-0.00095753-0.0010313i,0.00057529-0.00093394i,0.00057424-0.0011484i,-0.00043006-0.0012071i,-0.001101-0.0010929i,-0.00095445-0.00065127i,-0.00014121-0.00031444i,0.00061584+4.8612e-05i,0.00080789+0.00056692i,0.00013375+0.00055758i,0.00025444-0.00050107i,0.0010811-0.0016872i,0.00064822-0.0012194i,0.00070807-0.00034221i,0.00068273-0.00081054i,0.00021253-0.00096455i,-0.00030632-0.00056092i
-1.0476e-05+0.0011886i,0.0010405+0.0033943i,0.001433+0.0026678i,0.00063792+0.00059867i,-0.00052773+0.00014375i,-0.00041456+0.00038048i,0.00070986+0.00024582i,0.00057943-0.00070784i,-0.0003148-0.0010978i,-0.00078032-0.00041703i,-0.00072014-0.00025316i,0.00033235-0.00077907i,0.00077469-0.00047082i,-0.00050666+0.00035262i,-0.0015484-0.00010557i,-0.0013609-0.0010608i,-0.00016605-0.00089175i,1.338e-05-0.00033706i,-2.8551e-05-0.00026535i,0.00032123+0.00037089i,0.00046988+0.00086083i,0.00038792+0.00055751i,-0.00048708+0.0003916i
-0.0014754-0.0022223i,-0.001958-0.0013308i,-0.0022113-0.0008657i,-0.0018036-0.00032503i,-0.0013309+0.00048681i,-7.2138e-05+0.0013006i,1.9585e-05+0.0014663i,-0.00090625-0.00019623i,-0.0012649-0.0016827i,-0.00043176-0.0011443i,-6.6227e-05+0.00023506i,7.8651e-05+0.0006006i,0.00025696-6.9836e-05i,-0.00022753-0.00024624i,-0.00065007-0.00021187i,-0.00046696+0.00023161i,-0.00013009+1.5878e-05i,-0.00054882-0.0006354i,-0.00091461-0.00094228i,-0.0008715-0.00090445i,-0.00082888-0.00044295i,-0.00070745+0.00039908i,-0.00029711+0.00057198i
0.00099371+0.0005651i,0.0012491-6.2269e-05i,0.0019725-0.0014999i,0.0010981-0.0021597i,-0.00096033-0.0018253i,-0.0019262-0.0012017i,-0.00093588-0.00045315i,9.6445e-05-0.00097887i,1.2278e-05-0.0017424i,-0.00070813-0.0011141i,-0.001227-0.00033461i,-0.0007886-0.00051198i,-0.00048632-0.00055188i,-0.00069959+0.00029838i,-0.00073458+0.0007782i,-0.0010959+0.00025172i,-0.001446-0.00030857i,-0.0015311-8.0325e-05i,-0.00095436-0.00051487i,-0.00021434-0.0010878i,0.00033801-0.00091924i,0.00024292+0.00010121i,0.00055458+0.00095427i
-0.00010542-0.0020778i,-8.3795e-05-0.00034432i,-0.0017372+0.00021215i,-0.0028689-8.7238e-05i,-0.0027731+0.00010502i,-0.001275+0.0011594i,-9.9522e-05+0.00091161i,-0.00026552-0.00041725i,-0.00039186-0.00093118i,-0.00046329+0.00024856i,-0.00012289+0.0016446i,0.00030908+0.0013672i,0.00036437+0.00058436i,0.00030297+0.00043864i,2.1319e-05+0.00052859i,-0.00043693-0.00028117i,-0.00035466-0.00094798i,-1.9091e-05-0.00037172i,-0.00021743-0.00014948i,-0.00032837-0.00062423i,-0.00013297-0.00032025i,-0.00016133+0.00013433i,-0.00041784+1.5087e-06i
-0.0022652+0.00043225i,-0.0024605+0.00036121i,-0.0015035+0.0016015i,-0.00053416+0.0018274i,0.00066796+0.0010603i,0.0012354+0.00051958i,0.0015716+0.00039041i,0.0015868-0.00074569i,0.00059431-0.00062748i,-0.00050093+2.6485e-05i,-0.00071411+1.9429e-05i,-0.00011843-0.00027056i,-0.00064776-0.00055878i,-0.0013678-0.00055238i,-0.0014088-0.00031343i,-0.0009893+0.00024884i,-0.00062032-8.6393e-05i,-0.00063239-0.0008325i,-0.00092505-0.00048878i,-0.0012575+0.00034463i,-0.00060322+0.0010219i,-2.6176e-05+0.00052279i,-0.00020048+5.2833e-05i
-0.00093903+0.0011237i,-0.0011561+0.0014668i,-0.0011595+0.001637i,-0.0017849+0.00034315i,-0.0015704+0.0004308i,-0.0010995+0.0010073i,-0.00032368+0.00024982i,0.00041207-0.00049817i,-0.00048762-0.00047588i,-0.00086864-0.00022941i,-0.00051472+3.3567e-06i,-0.0003175+0.0003494i,-0.00020324-0.00027371i,-0.00061313-0.00041819i,-0.00090894+9.5888e-06i,-0.00018987-0.00036937i,0.00038094-0.00049385i,0.00014741-0.00083071i,-0.00030008-0.00045409i,-0.00067836+3.1298e-05i,-0.0002242-0.00012283i,0.00051243+0.00047604i,0.00068564+0.0011545i
-0.0028554-0.00083053i,-0.001987-0.00042456i,-0.0013944+0.0017296i,-0.00144+0.0023697i,-0.0014714+0.0020869i,-0.0010558+0.0014462i,-0.0006168+0.0010595i,0.00031639+0.00086949i,0.00034483+0.00031377i,-0.00016561+1.6781e-06i,-0.00031137+0.00024846i,0.00042852+0.0004361i,0.00076301+0.00045403i,-0.00024028+0.00017565i,-0.00073701-0.00036652i,-0.00017184+0.00020539i,0.00047745+0.00014456i,0.00012802-0.00034645i,-0.00076875-0.00015188i,-0.00058385-0.00013002i,0.0001121-9.2981e-05i,0.00019597-0.00041554i,5.6405e-05-0.00039515i
-0.0010951-0.00070865i,-0.0011399-0.00011224i,-0.0019424-0.00078027i,-0.0019216-0.0016652i,-0.0020043-0.00069648i,-0.0017524+0.00072958i,2.361e-06+0.0014881i,0.00076284+0.0010778i,0.00010056+0.00023921i,-0.00043618+0.00059195i,-0.00047819+0.00097922i,-0.00011971+0.00093646i,1.7825e-05+0.00047548i,-0.00059915-0.00065835i,-0.00050149-0.00067765i,4.919e-05+0.00034677i,-0.00040123+3.812e-05i,-0.00023055-0.0005798i,-0.00013391+3.2821e-05i,-0.00098402+0.00042138i,-0.0011183+3.5486e-05i,-0.00082554-0.00020658i,-0.0002587+0.00025118i
-4.6507e-05+0.0014573i,-0.00039368+0.0015024i,-0.0010494+0.00072363i,-0.0012604+0.00039036i,-0.0010301+0.00076186i,-0.00090797+0.0007031i,0.00038245-0.00021147i,0.0010997-0.0011218i,0.00057778-0.0013115i,0.00036373-0.00069652i,9.6295e-05-3.6741e-05i,-0.00021759+9.7045e-05i,-9.5691e-05+0.00047818i,-8.879e-06+0.00069901i,-0.00101+0.00012696i,-0.0012708+3.2769e-05i,-0.00059584-3.6886e-05i,-0.00041347-0.00058573i,-0.00036854+9.8973e-06i,-0.00030677+0.00093779i,-8.0877e-05+0.0011984i,-6.065e-05+0.00062198i,-0.00041256+0.00015557i
-0.0013361+0.00065261i,-0.0013604+0.0012402i,-0.00090391+0.0006156i,0.00043753+0.0006672i,0.00026108+0.0012416i,-0.00074615+0.00096058i,0.00012837+0.0013274i,0.00089823+0.0012288i,0.00022305-0.00027309i,-0.00037936-0.00084663i,-0.00025501+2.4711e-05i,-0.00045038+0.00050168i,-0.00084747+0.00052279i,-0.00080866-0.00015277i,-0.00061611-0.00058023i,-0.00037505+0.0001752i,5.0935e-05+0.00013654i,-0.00032787-5.2721e-05i,-0.001722+0.00041278i,-0.0017105+0.00053524i,-0.00087762+0.00020515i,-0.00071672-0.00039597i,-0.00032521-0.00032586i
-0.0008382+0.0019574i,0.00028316+0.0025924i,0.00070199+0.0024951i,0.00058603+0.00098626i,-0.00061662-0.0007183i,-0.00099859-0.00051843i,0.00017077-0.00012923i,0.00028198-0.00020884i,-0.00096782+0.00036879i,-0.00066511+0.00050117i,0.00035643+2.9654e-05i,-0.0004144-0.00060305i,-0.00058231-0.0013106i,-7.256e-05-0.001204i,-0.00023382-0.00023542i,0.00017688+0.00012088i,0.00074086-0.00021755i,0.00014698-0.00033344i,-0.00032915-0.00019227i,-0.00037241-0.0001732i,-0.00072508-0.00057546i,-0.0012422-0.0004414i,-0.00049843+0.00013576i
-0.00091519-0.00041926i,-0.0010509-0.00041788i,-0.00077261+0.00063007i,-0.00076612+6.4356e-05i,-0.00088901-0.00027337i,-7.5687e-05+4.8105e-05i,0.0010311-0.00036505i,0.0014092-0.00094046i,0.00075729-0.0013135i,-0.00017776-0.00056849i,-0.0006684+0.00058902i,-0.001465+0.00056065i,-0.0010588-0.00015733i,0.0001723-0.00095058i,-0.00017974-0.0003418i,-0.00061006+0.00057131i,0.00018837-0.00019117i,0.00052099-0.00092848i,0.0003151-0.0003065i,0.00025489+0.00073465i,0.00054174+0.00051423i,0.00079308+0.00070242i,0.0002925+0.0010737i
0.00020033+0.0034682i,0.0014259+0.0030784i,0.0011778+0.0031322i,-0.00013649+0.0026363i,-0.00071072+0.0012815i,-0.00076721+0.00050444i,-0.00032752+0.00023094i,-0.00020593-0.00075326i,-0.00027983-0.0010422i,-0.00039044-0.00043673i,-4.1578e-05-9.0122e-05i,-9.1291e-05+0.00042331i,-0.00061987+0.00084863i,-0.001085+0.00097343i,-0.0017175+0.00072525i,-0.0016996+0.00013723i,-0.00088271-0.00024816i,-4.4582e-05-4.482e-05i,-0.00057455-5.5238e-05i,-0.00086023-0.00058746i,4.4493e-05-0.00069989i,0.00073154-0.00060954i,0.00036-0.00035331i
-0.00069649+0.0016167i,-0.0011499+0.0013163i,-0.0010942+0.00091609i,0.0004193+0.00041952i,0.00063753+0.00025916i,-0.00034478+0.00012388i,-4.9295e-05+0.00053522i,-0.00011828+0.0003524i,-0.00046343-0.0010579i,-0.00082925-0.00066283i,-0.00080595-8.2676e-05i,-0.00053918+0.00042942i,-0.00083342+0.0012202i,-0.00025435+0.00080076i,-0.00021457+0.00017827i,-0.00040423-1.2188e-06i,-0.000335-0.0001312i,-0.00070803-0.00051107i,-0.0010934-0.00062333i,-0.00082818-0.0004108i,-0.00071474+4.9152e-05i,-0.00028657+0.00010792i,0.00054452-0.00019343i
-0.00072616-0.0006361i,-0.0004703-0.0015102i,-0.001584-0.0016445i,-0.0020075-0.0016478i,-0.0019656-0.0014058i,-0.00093569+0.00031783i,0.00080164+0.00066798i,0.0017868-0.001558i,0.0012323-0.0020354i,0.00047375-0.00095915i,0.00011608-0.0002533i,0.00057486+0.00082905i,0.0010289+0.00067744i,-4.3001e-05-6.484e-05i,-0.00044288+0.00029024i,0.00086929+0.00038465i,0.00053013-0.00045806i,-0.00078712-0.0012232i,-0.00043066-0.0010204i,-0.00022857-0.00080516i,-0.00059476-0.00020574i,-0.00034825+0.00066076i,-1.4581e-05+0.00083108i
0.003338+0.0011606i,0.0027804+0.00086572i,0.0028113+0.0009683i,0.0017373+0.00014632i,0.00029157-0.00024431i,-0.00077084+0.00085009i,-0.00070964+0.001249i,0.00067591+0.00026422i,0.001358-0.00093037i,0.00015561-0.00071473i,-0.0018129+0.00010432i,-0.0015542+0.00024864i,-0.0002963+0.0011847i,-0.00039741+0.0016981i,-0.00030935+0.001161i,0.00042192+0.0003827i,0.00049873-0.00031469i,-0.00031433-0.00012686i,-0.0010166+7.0405e-05i,-0.00071331-0.00026225i,-0.0002176+0.00020076i,-4.3532e-05+0.00012665i,0.00042588-0.00028452i
5.6873e-05-0.0017617i,0.00035087-0.00063733i,0.00092945-0.00057507i,0.00068216-0.0013247i,-0.0003897-0.0016169i,-0.00097575-0.0010468i,-0.00039429-0.00083388i,6.4384e-05-0.0014303i,-0.00026735-0.0016244i,-0.00080951-0.00031814i,-0.00076047+0.00067006i,-0.00039213+0.00047881i,-0.00041365+0.00085839i,-0.00021574+0.00057485i,-0.00022395-2.4321e-05i,-0.00031124-0.00023208i,-0.00034049-9.9575e-05i,-0.00022917+0.00028776i,-0.00038095+0.00052649i,-0.00039366+0.00047775i,8.0328e-05+0.00046285i,-0.00019253+0.00035852i,0.00010134+0.00017789i
0.0001829+0.0005003i,-0.00011357+0.00055073i,0.00087914+0.0005416i,0.00070534+0.00058889i,-0.0005624+0.00088553i,-0.00039413-2.3438e-05i,0.00077263-0.00098069i,0.0012408-0.001094i,0.00071318-0.0011853i,0.00019405-0.0010461i,-0.00021241-0.00019675i,-0.00027679+2.2298e-05i,-0.00069697+0.00025828i,-0.00067519+0.00050657i,0.00010222-0.00026468i,-1.2731e-05-0.00046365i,-0.00048789-0.00012305i,-0.00083545-0.00074675i,-0.00050671-0.0011348i,0.0002441-0.000954i,0.0011717-0.00083043i,0.00087802-0.001126i,0.00014567-0.00056238i
