-0.0018932+0.0010035i,-0.0018059+0.0014779i,-0.0032185+0.00027198i,-0.0025628-0.0010888i,-0.0012814-0.0009513i,-0.00058345+0.00016555i,-0.0005625+0.0001211i,-0.00020485-7.3402e-05i,0.00094547+0.0005002i,0.0016579+0.00069403i,0.00094941+0.00039539i,0.00038233+0.0010407i,0.00084582+0.001705i,0.0010887+0.0013998i,0.00048675+0.00086592i,-0.00018469+0.00049179i,-0.00024514+0.00044718i,0.00028293+0.00028323i,5.549e-05-0.00036137i,-0.00022773-0.0003511i,0.00016138-0.00034122i,0.00017007-0.00050824i,0.0005371-4.9759e-05i
-0.001862+0.00040847i,-0.0014174-0.00034437i,-0.001607+0.00056691i,-0.0014732+0.0010705i,-0.00087855+0.00069937i,-0.00016534-0.00012664i,-8.6859e-05-0.00089614i,-0.00063568-0.00053345i,-0.0011446-0.00039206i,-0.0009525-0.00075038i,-0.00061272-9.5052e-05i,-9.0272e-05+0.0013514i,0.00067138+0.0016805i,0.00031152+0.0010123i,2.9338e-05+0.00081946i,-0.0003039+0.00028943i,-0.00038368-0.00058529i,2.0112e-05-0.00096251i,-0.00025832-0.0008341i,-9.3737e-05-0.00033147i,0.00036236+0.0003181i,8.9886e-05+0.00034618i,-0.00030075+0.00037647i
-0.00073124+0.00059669i,0.00069612+0.0012045i,0.0011445+0.0010317i,0.00074842+0.00052135i,0.00019913-0.00011758i,0.0003855-0.0010922i,0.00023268-0.00091305i,-0.00059063-9.9724e-05i,-0.0010069+0.00058878i,-0.00039182+0.00064824i,0.00010784+0.00011231i,1.0805e-05+0.0006526i,0.0001759+0.0008594i,7.2082e-05+0.00026786i,0.00015615+0.00011734i,0.001013-0.00045714i,0.0012912-0.00051422i,0.00044704-0.00066321i,-0.00011599-0.00093607i,5.4589e-06-0.00094063i,0.00073051-0.00052528i,0.00072288+0.00051163i,-0.00018547+0.00056271i
-0.00035927-0.00060481i,-0.00097315+0.00053971i,-0.00061736+0.0004883i,0.00021303-0.00015372i,-0.0006776-0.00094176i,-0.0016024-0.00085986i,-0.00069251-0.00038065i,0.00036704-0.00033656i,0.00042642-0.00023445i,0.000319+0.00020458i,0.00037586+0.00071859i,0.00069093+0.0012576i,0.00083693+0.0014662i,0.00063001+0.0010311i,0.00031427+0.0001172i,0.00042266-0.00058425i,0.0010396-0.00083174i,0.00081405-0.00012364i,0.00079086+0.00019855i,0.001151+0.00019971i,0.000759+0.00013547i,0.00084737-0.00010815i,0.0008908+0.00012102i
-4.4341e-05+0.00094091i,-0.00012084+0.00078415i,0.00021909+0.00063257i,0.00060394+0.00019631i,0.0010037+0.00017105i,0.0003975-3.6749e-05i,-0.0011304-0.0010079i,-0.0013849-0.00095326i,6.1425e-05-3.8157e-05i,0.00080682+0.00028182i,0.0009416+0.00046497i,0.00065184+0.0014354i,0.0006072+0.0019228i,0.00068058+0.0016268i,0.00029061+0.00098161i,-0.00016259-0.00012372i,0.00026845-0.0011313i,2.8404e-06-0.0008116i,-0.00075986-0.00025919i,-0.00067123+0.00014201i,0.00041939+0.00081196i,0.0010467+0.00045119i,0.00038409-0.00039172i
-0.0021361+0.0012558i,-0.002065+0.0018615i,-0.0012142+0.0014894i,-0.00037728+0.00059849i,0.00048957-5.862e-05i,0.001094-0.00071945i,0.00084092-0.0011535i,0.00024653-0.0007519i,0.00012352+0.00062074i,0.00053486+0.0012092i,0.00058266+0.00093152i,-0.0001247+0.0015074i,-4.4904e-05+0.0014347i,0.00052573+0.00028486i,0.00012011+0.00046293i,-0.00011391+0.0008901i,-0.00024417-0.00014933i,-0.00044449-0.00053375i,-0.00059074-0.00018662i,-0.00010506+1.2167e-05i,0.00052218-0.00013481i,0.0002362+0.00025335i,-0.00081259+0.0002717i
-0.00075052-2.8451e-05i,-0.00019502+0.00080826i,-0.0006024+0.00047894i,-0.0010491+5.6761e-05i,-0.0010069-0.00055945i,-0.00016569-0.000978i,0.00035881-0.0009395i,0.00015954-0.00029325i,-0.00018079+0.00033975i,-0.00026607+0.0001021i,0.00010273+0.00020434i,0.00037382+0.00068309i,0.0003787+0.00083925i,0.00053923+0.00036599i,0.00029895-0.0001617i,0.00014965-8.374e-05i,0.000116+9.5083e-05i,0.00038956-0.00024134i,0.000777-0.00019723i,0.00032349+0.00023475i,-0.00037831+8.0386e-05i,-0.00062166-0.0001482i,-0.00085005-0.0005546i
5.5806e-05-0.00094312i,-0.00043676-0.00031605i,-0.0014241+0.00044771i,-0.00081221+0.00021619i,0.00025806+0.00043428i,0.0010265+0.00028616i,-0.00023177-0.00015271i,-0.00085924-0.00032006i,0.00030851+0.00018038i,0.00050995+0.0006688i,0.00021118+0.00070953i,0.00021649+0.00097482i,0.00054938+0.00079544i,0.00054857+0.00032828i,-0.00019394+5.6046e-05i,-0.0009375-0.00065882i,-0.00038249-0.00064374i,-6.7653e-05-0.00016342i,-0.00029578+0.00029886i,6.0222e-07+0.0007043i,4.5943e-05+0.00051632i,6.369e-05-0.00030153i,-0.00042773-0.00096215i
0.00048549+0.00093984i,0.0002408+0.00040724i,0.00040651+0.00034475i,0.00087093+0.00047691i,0.00097094+0.00092258i,0.00015576+0.00039083i,-0.00049675-0.0013367i,-0.00069692-0.0016248i,-8.635e-07+3.4226e-05i,0.0006894+0.00081114i,0.00054956+0.00047689i,0.00046955+0.00095599i,0.00081682+0.0016471i,0.00086689+0.0017482i,6.6779e-05+0.00099548i,-0.00019221-0.00074963i,8.3216e-05-0.0013477i,-5.5903e-05-0.0011687i,-0.00046046-0.00043169i,-0.00086192+0.0003846i,-4.4001e-05+0.00014846i,0.00078536+7.5605e-05i,0.00042903-0.00020538i
-0.00011067+0.0019733i,-0.000355+0.0029279i,-0.00097386+0.0038318i,-0.0006102+0.0021158i,-0.00011477+0.00066603i,-0.00023518-0.00086741i,-0.0010143-0.0010412i,-0.0015674-0.00024262i,-0.00056084-2.1105e-06i,0.0005833+0.00045392i,0.0005768+0.0012781i,0.00035459+0.0016562i,0.00046091+0.0022674i,0.00053643+0.0018784i,0.00093522+0.0012303i,0.00079419+0.00081016i,0.00025295+0.00011599i,-0.00026809+1.8813e-05i,-0.00051675+0.00020347i,-0.00019607-0.00017318i,0.0004295-0.00035413i,0.0004588-0.00028312i,-5.9605e-06-0.00027707i
0.0014007-0.00054202i,0.0018481-0.0012245i,0.0025202-0.001157i,0.00077696-0.00061444i,-0.0010505-0.0011252i,-0.0012107-0.0015248i,-0.0012468-0.00093082i,-0.00056508+0.00026657i,0.00034689+0.00096202i,0.0013844+0.00090951i,0.0015893+0.00043803i,0.0012533-0.00024035i,0.00074012-0.00018812i,-0.00028513+0.0010083i,-0.00058966+0.0015268i,0.00045026+0.00038133i,0.0005593-0.00042014i,-0.00040311-0.00060015i,0.00015878-0.00027057i,0.00080459+0.00064794i,0.00043656+0.00020968i,0.00028653-0.00035632i,5.841e-05+7.0832e-05i
