-4.012e-05+0.0018954i,0.001255+0.0018639i,0.00017293-0.00022654i,-0.00066514-0.0010898i,-0.0015966+0.00046097i,-0.0027912+0.00027645i,-0.0015745-0.00012202i,-3.3283e-05+0.00063103i,0.00039331+0.00040505i,0.00046143-0.00021144i,0.00055893-0.00031493i,0.00038114+0.00030913i,-4.4773e-05+0.00050049i,-0.00072651+0.0002724i,-0.0014128-1.3444e-05i,-0.00024508+0.00012139i,0.00037415+0.00073807i,-0.00063403+0.00046494i,-0.00073311-0.00076688i,0.00014501-0.0006368i,0.00065157+0.00020757i,0.00014147+0.00016922i,-0.00053537+2.3124e-05i
-0.00016748+0.00059111i,-5.9193e-05+0.0012713i,-0.00065673+0.0023473i,-0.0006654+0.0027307i,-0.0009452+0.0027365i,-0.00074857+0.0013357i,-0.00029701-7.0603e-05i,0.00056293-0.00022663i,0.0010071-0.00057642i,0.0011075-0.00030931i,0.00092249+0.00059293i,9.1396e-06+0.00037631i,-0.00040559-0.00027842i,-0.00012835-0.0008441i,-0.00026256-0.0013143i,-0.00080722-0.00057544i,-0.000692+0.00045433i,-0.00030693+0.00082559i,-0.00075125+0.00090119i,-0.00034776+7.817e-06i,0.00067397-0.00034274i,0.00065539+0.00025471i,0.00051544-1.7472e-05i
0.00093012+0.00038775i,0.0011579+0.0015074i,0.00036008+0.0015585i,-0.0016584+0.00087862i,-0.002435-0.00023146i,-0.0028839-0.00021717i,-0.0028268-0.00043895i,-0.0014686-0.00068875i,-0.00058174-0.00086925i,-0.00028436-0.00029756i,-0.00054564+0.00077888i,-0.00094096+0.00043383i,-6.7088e-06-0.00084486i,0.00067581-0.00060759i,1.7173e-06+0.00036824i,-7.7206e-05+0.00016675i,0.00056737-0.00018108i,0.00067095+0.00024113i,-7.6418e-05-0.000201i,-0.00016348-0.0006749i,0.00025384-0.00038305i,-0.00011993-0.0004495i,-0.00050013+0.00056541i
0.0014929-0.00014785i,0.0014118-0.00048621i,0.00062532-0.0010814i,-0.00012605-0.00085256i,-0.0011273-0.00024591i,-0.0021434-0.00046383i,-0.0017933-0.00022417i,-0.00045001+0.00020147i,0.00087829+0.00013237i,0.0010188-6.4299e-05i,4.9114e-05-0.00012914i,-0.00060152+0.00061773i,-0.00017993+0.00098997i,0.0003018+0.00082857i,-0.00014118+0.00056674i,-0.00018959+0.00045942i,0.00026494+0.00038753i,0.00072659+0.00046309i,0.0006933+0.00044956i,0.00067329+0.00011446i,0.00067393-0.00012711i,-0.00054444+7.9489e-05i,-0.00075218-4.9153e-05i
0.00035667+0.0010649i,0.001436+0.00058647i,0.0015873+0.00081762i,0.00053854+0.00050575i,1.9016e-05-0.00052314i,-0.00053139-0.001488i,-0.00033927-0.0016229i,0.00098376-0.00058487i,0.00068703-0.00014944i,-0.00073022-0.00099523i,-0.00095376-0.00087594i,-0.00038258-0.00061584i,-0.00033398-0.00055622i,2.124e-05+0.00016111i,-3.2917e-05+0.00080439i,4.6045e-05+0.0010593i,0.0012062+0.0010978i,0.001178+0.00056093i,0.00071033+0.00013874i,0.00043418+0.00012371i,0.00032213-1.3508e-05i,0.00014689-0.00018028i,-0.00012424+0.0001618i
-0.0014239-0.0011345i,-0.0010652-0.00031057i,-0.00096302-0.00073699i,-0.0011506-0.00087637i,-0.0015405-0.00012849i,-0.0017749+0.00064391i,-0.00051137+0.00081902i,0.00037066+7.2165e-05i,0.00037078+0.000612i,0.00035997+0.0011106i,0.00050606+0.0010454i,0.00084385+0.00074862i,0.00039775+0.00067859i,-0.00031602+0.00028074i,-0.00026691+0.00024682i,0.00024617+0.00018641i,0.00054501+0.00013749i,0.00038179+0.00035082i,-0.00049024-4.6307e-05i,-6.1621e-05-7.042e-05i,0.00011872+0.00037526i,-0.00085357+5.0057e-05i,-0.0010229-0.00046528i
0.0001741+0.00091807i,0.00050651+0.0016799i,0.00095717+0.0011557i,-8.6682e-05+0.00073644i,-0.0012673+0.0004886i,-0.0021914+5.3203e-05i,-0.0020638-7.4993e-05i,-0.00044097+3.782e-07i,0.00085105+0.00023924i,0.00079733+0.00048158i,-0.00049593+0.00035039i,-0.0015853+0.00040961i,-0.0017837+0.00058914i,-0.0014102+7.5502e-05i,-0.00067114-0.00048204i,0.00021139+0.00013367i,0.00039298+0.00081598i,0.00030331+0.00082029i,0.00024941+0.00081435i,-0.00011462+0.00032036i,-0.00012836-0.00052713i,8.3973e-05-0.0007567i,4.8692e-05-0.00022295i
-0.00052355+0.00034456i,0.00064458+0.000267i,0.0016538+0.00038588i,0.00095646+0.00070928i,-0.00064774+0.00060407i,-0.0012269-0.00091749i,-0.00054871-0.0016012i,-2.3989e-05-0.00036077i,0.0001291+0.00071007i,7.3545e-05+0.0014656i,-0.00035238+0.0013976i,-0.00047113+0.00032117i,-0.00061633-0.00028891i,-0.00074243-0.00051909i,-0.00041351+0.00040373i,-0.0004568+0.0014076i,-0.00042794+0.00066075i,8.693e-05+3.2906e-05i,0.00076288-0.000295i,0.0010271+2.4269e-05i,0.0004474+0.00053062i,-0.00021395+8.018e-05i,-3.6447e-05-0.00014286i
-0.00084276+0.00064663i,0.00033971+0.00053462i,0.00035144+0.00084205i,-0.00082657+0.00088351i,-0.001682+0.0010383i,-0.0014392+0.00016648i,-0.0014151-0.00084586i,-0.00070037-0.00051609i,0.00048231-0.00035634i,0.00066222+0.00050119i,0.00066315+0.00090816i,0.0010017+0.00050318i,0.00068961+0.00044678i,-0.00017471+0.00043103i,-0.0006242+0.0010244i,-0.00043381+0.0016672i,-0.00020123+0.0014533i,-4.2679e-05+0.00057765i,-0.00016924+0.00019014i,-0.0003187+0.00013291i,-0.00063545-0.00027237i,-0.00054473-0.00031701i,-0.00021809-0.00079786i
0.00032314+0.0013638i,0.00019062+0.0021123i,-0.00010375+0.001725i,0.00083473+0.00084819i,0.0011552-0.00031547i,2.4392e-05-0.0014586i,-0.00045491-0.0012561i,5.7953e-05-6.8867e-06i,0.0011762+0.00055979i,0.0012264+0.00077345i,0.00045817+0.00066658i,-0.00053958+0.00076066i,-0.0015537+0.0012145i,-0.00093691+0.0010038i,-7.5595e-05+0.00098482i,-0.00021636+0.001167i,-5.6008e-05+0.00033881i,4.3472e-05-0.00028307i,-9.3861e-05-0.00037401i,-0.00038446-0.00062698i,-0.0006271-0.00066611i,-0.00047786-0.00042626i,-6.8697e-05-0.00034866i
-7.9705e-05+0.0011201i,0.0010533+0.0010295i,0.0011209+0.0018494i,3.4507e-06+0.002228i,-0.00043487+0.00092594i,-0.00096233+5.2389e-05i,-0.0017321+0.0003265i,-0.00095449+0.00079622i,0.00012148+0.000347i,0.00036207-0.00028032i,0.00043649-0.00032238i,-0.00028073-0.00043059i,-0.00071596-0.00067124i,0.00013305-0.0002136i,0.00023031+0.00055091i,-0.00040337+0.00071039i,-0.00022307+0.00023202i,0.00043523+0.00043118i,0.0011134+0.00045833i,0.0012147+0.00033747i,0.00029967+0.00055448i,-6.6589e-05+0.00015833i,0.00030743-0.00019734i
