0.00099436-6.7164e-05i,0.0017712-0.00058573i,0.00076711-0.0017574i,-7.2256e-06-0.0025102i,-0.00084561-0.0015461i,-0.0020358-0.00023246i,-0.0020789+0.0009859i,-0.00067967+0.0013825i,0.00072563+0.00076851i,0.0014091+0.00070186i,0.00085377+0.00086024i,-0.0001647+0.00011944i,-0.00034077-0.0005866i,-0.00052633-0.0010727i,-0.00064018-0.0013851i,0.00013602-0.00045594i,0.00053219+6.1261e-05i,0.00031561-8.7351e-05i,2.476e-05+0.00076868i,0.00032596+0.00089813i,0.001157+0.00046052i,0.00077463-0.00018587i,0.00014033-0.0010649i
-0.00030043+0.00021748i,0.00028242-0.00011338i,-0.00028297-0.00043878i,-0.00011905+0.00017768i,0.00029856+0.00056915i,0.00022152+0.00053357i,0.00018687+0.00064631i,-0.00014718-0.000201i,-0.00041145-0.0010681i,0.00055545-0.00088331i,0.0015282-0.00042022i,0.00094966-0.00014276i,0.00019083+0.0001096i,9.0904e-05-0.000131i,0.00026211-6.0429e-05i,0.000432+0.00052474i,0.00011673+0.0004497i,-0.00063476-0.00016057i,-0.00060287-0.00012288i,-0.00032363+0.00023703i,-0.0006672-0.00044078i,-0.00049359-0.0010342i,0.00038009-0.00072609i
0.00031509+0.0007889i,-0.00055151+0.0015096i,-0.00058865+0.0020648i,0.00041939+0.0017264i,0.00095219+0.0012613i,0.0011074+0.00078753i,0.0007114+0.00025748i,0.0003832-9.7462e-05i,0.00062251-0.00016835i,0.0010382-8.238e-05i,0.00074188-0.00024191i,3.9163e-05-0.00047065i,-7.5405e-05-0.00080536i,-0.00027426-0.00013937i,7.5067e-05+0.00067871i,0.00047314+0.00090912i,0.00011592+0.00076097i,-0.00012007+0.00060444i,-0.00035652+0.00033453i,-0.00054933+0.00026985i,0.00016268+0.00052884i,0.00075772+0.00028625i,4.0531e-05-7.8137e-05i
-0.0012786+0.00038093i,-0.001882+0.0015116i,-0.0013328+0.0016639i,0.00042158+0.0012866i,0.00091692+0.0009002i,0.00024263-1.3115e-05i,-0.00033762-0.00055726i,5.1037e-05-0.00035157i,0.00034741+0.00031958i,9.0025e-06+0.0008684i,-0.00011593+0.00044504i,0.00019289-0.00042698i,0.00023331-0.00077492i,-1.4129e-06-0.00092805i,-0.00040299-0.00069867i,-0.00062696+0.00030222i,-0.001003+0.00059582i,-0.0013194+0.00032499i,-0.0011974+0.00089841i,-0.0006105+0.0012328i,-0.00056956+0.00060903i,-0.00096348-0.0001195i,-0.00081365-0.00017391i
-0.0010055-0.0002031i,-0.001409+0.00048943i,-0.0013933+0.00031547i,-0.00024086+0.00085804i,0.00053113+0.0010142i,0.00018822+0.00011254i,9.6663e-05+0.00066719i,-0.0002459+0.00081774i,-0.00061914+0.00056695i,-0.00088334+0.00077331i,-0.00093203+0.00042206i,-3.9625e-05-0.00020569i,0.0004097-0.00014677i,1.6751e-05-0.00078906i,-0.00010883-0.0010297i,-0.00026073-0.00037724i,3.2677e-05-0.0002999i,0.00023971-0.00044295i,-0.00032401-0.00023777i,-0.00053197-0.000221i,4.3379e-05-0.00015328i,0.00091754-8.8807e-05i,0.001105-0.00011876i
-0.0011111+0.0004117i,-0.00029788+0.0019139i,0.00026021+0.0014297i,-0.00077445+0.0015482i,-0.0014212+0.0014503i,-0.00059929+0.00086794i,9.1087e-05-0.00055718i,0.00037919-0.00076631i,-0.00062651+0.00012775i,-0.0010455+0.00071546i,-0.00053442+0.00061629i,-0.00052585-0.00012978i,0.00021138-0.00018125i,-0.00012337-8.5686e-05i,-0.00047815+0.00016346i,1.1478e-05+0.00028232i,-0.0003624+0.00058099i,-0.00044143+0.00049864i,-3.2866e-05-0.00047366i,0.00051703-0.00074275i,0.00064555-0.00054404i,0.00032863-0.00031374i,0.00052735-0.00016095i
-0.00018408-0.0015906i,-0.0011077-0.0010695i,-0.0018821-0.00076829i,-0.0020308+6.3707e-05i,-0.0016476+0.0009426i,-0.00095677+0.0016074i,-0.00023924+0.0013825i,7.1465e-05+0.0006627i,-0.00065822-9.6352e-05i,-0.00068046-0.00011011i,-0.00016445-0.00033601i,0.00048617-0.00074131i,0.00033616+0.00037588i,-0.00012988+0.00060656i,-0.00054202+1.6983e-05i,-0.00043379+0.00082608i,-5.184e-05+0.00099008i,-0.00016926+5.7295e-05i,-0.0002569-0.00056318i,0.00030469-5.0614e-05i,0.00084155+0.00083373i,0.00070996+0.00033014i,0.00020548-0.00056199i
0.00022544+0.00034031i,0.00078598+0.00036052i,0.0014868-0.00080168i,0.0016899-0.0023493i,0.0010378-0.0018037i,-0.00037548-0.00091434i,-0.001009-0.00063739i,-0.0014507-0.00016024i,-0.0014734+0.00033637i,-0.00081951+0.00033757i,-0.00050553-0.00017559i,-0.00034083+0.00014638i,-8.7131e-05+0.00029761i,0.00026402-1.9739e-05i,0.0005504-0.00036218i,-0.00028114+1.3509e-05i,-0.00069823+0.00028554i,-4.2651e-05+0.00027795i,0.00028858-0.00026374i,0.00043757-0.00043218i,4.0033e-05+0.00055451i,-0.00063019+0.00077019i,-0.00094921+0.00082014i
-0.0016665-1.2902e-05i,-0.0017643+0.0012454i,-0.001295+0.0021254i,0.00084374+0.0017484i,0.0019067+0.0018408i,0.0015896+0.001641i,0.0011333+0.00041518i,0.00069646-0.00010246i,0.00037915+0.00028572i,0.00023103+0.00075079i,0.00040355+0.00053783i,0.00081806-1.6024e-05i,0.00071015+8.4104e-05i,-0.00028576-6.9666e-05i,-0.0011742-0.00050516i,-0.0011068-0.000528i,-0.00070047-7.0223e-05i,3.6465e-05+0.00048624i,-0.00045452+0.00034392i,-0.0011148+0.0005581i,-0.00053759+0.00063947i,-0.00040542+0.00013339i,-0.00052597-7.4701e-05i
-0.00052166+0.0008536i,-0.00013829+0.0018771i,0.00026683+0.001846i,0.001029+0.0010457i,0.0012853+0.00046121i,0.00064512+0.00013019i,0.00033186+0.00091478i,-0.00034687+0.0010399i,-0.0008912-0.00014474i,-0.0011125-9.8718e-05i,-0.0012859+0.00037285i,-0.0010335-5.241e-05i,-0.00025152-0.00074673i,6.9815e-05-0.00090324i,-0.0003344-0.0010496i,-0.0002291-0.0013382i,-4.3877e-05-0.00080967i,-0.00013916+0.00017956i,4.6945e-05+0.00017967i,-0.00028679-0.00047609i,-0.00092518-0.00045154i,-0.0010697-0.00035908i,-0.00061994-0.00039357i
-0.00050167-0.00071363i,-0.00066246-0.00091393i,-0.00084811-0.00061957i,-1.7144e-05-0.00029266i,0.001393-0.00063065i,0.00050927-0.00080352i,-0.00043909+0.00031277i,-0.00045647+0.00077946i,-1.617e-05+0.0012653i,0.00040297+0.0011954i,-0.00036816+0.00065018i,-0.0014664-0.00019487i,-0.001503-0.0010456i,-0.00085144-0.0010269i,8.9534e-05-0.00047193i,0.00038162+1.3934e-05i,-0.00028042+0.00020692i,-0.0007945+0.00061271i,-0.00021739+0.0010862i,0.00049218+0.0012587i,0.00060215+0.0012765i,0.00018401+0.00066835i,0.00048105+0.00037707i
