-0.00026694-0.0011661i,-0.00035608-0.0025235i,-0.00093177-0.002521i,-0.0014559-0.00092434i,-0.0013389+0.00071032i,-0.0019846+0.0023056i,-0.0020887+0.0024255i,-0.00075366+0.0017006i,0.0008085+0.0010658i,0.0012788+0.00036555i,0.00012631-0.00039529i,-0.00013389-0.0011924i,0.00079977-0.0010919i,0.00088703-0.00042145i,0.00075883-0.00022183i,0.00083114+0.00012273i,0.00038257+0.00045432i,0.0008959+0.00044485i,0.0012423+0.00014023i,0.00038711-0.00040868i,0.00011228-0.00072932i,-0.000647-0.00077926i,-0.00065503-0.00061015i
-0.00016222+0.0011485i,0.0012799+0.0023328i,0.0027978+0.0016032i,0.0033478+0.00040144i,0.0027178+0.00046966i,0.0016872+0.00018038i,0.0015906-0.00045012i,0.0013336-0.00052897i,0.0010068-0.00020695i,0.00055804-0.00062686i,0.00035072-0.00076729i,6.4358e-05-0.00025644i,-0.00061365+2.107e-05i,-0.00011082+2.5536e-05i,0.00017865+9.3814e-05i,-9.0294e-06+0.00017712i,0.0003121+0.00023421i,0.00039607-0.00026984i,-0.00023351-0.00049225i,-0.00071015-0.00020532i,-0.00071137+0.00023676i,-0.00063052-0.00047725i,-0.00054873-0.00066126i
0.0010249+0.00091535i,0.00050286+0.0019639i,0.00022379+0.0020697i,5.6969e-05+0.0011756i,0.00022647+0.0016532i,0.00038081+0.0010388i,0.00057023-0.00060026i,0.00048734-0.00080305i,6.7606e-05-0.00025857i,5.4391e-05-0.00026829i,0.00036646-0.00037516i,0.00010682+0.00031718i,-5.219e-05+0.00065208i,0.00017747-0.00014156i,0.0009623-0.00068877i,0.00094399-0.00020953i,0.00026265+0.00032393i,-4.8703e-05+0.00026966i,0.00019628-1.8538e-05i,-1.1424e-05-0.00021523i,-0.00039506-0.0005112i,-0.00034862-3.7622e-05i,-0.00050778+0.00062022i
-0.0017202+0.00073565i,-0.0011976+0.0010792i,-0.00049307+0.00010301i,0.00051515+0.00011649i,0.00097958+0.0012141i,0.0011724+0.0013472i,0.00031564+0.0004401i,9.8821e-05-1.0791e-05i,0.00034692+0.00055701i,-0.00024089-0.0003725i,-0.00093445-0.0011572i,-0.0016363-0.00092504i,-0.0010314-0.00053503i,4.9113e-05-9.0557e-05i,-3.5237e-05+5.2564e-05i,-0.00085112-0.00067443i,-0.0007281-0.00066371i,-2.9762e-05+4.6884e-05i,-0.00027598+0.00031329i,-0.00059802+0.00026311i,6.3968e-05+0.00092592i,0.0010622+0.0012945i,0.00055733+0.00079511i
-0.0013277-0.0014404i,-0.00052636-0.00043166i,-0.0016037+0.00048066i,-0.0021731+0.001564i,-0.00092112+0.0030112i,0.00027568+0.0031719i,0.00048475+0.0015738i,0.00059349+5.421e-05i,0.00062677-0.00020058i,9.8451e-05-0.00038008i,-2.2254e-05-0.00056117i,-0.00033871-0.0003983i,-0.0010165-0.00011135i,-0.00097479+0.00028749i,-0.00013457+0.00043651i,0.00014718+0.00061441i,0.00021218+0.00036222i,0.00027117-0.00026055i,0.00053379+7.2414e-05i,0.00010165+0.00038534i,-0.0012847-0.00029836i,-0.0013484-0.00061793i,-0.00072065-2.7761e-05i
-0.0024433+0.0015833i,-0.0019788+0.0015892i,-0.00056973+0.0014364i,0.00095096+0.001379i,0.0018206+0.0012427i,0.0011812+0.00022624i,0.00044523-0.00033752i,4.2378e-05-0.00067207i,-0.00014503-0.00088167i,-3.0529e-05+8.7134e-05i,-0.00018454+0.0011475i,-0.00047112+0.00058529i,-0.00041262-0.00038685i,-0.00026162+0.00010638i,-0.00060928+0.00053429i,-0.00039615+0.00012728i,9.6916e-05+0.00066098i,-0.00031271+0.001678i,-0.00049248+0.001166i,9.4624e-05-2.066e-05i,0.0005833+0.00034584i,0.00072382+0.00036525i,0.00090683+0.00022748i
0.00091228+0.00044084i,0.00034045+0.00021957i,0.00057626+0.00033617i,0.0010987+0.00034718i,0.00026161+0.00071303i,-0.00042354+0.00079118i,0.00038026+0.001101i,0.00054686+0.001147i,9.9098e-05+0.00095875i,0.00012058+4.6878e-05i,0.00017143-0.00043425i,-0.00042354-0.0005664i,-0.00080187-0.00028016i,-0.0012161+0.00030184i,-0.0014209+0.00031109i,-0.00054625+0.00040198i,0.00014138+0.00012804i,-0.00067128-0.00041233i,-0.00094647-0.00031654i,-0.00033372+0.00040939i,0.00018575-7.6872e-05i,0.00051523+8.795e-05i,0.00063828+0.00085014i
0.0010725+0.00080632i,0.0014175+0.001684i,0.0020958+0.0017028i,0.0020964+0.00098056i,0.0014253+0.0001052i,0.0015275-0.00028538i,0.00078375+8.5716e-05i,0.0002494-0.00028279i,-6.0507e-05-0.001238i,0.00016003-0.00081219i,-0.00029908-0.00027002i,-0.0005332-0.0006282i,7.1722e-05-0.00076081i,0.00049972-0.00059743i,0.00058307-0.0001716i,0.00029267+0.00035294i,0.00096684-0.00018047i,0.0014647-0.00042362i,0.00092904-0.00023452i,0.00039481-0.00041809i,-0.00025433-0.00038006i,-0.00030646+0.00017986i,-0.00014988+0.00046904i
-0.0027631-0.0015201i,-0.0024143-0.0011447i,-0.001179-0.00044406i,-3.7456e-05+0.0014107i,-1.7891e-06+0.0021833i,0.00045643+0.0023702i,0.0016234+0.0016809i,0.0013581+0.00068215i,0.00058866-9.6044e-05i,0.00024502-0.0002434i,-7.782e-05-0.00027036i,0.00041745+0.00020472i,0.00084413+0.00060102i,0.0004113+0.00061558i,0.00038174+0.00052528i,0.00031678+0.00050338i,-0.00061295+0.00018122i,-0.00073771-0.00039976i,-8.1611e-05-0.00028688i,0.00046753+0.00014395i,0.00076986+0.00013341i,0.00043528-0.00018493i,0.00047135-0.00039875i
0.0004328-0.0026792i,0.0004829-0.0013996i,-0.00085589+0.00033428i,-0.0015677+0.0022151i,-0.00044283+0.0038215i,0.00043848+0.0029755i,-0.00013198+0.00093397i,-0.00050902+0.00065917i,-0.001277+0.00025508i,-0.0014578-0.00077375i,-0.0002247-5.6182e-05i,0.00027972+0.00064037i,6.0765e-05+0.0013393i,-0.00057574+0.00068224i,-0.0004224-0.00043924i,0.00055495-0.00036451i,-0.00013024-0.00018221i,-0.001098-0.00070027i,-0.00075229-0.00088853i,-0.00050878-0.00019277i,-4.5726e-05-1.9389e-05i,0.00041919+0.00019703i,7.0633e-05+0.0003331i
0.00079118+0.00075144i,-8.7784e-07+0.0011327i,-0.00054955+0.0025512i,-0.00050514+0.0035141i,-3.9466e-05+0.0032939i,0.00031342+0.0028215i,0.00037972+0.0019568i,0.00014958+0.00091926i,-0.00050419+0.00047395i,-0.00071845+3.9746e-05i,-0.00017809+0.00040103i,7.0027e-05+0.00071057i,-0.00010307+0.00086811i,-0.00025897+0.00057127i,-5.2558e-05-3.2816e-05i,-3.4621e-05-0.00021596i,0.00022072+0.00029461i,0.0004766+0.00057674i,0.00039492+0.00010641i,-0.00017113+0.00015448i,-0.00043494-0.00023238i,0.00050669-0.00031356i,0.00084174+3.3593e-05i
